revision	QoS	latitude	station	longitude	code
09/21/2017, 00:00:00	average	-25.42944	Palmeira	-50.00639	BR
21 Oct 2019	excellent	58.04254	Tavda	65.27258	RU
01/26/2013, 00:00:00	acceptable	60.02427	Kolomyagi	30.28491	RU
2018/03/09	excellent	33.78333	Wacheng	114.51667	CN
09 Sep 2015	good	26.9423	Tharu Shah	68.11759	PK
07/12/2019, 00:00:00	excellent	44.92934	Krymsk	37.99117	RU
10 Aug 2016	excellent	-15.21194	Minas de Marcona	-75.11028	PE
05 Apr 2016	average	30.21121	Malaut	74.4818	IN
04/26/2021, 00:00:00	excellent	8.43333	Nakhon Si Thammarat	99.96667	TH
2014-05-31	maintenance	37.19723	Tianfu	122.05228	CN
12/06/2012, 00:00:00	maintenance	25.87498	Saharsa	86.59611	IN
26 Aug 2020	good	42.7392	Waverly	-84.62081	US
10/25/2015, 00:00:00	maintenance	40.24537	Pottstown	-75.64963	US
2014/10/09	building	23.02677	Foshan	113.13148	CN
01/20/2020, 00:00:00	average	-33.75881	Baulkham Hills	150.99292	AU
2021-07-20	excellent	10.13361	Maasin	124.84472	PH
2018-07-11	excellent	44.89784	Tortona	8.86374	IT
2015-07-10	average	25.87498	Saharsa	86.59611	IN
2022-04-19	average	-19.32556	Resplendor	-41.25528	BR
2016-03-26	average	0.49113	Beni	29.47306	CD
19 Mar 2013	good	32.5007	Longview	-94.74049	US
2017-10-15	maintenance	-11.78333	Luena	19.91667	AO
31 Dec 2018	good	46.1351	Sydney	-60.1831	CA
2013/11/26	excellent	10.13361	Maasin	124.84472	PH
2013-11-18	accep	38.96372	Chillum	-76.99081	US
2019/01/03	average	42.67164	Roseto degli Abruzzi	14.01481	IT
2018-01-25	excellent	46.08333	Ulanhot	122.08333	CN
12/09/2016, 00:00:00	good	51.19139	Korschenbroich	6.51352	DE
12/06/2016, 00:00:00	good	20.74122	Santa Rosa Jauregui	-100.44843	MX
2015-10-07	accep	24.96334	Ghat	10.18003	LY
2019/06/19	accep	43.4125	Montana	23.225	BG
01/02/2016, 00:00:00	good	49.5099	Losheim	6.74549	DE
2020-02-07	average	-4.26613	Brazzaville	15.28318	CG
2020-08-30	excellent	-8.66667	Catende	-35.71667	BR
2014/09/16	maintenance	-54.8	Ushuaia	-68.3	AR
2013/08/03	building	48.78232	Stuttgart	9.17702	DE
20 Jul 2022	maintenance	48.98994	Herblay	2.1699	FR
2015/11/05	good	41.63976	Cardedeu	2.35739	ES
03 Sep 2017	maintenance	40.87363	Volla	14.34085	IT
2017-08-30	average	36.06386	El Achir	4.62744	DZ
02/11/2015, 00:00:00	maintenance	12.74482	Argungu	4.52514	NG
30 Jul 2017	good	11.86064	Gaya	9.0027	NG
02/06/2014, 00:00:00	excellent	39.12074	Bergama	27.18052	TR
06/19/2014, 00:00:00	accep	32.54044	Dublin	-82.90375	US
2022-04-30	excellent	23.18	Aistala	88.58	IN
2015/09/26	building	36.76775	Cheraga	2.95924	DZ
2013-02-06	building	11.8659	Ar Ruseris	34.3869	SD
2012/10/24	maintenance	40.78206	Andijon	72.34424	UZ
2016/04/29	maintenance	34.14251	Glendale	-118.25508	US
2013-02-11	good	35.6803	Shahre Jadide Andisheh	51.0193	IR
2015-01-04	good	40.72586	Sassari	8.55552	IT
09/02/2020, 00:00:00	maintenance	9.58126	Kafanchan	8.2926	NG
2019-06-08	good	40.60538	Far Rockaway	-73.75513	US
12/11/2021, 00:00:00	good	4.94273	Carnot	15.87735	CF
2014/12/27	good	51.12794	Temse	4.21372	BE
2020/05/15	excellent	48.52961	Landshut	12.16179	DE
2014-08-31	building	40.72586	Sassari	8.55552	IT
05/30/2021, 00:00:00	accep	14.53767	Ataq	46.83187	YE
06/25/2019, 00:00:00	accep	44.98901	Yablonovskiy	38.94324	RU
04/04/2013, 00:00:00	average	36.53333	Nonoichi	136.61667	JP
2017-11-12	average	33.4425	Karatsu	129.96972	JP
08/17/2013, 00:00:00	accep	39.22493	Patnos	42.85693	TR
2021/09/14	average	34.9	Shinshiro	137.5	JP
2021/05/23	good	50.9803	Weimar	11.32903	DE
10/25/2018, 00:00:00	average	41.77583	Hakodate	140.73667	JP
2018-11-09	average	10.31672	Cebu City	123.89071	PH
2014-05-15	excellent	47.48444	Polohy	36.25361	UA
06/25/2015, 00:00:00	accep	-33.59217	San Bernardo	-70.6996	CL
2017-08-24	maintenance	46.65581	Kherson	32.6178	UA
08/15/2016, 00:00:00	building	37.1759	T’aebaek	128.9889	KR
02 Mar 2021	excellent	36.20389	Nonsan	127.08472	KR
06/07/2016, 00:00:00	good	35.815	Shimotoda	139.6853	JP
2018-04-06	excellent	22.4711	Pujali	88.1453	IN
25 Jul 2016	excellent	41.24255	Norwalk	-82.61573	US
08/16/2021, 00:00:00	excellent	65.84811	Tornio	24.14662	FI
13 Jan 2021	good	41.47892	Schererville	-87.45476	US
11/11/2020, 00:00:00	good	48.15659	Soroca	28.28489	MD
2015-11-19	average	59.33333	Boo	18.28333	SE
2020/02/05	accep	-17.74431	Caldas Novas	-48.62789	BR
2019-03-13	average	12.25282	Gingee	79.41727	IN
2022-06-09	average	59.37722	Narva	28.19028	EE
04/13/2014, 00:00:00	good	0.46005	Busia	34.11169	KE
2016-12-21	accep	35.25064	Searcy	-91.73625	US
05/14/2022, 00:00:00	excellent	14.93333	Chichicastenango	-91.11667	GT
25 Jul 2022	accep	8.35122	Ciudad Guayana	-62.64102	VE
2018-05-26	excellent	40.24537	Pottstown	-75.64963	US
2019-05-02	building	48.35693	Friedberg	10.98461	DE
04/22/2017, 00:00:00	good	55.64776	Malakhovka	38.02486	RU
27 Sep 2012	average	-17.74431	Caldas Novas	-48.62789	BR
2020/04/22	excellent	43.31667	Gernika-Lumo	-2.68333	ES
2013-06-20	maitennce	55.63711	Solntsevo	37.38115	RU
09 May 2016	average	51.65	Barnet	-0.2	GB
20 Jun 2022	average	46.08333	Ulanhot	122.08333	CN
26 Jan 2015	excellent	20.88197	Bhuban	85.83334	IN
20 Jul 2021	building	21.01858	Guanajuato	-101.2591	MX
09/07/2013, 00:00:00	accep	-5.85746	Mount Hagen	144.23058	PG
2021-02-26	average	-20.25333	Itabirito	-43.80139	BR
08/22/2020, 00:00:00	accep	48.8765	Rueil-Malmaison	2.18967	FR
05 Jun 2014	good	40.11583	Jizzax	67.84222	UZ
2017/09/10	good	8.35122	Ciudad Guayana	-62.64102	VE
04/09/2018, 00:00:00	accep	9.91861	Tinaquillo	-68.30472	VE
2020-06-02	excellent	51.88333	Verl	8.51667	DE
06 Mar 2018	accep	27.09978	Venice	-82.45426	US
16 Aug 2018	average	53.69786	Leyland	-2.68758	GB
30 Jul 2021	excellent	-1.26424	Simpang	104.09701	ID
2021-08-13	average	25.95533	Jhol	68.88871	PK
12/27/2017, 00:00:00	good	49.07866	Zvenihorodka	30.96755	UA
05/08/2014, 00:00:00	good	-27.4338	Aguilares	-65.61427	AR
2022/07/03	building	41.63976	Cardedeu	2.35739	ES
03/13/2019, 00:00:00	average	25.49043	Teghra	85.94001	IN
07 Mar 2022	maintenance	21.59983	Amreli	71.21169	IN
28 Mar 2015	good	34.75856	Ueno-ebisumachi	136.13108	JP
2017/07/23	good	9.89206	Baki	43.38531	SO
12 May 2013	excellent	44.73941	Rosemount	-93.12577	US
24 Mar 2020	maintenance	38.07789	Villabate	13.44275	IT
01/20/2018, 00:00:00	average	-6.8	Magomeni	39.25	TZ
2019-10-15	accep	37.19723	Tianfu	122.05228	CN
10 Jun 2013	accep	27.52948	Khairpur Mir’s	68.75915	PK
28 May 2020	average	35.74788	Muskogee	-95.36969	US
09/27/2017, 00:00:00	maintenance	7.50251	Igbara-Odo	5.06258	NG
15 Apr 2018	average	38.13708	Silvan	41.00817	TR
10/24/2015, 00:00:00	average	22.83957	Manikchari	91.84128	BD
09 Jul 2018	building	52.71083	Emmeloord	5.74861	NL
2020-02-08	accep	15.5439	Calangute	73.7553	IN
2021-06-18	maintenance	50.09019	Hofheim am Taunus	8.4493	DE
2014-03-14	average	55.82885	Rutherglen	-4.21376	GB
10/20/2015, 00:00:00	accep	22.19303	Diamond Harbour	88.18466	IN
05/28/2018, 00:00:00	excellent	48.98333	Mitry-Mory	2.61667	FR
11 Sep 2013	good	51.62907	High Wycombe	-0.74934	GB
04/23/2020, 00:00:00	good	44.92801	Valence	4.8951	FR
22 Sep 2017	excellent	46.32313	Niort	-0.45877	FR
01/14/2016, 00:00:00	excellent	54.52156	Schleswig	9.5586	DE
2014-11-15	excellent	43.1122	Perugia	12.38878	IT
2020/04/27	average	48.15659	Soroca	28.28489	MD
2019-08-16	good	-7.0981	Randudongkal	109.3243	ID
2016-04-13	building	38.45598	Astara	48.87498	AZ
2021-03-09	accep	31.20176	Alexandria	29.91582	EG
2013/11/02	excellent	53.46506	Chapletown	-1.47217	GB
2019/03/09	building	53.83333	Poulton-le-Fylde	-2.98333	GB
2020-06-16	good	-3.5403	Majene	118.9707	ID
2018-12-05	excellent	44.73941	Rosemount	-93.12577	US
17 Jul 2016	maintenance	10.10649	Alwaye	76.35484	IN
26 Jun 2021	excellent	52.26083	Losser	7.00417	NL
05/27/2015, 00:00:00	building	33.78333	Wacheng	114.51667	CN
2014/10/13	accep	37.35813	San Juan de Aznalfarache	-6.03731	ES
2012-11-08	average	35.89972	Valletta	14.51472	MT
2016-11-09	good	35.25064	Searcy	-91.73625	US
29 May 2019	accep	31.71667	Sangla Hill	73.38333	PK
25 Feb 2021	accep	15.58552	Bua Yai	102.42587	TH
25 Nov 2016	accep	0.03813	Nyahururu	36.36339	KE
10/07/2013, 00:00:00	building	34.15429	Messaad	3.50309	DZ
01/03/2013, 00:00:00	average	55.54028	Sharypovo	89.20083	RU
2014/01/12	average	11.15583	'Ali Sabieh	42.7125	DJ
16 Apr 2015	maintenance	-38.16604	Frankston South	145.13643	AU
12/12/2021, 00:00:00	average	49.68369	Bensheim	8.61839	DE
23 Nov 2015	maintenance	30.24706	Huangshi	115.04814	CN
06 Apr 2015	average	11.00599	Kangayam	77.5609	IN
02/14/2019, 00:00:00	excellent	51.39323	Strood	0.47713	GB
2013/06/02	excellent	36.76775	Cheraga	2.95924	DZ
2018-04-29	excellent	11.00599	Kangayam	77.5609	IN
