NOx	latitude	CFCs	CH4	PRES	C2H3NO5	H2CO	warning	SO2	Pb	TEMP	PM2.5	PM10	O3	NH3	longitude	PAHs	CO
8.97555	48.15659	86.06849	10.39192	1187.24470	2.16656	23.74028	1.00000	10.59441	51.46694	31.35950	11.27664	11.74212	10.90372	10.50425	28.28489	9.92032	9.21015
12.97271	53.30972	62.78731	9.41104	1188.37901	0.06735	55.72268	1.00000	9.69464	49.95361	8.89360	6.60959	7.77791	7.80284	11.37156	83.62389	8.44428	9.24756
9.73946	50.74497	56.38187	11.02512	1112.00069	9.40599	64.46865	1.00000	11.67217	64.13668	24.54085	8.53867	13.21821	9.32135	11.38494	3.20639	8.72218	9.76074
11.02764	32.61603	70.42613	10.68959	1068.91842	0.05878	72.55389	1.00000	8.28238	60.37992	12.04294	7.39883	7.94389	8.61466		44.02488	8.03065	8.08850
8.32540	48.35149	83.07828	8.42035	1100.07576	0.07355	53.43413	0.00000	6.94471	45.69655	13.14955	10.22424	8.12246	6.70376	8.36518	8.96317	10.05172	10.35428
10.28541	-21.44345	72.12237	11.32933	1062.30829	8.51807	59.38459	1.00000	10.56154	30.49771	8.88378	10.11172	13.11798	8.71672	8.43745	-65.71875	9.53889	8.54215
8.20636	48.21644	67.22246	7.59348	1155.00787	0.51525	54.70771	0.00000	8.35826	56.95642	31.35820	12.80324	10.27118	8.49600	9.56441	9.02596	9.53710	9.81109
10.78808	51.04962	63.13405	10.43303	1122.56197	0.03957	73.18090	1.00000	7.68439	48.68402	-3.88267	8.98240	5.16415	9.70685	9.79177	12.1369	10.08847	9.25263
6.51924	35.85	62.00922	8.61428	1092.27565	0.10074	75.92331	0.00000	6.52973	46.18041	28.05332	8.66113	8.40617	9.45881	11.34497	117.7	10.59124	11.87413
10.97621	49.97704	68.97127	8.74480	1082.59025	0.03368	38.83079	0.00000	12.19164	40.49005	24.06227	12.21070	5.85469	8.00303	8.93137	9.15214	10.15654	9.15911
9.87369	50.75932	68.86601	13.00827	1068.13740	0.07333	48.80967	1.00000	7.25926	35.50683	32.65419	8.37370	8.02474	7.32043	8.92977	25.34244	10.97199	
7.34070	35.05266	77.54210	12.71314	1083.09816	5.87137	44.25970	1.00000	11.36123	50.46400	14.93868	9.81367	12.74209	9.00180	10.61009	-78.87836	10.53877	10.42701
11.48156	56.56317	68.84943	10.41638	1107.47984	0.06554	48.35771	1.00000	8.61696	31.13511	24.52398	6.55525	8.10735	8.91349	8.75542	-2.58736	10.98961	9.87037
6.06428	44.73941	80.75060	7.48260	1195.83006	0.08789	42.25580	0.00000	10.64254	47.09375	4.06269	9.91048	8.41521	10.58033	8.87868	-93.12577	9.04985	9.45944
7.36076	53.38333	81.52893	14.12552	1082.53697	0.09056	37.14830	1.00000	5.74498	57.52091	28.42295	13.12519	8.33285	7.17005	7.56993	-0.76667	10.15509	8.47370
7.83681	45.69558	63.49926	10.83211	1076.00398	1.30410	44.04259	1.00000	12.11648	28.35070	24.27402	11.00764	11.21309	12.19771	10.87586	4.7934	11.31381	10.50539
12.76894	38.37255	71.00642	9.34814	1107.58269	19.60598	30.30391	1.00000	10.07401	31.92556	16.57208	10.05060	13.95359	8.73477	9.84143	34.02537	7.90112	8.87337
10.40015	43.61062	63.13663	10.02140	1128.76206	3.69805	33.79959	1.00000	10.98349	32.43272	24.76571	9.68856	12.28134	9.92316	10.49184	-72.97261	8.63624	9.67063
8.74593	13.70167	74.01953	13.48720	1102.53651	0.44248	34.11397	1.00000	6.92315	37.57749	5.56467	9.63925	10.11347	6.76226	9.23470	-89.10944	11.88031	9.54260
8.85968	51.78771	75.31421	12.67671	1053.41164	0.03787	58.81501	1.00000	6.50983	50.11550	12.71858	10.89118	6.84900	7.71096	9.02722	56.36091	8.96909	10.31365
8.07980	-27.76952	76.75470	13.42283	1159.36731	0.16077	43.17127	1.00000	6.19457	49.47728	18.49783	9.08560	8.98425	7.53217	10.47403	30.79165	10.13462	13.18386
7.30221	37.73604	50.47949	5.61705	1087.76592	0.21659	48.74080	0.00000	6.60393	46.41738	-1.99311	11.12582	9.25636	10.49315	9.03420	-120.93549	8.53299	11.02727
10.41512	26.44931	69.90820	9.92611	1129.39682	4.44272	72.17985	1.00000	10.17475	32.98709	23.40424	11.73992	12.46480	10.24349	8.97184	91.61356	9.69682	9.52625
10.68795	41.63976	76.70351	9.64628	1098.02268	0.03388	57.06715	1.00000	8.06463	47.24924	16.64484	11.26280	6.16143	9.23867	10.81429	2.35739	10.97461	9.76247
10.53733	35.21222	60.82693	11.08221	1181.83115	0.06841	58.54218	1.00000	7.85500	56.56920	4.07276	6.72383	7.87731	9.57577	10.03022	2.31889	8.73375	9.31134
10.54804	42.8139	72.48576	7.60388	1105.40313	0.04345	42.44672	0.00000	10.91386	42.34247	32.97741	10.02112	5.85828	8.96566	10.29085	-1.64295	8.98026	8.50023
11.17750	46.75451	72.27845	10.44534	1186.01028	0.60027	43.43618	1.00000	9.08572	29.61874	5.26487	9.08415	10.42068	9.25170	9.09029	33.34864	9.27887	9.87250
11.23179	42.28639	72.09920	10.24433	1069.48075	0.55837	40.44276	1.00000	8.96911	18.93063	9.48225	11.82572	10.33781	9.54866	9.26898	18.84	10.68386	10.05909
11.89215	51.67822	59.65854	9.79554	1075.79595	0.03416	47.45388	1.00000	9.10172	41.08424	23.40261	10.99912	7.26922	8.27329	7.68069	33.9162	9.56500	9.96751
7.53934	18.65297	65.00985	6.63686	1110.59050	0.04249	57.72453	0.00000	6.02137	38.19898	17.61811	8.85961	7.22204	7.48973	9.82663	-72.09391	9.13848	9.13854
5.36811	51.14942	59.58460	10.02011	1173.37303	2.01617	62.24797	0.00000	11.25618	70.22312	15.05733	6.80123	11.65986	10.04330	8.91564	15.00835	10.45042	10.46437
8.49190	6.15038	76.04506	14.66605	1078.96511	0.04124	38.82980	1.00000	5.89988	60.80548	12.95130	10.26552	6.80723	4.91077	9.25053	6.83042	11.00975	11.15463
9.38922	40.1675	68.97136	10.66728	1070.95096	0.52836	48.27912	1.00000	9.48767	72.97656	-0.98954	11.76573	10.25921	10.17451	10.12448	34.37389	9.06582	7.73554
8.61014	41.91886	65.43713	8.69868	1175.55842	0.07959	50.76820	0.00000	11.24028	39.93630	16.05154	10.23404	8.00447	11.36170	8.36355	8.73812	10.89640	10.36444
8.51087	58.63667	64.14594	12.88315	1095.43661	0.02593	23.56046	1.00000	5.75823	38.37375	24.65008	8.95874	5.41566	6.47408	10.82766	59.80222	8.61464	10.13463
8.08703	60.18427	78.30589	8.50322	1166.19104	0.06678	32.38906	0.00000	8.26113	65.04597	17.51845	11.00443	7.93171	9.14447	8.59207	24.95034	9.19715	9.36534
8.57018	54.03876	74.84250	7.74391	1177.20310	0.09245	57.23610	0.00000	6.56691	47.78883	5.69619	10.77682	8.15686	6.19466	9.56505	43.91385	10.38521	10.60940
13.97674	33.76446	67.26659	7.58408	1144.33281	0.04645	49.74750	1.00000	10.47511	49.26233	6.00770	6.22398	7.10326	9.13899	9.90700	-117.79394	9.36916	9.50831
7.83935	20.21322	54.20914	7.51445	1188.88155	0.18708	55.69929	0.00000	10.34681	61.91688	9.72213	7.34331	9.21797	11.97738	9.99567	-100.88023	8.40624	8.29843
