revision	QoS	longitude	location	code	latitude
10/09/2013, 00:00:00	excellent	23.225	Europe/Sofia	BG	43.4125
2021/02/03	excellent	38.28402	Asia/Damascus	SY	34.5624
2013-04-06	building	-70.6996	America/Santiago	CL	-33.59217
01/05/2015, 00:00:00	good	7.02238	Europe/Berlin	DE	52.21099
2014/04/29	good	-88.70464	America/Chicago	US	34.25807
2020-09-17	building	-8.2503	Europe/Lisbon	PT	37.08819
2021/12/26	average	86.59611	Asia/Kolkata	IN	25.87498
2020-01-01	maintenance	105.75635	Asia/Ho_Chi_Minh	VN	10.29085
2018/08/10	building	153.10236	Australia/Brisbane	AU	-27.50578
2017/04/15	good	8.64409	Europe/Berlin	DE	48.07667
06/08/2016, 00:00:00	good	-2.98333	Europe/London	GB	53.83333
2021-08-27	excellent	151.07986	Australia/Sydney	AU	-33.88096
04/06/2015, 00:00:00	excellent	59.6	Asia/Aqtobe	KZ	47.83333
02 Jul 2014	good	85.83334	Asia/Kolkata	IN	20.88197
2022-09-11	excellent	99.96667	Asia/Bangkok	TH	8.43333
25 Nov 2017	accep	-88.3162	America/Chicago	US	42.24113
11/08/2016, 00:00:00	average	70.91106	Asia/Karachi	PK	29.38242
2018/03/08	maintenance	128.9889	Asia/Seoul	KR	37.1759
08 Jan 2022	accep	4.7934	Europe/Paris	FR	45.69558
2013-04-09	average	34.02537	Europe/Istanbul	TR	38.37255
2017/07/22	maintenance	-99.32556	America/Mexico_City	MX	19.32889
08/24/2020, 00:00:00	good	3.47717	Africa/Algiers	DZ	36.76639
01 Oct 2012	accep	79.883	Asia/Colombo	LK	6.9909
12 Apr 2021	excellent	46.83187	Asia/Aden	YE	14.53767
2013/07/15	excellent	73.97117	Asia/Karachi	PK	31.96258
03/15/2016, 00:00:00	average	-73.02841	America/Santiago	CL	-36.9256
2016-12-12	building	88.28637	Asia/Kolkata	IN	23.07492
2018/12/02	average	72.68533	Asia/Kolkata	IN	22.75218
01/06/2020, 00:00:00	maintenance	85.94001	Asia/Kolkata	IN	25.49043
2014/11/24	average	19.91667	Africa/Luanda	AO	-11.78333
30 Dec 2015	good	-3.59625	Africa/Abidjan	CI	5.27247
09 May 2018	accep	112.23109	Asia/Jakarta	ID	-7.57897
2013/11/28	accep	-81.26367	America/New_York	US	28.90054
2018/08/15	excellent	15.46667	Europe/Vienna	AT	47.05
2013-10-31	good	34.75699	Asia/Jerusalem	IL	31.39547
2020/10/30	accep	34.37389	Europe/Istanbul	TR	40.1675
03 Aug 2022	average	-41.88778	America/Sao_Paulo	BR	-21.205
2013-11-10	accep	72.68533	Asia/Kolkata	IN	22.75218
2013/02/08	average	14.43865	Europe/Rome	IT	40.87329
12/09/2015, 00:00:00	good	30.98551	Africa/Kampala	UG	2.41669
2018/08/18	excellent	-78.87836	America/New_York	US	35.05266
05 May 2018	good	33.72798	Europe/Moscow	RU	53.53395
2022-03-05	good	24.75	Europe/Vilnius	LT	55.25
27 Sep 2021	good	-7.35	Europe/Dublin	IE	53.53333
2015/12/16	maintenance	-89.66123	America/Merida	MX	21.28306
12/29/2017, 00:00:00	building	99.96667	Asia/Bangkok	TH	8.43333
19 Sep 2017	average	9.85	Europe/Berlin	DE	53.63333
2017-05-07	accep	24.71204	Europe/Sofia	BG	41.57439
2015-01-18	excellent	2.18247	Europe/Madrid	ES	41.41204
2021/08/16	average	-73.58248	America/Toronto	CA	45.40008
2020-05-18	average	-3.67029	Europe/Madrid	ES	37.13548
2018-05-17	excellent	7.00417	Europe/Amsterdam	NL	52.26083
11/17/2016, 00:00:00	good	-0.76773	Europe/Madrid	ES	38.38479
12/24/2020, 00:00:00	excellent	34.02537	Europe/Istanbul	TR	38.37255
01/30/2014, 00:00:00	good	51.0193	Asia/Tehran	IR	35.6803
2013/06/18	building	109.22921	Asia/Shanghai	CN	34.65918
2014/07/23	accep	34.8732	Asia/Jerusalem	IL	32.05971
2017-03-09	accep	73.38333	Asia/Karachi	PK	31.71667
2015-10-21	building	145.18333	Australia/Melbourne	AU	-37.9
12/16/2017, 00:00:00	good	-98.1664	America/Mexico_City	MX	19.32932
2013-03-07	maintenance	12.87117	Europe/Prague	CZ	50.23271
2014-11-13	accep	-95.44744	America/Chicago	US	29.53885
2015-04-12	maintenance	30.98551	Africa/Kampala	UG	2.41669
2013-04-18	accep	-93.75018	America/Chicago	US	32.52515
09/06/2018, 00:00:00	excellent	-48.67028	America/Sao_Paulo	BR	-28.24
03/17/2019, 00:00:00	excellent	-89.10944	America/El_Salvador	SV	13.70167
11/17/2021, 00:00:00	maintenance	31.33078	Europe/Kiev	UA	47.56494
07 Jul 2018	accep	85.94001	Asia/Kolkata	IN	25.49043
2021-11-26	building	45.36561	Asia/Baku	AZ	41.09246
2018/09/07	accep	-1.325	Europe/Madrid	ES	38.47917
2017-04-16	accep	-84.50855	America/New_York	US	39.08367
2016-05-14	good	139.6853	Asia/Tokyo	JP	35.815
2014-11-24	accep	-95.36969	America/Chicago	US	35.74788
09/06/2018, 00:00:00	excellent	-96.39774	America/Chicago	US	30.16688
2014-10-17	building	18.84	Europe/Podgorica	ME	42.28639
06/07/2018, 00:00:00	accep	20.89389	Europe/Belgrade	XK	42.62833
2021/02/03	maintenance	-84.50855	America/New_York	US	39.08367
2017/04/24	average	4.07601	Europe/Brussels	BE	50.88506
03/21/2018, 00:00:00	average	-5.55835	Europe/Madrid	ES	42.64685
11/18/2015, 00:00:00	average	0.30367	Europe/London	GB	51.38673
10/29/2015, 00:00:00	building	88.58	Asia/Kolkata	IN	23.18
2018/04/22	average	-104.22884	America/Denver	US	32.42067
02/21/2017, 00:00:00	accep	-52.67056	America/Sao_Paulo	BR	-26.22861
04/13/2018, 00:00:00	average	9.37082	Africa/Tunis	TN	36.08497
02/03/2020, 00:00:00	average	129.96972	Asia/Tokyo	JP	33.4425
2015-02-12	accep	-82.00919	America/Havana	CU	23.04419
2016-03-16	accep	-2.98333	Europe/London	GB	53.83333
26 Feb 2022	maintenance	30.98551	Africa/Kampala	UG	2.41669
10 Nov 2015	good	-71.06616	America/New_York	US	42.4251
2022-09-13	excellent	11.32903	Europe/Berlin	DE	50.9803
2019-03-28	good	121.12251	Asia/Manila	PH	14.62578
26 Nov 2020	average	-93.263	America/Chicago	US	45.0408
2016-01-02	average	-3.67029	Europe/Madrid	ES	37.13548
21 Oct 2021	building	8.2926	Africa/Lagos	NG	9.58126
09/02/2020, 00:00:00	maintenance	75.37991	Asia/Kolkata	IN	25.75728
2012/11/07	accep	72.54566	Asia/Karachi	PK	29.69221
06/20/2016, 00:00:00	excellent	140.11667	Asia/Tokyo	JP	37.56667
01 Sep 2022	accep	-65.71875	America/La_Paz	BO	-21.44345
2016/02/05	accep	-119.27337	America/Vancouver	CA	50.26729
2017/03/17	average	24.71204	Europe/Sofia	BG	41.57439
2016/05/16	accep	117.59152	Asia/Makassar	ID	3.31332
02 Jun 2019	excellent	99.95469	Asia/Bangkok	TH	13.51825
18 Sep 2022	accep	-97.35992	America/Mexico_City	MX	19.8173
2020/11/24	accep	-0.76773	Europe/Madrid	ES	38.38479
09 Mar 2017	good	15.07041	Europe/Rome	IT	37.49223
2020/04/10	excellent	-77.02303	America/New_York	US	38.70734
24 Apr 2016	excellent	-116.56346	America/Boise	US	43.54072
25 Mar 2021	good	69.67639	Asia/Tashkent	UZ	41.29444
2014-08-08	building	77.23826	Asia/Kolkata	IN	11.50526
2021-08-13	excellent	35.23388	Asia/Hebron	PS	31.78336
2013/12/22	excellent	74.80555	Asia/Kolkata	IN	34.08565
08/03/2017, 00:00:00	building	-51.50361	America/Sao_Paulo	BR	-29.2975
07 Sep 2016	good	112.9	Asia/Shanghai	CN	27.85
21 Aug 2013	excellent	2.61667	Europe/Paris	FR	48.98333
03 Sep 2019	average	-2.16	Africa/Casablanca	MA	34.31
11/11/2015, 00:00:00	average	32.88667	Africa/Kampala	UG	3.27833
12/20/2012, 00:00:00	good	-77.02303	America/New_York	US	38.70734
2021-03-07	average	-62.64102	America/Caracas	VE	8.35122
2017-03-28	average	2.18247	Europe/Madrid	ES	41.41204
27 Jul 2013	good	109.3243	Asia/Jakarta	ID	-7.0981
2019-06-07	excellent	-1.4001	Africa/Accra	GH	7.06273
23 Dec 2012	excellent	27.46153	Africa/Gaborone	BW	-21.44236
2019-08-21	maintenance	5.23333	Europe/Amsterdam	NL	52.09
06 Oct 2020	average	-73.25383	America/Lima	PE	-3.74912
2016-12-15	average	-86.57415	America/Tegucigalpa	HN	15.48131
24 Dec 2017	maitennce	-95.36969	America/Chicago	US	35.74788
2013/03/28	average	3.1631	Europe/Madrid	ES	41.91738
2018-08-16	average	91.00632	Asia/Kolkata	IN	26.32293
10 Sep 2021	building	10.30215	Europe/Berlin	DE	53.94313
21 Aug 2013	good	31.3237	Europe/Minsk	BY	52.4089
04/08/2022, 00:00:00	good	9.32241	Europe/Rome	IT	44.31771
23 Dec 2021	maintenance	-0.76773	Europe/Madrid	ES	38.38479
26 Jun 2021	accep	-79.59415	America/Guayaquil	EC	-2.13404
01/29/2021, 00:00:00	building	-76.99081	America/New_York	US	38.96372
2019-05-26	good	2.31889	Africa/Algiers	DZ	35.21222
2015-09-12	average	114.51667	Asia/Shanghai	CN	33.78333
2019-07-25	excellent	-82.00919	America/Havana	CU	23.04419
12 Apr 2017	building	-99.32556	America/Mexico_City	MX	19.32889
08/04/2022, 00:00:00	excellent	4.62744	Africa/Algiers	DZ	36.06386
2013-11-14	good	9.37082	Africa/Tunis	TN	36.08497
2018-01-26	accep	120.74792	Asia/Shanghai	CN	41.09822
2022/05/15	excellent	65.27258	Asia/Yekaterinburg	RU	58.04254
2018-07-22	average	-81.77285	America/New_York	US	28.54944
2017/01/25	excellent	-104.22884	America/Denver	US	32.42067
2021-04-18	building	-122.38731	America/Los_Angeles	US	45.53929
2018/06/29	average	9.37082	Africa/Tunis	TN	36.08497
2020-01-16	maintenance	73.85535	Asia/Kolkata	IN	18.51957
2020/01/26	excellent	139.6853	Asia/Tokyo	JP	35.815
2020-06-13	average	37.56667	Europe/Moscow	RU	55.85
02/04/2022, 00:00:00	accep	-122.40433	America/Los_Angeles	US	37.71715
09 Mar 2021	good	-74.95472	America/Bogota	CO	10.98778
2015-11-26	good	-81.23621	America/New_York	US	33.98154
11 Jan 2022	excellent	47.31667	Indian/Antananarivo	MG	-19.65
31 Jan 2016	good	-85.76942	America/Indiana/Indianapolis	US	39.78504
2021-07-21	building	30.79165	Africa/Johannesburg	ZA	-27.76952
12/03/2016, 00:00:00	building	-41.25528	America/Sao_Paulo	BR	-19.32556
2016-06-04	building	92.48278	Asia/Krasnoyarsk	RU	58.23583
01/13/2018, 00:00:00	accep	29.26639	Europe/Istanbul	TR	37.58105
02/21/2016, 00:00:00	building	18.69303	Africa/Ndjamena	TD	12.18441
2019-10-10	maintenance	123.758	Asia/Manila	PH	10.20898
02 May 2020	excellent	38.07083	Europe/Moscow	RU	54.90083
05 Aug 2013	good	24.75	Europe/Vilnius	LT	55.25
2020/01/04	average	-118.25508	America/Los_Angeles	US	34.14251
2020/10/27	average	-74.07764	America/New_York	US	40.72816
16 Dec 2014	accep	-2.68333	Europe/Madrid	ES	43.31667
19 Dec 2016	good	8.63333	Europe/Berlin	DE	52.2
06/01/2013, 00:00:00	accep	101.18445	Asia/Bangkok	TH	13.44581
2017/03/02	good	4.85668	Africa/Algiers	DZ	36.27462
2017-08-14	average	109.22921	Asia/Shanghai	CN	34.65918
11/22/2020, 00:00:00	excellent	120.14278	Asia/Shanghai	CN	32.50611
14 Oct 2012	average	-84.20299	America/New_York	US	39.43534
09 Jul 2017	maintenance	16.43915	Europe/Zagreb	HR	43.50891
29 Nov 2021	average	126.835	Asia/Seoul	KR	37.65639
24 Jul 2016	excellent	139.07204	Asia/Tokyo	JP	36.24624
09/27/2022, 00:00:00	average	-75.69947	America/Bogota	CO	8.79577
2018-10-20	good	-0.76667	Europe/London	GB	53.38333
2020-09-25	accep	72.54064	Asia/Karachi	PK	31.82539
2020/06/04	average	178.00417	Pacific/Auckland	NZ	-38.65333
01/24/2014, 00:00:00	excellent	100.48528	Asia/Bangkok	TH	14.37395
11/12/2014, 00:00:00	excellent	77.9129	Asia/Kolkata	IN	25.6439
22 Aug 2014	average	9.22796	Europe/Berlin	DE	48.46458
07/16/2013, 00:00:00	accep	-68.30472	America/Caracas	VE	9.91861
2022-07-16	good	-103.42897	America/Mexico_City	MX	20.28527
07 Oct 2012	good	84.63445	Asia/Kolkata	IN	24.81757
2021-02-24	average	-91.11667	America/Guatemala	GT	14.93333
31 Oct 2013	accep	-42.29444	America/Fortaleza	BR	-4.24444
24 Apr 2014	accep	9.37082	Africa/Tunis	TN	36.08497
2021/06/10	building	6.9747	Europe/Berlin	DE	50.82709
12/14/2012, 00:00:00	excellent	-104.83192	America/Denver	US	39.72943
2013/03/17	good	-87.71255	America/Chicago	US	41.84364
2022/03/13	average	-81.24441	America/Havana	CU	23.15678
02/16/2020, 00:00:00	average	150.99292	Australia/Sydney	AU	-33.75881
2013/04/12	good	7.02238	Europe/Berlin	DE	52.21099
02/13/2016, 00:00:00	accep	-81.79819	America/New_York	US	41.48199
2015/03/02	good	-0.59543	Europe/Paris	FR	44.80477
08/30/2021, 00:00:00	average	-87.65644	America/Chicago	US	41.80753
12 May 2013	excellent	33.34864	Europe/Kiev	UA	46.75451
2015/01/18	excellent	-82.07842	America/New_York	US	26.91756
07 May 2017	average	79.87116	Asia/Colombo	LK	6.84019
07/11/2017, 00:00:00	average	-0.76773	Europe/Madrid	ES	38.38479
06/26/2019, 00:00:00	maintenance	-86.77917	America/Chicago	US	36.02506
05 Feb 2022	accep	-89.71472	America/El_Salvador	SV	13.73417
2021-05-31	good	-2.1875	Europe/London	GB	51.26
2013-04-29	average	-119.48568	America/Vancouver	CA	49.88307
2017/01/27	good	-41.25528	America/Sao_Paulo	BR	-19.32556
2018/02/19	good	-1.06667	Europe/London	GB	53.78333
17 Oct 2012	excellent	109.05389	Asia/Jakarta	ID	-7.51611
2018-05-07	excellent	9.20427	Europe/Berlin	DE	48.49144
2013-05-11	accep	-60.1831	America/Glace_Bay	CA	46.1351
2019/06/02	average	119.58627	Asia/Taipei	TW	23.5654
2016-11-04	accep	81.54855	Asia/Kolkata	IN	26.2649
06/08/2017, 00:00:00	average	56.36091	Asia/Yekaterinburg	RU	51.78771
2015-02-19	average	130.94098	Asia/Tokyo	JP	33.3213
02/19/2015, 00:00:00	building	-77.96389	America/New_York	US	39.45621
2020-11-16	maintenance	-105.11221	America/Denver	US	39.57582
2013/08/02	excellent	8.61839	Europe/Berlin	DE	49.68369
2021-08-17	excellent	33.72798	Europe/Moscow	RU	53.53395
07/14/2014, 00:00:00	accep	88.58	Asia/Kolkata	IN	23.18
02 Sep 2021	good	-85.76942	America/Indiana/Indianapolis	US	39.78504
2017-08-02	good	38.2739	Europe/Moscow	RU	46.7055
2020/09/07	good	78.95693	Asia/Kolkata	IN	29.21399
26 Sep 2013	good	-78.19444	America/New_York	US	38.91817
15 Aug 2017	excellent	-71.06616	America/New_York	US	42.4251
08/12/2022, 00:00:00	accep	34.75699	Asia/Jerusalem	IL	31.39547
2013/12/12	excellent	13.10984	Europe/Berlin	DE	51.30001
08 Jun 2019	accep	38.15035	Europe/Zaporozhye	UA	49.41029
30 Jan 2016	average	102.3278	Asia/Kuala_Lumpur	MY	2.2139
2021-12-27	accep	-117.79394	America/Los_Angeles	US	33.76446
12/23/2016, 00:00:00	good	83.62389	Asia/Barnaul	RU	53.30972
2018-02-25	good	-3.05814	Europe/London	GB	53.00974
2016-12-23	excellent	-43.80139	America/Sao_Paulo	BR	-20.25333
2016-04-09	accep	51.0193	Asia/Tehran	IR	35.6803
2021/02/24	maintenance	70.91106	Asia/Karachi	PK	29.38242
2016-08-04	average	-6.90656	Africa/Casablanca	MA	33.92866
2019-09-02	average	138.31667	Asia/Tokyo	JP	36.65
2017/04/27	accep	42.54536	Africa/Mogadishu	SO	-0.35817
2014/02/23	excellent	135.31667	Asia/Tokyo	JP	34.25
2015-12-27	good	137.95378	Asia/Tokyo	JP	35.82756
05/25/2015, 00:00:00	acceptable	111.50861	Asia/Shanghai	CN	32.54278
01/29/2013, 00:00:00	excellent	35.7	Africa/Dar_es_Salaam	TZ	-7.76667
2019-06-09	good	120.89694	Asia/Manila	PH	14.95472
07/03/2019, 00:00:00	good	71.52847	Asia/Karachi	PK	32.57756
04/19/2013, 00:00:00	excellent	-116.97725	America/Los_Angeles	US	33.92946
18 Apr 2022	accep	35.34722	Africa/Maputo	MZ	-23.85972
12 Dec 2015	excellent	105.89333	Asia/Shanghai	CN	34.56861
2019/01/09	accep	2.31889	Africa/Algiers	DZ	35.21222
2017/09/11	building	8.55552	Europe/Rome	IT	40.72586
2014-06-21	good	42.7125	Africa/Djibouti	DJ	11.15583
13 May 2014	accep	13.58357	Africa/Libreville	GA	-1.63333
20 Nov 2015	maintenance	19.61222	Europe/Belgrade	RS	44.97639
07/05/2015, 00:00:00	average	-38.94722	America/Bahia	BR	-15.675
2020-02-20	average	35.23388	Asia/Hebron	PS	31.78336
2016/04/12	accep	-77.96389	America/New_York	US	39.45621
05/17/2020, 00:00:00	good	65.93249	Asia/Kabul	AF	36.21544
2019/11/25	good	69.01354	Asia/Dushanbe	TJ	38.55632
03/20/2022, 00:00:00	average	84.87144	Asia/Almaty	KZ	47.46657
08/17/2013, 00:00:00	building	37.55	Africa/Addis_Ababa	ET	6.03333
2020-06-10	good	5.4584	Europe/Paris	FR	43.32393
07 Aug 2021	good	120.56528	Asia/Manila	PH	14.66
2020/03/24	maintenance	-122.23484	America/Los_Angeles	US	47.38093
15 Jun 2013	excellent	40.17171	Europe/Moscow	RU	58.1908
10/03/2012, 00:00:00	good	-47.53028	America/Sao_Paulo	BR	-22.45667
05 Oct 2017	excellent	-0.76773	Europe/Madrid	ES	38.38479
2016/04/19	average	3.20639	Europe/Brussels	BE	50.74497
2020-09-21	excellent	84.63445	Asia/Kolkata	IN	24.81757
11/30/2018, 00:00:00	building	9.15214	Europe/Berlin	DE	49.97704
10/03/2017, 00:00:00	building	28.28489	Europe/Chisinau	MD	48.15659
2012/11/19	excellent	-82.32483	America/New_York	US	29.65163
09 May 2014	accep	114.33333	Asia/Jakarta	ID	-8.43333
04/05/2013, 00:00:00	excellent	-41.25528	America/Sao_Paulo	BR	-19.32556
03/24/2020, 00:00:00	good	-86.57415	America/Tegucigalpa	HN	15.48131
05 Mar 2017	accep	112.01667	Asia/Jakarta	ID	-7.81667
2022-09-20	good	-72.09391	America/Port-au-Prince	HT	18.65297
04/05/2017, 00:00:00	average	111.73861	Asia/Shanghai	CN	35.20889
2019/05/22	excellent	-79.00453	America/Guayaquil	EC	-2.90055
2021/07/22	average	-103.42897	America/Mexico_City	MX	20.28527
28 Feb 2017	accep	-95.30106	America/Chicago	US	32.35126
03/29/2021, 00:00:00	maintenance	18.84	Europe/Podgorica	ME	42.28639
12/16/2015, 00:00:00	good	17.8031	Europe/Bratislava	SK	48.43174
07/07/2015, 00:00:00	average	-86.57415	America/Tegucigalpa	HN	15.48131
2017/08/27	excellent	14.72443	Europe/Rome	IT	36.92574
2020-01-13	building	-113.3187	America/Edmonton	CA	53.51684
15 Dec 2018	good	4.47124	Europe/Amsterdam	NL	51.95838
01/01/2015, 00:00:00	excellent	107.60627	Asia/Irkutsk	RU	51.82721
07 Apr 2022	average	-82.90375	America/New_York	US	32.54044
2014-03-03	good	-73.26022	America/Bogota	CO	6.46838
02/28/2017, 00:00:00	average	14.39024	Europe/Rome	IT	42.22718
2021-07-05	maintenance	36.36339	Africa/Nairobi	KE	0.03813
23 Feb 2017	accep	0.47713	Europe/London	GB	51.39323
