warning	PAHs	H2CO	O3	CO	SO2	NOx	Pb	TEMP	PM2.5	C2H3NO5	CFCs	latitude	PRES	longitude	PM10	NH3	CH4
1.00000	9.23541	26.94321	8.70913	7.28918	4.89876	6.90697	42.84339	17.04447	7.75887	0.21954		24.81757	1125.15182	84.63445	7.53782	6.51017	6.43246
0.00000	4.47233	43.36903	5.21506	7.06868	6.91694	7.89390	67.44669	-1.05516	10.33459	0.25928	55.95848	-31.95224	1148.25533	115.8614	7.48959	8.46354	7.40144
1.00000	8.26307	56.42334	5.87433	7.99088	6.21487	6.29555	42.13380	15.15545	8.68216	0.74108	81.36718	-31.95224	1106.36544	115.8614	9.13546	9.85373	6.10658
1.00000	6.12850	62.32771	7.30014	5.11950	8.19973	6.72582	35.32242	12.33512	7.43980	0.22496	77.97653	53.83333	1143.63729	-2.98333	7.29663	7.82736	9.82558
1.00000	8.13662	70.36534	5.44514	7.05352	9.32931	6.07808	60.23275	3.05979	8.59503	1.28636	76.21557	49.41029	1174.35791	38.15035	9.68952	6.84083	8.01033
1.00000	7.13404	42.19695	6.73332	4.89396	7.59747	8.73788	62.26899	18.54729	7.95040	0.36703	71.86002	-25.54073	1054.21321	152.70493	7.96086	6.81400	6.13248
1.00000	4.81272		4.96811	6.86064	2.46197	8.15657	43.57343	1.34155	6.95851	0.19102	73.46259	55.8736	1079.55926	85.4265	7.12352	5.92618	8.30106
0.00000	10.19194	30.52643	7.65652	5.95595	7.65593	7.69830	29.49901	6.98840	6.44806	0.24496	66.24156	20.14298	1182.86341	-77.43532	6.60121	5.68591	7.41736
1.00000	3.12154	61.98927	6.55866	7.70295	10.02440	6.37683	34.75753	24.27938	5.89682	0.27980	75.60841	45.99194	1164.68300	29.41824	7.22035	10.79928	6.93454
1.00000	3.36028	47.14775	6.30574	8.13196	9.19087	8.11116	51.09552	18.37483	5.79583	0.29995	64.34229	53.53041	1062.17501	43.67663	7.52533	10.44168	7.65562
0.00000	6.54132	45.18043	6.98241	6.93406	9.22589	7.88365	42.10038	13.71648	6.28863	0.17553	72.57572	19.8173	1055.20193	-97.35992	5.95021	5.20130	7.98002
