code	QoS	location	latitude	longitude	revision
ES	average	Atlantic/Canary	27.76056	-15.58602	02 Mar 2021
JP	good	Asia/Tokyo	35.815	139.6853	2022/09/14
RU	good	Asia/Yekaterinburg	58.7002	59.4839	18 Nov 2016
MG	excellent	Indian/Antananarivo	-19.65	47.31667	02/02/2017, 00:00:00
BR	good	America/Fortaleza	-4.16694	-40.7475	2021/05/05
BD	excellent	Asia/Dhaka	22.83957	91.84128	31 Oct 2013
US	accep	America/New_York	25.67927	-80.31727	05/26/2018, 00:00:00
GB	excellent	Europe/London	53.83333	-2.98333	2021/06/24
IL	maintenance	Asia/Jerusalem	31.92923	34.86563	2013-10-17
SY	accep	Asia/Damascus	34.5624	38.28402	03/19/2019, 00:00:00
FR	good	Europe/Paris	45.73333	4.91667	13 May 2014
US	accep	America/Los_Angeles	33.03699	-117.29198	11/23/2016, 00:00:00
BW	excellent	Africa/Gaborone	-21.44236	27.46153	2016/02/24
NG	maintenance	Africa/Lagos	4.92675	6.26764	06 Feb 2017
CA	accep	America/Halifax	46.23899	-63.13414	09/02/2019, 00:00:00
BE	maintenance	Europe/Brussels	51.12794	4.21372	2021-02-25
IT	accep	Europe/Rome	40.87363	14.34085	2014-09-20
GB	excellent	Europe/London	53.7446	-0.33525	15 Mar 2015
BR	excellent	America/Maceio	-10.90889	-37.03861	2021/10/09
LK	average	Asia/Colombo	6.84019	79.87116	2020/11/26
PA	excellent	America/Panama	8.88988	-79.62603	2013/07/15
IR	average	Asia/Tehran	36.64852	51.49621	12 Feb 2022
PH	good	Asia/Manila	10.20898	123.758	29 Aug 2019
ID	excellent	Asia/Makassar	-1.26753	116.82887	04/20/2018, 00:00:00
ES	accep	Europe/Madrid	41.15612	1.10687	2015-08-08
JP	maintenance	Asia/Tokyo	37.56667	140.11667	17 Jan 2020
CN	excellent	Asia/Shanghai	24.28859	116.11768	2012/10/23
IN	average	Asia/Kolkata	18.87813	72.93924	12/18/2014, 00:00:00
JP	excellent	Asia/Tokyo	35	136.51667	05/06/2021, 00:00:00
PL	accep	Europe/Warsaw	51.14942	15.00835	06/24/2015, 00:00:00
JM	average	America/Jamaica	18.00747	-76.78319	2017-12-13
GB	maintenance	Europe/London	53.49389	-1.29243	2021-04-15
US	accep	America/Los_Angeles	32.9156	-117.14392	2021-03-18
AR	good	America/Argentina/Buenos_Aires	-34.64966	-58.38341	08/19/2017, 00:00:00
IN	good	Asia/Kolkata	14.62072	74.83554	14 Sep 2019
DE	maintenance	Europe/Berlin	49.68369	8.61839	20 Feb 2017
PL	average	Europe/Warsaw	54.58048	16.86194	20 Jun 2022
RU	good	Europe/Moscow	43.35071	46.10925	08/25/2016, 00:00:00
AR	good	America/Argentina/Buenos_Aires	-34.64167	-60.47389	09/01/2013, 00:00:00
IN	maintenance	Asia/Kolkata	26.2649	81.54855	2014/07/06
US	average	America/New_York	33.54428	-84.23381	12/30/2013, 00:00:00
IT	excellent	Europe/Rome	45.53069	9.40531	08/25/2016, 00:00:00
BR	good	America/Sao_Paulo	-22.92306	-53.13722	16 Nov 2016
US	good	America/Los_Angeles	33.92946	-116.97725	05/24/2015, 00:00:00
IN	accep	Asia/Kolkata	17.34769	78.55757	2018/05/15
AT	accep	Europe/Vienna	48.25	16.4	12/13/2020, 00:00:00
US	maitennce	America/New_York	34.06635	-84.67837	22 Mar 2018
IN	maintenance	Asia/Kolkata	28.92694	78.23456	2019/07/20
FI	excellent	Europe/Helsinki	60.2052	24.6522	2017/12/12
GB	accep	Europe/London	53.00974	-3.05814	28 Mar 2019
