CO	CFCs	warning	Pb	C2H3NO5	PAHs	PM2.5	latitude	NH3	PRES	longitude	CH4	PM10	NOx	SO2	O3	H2CO	TEMP
8.17511	41.10454	1.00000	46.02570	0.15431	7.36886	7.34338	41.72059	6.36312	1199.03303	-87.70172	6.83852	6.31008	7.61832	11.33241	9.37285	57.52349	11.99558
7.76967	20.63834	0.00000	19.30299	0.25802	8.11385	8.96442	-38.16604	8.09173	1052.57356	145.13643	6.88112		8.53889	9.00714	7.66253	41.53227	24.76723
10.68041	36.33693	0.00000	57.34081	1.96559	8.42846	7.22391	-3.74912	8.17033	1159.75022	-73.25383	9.77234	10.42579	7.76318	12.36253	11.07133	48.17642	7.38507
4.62062	52.83575	1.00000	38.62805	2.14022	9.13614	8.52763	51.62907	6.45955	1082.81889	-0.74934	8.90886	10.52643	4.51970	6.79695	6.58047	46.00512	17.84678
10.63086	74.42175	1.00000	56.95747	0.18307	7.80625	4.99368	51.47805	5.57841	1070.15151	6.8625	7.66676	7.44744	9.10963	9.63230	7.51271	74.09915	26.28704
9.59549	70.56413	1.00000	71.25521	0.14493	7.80580	10.43021	-7.76667	8.18730	1093.49307	35.7	8.78449	6.96036	7.35144	7.44258	6.28421	30.55582	19.75486
6.45681	21.51781	0.00000	34.44501	0.14583	8.12541	6.50420	36.61954	5.11420	1129.79549	4.08282	8.96589	7.19863	8.73807	4.63340	10.18196	42.91584	8.13917
10.10189	72.33293	0.00000	15.15102	1.30265	8.97944	9.14784	33.14447	7.59225	1091.91034	47.3799	8.74649	10.01021	6.33594	9.54252	12.82803	45.54880	8.88644
7.80522	36.19247	1.00000	68.16209	0.06494	8.16518	6.63857	29.38242	5.79918	1184.51681	70.91106	7.27768	4.12533	9.57546	5.14077	7.47840	12.46493	11.70534
12.28109	35.49864	0.00000	50.46287	1.32746	7.33551	5.63828	7.62789	8.80321	1106.11887	4.74161	7.25115	9.97757	7.13779	10.46261	12.17247	88.01932	16.05271
6.63405	63.45920	1.00000	42.54870	0.78533	7.95573	7.91007	33.54428	4.53702	1157.57750	-84.23381	8.24595	9.39525	7.47349	9.17802	10.46744	45.09745	3.01338
7.62855	51.65235	1.00000	48.29472	0.13711	7.84279	6.49478	24.81757	4.06725	1185.38983	84.63445	5.70608	6.75883	7.12676	10.44326	9.18698	55.55926	23.25127
9.24267	54.04044	0.00000	65.18997	0.10983	9.75744	7.94598	48.8765	8.89489	1063.86203	2.18967	7.55209	6.81135	8.99092	9.33314	11.08994	74.48418	14.69058
7.27300	40.65778	0.00000		0.30287	6.78899	8.11307	-38.65333	8.06504	1158.35799	178.00417	10.13472	8.16385	8.72001	8.83344	10.14598	45.05226	21.49325
10.37296	62.23745	1.00000	35.56788	0.17866	8.56699	7.43858	40.67705	3.65501	1154.52625	-73.89125	8.53511	7.44267	8.90753	8.86297	6.65955	43.66150	5.24359
4.89463	36.66152	1.00000	46.90999	7.71136	7.16432	7.58640	-8.05389	5.10661	1190.74826	-34.88111	8.42355	11.83238	6.81202	7.04064	10.48896	58.99464	14.68581
6.76060	39.97197	0.00000	64.60226	4.55176	6.88435	7.03080	8.62261	9.35143	1065.21405	-70.20749	9.68534	11.30827	10.97858	9.44191	7.00819	61.35929	2.64643
10.61576	47.17582	1.00000	60.82604	1.09820	7.36605	6.92416	14.62578	7.94003	1073.55425	121.12251	6.20164	9.79564	5.78060	5.59400	2.51182	58.12408	9.48517
8.55341	63.89875	1.00000	41.42273	0.16369	6.55915	7.22168	59.37722	7.63150	1097.53014	28.19028	9.64080	6.71600	6.57587	5.55249	4.99590	79.15897	2.46070
8.16653	52.39210	1.00000	62.09584	0.09119	8.71312	9.70749	-28.44917	3.71770	1061.93340	-52.2	8.53422	4.58298	7.23196	7.00265	7.02293	29.41397	10.55431
5.52020	59.20795	1.00000	42.11198	0.48093	7.87506	7.97069	51.64316	8.06657	1098.24723	-0.36053	7.56987	8.84114	8.05563	8.56393	10.16427	35.23988	24.68181
5.64757	53.74190	1.00000	54.21753	0.93930	8.70290	8.05161	59.33333	6.90245	1096.86985	18.28333	7.53155	9.60305	5.26211	8.06990	7.42886	75.60706	20.30872
8.00188	36.33094	0.00000	34.51707	0.63036	8.50168	8.52264	51.26	9.06283	1078.12620	-2.1875	9.04087	9.14413	9.25985	7.71346	8.02427	42.05399	10.59451
7.37887	59.97828	1.00000	35.69588	0.17520	8.57087	7.97021	38.37255	4.89919	1157.04352	34.02537	9.81882	6.82233	7.99045	10.34600	10.33037	49.93794	37.77166
8.24208	46.54497	0.00000	36.51876	1.27396	7.54205		25.75728	5.31159	1100.74373	75.37991	8.52447	9.98238	8.56351	5.93674	10.88207	60.62738	2.16263
7.10908	30.48868	1.00000	32.99706	0.64646	6.81843	8.05142	23.5654	6.66122	1125.98952	119.58627	8.50380	9.25069	5.44120	9.48140	8.49906	54.73340	18.66304
8.04747	60.25386	0.00000	49.20345	0.60442	7.82379	7.16620	24.81757	10.17330	1173.01161	84.63445	8.45935	9.17989	11.01124	8.13576	8.38044	59.83243	10.92569
8.79380	47.74317	0.00000	23.41029	2.14776	8.53946	9.78232	6.45407	8.83183	1125.46921	3.39467	9.36976	10.50965	8.75805	8.91697	9.12583	46.66195	16.35490
5.47074	31.84685	1.00000	49.35784	1.21322	8.05930	5.52754	38.54491	7.80431	1192.82763	-121.74052	7.96136	9.94627	6.53339	8.08132	9.09503	70.72688	18.25786
8.80786	67.12886	1.00000	33.34852	0.10374	7.91880	7.58653	48.35149	5.77507	1089.43985	8.96317	7.85572	5.76105	10.15746	6.24895	7.14091	41.13344	19.36502
7.30227	27.53150	0.00000	48.07359	0.23114	6.95405	7.52938	14.53767	6.76586	1137.16025	46.83187	7.80687	7.58933	10.68700	6.21196	9.15299	89.36139	-2.99819
8.23062	40.28438	1.00000	37.36410	0.13988	6.85826	7.11586	17.94979	6.06675	1083.65675	-94.91386	8.57310	5.23750	7.03819	5.72462	6.07905	42.01417	14.93373
6.28810	42.48557	0.00000	49.57978	1.60821	7.41796	7.99140	39.32288	5.74167	1085.01214	-76.72803	9.78559	10.23836	7.90899	7.61464	9.15365	45.61634	31.14831
6.67332	28.06724	1.00000	43.45803	0.12796	5.75837	7.57074	42.30865	7.78045	1191.40088	-83.48216	9.64011	4.03521	8.95304	3.56449	6.71497	59.04021	15.52913
