longitude	station	location	latitude	QoS	revision
33.2525	Valday	Europe/Moscow	57.97472	accep	11/01/2021, 00:00:00
124.84472	Maasin	Asia/Manila	10.13361	excellent	2018-02-13
136.61667	Nonoichi	Asia/Tokyo	36.53333	accep	07/13/2020, 00:00:00
99.1625	Tebingtinggi	Asia/Jakarta	3.3285	accep	05/01/2018, 00:00:00
76.56719	Aklera	Asia/Kolkata	24.41288	good	06/23/2020, 00:00:00
14.72443	Ragusa	Europe/Rome	36.92574	good	2015-03-28
15.07041	Catania	Europe/Rome	37.49223	excellent	23 Jun 2014
-80.58556	Corralillo	America/Havana	22.98212	good	11/14/2020, 00:00:00
137.36215	Namerikawa	Asia/Tokyo	36.75965	average	09/03/2021, 00:00:00
140.73667	Hakodate	Asia/Tokyo	41.77583	accep	01/03/2016, 00:00:00
145.13643	Frankston South	Australia/Melbourne	-38.16604	excellent	2022-08-26
-95.63079	Palestine	America/Chicago	31.76212	good	2021-08-27
14.34085	Volla	Europe/Rome	40.87363	maintenance	05/08/2017, 00:00:00
12.19458	Biu	Africa/Lagos	10.61285	building	08 Jun 2015
79.82979	Puducherry	Asia/Kolkata	11.93381	good	05/04/2018, 00:00:00
-100.44843	Santa Rosa Jauregui	America/Mexico_City	20.74122	good	14 May 2014
-68.30472	Tinaquillo	America/Caracas	9.91861	average	2021-11-12
15.00835	Zgorzelec	Europe/Warsaw	51.14942	good	03 Jun 2022
8.96317	Hechingen	Europe/Berlin	48.35149	average	2018/05/07
6.8625	Oberhausen	Europe/Berlin	51.47805	average	10 May 2022
-102.04897	Paracho de Verduzco	America/Mexico_City	19.64745	accep	03/17/2019, 00:00:00
-71.08977	Taunton	America/New_York	41.9001	average	30 Sep 2015
-122.23484	Kent	America/Los_Angeles	47.38093	excellent	11 Feb 2022
71.30633	Kundla	Asia/Kolkata	21.34222	average	02/10/2020, 00:00:00
3.16667	Wevelgem	Europe/Brussels	50.8	average	2018-02-12
120.74792	Nanpiao	Asia/Shanghai	41.09822	average	28 Oct 2014
116.11768	Meizhou	Asia/Shanghai	24.28859	average	2019-04-23
10.7	Tonga	Africa/Douala	4.96667	good	2014-08-17
120.14278	Jiangyan	Asia/Shanghai	32.50611	average	05/03/2019, 00:00:00
-73.99681	Dumont	America/New_York	40.94065	maintenance	05 Nov 2021
47.1192	Buynaksk	Europe/Moscow	42.819	maintenance	29 Jun 2016
103.65309	Roi Et	Asia/Bangkok	16.0567	excellent	2022/08/19
-77.43532	Media Luna	America/Havana	20.14298	excellent	2020/10/31
-1.64295	Segundo Ensanche	Europe/Madrid	42.8139	accep	2020/09/07
75.92694	Davangere	Asia/Kolkata	14.46693	excellent	10 Sep 2016
-73.47429	Massapequa	America/New_York	40.68066	average	12 Apr 2013
13.31783	Hermsdorf	Europe/Berlin	52.61131	maintenance	11/29/2016, 00:00:00
-80.31727	Kendall	America/New_York	25.67927	acceptable	28 Feb 2016
83.62389	Novosilikatnyy	Asia/Barnaul	53.30972	accep	06/09/2020, 00:00:00
7.2278	Bad Honnef	Europe/Berlin	50.64336	maintenance	2013-01-09
79.87116	Dehiwala-Mount Lavinia	Asia/Colombo	6.84019	good	2020-11-15
-119.48568	Kelowna	America/Vancouver	49.88307	accep	03/09/2014, 00:00:00
-95.44744	Fresno	America/Chicago	29.53885	maintenance	2021/07/05
-84.23381	Stockbridge	America/New_York	33.54428	building	2014/12/16
85.94001	Teghra	Asia/Kolkata	25.49043	good	2017-07-02
-3.05	Blackpool	Europe/London	53.81667	accep	07/02/2021, 00:00:00
-117.29198	Encinitas	America/Los_Angeles	33.03699	accep	04/18/2015, 00:00:00
37.00438	Kidodi	Africa/Dar_es_Salaam	-7.60361	excellent	2015-09-21
153.10236	Carindale	Australia/Brisbane	-27.50578	accep	03 Jul 2018
14.39024	Lanciano	Europe/Rome	42.22718	maintenance	2020/06/23
-1.325	Jumilla	Europe/Madrid	38.47917	good	06/07/2017, 00:00:00
78.25795	Tiruppuvanam	Asia/Kolkata	9.82564	good	26 Apr 2013
-74.28459	Woodbridge	America/New_York	40.5576	average	2019/08/22
-122.40433	Visitacion Valley	America/Los_Angeles	37.71715	average	2016-05-10
35.7	Iringa	Africa/Dar_es_Salaam	-7.76667	average	02/18/2015, 00:00:00
-73.78458	Scarsdale	America/New_York	41.0051	average	04/25/2014, 00:00:00
