PAHs	NOx	Pb	warning	latitude	SO2	CH4	CFCs	PM10	longitude	NH3	C2H3NO5	O3	CO	PRES	PM2.5	H2CO	TEMP
8.23699	8.73214	51.38489	1.00000	18.51957	8.59557	8.48444	71.16057	7.05826	73.85535	5.74674	1.38434	10.71631	10.67003	1176.67747	8.90893	64.53269	10.84428
8.92431	8.40643	34.87070	1.00000	-17.73648	8.38934	11.04127	71.09701	6.93095	168.31366	9.14383	1.12568	9.67768	8.99802	1180.47371	10.78084	66.51618	20.99000
9.19913	7.38634	60.56205	1.00000	33.7207	8.46404	9.40699	59.42089	8.09311	-116.21677	6.50168	1.90150	6.32351	12.22066	1133.17346	10.04486	41.66809	14.71941
7.06849	8.53178	47.32159	1.00000	34.81667	7.38443	12.26391	76.54990	7.92139	137.4	9.09235	1.57690	11.43694	9.86656	1058.40432	5.77183	51.97274	-7.43578
8.17714	10.03855	46.51615	1.00000	-23.44361	8.02616	9.72499	75.61363	8.19948	-51.87389	7.39399	2.15368	9.78443	9.33272	1051.31717	11.21478	49.16167	14.79202
9.48017	9.48696	22.69005	1.00000	33.4425	9.13273	10.88618	83.93440	6.20840	129.96972	10.78368	0.94047	12.48539	7.63868	1095.08342	8.60429	54.32497	19.43259
8.82240	8.55437	51.15582	1.00000	9.82564	7.61090	9.74370	81.43827	8.45721	78.25795	8.65587	2.70862	8.29960	6.65212	1116.21801	6.16670	59.65207	15.14702
10.11098	9.95291	73.34386	0.00000	-3.74912	7.96247	4.51744	85.46172	5.65310	-73.25383	4.24289	0.73554	8.03960	7.84980	1089.55005	12.83534	58.32218	22.40137
7.67063	8.29358	11.86191	1.00000	26.68451	8.36148	9.52821	75.85446	9.25811	-80.66756	10.33044	5.27451	8.67233	5.86846	1088.79496	7.66661	66.54191	10.24564
8.60862	9.33652	27.36003	1.00000	27.52948	9.42420	9.51918	63.76938	6.54702	68.75915	7.84807	0.88410	10.26753	10.04153	1053.61989	9.99583	26.73083	-5.81897
9.26828	7.99227	62.25316	0.00000	-23.7975	8.97621	9.15330	74.94331	6.86829	-48.59278	6.46938	1.27546	9.59163	9.43960	1075.67373	10.27906	51.78008	7.53523
9.68986	8.88939	73.11642	0.00000	54.90083	8.78710	9.29685	60.86603	5.14296	38.07083	5.96802	0.56378	9.99165	11.80159	1084.88260	10.58640	59.51460	18.39105
7.91847	9.15152	49.27737	1.00000	-10.33333	8.41943	10.30614	74.55622	7.93922	39.28333	6.53033	1.75548	10.17338	9.35610	1093.60246	10.32569	27.30888	12.65714
9.46612	9.36914	43.10604	1.00000	-33.75881	9.54013	8.37947	70.51434	8.14592	150.99292	5.83509	2.54975	9.00989	11.02342	1104.59920	10.40861	56.05010	6.35034
7.18098	10.22374	24.88001	1.00000	42.52787	8.31931	8.55347	78.09785	5.77650	-70.92866	6.65267	0.57650	12.89534	9.59015	1067.54661	9.10845	62.55935	9.12099
