revision	station	longitude	latitude	QoS	location
2018/03/23	Hasilpur	72.54566	29.69221	good	Asia/Karachi
03/27/2015, 00:00:00	Zeist	5.23333	52.09	excellent	Europe/Amsterdam
2014-09-21	Elamanchili	82.85749	17.54907	maintenance	Asia/Kolkata
12/26/2020, 00:00:00	Zhuangyuan	120.82747	37.30553	accep	Asia/Shanghai
2013-03-17	American Canyon	-122.2608	38.17492	building	America/Los_Angeles
03/28/2014, 00:00:00	Palestine	-95.63079	31.76212	building	America/Chicago
2017-06-19	Brierley Hill	-2.12139	52.48173	accep	Europe/London
13 May 2014	Carnegie	145.06667	-37.88333	good	Australia/Melbourne
03 Nov 2019	Sillanwali	72.54064	31.82539	accep	Asia/Karachi
2022/04/27	Bavly	53.26023	54.39304	excellent	Europe/Moscow
2013/03/12	Corralillo	-80.58556	22.98212	good	America/Havana
2019-06-17	Ilesa	4.74161	7.62789	building	Africa/Lagos
09/08/2020, 00:00:00	El Achir	4.62744	36.06386	average	Africa/Algiers
09/09/2017, 00:00:00	Itacoatiara	-58.44417	-3.14306	excellent	America/Manaus
2020-05-02	Gaziantep	37.3825	37.05944	maitennce	Europe/Istanbul
11/14/2018, 00:00:00	Andijon	72.34424	40.78206	average	Asia/Tashkent
2021-08-26	Lanciano	14.39024	42.22718	average	Europe/Rome
17 Jan 2015	Iringa	35.7	-7.76667	maintenance	Africa/Dar_es_Salaam
08/03/2014, 00:00:00	Miracema	-42.19667	-21.41222	excellent	America/Sao_Paulo
2013/08/17	Maspalomas	-15.58602	27.76056	building	Atlantic/Canary
08 Sep 2016	Paoy Paet	102.56365	13.65805	building	Asia/Phnom_Penh
07 Dec 2017	Davangere	75.92694	14.46693	accep	Asia/Kolkata
2020-02-11	Tonota	27.46153	-21.44236	good	Africa/Gaborone
03/21/2013, 00:00:00	Boumerdas	3.47717	36.76639	average	Africa/Algiers
12/15/2021, 00:00:00	Tudela	-1.60452	42.06166	good	Europe/Madrid
2022/06/23	Andes	-75.87877	5.6561	average	America/Bogota
2014/03/24	Leland	-78.04471	34.25628	accep	America/New_York
04 Aug 2021	Zhoushan	122.20488	29.98869	maitennce	Asia/Shanghai
2019-11-19	Afragola	14.30935	40.92298	good	Europe/Rome
2015-05-13	Porterville	-119.01677	36.06523	accep	America/Los_Angeles
07/30/2022, 00:00:00	Paracho de Verduzco	-102.04897	19.64745	average	America/Mexico_City
2017-03-29	Segundo Ensanche	-1.64295	42.8139	average	Europe/Madrid
2022-08-13	Teziutlan	-97.35992	19.8173	building	America/Mexico_City
11/18/2019, 00:00:00	Elamanchili	82.85749	17.54907	excellent	Asia/Kolkata
2022/01/05	Kyaikto	97.01124	17.30858	average	Asia/Yangon
2016/08/10	Pingyi	117.63083	35.50056	accep	Asia/Shanghai
11 Jul 2016	Cuenca	-79.00453	-2.90055	accep	America/Guayaquil
2015/08/30	Kingston upon Hull	-0.33525	53.7446	good	Europe/London
2016/01/22	Toyokawa	137.4	34.81667	good	Asia/Tokyo
2014-03-17	Bobigny	2.45012	48.90982	average	Europe/Paris
01 Aug 2016	Supaul	86.59509	26.11527	building	Asia/Kolkata
2018/12/01	Kampung Ayer Molek	102.3278	2.2139	average	Asia/Kuala_Lumpur
2017-01-09	Puertollano	-4.10734	38.68712	accep	Europe/Madrid
2022-06-10	Segundo Ensanche	-1.64295	42.8139	average	Europe/Madrid
2017-09-11	Goyang-si	126.835	37.65639	accep	Asia/Seoul
24 Jan 2016	Pingyi	117.63083	35.50056	maintenance	Asia/Shanghai
2020-02-26	Glendale	-118.25508	34.14251	excellent	America/Los_Angeles
10/10/2016, 00:00:00	Dumont	-73.99681	40.94065	excellent	America/New_York
2019/08/03	Zaozhuang	117.55417	34.86472	building	Asia/Shanghai
