SO2	H2CO	PM2.5	TEMP	CFCs	NOx	PRES	warning	longitude	CO	Pb	O3	latitude	PAHs	C2H3NO5	PM10	NH3	CH4
9.51360	41.03282	6.50135	32.66476	71.89902	6.79071	1199.30802	0.00000	43.91385	10.87723	63.33747	10.13093	54.03876	9.35377	1.78025	7.94316	7.02427	4.87523
9.63498	27.94358	5.27514	4.33890	64.02148	6.37953	1068.23987	1.00000	113.69785	7.40407	43.54337	9.45201	-7.73379	9.40390	1.35284	7.51350	9.02908	11.33912
9.78479	28.96943	5.63283	6.54628	71.06672	8.73821	1195.03374	1.00000	14.39024	11.86258	33.50065	7.01922	42.22718	9.52245	0.46365	5.58768	6.30799	10.35857
9.95976	72.05699	6.28657	18.99498	58.38930	7.38700	1180.05312	1.00000	126.28333	9.70606	82.14791	9.36236	45.35	8.23922	4.35737	9.12098	7.55758	3.23723
9.84215	40.02949	7.79799	10.13795	72.36189	7.60453	1181.89445	1.00000	-75.23266	6.40382	78.39028	9.99577	43.1009	7.86029	2.60066	8.34468	9.05060	6.82223
8.30899	39.21632	8.27935	-4.83879	62.13216	8.48795	1055.48412	1.00000	145.13643	8.33936		10.94271	-38.16604	8.62237	1.25949	6.95984	11.01283	8.88764
9.84515	60.05965	8.02369	12.70642	65.35236	8.59568	1063.54903	0.00000	43.2379	10.93720	61.89168	8.33441	50.06	8.63637	0.56077	5.87486	7.88147	9.40834
10.65334	44.67517	4.70581	15.05830	91.58627	9.34739	1084.56615	1.00000	3.16667	9.11998	39.03842	9.44821	50.8	7.24210	0.88918	6.17058	9.57087	5.80670
11.52130	62.54091	5.28951	41.25585	75.67198	6.58284	1058.71528	0.00000	46.04833	8.60710	42.00545	9.06744	51.40944	8.92175	0.81203	5.55411	10.34552	6.37905
8.95884	54.26231	8.99549	15.48333	74.25391	8.61491	1169.02030	1.00000	37.3825	6.09641	63.30696	8.08061	37.05944	8.30134	0.64291	5.53319	9.21685	9.11999
10.04670	68.32399	8.05680	16.13310	70.05964	8.45531	1128.82228	1.00000	-116.21677	8.42875	69.14659	7.73301	33.7207	8.74995	1.37633	7.00684	8.35693	6.23410
10.41348	50.00546	8.16594	-3.15143	63.73248	7.98185	1191.10268	1.00000	-119.01677	8.88598	47.12132	11.09423	36.06523	8.56780	1.43057	6.91124	8.06896	8.29333
9.73161	64.57798	11.03404	21.92423	71.84165	6.96885	1080.49930	0.00000	2.18247	8.55024	73.90958	6.15511	41.41204	9.20269	1.62385	7.93601	10.07470	10.59874
10.36662	67.01864	7.38747	23.90042	82.72146	6.74873	1162.18056	1.00000	2.95924	10.87656	67.75059	9.54921	36.76775	9.51998	1.63076	7.77007	7.68448	9.35709
10.85603	33.61472	8.37599	10.61993	67.02110	9.44753	1178.36847	0.00000	77.9129	6.28984	48.22053	5.38958	25.6439	8.93455	0.54612	5.18355	8.06531	10.11607
8.79469	58.91250	11.20612	18.21007	85.69538	8.43629	1166.89723	0.00000	88.1453	9.91016	64.61168	6.43192	22.4711	7.30242	1.79267	7.98196	10.00801	11.22637
9.44942	24.02027	13.29460	14.76427	62.84980	9.64019	1172.65250	0.00000	78.15794	9.06601	49.52309	8.62905	12.1277	7.01974	18.22282	10.71625	8.48210	13.84248
9.32067	60.90537	9.58342	8.20805	70.86233	6.43115	1070.57851	0.00000	98.6738	8.34746	49.74905	6.63727	3.7278	7.21993	1.19561	6.68524	9.77266	10.50217
9.58129	53.40263	6.18220	27.54870	74.38783	6.40135	1144.02751	0.00000	51.49621	9.63518	41.28780	7.88381	36.64852	8.26458	0.62948	5.64661	9.12563	6.33956
10.26601	54.08885	6.45160	22.72821	73.97385	10.08680	1147.33801	1.00000	-73.58248	8.77430	60.03298	8.83138	45.40008	8.70647	1.02132	7.18308	8.07535	5.89198
11.96378	41.69062	7.59406	21.23290	77.50692	9.66497	1179.12788	1.00000	6.10237	12.95685	52.12406	8.59741	46.18396	8.05886	0.62058	4.49972	7.79319	7.44511
8.21811	41.92208	9.31597	11.82436	89.02352	6.91020	1127.84221	0.00000	-79.00453	6.75891	50.37468	7.01575	-2.90055	8.83575	1.31014	6.93293	7.53299	8.81415
9.97264	41.30836	4.80181	-1.24544	94.93087	8.34471	1192.09437	0.00000	-67.15407	8.09156	50.23721	10.70620	18.42745	7.68614	0.88502	6.15256	9.10879	6.81709
8.49789	43.24597	7.90119	6.30295	73.64632	9.79249	1114.35882	1.00000	1.6	9.24202	41.07366	8.27085	43.11667	8.59690	1.99922	8.19059	7.51582	4.15929
9.61986	51.76920	7.01329	7.14298	69.37212	8.01271	1060.81439	1.00000	2.31889	10.85631	36.17342	10.53252	35.21222	9.48259	0.75514	6.45621	9.07477	9.03400
10.14700	49.00468	8.87049	6.50471	72.62118	8.64490	1170.34940	0.00000	-0.32247	5.48009	80.46015	7.14130	50.82882	7.90427	0.90696	6.36692	9.75748	10.23365
8.63948	38.00841	5.65838	22.18725	91.58617	8.53899	1094.48589	1.00000	-62.64102	7.68721	40.53091	10.49366	8.35122	8.95594	5.15601	9.36052	7.49438	11.80917
8.51401	44.90419	9.64932	9.75195	61.68533	9.29258	1061.57675	0.00000	-1.47217	11.33439	48.84144	8.78921	53.46506	9.78433	2.28143	8.34669	8.70466	5.95701
9.89409	34.68796	8.04872	30.91066	66.91551	9.97647	1183.44787	1.00000	74.3092	6.94162	45.23237	9.66145	33.37526	8.89566	3.59173	8.82954	8.43702	6.09354
10.25635	42.84786	12.08499	7.24770	80.57638	8.73971	1068.15947	0.00000	-117.79394	10.77244	41.43443	5.96589	33.76446	7.10415	4.98827	9.28450	7.94191	11.63374
8.35783	67.17743	5.22341		66.73209	8.41660	1191.68336	0.00000	76.11996	5.84106	46.30436	11.81388	11.12018	8.71528	0.74076	6.26710	8.08838	8.38140
10.02105	36.24825	9.57143	35.08818	73.56610	9.47013	1075.53374	0.00000	15.16554	6.96113	52.64829	7.12264	-4.5833	7.90672	1.69668	7.77575	7.91999	9.48120
11.20092	56.64372	8.32465	8.69370	70.80718	8.75194	1086.91476	1.00000	3.16667	3.86812	54.31568	11.08731	50.8	7.68709	2.70580	8.61273	6.72994	8.66028
10.71162	35.13031	10.56189	3.60309	72.35223	8.24692	1172.51085	0.00000	13.31783	8.68891	71.67730	7.13119	52.61131	7.23558	1.62145	7.60809	6.85932	11.43199
9.89733	60.53799	6.56820	18.80046	80.13697	8.84172	1140.76308	1.00000	-78.19444	9.19601	42.22214	10.48584	38.91817	7.39994	4.09940	9.06535	9.81490	10.54529
9.36726	56.21363	5.69186	28.54470	66.19228	9.94350	1051.88961	1.00000	-79.00453	9.01646	45.26367	9.09206	-2.90055	7.73758	0.86938	6.34065	7.94266	5.93197
8.31210	84.79806	5.43313	14.96856	76.99639	9.89274	1091.51684	1.00000	-39.25	10.53186	47.28513	8.10983	-12.91667	11.19640	0.76440	5.44771	9.31025	5.88354
11.29767	54.20443	6.29435	9.01641	77.47590	9.62776	1166.76424	1.00000	-105.36369	11.30676	52.48313	8.92685	22.49396	9.87292	1.18909	7.44526	7.56545	9.85333
10.32604	24.00417	6.00692	3.49304	67.47063	9.90777	1198.92475	0.00000	10.78222	8.15516	46.62788	9.59723	36.46917	6.49447	0.90515	6.41087	7.27180	6.75328
8.93103	48.29416	8.81118	25.71957	86.21757	8.92371	1113.02855	0.00000	140.73667	6.76664	36.25255	6.99879	41.77583	9.44783	1.26885	6.78264	8.29672	8.14239
10.59894	20.29313	5.46146	6.07778	65.33428	8.86425	1088.25862	0.00000	-80.22588	9.00602	55.26181	9.84435	26.2173	8.26604	1.01984	6.50686	8.27233	5.48999
9.60520	23.58099	7.27469	26.62197	65.78316	8.19256	1142.37728	1.00000	-63.13414	8.78469	59.89440	10.79975	46.23899	8.86651	1.12894	7.14129	6.92423	9.31284
9.10166	42.37658	7.85538	31.88260	64.84040	8.43005	1160.16628	1.00000	137.4	8.32458	54.52881	9.40381	34.81667	8.85018	2.04281	8.15452	9.86377	9.84385
10.05870	25.74778	7.09123	8.78198	64.75991	6.81154	1164.94848	1.00000	24.95034	5.96698	44.91952	9.97419	60.18427	8.97172	1.02042	6.62294	10.23339	8.12030
8.17290	49.42639	7.65744	11.33349	66.35375	8.76790	1162.65659	1.00000	-78.19444	7.61017	51.59702	10.92928	38.91817	8.60853	2.47292	8.48757	7.84077	10.07240
9.96975	69.85708	5.59679	-8.49817	78.49567	7.78074	1092.55503	1.00000	-88.3162	7.49247	62.47874	8.36399	42.24113	7.00994	4.30244	9.14346	7.24441	11.95613
8.12758	44.68813	11.09564	13.43967	64.30830	7.70534	1144.67348	0.00000	102.42587	13.79861	34.45890	8.06309	15.58552	8.21159	4.93642	9.19034	9.36666	6.39303
12.87108	72.66244	6.15354	26.67344	70.68345	8.45647	1098.35965	1.00000	122.8637	12.08279	52.94554	8.94179	9.3337	8.68918	0.88767	6.51044	5.87789	9.05566
9.59958	46.90918	8.31508	-2.56410	72.29290	9.96213	1118.87484	0.00000	34.8732	6.73674	56.06387	5.26338	32.05971	7.52594	0.93117	5.68870	8.06478	9.42010
11.45039	60.06197	8.46636	8.32688	69.65777	10.27292	1091.60652	1.00000	2.18247	10.91315	53.43539	11.19471	41.41204	8.96611	1.01406	5.97771	7.39665	7.17082
9.21061	20.77752	6.19196	16.57701	75.24803	8.72127	1156.49611	1.00000	-76.78319	10.35616	60.34249	8.43722	18.00747	7.93001	0.78607	6.00620	7.21017	10.10057
9.88014	45.01406	7.33791	6.47636	50.18175	9.09068	1105.72360	1.00000	-38.79084	7.48057	42.29199	8.57304	-10.95817	7.32544	0.85770	6.14100	9.35518	6.75336
8.41001	20.40075	9.30335	17.61362	69.17450	8.36702	1102.21777	0.00000	77.40858	11.17042	54.43132	8.63746	24.05979	8.29498	1.53855	7.78932	6.90075	8.23621
8.81383	54.52294	7.60942	4.14027	64.49214	8.15325	1188.88046	0.00000	-81.79819	9.11216	49.61683	10.33627	41.48199	8.05358	2.69268	8.60227	6.70441	5.60911
9.21072	57.49787	9.55740	2.56444	66.30688	9.34079	1195.04303	0.00000	112.23109	10.81685	41.63591	8.13223	-7.57897	8.86673	1.18697	7.50794	9.11631	8.13349
8.43202	68.06705	7.47999	22.77322	70.41812	9.95255	1058.45361	1.00000	14.39024	9.31876	38.05400	10.16712	42.22718	7.19852	1.12240	6.82345	7.35901	9.44149
11.26684	50.39095	9.75652	19.52604	68.84997	8.44701	1190.21100	0.00000	70.91106	7.24996	50.74464	5.23163	29.38242	7.68357	1.11064	7.01645	9.17304	9.59562
8.90850	58.87235	7.63483	30.12962	70.36699	8.32126	1160.85524	0.00000	-71.10077	5.95220	68.11305	6.87688	18.20854	9.42957	0.54928	4.99473	10.08208	9.52419
9.60653	46.14183	6.24803	14.33652	67.27574	8.01350	1086.17041	1.00000	16.50104	7.82775	63.40936	9.71793	41.24264	7.75219	1.38125	7.04336	9.07160	6.61491
8.31159	36.33141	8.59637	11.84443	61.77358	7.81796	1191.37222	0.00000	11.34046	9.49530	42.93211	9.68470	50.72043	8.47168	1.65331	7.85125	6.39139	8.06157
9.70581	52.73635	6.63335	17.90333	84.15267	8.65284	1153.08418	1.00000	16.91667	9.09784	50.96804	8.04149	-21.98333	6.91949	0.94488	6.01559	7.64626	6.27586
10.42579	62.59843	5.48495	17.81939	65.65258	8.52606	1059.31717	1.00000	75.11937	8.97371	49.32907	10.65647	20.88098	8.25436	1.56304	7.84887	9.55434	10.65220
9.81345	44.09168	6.26054	-2.18853	75.31850	10.04962	1051.64639	1.00000	-78.04471	7.54876	31.08293	12.66305	34.25628	8.80020	3.66048		7.03117	10.39700
10.25999	52.35024	5.10913	3.02376	79.02012	9.86193	1121.31136	0.00000	77.656	7.47656	61.99798	10.76190	28.71271	8.75183	1.00482	6.44513	8.55787	7.49228
10.12035	62.81280	9.71023	31.20528	73.19309	7.47184	1065.38092	0.00000	-3.05	8.11792	74.65781	5.58426	53.81667	7.41278	0.96262	6.42176	8.65002	10.31261
9.60756	54.71981	9.07338	13.97285	72.15439	7.56458	1130.90224	1.00000	123.62494	10.28758	94.09010	9.52226	12.37169	7.67299	0.51452	4.47856	8.69569	7.09142
8.85371	48.68567	5.60563	15.64391	78.36641	8.85201	1142.13381	0.00000	-1.64295	6.75068	18.65282	11.20454	42.8139	10.74770	1.14182	7.14664	8.01089	7.50957
10.29933	59.08477	7.17293	30.67926	63.36399	7.86272	1102.27933	0.00000	10.30215	4.89998	56.65479	6.92775	53.94313	6.10009	1.13953	4.72628	9.97362	9.63957
6.83766	44.31245	9.99002	9.46837	84.39713	8.88391	1080.37795	0.00000	138.89585	11.63325	70.65295	9.71400	36.33011	8.50820	10.33382	10.10809	9.98597	6.43775
