location	station	longitude	latitude	revision	QoS
Africa/Lagos	Yenagoa	6.26764	4.92675	2014/01/15	excellent
Australia/Melbourne	Frankston South	145.13643	-38.16604	11/08/2019, 00:00:00	excellent
Europe/Kiev	Nova Kakhovka	33.34864	46.75451	2014-10-22	average
Europe/Belgrade	Negotin	22.53083	44.22639	11 Jan 2017	average
America/Porto_Velho	Porto Velho	-63.90389	-8.76194	2013-02-02	excellent
America/Sao_Paulo	Santa Gertrudes	-47.53028	-22.45667	06 Jul 2020	maintenance
Africa/Accra	Tarkwa	-1.98956	5.30383	08/20/2015, 00:00:00	excellent
Asia/Tokyo	Ueno-ebisumachi	136.13108	34.75856	2017-04-09	accep
Africa/Addis_Ababa	Arba Minch	37.55	6.03333	11/21/2016, 00:00:00	good
Asia/Shanghai	Zhoucun	117.81667	36.81667	2018/05/11	building
America/Mexico_City	Guanajuato	-101.2591	21.01858	2021/01/12	average
America/Chicago	Pekin	-89.64066	40.56754	03 Aug 2015	excellent
Asia/Kolkata	Deoli	75.37991	25.75728	2019-09-08	good
America/New_York	Lutz	-82.46148	28.15112	2018/06/07	excellent
America/Chicago	Kaukauna	-88.27205	44.27804	2022-08-30	accep
America/El_Salvador	Sonzacate	-89.71472	13.73417	2020-02-04	good
Europe/Berlin	Barmbek-Nord	10.03988	53.6052	18 Sep 2017	building
Asia/Kolkata	Teghra	85.94001	25.49043	2017-01-14	maintenance
Europe/London	Belper	-1.48119	53.0233	10 Jun 2022	building
Africa/Algiers	Ksar Chellala	2.31889	35.21222	05/20/2021, 00:00:00	good
Asia/Kolkata	Dombivli	73.08333	19.21667	04/06/2018, 00:00:00	average
America/New_York	Scotch Plains	-74.38987	40.65538	02 Jan 2022	accep
America/Chicago	Vestavia Hills	-86.78777	33.44872	2018/09/17	excellent
Asia/Riyadh	Al Jubayl	49.62251	27.0174	2019/04/28	building
America/Los_Angeles	Encinitas	-117.29198	33.03699	05/24/2019, 00:00:00	average
Europe/Berlin	Weimar	11.32903	50.9803	03/27/2017, 00:00:00	excellent
Europe/London	Blackpool	-3.05	53.81667	14 Feb 2014	good
Europe/Zurich	Onex	6.10237	46.18396	06 May 2021	good
America/New_York	Taunton	-71.08977	41.9001	2018/10/13	accep
America/New_York	Greenpoint	-73.95097	40.72371	2020-04-19	accep
Europe/London	Lymington	-1.5443	50.75767	27 Mar 2016	accep
Europe/Istanbul	Silvan	41.00817	38.13708	24 Apr 2018	maintenance
Europe/Minsk	Vitebsk	30.2049	55.1904	09/05/2013, 00:00:00	excellent
Europe/London	Selby	-1.06667	53.78333	10 Aug 2016	accep
Europe/Rome	Malnate	8.88104	45.79377	10/15/2014, 00:00:00	accep
Europe/Malta	Valletta	14.51472	35.89972	2013-03-10	building
Africa/Libreville	Franceville	13.58357	-1.63333	2019-11-20	building
Europe/Madrid	Cardedeu	2.35739	41.63976	2014-07-18	good
America/New_York	Gainesville	-82.32483	29.65163	01/28/2022, 00:00:00	excellent
Africa/Casablanca	Azrou	-5.22126	33.43443	12 Apr 2013	accep
Africa/Casablanca	Oulmes	-6.00137	33.42585	05/24/2019, 00:00:00	average
Asia/Shanghai	Pucheng	118.53333	27.92333	2013/06/05	average
Asia/Kolkata	Gorakhpur	83.36889	26.76628	2017-07-17	good
America/Los_Angeles	Porterville	-119.01677	36.06523	01/03/2018, 00:00:00	excellent
America/Fortaleza	Barras	-42.29444	-4.24444	10/20/2013, 00:00:00	good
Asia/Shanghai	Ulanhot	122.08333	46.08333	18 Jul 2022	accep
America/New_York	Lakewood	-81.79819	41.48199	06/01/2013, 00:00:00	accep
America/Puerto_Rico	Aguadilla	-67.15407	18.42745	2013-11-12	accep
America/New_York	Lakewood	-81.79819	41.48199	07 Apr 2015	maintenance
Asia/Manila	Pilar	120.56528	14.66	04/30/2021, 00:00:00	maintenance
Europe/London	Viewpark	-4.0573	55.82737	2019/01/24	excellent
America/Mazatlan	Acaponeta	-105.36369	22.49396	2015/03/22	excellent
America/New_York	Bridgeport	-73.20483	41.16704	06/28/2016, 00:00:00	average
Europe/Warsaw	Strzelce Opolskie	18.30056	50.5107	2020-03-14	average
America/Guayaquil	Cuenca	-79.00453	-2.90055	11/18/2013, 00:00:00	good
Asia/Shanghai	Hushitai	123.50266	41.94175	2018-03-05	accep
America/Chicago	Ada	-96.67834	34.77453	2017-09-08	accep
