NOx	PM10	latitude	Pb	TEMP	H2CO	NH3	PAHs	CFCs	PM2.5	CO	longitude	C2H3NO5	PRES	SO2	CH4	O3	warning
7.12908	10.01954	-1.26424	75.18018	19.93056	52.75158	9.45484	7.18873	58.57116	8.76189	7.63153	104.09701	0.43421	1147.14792	7.82295	7.48582	5.20066	0.00000
7.06274	8.91716	53.37596	43.12912	5.90637	70.60500	8.22251	5.11773	55.33805	7.49860	8.67195	51.3452	0.14889	1144.36925	8.52464	7.22807	6.37756	1.00000
5.65017	10.36320	32.55531	69.34308	1.45497	71.62530	6.64075	10.47448	31.42009	9.16612	9.55474	76.12647	0.57964	1061.48366	8.44637	9.48196	8.78863	1.00000
5.83180	9.39948	54.8421	50.60250	18.43093	57.62251	8.08598	5.35793	49.49868	6.31559	7.42181	46.5813	0.23517	1110.44373	8.53623	7.91005	5.08210	1.00000
7.53112	9.32083	11.93381	39.12570	13.34206	54.05241	8.40607	5.04008	62.57721	8.57483	7.90148	79.82979	0.21473	1130.85799	8.85416	7.35115	3.64793	0.00000
5.31174	6.60750	22.98212	62.09656	9.86298	59.26920	5.32708	9.50397	36.62705	6.53401	6.57628	-80.58556	0.02560	1111.10695	9.70191	7.81294	6.71934	1.00000
6.52658	9.54055	48.8449	24.98350	3.22024	44.01344	7.43015	9.80008	48.31187	8.99376	7.76789	17.22635	0.25335	1101.78242	9.54354	7.47228	7.13274	1.00000
8.10188	9.34220	22.49396	57.55863	36.68954	39.80783	5.02536	6.20784	43.29314	6.71705	10.32246	-105.36369	0.23163	1188.08015	9.73899	8.51242	6.34488	1.00000
8.49139	8.50132	30.35028	50.60707	23.28811	54.40223	2.67705	9.00525	62.58749	7.79761	5.30567	112.19028	0.12040	1126.30268	8.07896	9.67148	3.98054	1.00000
	7.00034	53.83333	38.04652	8.49788	42.26579	9.84925	10.22220	50.79697	9.12701	6.22418	-2.98333	0.05424	1156.38700	6.80072	6.80237	6.84122	0.00000
