QoS	longitude	latitude	revision	station	location
accep	117.81667	36.81667	01 Jul 2022	Zhoucun	Asia/Shanghai
average	-89.71472	13.73417	01/28/2017, 00:00:00	Sonzacate	America/El_Salvador
excellent	11.412	45.50369	08/03/2018, 00:00:00	Montecchio Maggiore-Alte Ceccato	Europe/Rome
accep	4.63031	43.67681	07/16/2019, 00:00:00	Arles	Europe/Paris
building	145.06667	-37.88333	2020/07/08	Carnegie	Australia/Melbourne
maintenance	51.3452	53.37596	02/04/2017, 00:00:00	Otradnyy	Europe/Samara
average	4.63031	43.67681	10/01/2020, 00:00:00	Arles	Europe/Paris
accep	-2.09814	57.14369	2015/07/25	Aberdeen	Europe/London
good	74.85849	31.28092	02 Feb 2017	Patti	Asia/Kolkata
excellent	122.08333	46.08333	07/10/2019, 00:00:00	Ulanhot	Asia/Shanghai
excellent	72.34424	40.78206	2016-04-29	Andijon	Asia/Tashkent
accep	-80.58556	22.98212	2016/05/21	Corralillo	America/Havana
good	88.1453	22.4711	07/15/2015, 00:00:00	Pujali	Asia/Kolkata
accep	5.06258	7.50251	08/07/2015, 00:00:00	Igbara-Odo	Africa/Lagos
excellent	106.92667	-6.91806	06 Sep 2017	Sukabumi	Asia/Jakarta
maintenance	-71.8023	42.58342	20 Feb 2016	Fitchburg	America/New_York
maintenance	-1.5443	50.75767	05/01/2013, 00:00:00	Lymington	Europe/London
acceptable	116.11768	24.28859	2016-12-16	Meizhou	Asia/Shanghai
average	-91.73625	35.25064	2018/11/24	Searcy	America/Chicago
excellent	68.21204	27.55898	04/04/2016, 00:00:00	Larkana	Asia/Karachi
average	14.72443	36.92574	2021-02-27	Ragusa	Europe/Rome
accep	-73.47429	40.68066	2022-08-10	Massapequa	America/New_York
good	-73.75513	40.60538	2015/09/26	Far Rockaway	America/New_York
excellent	145.18333	-37.9	2021/03/26	Wheelers Hill	Australia/Melbourne
excellent	36.7138	35.95664	17 Oct 2019	Binnish	Asia/Damascus
average	75.37991	25.75728	2012-12-31	Deoli	Asia/Kolkata
excellent	-122.2608	38.17492	03/03/2019, 00:00:00	American Canyon	America/Los_Angeles
excellent	88.58	23.18	2017/05/22	Aistala	Asia/Kolkata
good	136.84186	34.4833	2014/12/26	Toba	Asia/Tokyo
maintenance	121.12251	14.62578	25 Sep 2017	Antipolo	Asia/Manila
average	-111.90466	40.34912	2017-05-06	Saratoga Springs	America/Denver
good	6.92917	52.31333	2020/08/28	Oldenzaal	Europe/Amsterdam
building	59.80222	58.63667	2016-08-17	Lesnoy	Asia/Yekaterinburg
accep	74.3092	33.37526	08/14/2013, 00:00:00	Rajaori	Asia/Kolkata
average	-117.70755	33.52253	09 May 2021	Laguna Niguel	America/Los_Angeles
accep	124.3697	9.6531	2020-04-05	Jagna	Asia/Manila
maintenance	-73.95097	40.72371	2012/12/11	Greenpoint	America/New_York
average	33.2525	57.97472	2017/12/18	Valday	Europe/Moscow
excellent	46.5813	54.8421	2016/03/26	Alatyr’	Europe/Moscow
average	34.3869	11.8659	2022-03-15	Ar Ruseris	Africa/Khartoum
accep	-4.83076	39.96348	09/26/2016, 00:00:00	Talavera de la Reina	Europe/Madrid
accep	-62.64102	8.35122	2016-05-09	Ciudad Guayana	America/Caracas
excellent	-87.66561	41.8542	2016/11/20	Lower West Side	America/Chicago
good	20.91361	41.92361	09/28/2014, 00:00:00	Bogovinje	Europe/Skopje
average	-104.83192	39.72943	07/27/2015, 00:00:00	Aurora	America/Denver
good	-2.09814	57.14369	08/15/2022, 00:00:00	Aberdeen	Europe/London
good	-111.78903	33.35283	10/25/2021, 00:00:00	Gilbert	America/Phoenix
accep	-122.23484	47.38093	2016-01-20	Kent	America/Los_Angeles
excellent	-102.04897	19.64745	28 Dec 2019	Paracho de Verduzco	America/Mexico_City
maitennce	-0.76773	38.38479	07/30/2013, 00:00:00	Novelda	Europe/Madrid
building	-72.09391	18.65297	2015/09/20	Thomazeau	America/Port-au-Prince
maintenance	7.02238	52.21099	2021/09/06	Gronau	Europe/Berlin
building	-86.58208	13.48082	2014/12/30	Somoto	America/Managua
good	-2.31938	6.46346	07 Mar 2016	Bibiani	Africa/Accra
maintenance	-84.62081	42.7392	2020-07-04	Waverly	America/Detroit
average	-74.15987	40.82232	2015-08-14	Nutley	America/New_York
good	29.24152	-26.93366	12 Jun 2017	Standerton	Africa/Johannesburg
maintenance	100.24529	5.4709	11/14/2016, 00:00:00	Batu Feringgi	Asia/Kuala_Lumpur
accep	-52.67056	-26.22861	05/13/2022, 00:00:00	Pato Branco	America/Sao_Paulo
excellent	-50.00639	-25.42944	04 Jul 2022	Palmeira	America/Sao_Paulo
average	114.51667	33.78333	2019/04/11	Wacheng	Asia/Shanghai
good	85.4265	55.8736	2020-03-15	Yashkino	Asia/Novokuznetsk
excellent	85.37752	22.10194	03/12/2020, 00:00:00	Barbil	Asia/Kolkata
good	-97.35992	19.8173	17 Oct 2017	Teziutlan	America/Mexico_City
average	31.3237	52.4089	2013/01/12	Dobrush	Europe/Minsk
accep	-82.35176	27.71809	05/07/2022, 00:00:00	Sun City Center	America/New_York
maintenance	86.68363	23.49668	11/21/2012, 00:00:00	Adra	Asia/Kolkata
building	35.90057	56.85836	12/14/2021, 00:00:00	Tver	Europe/Moscow
excellent	8.63333	52.2	2013-04-15	Kirchlengern	Europe/Berlin
excellent	30.28491	60.02427	2014-06-17	Kolomyagi	Europe/Moscow
good	35.23388	31.78336	08/12/2019, 00:00:00	East Jerusalem	Asia/Hebron
good	123.17306	41.27194	07/20/2022, 00:00:00	Liaoyang	Asia/Shanghai
accep	14.39024	42.22718	27 Jun 2021	Lanciano	Europe/Rome
good	125.51176	42.64031	01 Dec 2015	Dongfeng	Asia/Shanghai
accep	-1.48119	53.0233	2014-07-03	Belper	Europe/London
good	-50.00639	-25.42944	2013/03/04	Palmeira	America/Sao_Paulo
accep	4.8951	44.92801	20 Jan 2014	Valence	Europe/Paris
good	-117.23991	47.64995	10/09/2019, 00:00:00	Opportunity	America/Los_Angeles
excellent	22.53083	44.22639	27 Jan 2014	Negotin	Europe/Belgrade
average	13.58357	-1.63333	2019/05/12	Franceville	Africa/Libreville
excellent	69.01354	38.55632	2014/10/06	Vahdat	Asia/Dushanbe
accep	-91.77127	37.95143	07/16/2014, 00:00:00	Rolla	America/Chicago
accep	120.03308	28.88162	2018-02-06	Guli	Asia/Shanghai
maintenance	-90.10674	29.84576	05/25/2017, 00:00:00	Estelle	America/Chicago
average	168.31366	-17.73648	22 Dec 2020	Port-Vila	Pacific/Efate
excellent	-51.50361	-29.2975	31 Mar 2021	Carlos Barbosa	America/Sao_Paulo
