CH4	PAHs	H2CO	warning	PM10	PM2.5	O3	PRES	NOx	longitude	CFCs	NH3	latitude	Pb	C2H3NO5	TEMP	CO	SO2
7.75830	10.29701	49.30517	1.00000	8.21208	5.73050	7.22270	1126.44528	7.44037	-71.06616	53.38836	6.62533	42.4251	53.87449	14.25147	7.81731	7.97031	5.83887
8.03850	8.84203	43.16055	1.00000	6.36310	6.58455	5.92452	1138.76359	7.30258	-116.56346	39.10285	4.45761	43.54072	54.63275	5.52248	3.16991	6.92853	5.68310
8.57659	8.06659	62.55410	1.00000	6.44905	3.72018	8.61572	1133.56643	7.74130	-76.88442	63.95971	8.30014	40.2737	44.07327	4.88298	14.86840	5.51387	7.47198
6.14313	3.57317	45.83422	0.00000	7.08066	8.51538	4.51281	1129.43233	7.00427	78.14797	51.38869	6.19892	15.45144	34.33197	6.97353	19.84586	9.45595	4.24608
9.88454	5.66831	55.67665	1.00000	5.62865	3.87068	11.31587	1137.78118	6.83002	10.30215	54.25299	7.60171	53.94313	39.90093	4.08509	17.68330	7.13123	4.18302
10.24669	9.84836	79.69209	1.00000	7.93920	6.64981	6.53201	1189.95305	7.33503	91.84128	57.79135	5.69265	22.83957	34.81296	13.08512	19.31277	6.38204	6.23534
1.47903	4.55107	50.94528	0.00000	7.93714	9.97433	7.84613	1112.65283	6.58592	-74.73584	57.99955	8.33969	5.20856	37.69379	8.85898	-0.66405	10.53817	8.24558
8.35956	10.18303	66.83244	0.00000	7.05025	6.50423	4.25064	1130.19312	7.46842	15.16554	48.82171	9.12200	-4.5833	32.39922	5.86715	13.52694	5.25499	10.46524
6.86410	6.21267	38.01068	0.00000	8.64164	7.19059	4.07634	1101.42804	5.45679	-73.47429	61.31431	5.71454	40.68066	52.32165	18.32781	10.55040	9.36122	7.69083
8.52175	8.62230	66.38206	1.00000	7.10581	4.82937	7.95825	1090.67988	7.07162	44.02488	56.65592	6.59446	32.61603	26.49366	5.81093	5.87417	6.63701	7.28920
9.05406	8.07768	64.61512	1.00000	5.38412	4.81357	9.19332	1191.38122	6.02554	13.28702	77.80376	6.79029	52.4581	57.85821	4.26440	9.06865	10.42128	5.45612
7.16681	9.25090	53.11392	0.00000	7.10303	4.78200	4.51587	1187.68471	6.70505	-80.66756	40.91138	6.62375	26.68451	80.65391	4.95269	19.31759	5.64176	6.36083
9.66993	9.76305	45.76254	1.00000	6.74398	8.01675	7.23075	1124.41454	7.61087	121.3152	43.34648	5.75131	14.14989	28.61468	9.03710	28.58563	7.32621	8.23840
7.27252	10.29682	58.12890	1.00000	7.11033	6.14948	5.49471	1089.32030	7.89480	38.66667	54.95075	8.01397	-6.25	24.70364	7.79338	25.26356	6.38431	8.36195
7.91060	7.70765	54.29002	1.00000	7.36662	8.81483	4.97022	1095.97065	7.42043	-0.59543	60.24578	7.47804	44.80477	51.55011	7.22764	18.64337	4.80107	5.56746
8.72054	7.87481	51.11484	1.00000	5.37244	5.74435	8.56094	1087.82642	7.43410	-71.8023	53.93031	7.01006	42.58342	52.78486	3.67227	27.28524	8.74254	4.80104
