location	revision	longitude	code	QoS	latitude
Europe/Kiev	04/28/2020, 00:00:00	25.34244	UA	average	50.75932
Europe/Kiev	2020-11-12	31.33078	UA	good	47.56494
Europe/Berlin	06 Oct 2021	11.32903	DE	average	50.9803
Asia/Dhaka	2017-04-29	91.84128	BD	excellent	22.83957
America/New_York	2020/12/07	-72.86843	US	good	41.27621
Australia/Sydney	2016-06-11	146.05093	AU	average	-34.28853
Europe/Paris	2016-02-21	1.00288	FR	average	49.28669
Europe/Sofia	10 Jan 2014	27.25	BG	accep	42.7
Asia/Shanghai	2021-08-17	120.33063	CN	accep	37.65181
America/Indiana/Indianapolis	12 Jul 2016	-86.11084	US	excellent	41.75338
Asia/Barnaul	2013-09-20	83.62389	RU	good	53.30972
America/Los_Angeles	2019/06/14	-122.40433	US	maintenance	37.71715
America/Mexico_City	2014-08-28	-98.11889	MX	excellent	19.04222
America/New_York	14 Sep 2013	-82.46148	US	maintenance	28.15112
Europe/Moscow	19 Aug 2021	33.2525	RU	maintenance	57.97472
America/Havana	08/03/2019, 00:00:00	-81.24441	CU	average	23.15678
Europe/Paris	23 Jun 2015	5.55575	FR	maintenance	46.67535
Asia/Manila	2017-11-09	123.33471	PH	accep	8.56697
America/Bahia	2017/05/06	-38.79084	BR	good	-10.95817
America/Matamoros	23 Nov 2013	-97.50417	MX	good	25.87972
America/New_York	2013/12/21	-77.37331	US	building	37.60876
Europe/Vienna	31 Jul 2015	16.4	AT	average	48.25
Europe/Istanbul	12/10/2015, 00:00:00	27.02444	TR	excellent	39.59611
America/Mexico_City	2016/04/27	-96.72365	MX	maintenance	17.06542
America/Jamaica	2013/03/18	-76.78319	JM	average	18.00747
Europe/Brussels	2018/10/30	3.20639	BE	excellent	50.74497
America/New_York	22 May 2021	-82.61573	US	average	41.24255
Europe/London	2016-07-30	-2.52398	GB	building	53.19146
Europe/Lisbon	06/18/2020, 00:00:00	-7.32097	PT	good	41.1053
America/Sao_Paulo	2019/02/18	-48.59278	BR	good	-23.7975
Europe/Moscow	2014/09/11	39.8302	RU	good	64.5635
Europe/Berlin	2019-02-21	11.18709	DE	excellent	48.73218
America/Denver	2013-02-14	-111.99633	US	good	40.65995
Africa/Algiers	21 Oct 2017	4.08282	DZ	building	36.61954
Europe/Istanbul	2016/09/19	27.18052	TR	good	39.12074
America/Port_of_Spain	05/21/2017, 00:00:00	-61.51889	TT	excellent	10.66668
Europe/Lisbon	19 Aug 2020	-8.33147	PT	good	41.20485
Indian/Antananarivo	03/18/2013, 00:00:00	48.41667	MG	maitennce	-17.83333
Africa/Niamey	2013/12/18	9.15013	NE	maintenance	13.70727
Europe/Berlin	2012-12-03	12.1369	DE	excellent	51.04962
Europe/Berlin	2012/12/27	7.11393	DE	average	51.08468
Asia/Kolkata	11/12/2018, 00:00:00	77.70636	IN	good	28.98002
America/Sao_Paulo	12 Feb 2020	-46.99583	BR	accep	-22.97056
America/Los_Angeles	20 Oct 2015	-122.40433	US	maintenance	37.71715
Asia/Yekaterinburg	2012/12/05	56.36091	RU	maintenance	51.78771
Europe/London	12/27/2014, 00:00:00	-3.52751	GB	average	50.7236
Africa/Monrovia	12/13/2017, 00:00:00	-8.53778	LR	good	7.57944
Asia/Karachi	2021/05/11	68.49143	PK	maintenance	25.80565
Europe/Moscow	23 Jul 2020	39.8302	RU	excellent	64.5635
Asia/Vladivostok	2015-09-04	140.72287	RU	accep	53.14657
Europe/London	2013-05-09	-1.47217	GB	good	53.46506
Europe/Istanbul	2020-04-05	40.74357	TR	maintenance	37.31309
Europe/Rome	2019-03-06	14.43865	IT	maintenance	40.87329
Europe/Paris	2016/08/22	-0.59543	FR	excellent	44.80477
Europe/Minsk	2013/04/03	25.8191	BY	building	53.5942
Asia/Tokyo	2012-12-19	136.84186	JP	maintenance	34.4833
Africa/Mogadishu	08/31/2013, 00:00:00	43.38531	SO	average	9.89206
Europe/Rome	2019/12/13	14.34085	IT	good	40.87363
Asia/Kolkata	12/01/2016, 00:00:00	73.06784	IN	excellent	25.13915
America/Toronto	06/30/2016, 00:00:00	-73.86586	CA	excellent	45.43341
Asia/Tokyo	30 Mar 2015	136.84186	JP	excellent	34.4833
Europe/Moscow	2017-07-16	35.96944	RU	good	56.03361
Asia/Karachi	2021/01/13	71.67164	PK	accep	30.29184
America/New_York	2014/06/05	-73.99681	US	good	40.94065
America/Chicago	2021-12-16	-93.08883	US	accep	45.16024
Asia/Kolkata	2021/03/19	76.56719	IN	accep	24.41288
Europe/Paris	2013/09/23	2.08333	FR	building	48.86667
America/Argentina/Tucuman	2017/09/22	-65.61427	AR	good	-27.4338
America/New_York	20 May 2014	-73.49484	US	excellent	41.14676
Africa/Lagos	01 May 2015	6.26764	NG	maintenance	4.92675
Asia/Bangkok	2018-12-08	103.65309	TH	accep	16.0567
Europe/Kiev	2016/10/19	29.41824	UA	good	45.99194
