O3	NOx	CO	PRES	warning	PAHs	CH4	NH3	H2CO	CFCs	latitude	PM10	TEMP	Pb	C2H3NO5	PM2.5	SO2	longitude
6.53714	6.70051	8.00537	1164.53796	1.00000	5.61649	8.85451	8.74072	60.07836	22.10219	40.93121	7.53059	-5.28904	30.01064	2.38221	5.78263	7.91242	-73.89875
6.78329	6.92909	7.65177	1184.10434	1.00000	6.43593	8.55872	7.39841	62.49141	100.00000	12.04161	6.11065	-2.00007	28.42644	1.90689	10.46101	5.46535	75.35927
7.34904	6.97068	4.40979	1114.77316	0.00000	5.33995	6.42061	5.36402	50.63807	44.15041	55.82885	8.25486	30.46094	62.02148	5.39946	7.87127	7.86495	-4.21376
6.80079	7.01152	7.05573	1055.20257	0.00000	10.01450	9.67634	8.11088	82.20089	59.08508	42.64031	7.64778	15.53255	44.87198	2.99105	7.87908	7.86477	125.51176
9.87333	7.31173	8.08884	1195.00450	0.00000	5.74910	6.61055	5.49406	29.34171	30.16456	17.54907	7.96317	6.19245	40.22656	3.36765	8.02835	8.72873	82.85749
8.17026	5.67402	7.23560	1185.28183	1.00000	5.83506	7.98505	4.85300	53.95228	54.39068	-33.88096	7.58481	17.19601	53.94651	2.84173	8.57685	5.70340	151.07986
7.68591	6.39140	7.83731	1142.40135	1.00000	6.08530	7.81172	7.65807	35.66866	27.59476	5.30383	5.77660	6.09226	49.00778	1.59756	6.73179	6.82159	-1.98956
5.38816	5.09425	8.34197	1125.37541	1.00000	6.40424	7.28759	7.42010	24.93864	66.66461	52.61131	8.01932	24.70375	61.25019	3.83740	7.92856	6.39880	13.31783
5.49728	2.45107	7.30264	1137.89356	1.00000	4.30491	7.51253	11.72988	72.71574	44.20271	47.4943	6.01930	18.70670	36.35030	1.10597	3.02049	5.06563	-122.24092
	6.85476	7.32854	1144.66840	1.00000	7.24649	7.56039	8.77632	59.04338	53.61304	54.52156	6.49626	6.84848	37.75980	1.27473	7.54321	6.25345	9.5586
8.65329	6.90251	6.06149	1129.43022	1.00000	7.62507	7.20473	9.52995	44.66331	40.77358	41.91886	6.83961	21.13154	42.93666	1.81906	8.38255	6.91514	8.73812
7.64151	6.32240	8.90184	1052.62352	0.00000	7.31448	8.77476	8.14540	39.87365	46.17148	54.60528	8.28822	-10.61381	41.02756	4.12912	6.21337	7.65468	18.34717
6.34938	5.12792	7.27741	1121.76746	1.00000	5.43127	5.55485	4.74296	41.37400	62.67945	19.21667	7.00521	30.38519	41.51515	2.29702	7.02450	6.06165	73.08333
8.39727	7.08644	6.67537	1094.54724	0.00000	8.28141	9.76691	6.54257	68.93648	57.74044	9.58126	6.59829	-4.16872	42.31198	1.86057	7.34370	8.12493	8.2926
8.38667	7.60774	5.80180	1061.78386	1.00000	5.77864	6.41384	8.53300	25.87354	41.86256	42.35843	7.29324	21.86432		3.17177	7.29852	3.87824	-71.05977
7.29799	6.84756	7.35018	1174.98558	1.00000	5.29894	4.89717	9.02306	49.27051	52.75691	34.21639	7.27756	12.31851	44.42620	2.52416	6.65491	6.83272	-119.0376
8.55305	2.95865	8.65871	1185.67841	0.00000	5.68262	4.41315	9.52177	65.19917	71.28970	43.4125	7.78550	17.38534	58.09444	3.38997	10.48515	8.35547	23.225
6.57281	4.99075	8.28449	1095.14996	1.00000	5.37917	8.20770	5.79278	40.38569	38.25961	23.15678	8.27559	27.90592		4.77305	7.57683	7.48795	-81.24441
7.46619	7.11108	6.80368	1063.57086	0.00000	3.87020	5.75056	7.08336	79.53777	53.79315	43.86682	6.83056	3.72884	29.28363	1.44660	8.03596	6.22209	-79.2663
8.03153	4.40275	7.51368	1161.58803	1.00000	8.00298	8.75922	7.09823	54.04678	47.28050	23.49668	6.29654	7.42472	57.57191	2.30283	8.88904	6.03949	86.68363
7.36949	3.45023	7.67538	1163.05482	1.00000	8.03020	8.76517	7.17569	59.56999	38.20283	41.09246	7.83379	22.77044	56.42945	3.05657	8.12660	6.94259	45.36561
5.75068	7.31450	7.74095	1137.36737	1.00000	5.96000	9.64866	10.80205	53.62164	28.22744	-25.42944	8.44261	16.61315	34.54216	5.78700	6.93758	4.96666	-50.00639
8.93993	5.52547	6.91626	1166.50603	1.00000	5.97610	7.36031	5.22195	54.92322	37.26082	-6.48167	9.63969	10.84300	46.65326	14.77881	7.03247	6.33710	106.85417
6.64701	6.61421	7.32019	1141.42018	1.00000	5.20195	9.89285	6.73161	40.46962	71.45934	45.39402	6.64575	6.24591	41.94422	1.24732	9.17665	6.55727	9.29109
7.14918	5.86013	7.02173	1076.73490	1.00000	6.48433	7.61912	4.85270	71.29698	17.65243	56.56317	9.39145	26.11240	25.64667	11.17629	8.33440	5.23472	-2.58736
7.67114	5.01391	5.08455	1061.59381	1.00000	8.16446	6.79038	2.74606	63.64941	50.37759	4.73245	7.38739	10.66685	41.09876	2.44937	7.64226	10.50671	-74.26419
7.99671	8.75343	7.22661	1190.05834	0.00000	4.39753	7.56744	5.00436	62.70921	30.67480	34.08565	6.04534	30.62077	46.16751	1.40911	9.24180	6.65842	74.80555
7.63447	5.30101	9.20606	1126.72653	1.00000	6.23180	7.87004	8.20656	56.12793	68.60152	50.74497	5.97792	19.55567	32.12695	2.10530	6.20967	5.36628	3.20639
7.16469	3.10304	7.67271	1105.70032	1.00000	4.42121	9.41837	10.58125	79.15444	49.31098	50.75	8.56781	17.27166	73.08421	5.59153	3.91076	5.67484	2.25
9.07606	9.28459	7.06125	1089.49954	0.00000	5.03541	7.97163	3.17651	72.42361	25.67586	33.76446	8.02025	21.82502	52.07426	3.37431	6.28264	8.26938	-117.79394
7.12684	8.28106	7.79205	1074.74964	0.00000	7.56521	7.85440	4.47413	73.26538	53.83830	6.95194	7.47438	32.38184	42.43081	2.99470	9.40138	10.92850	121.96361
6.73285	7.91260	8.67604	1094.54274	1.00000	2.61326	6.71086	2.89514	36.30580	58.44622	24.41288	8.49861	13.09802	66.13168	5.53927	5.39116	6.28939	76.56719
7.00813	3.94896	6.76436	1138.13072	0.00000	6.27699	4.10971	8.80593	44.71334	29.29117	16.68911	4.19508	12.62079	50.68346	1.10157	10.67806	8.04245	98.50893
10.47044	6.33104	7.52770	1187.14667	1.00000	6.55009	10.97833	7.25912	69.11191	44.72618	42.62833	7.65290	3.94330	45.65711	2.75155	9.99271	6.23263	20.89389
7.93075	5.74550	6.83839	1149.08951	0.00000	5.12004	6.93440	3.92967	47.40021	52.21591	-26.22861	8.68734	17.94141	44.20199	6.48572	7.09420	5.44403	-52.67056
5.49520	7.08740	8.16025	1156.53552	1.00000	6.54096	9.81015	6.90802	52.16435	29.85419	35.30889	6.75243	11.66409	62.53812	2.67046	11.55650	4.64026	139.55028
7.70783	5.88081	7.74023	1146.38082	1.00000	5.38185	9.67377	5.36407	51.38094	46.19860	43.61062	7.60838	21.10415	46.98563	3.69613	7.95760	6.86602	-72.97261
7.20850	5.51876	8.95872	1095.28008	1.00000	7.44172	10.87821	8.12881	76.76891	49.41169	56.03361	8.83750	20.61429	41.91676	7.20214	6.68536	6.12912	35.96944
6.29041	6.54430	7.03959	1181.43852	0.00000	9.66859	8.61662	8.09955	55.16217	45.47144	26.18924	8.18073	23.22005	33.24734	4.75869	5.88176	9.65040	-98.15529
6.42352	7.20112	6.78723	1070.29439	1.00000	7.83068	9.23932	9.03657	49.35849	44.62827	44.43579	6.94267	4.72701	66.49543	2.04770	10.89518	4.66048	26.01649
6.74577	6.90474	6.13488	1188.94308	0.00000	7.41323	7.93041	6.59919	29.32416	51.84700	15.48131	8.53972	18.52056	35.73787	5.77931	6.86629	8.89262	-86.57415
7.28719	5.40600	8.10474	1191.14809	0.00000	6.07168	7.81790	9.09342	43.38636	54.08361	27.52948	8.39781	8.00199	68.36275	5.22841	8.42025	8.91174	68.75915
6.79690	6.65802	6.44504	1131.49737	1.00000	5.90536	7.76590	7.27620	61.89541	67.36629	10.13361	6.84099	26.35660	31.23591	2.23715	9.96088	5.82454	124.84472
6.70383	8.63398	7.81763	1156.55106	0.00000	5.98488	10.84157	3.76166	46.26724	29.02575	-21.98333	7.54172	18.14964	69.45408	2.20650	5.45616	8.77277	16.91667
8.18459	3.75914	6.73161	1107.61673	0.00000	7.86018	4.60989	6.41497	38.72767	46.92803	12.04161	7.47068	15.40538	44.05115	2.74224	9.26581	9.31456	75.35927
6.03040	6.30117	6.62064	1071.98688	1.00000	6.69912	8.09660	7.53993	38.30669	60.97608	23.18	7.62635	4.65869	56.50834	3.15977	9.42381	5.82605	88.58
7.18065	5.77720	7.34623	1125.35057	1.00000	7.89274	9.55994	7.34299	57.33489	44.74949	51.82721	6.59274	8.02075	31.89067	1.21953	10.91141	4.64597	107.60627
7.77923	4.15193	7.25577	1190.29412	1.00000	7.38683	9.21246	4.60234	43.83973	75.16745	47.4943	6.90462	-1.77764	40.13930	2.03619	8.23092	6.50010	-122.24092
7.53265	4.58724	6.38992	1086.67290	1.00000	6.95666	8.66791	5.09858	41.05229		-27.50578	7.10934	2.09846	49.02309	2.09048	8.23165	6.07134	153.10236
5.39684	6.74475	6.29787	1139.75767	0.00000	7.10252	6.09452	4.55654	46.01907	36.67827	-21.41222	6.09000	17.09358	54.92608	1.21046	7.55579	9.26495	-42.19667
