code	QoS	longitude	latitude	revision	location
US	building	-120.45794	34.63915	2015-09-06	America/Los_Angeles
DE	good	8.4493	50.09019	2019/05/30	Europe/Berlin
IT	maintenance	14.66737	41.55947	2020-03-15	Europe/Rome
FR	building	-0.59543	44.80477	2014/11/10	Europe/Paris
BE	good	3.20639	50.74497	01/02/2021, 00:00:00	Europe/Brussels
VE	excellent	-70.20749	8.62261	27 May 2015	America/Caracas
US	accep	-81.79819	41.48199	2019-02-21	America/New_York
US	acceptable	-69.96533	43.91452	2015-05-11	America/New_York
GB	good	-1.08593	50.79205	2013/09/25	Europe/London
IN	accep	78.55757	17.34769	07 Mar 2022	Asia/Kolkata
HT	good	-72.22625	18.57677	2015-03-12	America/Port-au-Prince
IT	good	12.84052	45.78071	09 Feb 2016	Europe/Rome
NZ	average	171.25364	-44.39672	01/22/2019, 00:00:00	Pacific/Auckland
RO	excellent	26.01649	44.43579	2013/11/23	Europe/Bucharest
GB	accep	-2.1875	51.26	2017-11-30	Europe/London
CN	maintenance	115.04814	30.24706	16 Jul 2014	Asia/Shanghai
EG	excellent	29.91582	31.20176	2013/10/30	Africa/Cairo
US	accep	-82.90375	32.54044	09 Jul 2022	America/New_York
PK	good	71.52847	32.57756	08/28/2020, 00:00:00	Asia/Karachi
AR	average	-61.4867	-31.25033	2022/03/29	America/Argentina/Cordoba
RU	good	60.8019	56.9083	2014/07/25	Asia/Yekaterinburg
RU	excellent	46.04833	51.40944	2013-12-16	Europe/Saratov
GB	accep	-3.05	53.81667	2015-03-23	Europe/London
BR	accep	-48.52333	-0.71667	07/22/2017, 00:00:00	America/Belem
BG	average	24.71204	41.57439	2022-09-10	Europe/Sofia
PH	maintenance	121.12251	14.62578	2020/07/19	Asia/Manila
DE	accep	7.11393	51.08468	2018-07-13	Europe/Berlin
TN	average	10.58082	35.72917	14 May 2016	Africa/Tunis
US	average	-89.99038	38.58894	02/09/2022, 00:00:00	America/Chicago
CO	excellent	-74.26419	4.73245	2021/05/01	America/Bogota
GB	accep	-1.08593	50.79205	2013/08/12	Europe/London
NL	accep	5.22778	51.955	03 Jan 2014	Europe/Amsterdam
LK	average	79.883	6.9909	2017/05/03	Asia/Colombo
PH	excellent	121.96361	6.95194	2013/11/18	Asia/Manila
