TEMP	H2CO	PM10	Pb	latitude	PM2.5	O3	PRES	longitude	PAHs	CFCs	NH3	warning	C2H3NO5	CO	NOx	CH4	SO2
34.63619	42.93573	12.79281	54.37327	14.0823	9.63635	8.40279	1078.50810	98.19151	10.80367	42.96194	4.61094	0.00000	10.67309	8.62946	4.98332	9.52026	9.32944
32.66771	58.99392	9.64522	31.15287	40.81	10.25584	10.07537	1148.58551	-73.9625	10.43829	36.30243	11.39599	1.00000	0.53140	11.02125	9.86713	11.95771	9.34610
27.19437	43.83624	11.86471	51.99728	30.5427	8.35678	9.57130	1065.40266	-97.54667	8.83448	42.50558	6.46255	0.00000	4.25267	9.59474	8.55052	9.63702	10.68362
11.70826	49.15403	11.69423	33.73053	32.57756	9.43452	9.55297	1138.48111	71.52847	9.55236	62.66551	9.15155	1.00000	3.60662	10.34975	11.51843	11.94251	9.11986
30.65705	74.06312	10.58810	31.91988	41.55947	8.98166	7.97553	1094.89575	14.66737	7.85262	49.33715	7.00218	0.00000	1.21541	10.00940	8.78069	9.83294	7.95052
9.23565	60.66583		48.51497	3.11988	13.17157	10.17646	1163.89527	35.59642	12.37477	74.32058	12.08064	1.00000	4.84027	9.60330	7.69445	8.15701	9.35443
12.13412	26.46814	8.05992	51.67458	-7.57897	5.73986	10.00562	1121.11511	112.23109	5.88973	58.88081	11.92873	0.00000	0.12263	6.50143	9.78402	9.92826	10.20453
-0.32710	48.85561	12.33613	48.61422	33.72255	12.13122	9.22771	1068.22778	-116.37697	11.71275	47.30002	10.43989	1.00000	6.78983	8.27700	9.59526	9.12185	9.72369
29.19889	40.26563	8.40247	53.29097	8.88649	6.49744	9.81944	1082.62083	2.59753	5.83307	33.31879	10.38632		0.16522	8.88527	7.48944	7.47432	10.36652
27.92596	43.72378	11.74925	38.08755	23.0072	14.10385	10.10870	1142.81700	-82.4017	14.68346	22.20574	12.31480	0.00000	3.81449	7.58776	9.00885	5.53515	8.43401
