code	revision	latitude	station	longitude	QoS
RU	2021/12/07	60.02427	Kolomyagi	30.28491	excellent
MT	11/02/2015, 00:00:00	35.89972	Valletta	14.51472	excellent
IN	07 Feb 2014	17.54907	Elamanchili	82.85749	accep
US	20 May 2022	47.64995	Opportunity	-117.23991	building
ID	24 Aug 2016	-7.51611	Wangon	109.05389	good
US	09/08/2021, 00:00:00	33.44872	Vestavia Hills	-86.78777	average
MX	04/05/2015, 00:00:00	20.28527	Jocotepec	-103.42897	building
CD	15 Apr 2018	0.49113	Beni	29.47306	good
SE	2021/02/15	61.72744	Hudiksvall	17.10558	building
ET	2015/05/25	6.03333	Arba Minch	37.55	average
JP	10/13/2016, 00:00:00	43.82634	Motomachi	144.09638	excellent
US	06 Feb 2015	33.52253	Laguna Niguel	-117.70755	excellent
DZ	2022-05-12	36.27462	Bordj Zemoura	4.85668	accep
PS	2017/05/06	31.78336	East Jerusalem	35.23388	excellent
DK	2017-01-28	55.67938	Frederiksberg	12.53463	accep
VU	2014/02/07	-17.73648	Port-Vila	168.31366	average
IT	2022-07-26	42.22718	Lanciano	14.39024	average
DE	07/26/2019, 00:00:00	48.49144	Reutlingen	9.20427	maintenance
ES	06/11/2020, 00:00:00	40.70995	Amposta	0.57856	excellent
FR	2014/11/09	43.61058	Colomiers	1.33467	average
NL	08/26/2021, 00:00:00	51.955	Culemborg	5.22778	good
ES	2015-02-27	41.15612	Reus	1.10687	good
TR	2017/09/05	38.13708	Silvan	41.00817	building
US	2014-01-17	41.55815	Waterbury	-73.0515	accep
KH	27 Oct 2019	13.65805	Paoy Paet	102.56365	excellent
DJ	06/26/2018, 00:00:00	11.15583	'Ali Sabieh	42.7125	excellent
CO	2021/11/01	5.6561	Andes	-75.87877	accep
DE	30 Dec 2019	48.35693	Friedberg	10.98461	average
SK	2013/02/03	48.8449	Skalica	17.22635	accep
GB	24 Jul 2019	53.78333	Selby	-1.06667	accep
IR	04/21/2021, 00:00:00	36.64852	Nowshahr	51.49621	excellent
US	31 Mar 2021	40.82232	Nutley	-74.15987	good
IT	2020/08/29	38.07789	Villabate	13.44275	accep
FR	11/29/2019, 00:00:00	48.77275	Bar-le-Duc	5.16108	average
CO	06/01/2017, 00:00:00	3.8801	Buenaventura	-77.03116	average
US	2013/10/12	33.41012	Greenville	-91.06177	good
GB	2020-02-14	53.00974	Rhosllanerchrugog	-3.05814	good
ID	2021/03/28	-6.8048	Kudus	110.8405	maintenance
IN	2013-09-30	9.82564	Tiruppuvanam	78.25795	maintenance
DE	2020/08/04	47.98372	Memmingen	10.18527	maitennce
IL	25 Aug 2016	32.05971	Ganei Tikva	34.8732	average
IT	03/18/2020, 00:00:00	45.53069	Gorgonzola	9.40531	excellent
FR	20 Mar 2017	48.77644	Sceaux	2.29026	excellent
MX	2013-06-25	21.01858	Guanajuato	-101.2591	average
DE	2022/02/19	50.80019	Siegburg	7.20769	accep
CZ	03/16/2017, 00:00:00	50.23271	Karlovy Vary	12.87117	excellent
CN	02 Feb 2019	40.66482	Yingkou	122.22833	good
IT	08 Feb 2021	44.89784	Tortona	8.86374	accep
AZ	06/10/2013, 00:00:00	41.09246	Qazax	45.36561	good
US	12 Feb 2017	32.52515	Shreveport	-93.75018	good
US	2019-05-23	40.72371	Greenpoint	-73.95097	good
PK	2018-10-23	27.52948	Khairpur Mir’s	68.75915	good
FR	06/28/2021, 00:00:00	48	Quimper	-4.1	accep
GB	12/01/2016, 00:00:00	51.62907	High Wycombe	-0.74934	building
CA	12/13/2013, 00:00:00	45.44868	Pointe-Claire	-73.81669	good
PH	2021-06-25	15.72892	Burgos	120.57224	good
RE	09/03/2020, 00:00:00	-20.88231	Saint-Denis	55.4504	average
IN	12 May 2017	34.08565	Srinagar	74.80555	average
PK	01/16/2016, 00:00:00	25.80565	Bhit Shah	68.49143	accep
BR	2019/07/27	-10.91722	Lagarto	-37.65	average
IT	2022-05-29	41.24264	Bisceglie	16.50104	excellent
SO	09 Feb 2013	9.89206	Baki	43.38531	building
FR	2020-09-30	46.67535	Lons-le-Saunier	5.55575	excellent
DE	2020-06-04	48.35149	Hechingen	8.96317	good
US	05/14/2013, 00:00:00	40.58654	Redding	-122.39168	average
GB	10/13/2012, 00:00:00	51.39148	Surbiton	-0.29825	average
US	27 Aug 2016	39.96097	West Chester	-75.60804	good
TJ	12 Apr 2015	38.55632	Vahdat	69.01354	accep
JP	18 Feb 2015	35	Komono	136.51667	excellent
GT	19 Jan 2013	14.93333	Chichicastenango	-91.11667	good
BR	08 Oct 2020	-19.72806	Iturama	-50.19556	good
BR	02 Oct 2015	-19.72806	Iturama	-50.19556	maintenance
CI	05/05/2014, 00:00:00	5.84752	Lakota	-5.682	accep
RU	24 Jul 2020	54.90083	Stupino	38.07083	excellent
US	2017/11/27	25.67927	Kendall	-80.31727	average
IN	14 May 2013	12.1277	Dharmapuri	78.15794	good
DE	2020-03-28	52.4581	Dahlem	13.28702	accep
US	09/02/2019, 00:00:00	33.54428	Stockbridge	-84.23381	excellent
RU	26 May 2015	46.7055	Yeysk	38.2739	accep
US	2021-12-09	42.35843	Boston	-71.05977	excellent
FR	2020-05-05	45.69558	Saint-Genis-Laval	4.7934	average
