longitude	CO	CFCs	NOx	warning	NH3	latitude	O3	Pb	H2CO	SO2	PM10	PAHs	C2H3NO5	CH4	TEMP	PM2.5	PRES
-76.43941	9.46865	74.15057	6.16649	1.00000	8.82096	39.33427	8.15702	25.56370	43.82118	7.91673	7.81096	7.62246	4.53602	6.31769	17.89474	10.14740	1127.24291
37.49338	5.47663	63.61956	9.45736	1.00000	7.82746	55.62047	6.30607	41.33842	62.73682	9.69317	6.97357	8.46427	4.00839	7.74927	36.75951	9.15325	1070.43456
122.05228	9.85715	55.88937	9.22296	0.00000	7.18582	37.19723	9.54519	48.92825	32.64896	8.12874	7.29078	6.81979	3.66798	8.59550	26.90507	6.75503	1180.72223
79.41727	6.21347	68.96604	6.51001	0.00000	7.50511	12.25282	5.86831	62.29731	46.70415	6.16562	6.22286	5.89494	1.31032	4.73406	15.64361	6.28720	1189.03640
-42.19667	7.54374	61.93949	8.30137	1.00000	9.69502	-21.41222	8.29495	59.37862	63.63985	7.72333	6.87700	6.91034	3.22987	6.84112	23.39633	9.48057	1196.65927
-1.86343	7.00418	71.42915	6.47676	0.00000	7.12055	38.10558	8.37764	59.43391	49.64871	5.51382	6.72675	5.97319	3.17035	8.01336	12.16077	6.53800	1174.46223
-77.4286	6.93881	67.88377	7.82235	0.00000	5.56406	39.00622	3.00989	68.89680	53.38671	8.37006	5.91547	9.46009	1.25176	10.37109	35.75092	6.68034	1129.08278
-65.61427	7.44264	57.12064	4.39845	1.00000	7.65189	-27.4338	9.09212	46.99760	48.17387	7.63535	8.96174	8.66388	11.00412	6.20803	15.73333	6.70191	1066.82004
88.58	10.39453	65.25724	3.05641	1.00000	8.59421	23.18	11.44281	57.33377	41.31337	7.90392	7.38708	7.01017	4.08616	4.98171	0.48697	7.08426	1188.68355
-71.29144	11.00288	62.50787	9.67107	0.00000	5.66783	41.54566	9.96631	43.75998	59.69702	8.94607	8.99836	8.32405	12.60339	9.85947	12.76961	5.96858	1189.17649
4.63031	2.71933	73.84638	3.99910	0.00000	5.16553	43.67681	3.84058	37.46487	52.03268	7.88720	8.46447	8.27868	8.16879	2.88211	19.30970	2.50964	1095.98238
-3.53261	9.33079	65.93232	6.29566	1.00000	8.24886	40.42386	9.08330	58.92462	34.70684	6.91412	8.09623	5.81249	4.99140	6.76763	21.07043	9.14584	1138.46330
3.64633	10.13510	75.89303	6.56790	1.00000	7.92982	6.8485	10.12692	50.46660	29.01461	7.51825	7.98870	7.75223	5.08996	6.33535	13.99338	8.78808	1190.25074
-50.19556	8.48657	78.68878	6.06871	1.00000	11.05636	-19.72806	9.14902	59.62705	48.31956	9.13858	7.41427	6.75401	3.60361	5.27471	19.04207	9.29261	1119.94151
24.04142	10.25446	69.47681	8.79801	0.00000	6.88726	54.39635	9.59637	55.61982	49.14079	8.55935	8.48767	7.19403	6.87557	9.89302	15.57209	6.84687	1113.33278
