code	latitude	revision	longitude	location	QoS
FR	43.67681	2014/08/22	4.63031	Europe/Paris	accep
GB	55.82737	01 Nov 2019	-4.0573	Europe/London	excellent
SK	48.43174	08/08/2017, 00:00:00	17.8031	Europe/Bratislava	accep
IT	40.53123	11/11/2013, 00:00:00	17.58522	Europe/Rome	maitennce
CN	35.85	09/06/2013, 00:00:00	117.7	Asia/Shanghai	maintenance
US	29.84576	2014/07/05	-90.10674	America/Chicago	good
IN	25.49043	05/15/2016, 00:00:00	85.94001	Asia/Kolkata	accep
AU	-34.88422	2022/03/02	150.60036	Australia/Sydney	excellent
NL	52.26083	2019-10-18	7.00417	Europe/Amsterdam	accep
GB	51.78967	2015/11/17	1.15597	Europe/London	excellent
PK	30.46907	10/08/2020, 00:00:00	70.96699	Asia/Karachi	accep
IN	26.11527	12 Jul 2014	86.59509	Asia/Kolkata	average
BE	50.56149	04 Jan 2021	4.69889	Europe/Brussels	accep
IN	19.30157	2015-01-25	72.85107	Asia/Kolkata	good
PS	31.78336	2018-07-25	35.23388	Asia/Hebron	maintenance
US	43.91452	2014-02-09	-69.96533	America/New_York	excellent
CA	53.51684	15 Mar 2015	-113.3187	America/Edmonton	accep
CL	-36.9256	2014-04-17	-73.02841	America/Santiago	maintenance
ES	38.10558	06/11/2020, 00:00:00	-1.86343	Europe/Madrid	good
TZ	-5.41667	2021/06/14	38.01667	Africa/Dar_es_Salaam	accep
US	39.08367	2015/02/01	-84.50855	America/New_York	building
ML	12.74409	2020/10/17	-8.07257	Africa/Bamako	average
RU	57.30185	05/19/2020, 00:00:00	39.85331	Europe/Moscow	accep
IT	45.53069	2021/04/17	9.40531	Europe/Rome	good
US	38.96372	2018-07-22	-76.99081	America/New_York	average
CN	27.85	12 Jan 2021	112.9	Asia/Shanghai	accep
BE	50.74497	16 Dec 2019	3.20639	Europe/Brussels	excellent
BE	50.74497	05/23/2018, 00:00:00	3.20639	Europe/Brussels	average
FR	43.71032	31 Jan 2014	-1.05366	Europe/Paris	maintenance
TZ	-2.68333	06/14/2021, 00:00:00	33	Africa/Dar_es_Salaam	maintenance
PA	8.88988	07 Sep 2019	-79.62603	America/Panama	accep
SE	59.33333	2013-05-12	18.28333	Europe/Stockholm	good
IN	23.18	2016-01-26	88.58	Asia/Kolkata	accep
US	46.09273	2022/06/01	-88.64235	America/Menominee	building
ID	-7.51611	12/15/2021, 00:00:00	109.05389	Asia/Jakarta	excellent
US	41.16704	05 Sep 2016	-73.20483	America/New_York	excellent
US	39.32011	2013-03-03	-76.51552	America/New_York	excellent
US	26.2173	08/14/2015, 00:00:00	-80.22588	America/New_York	excellent
PT	37.08819	22 May 2019	-8.2503	Europe/Lisbon	average
RU	51.40944	01/15/2020, 00:00:00	46.04833	Europe/Saratov	accep
US	39.33427	11/05/2020, 00:00:00	-76.43941	America/New_York	average
MX	20.74122	2013/08/20	-100.44843	America/Mexico_City	excellent
BR	-19.7625	18 Oct 2019	-44.31389	America/Sao_Paulo	maintenance
EG	26.67319	03/07/2018, 00:00:00	31.4976	Africa/Cairo	building
IE	53.43333	11/29/2020, 00:00:00	-7.95	Europe/Dublin	accep
IN	21.34222	2021-01-02	71.30633	Asia/Kolkata	maintenance
FR	48.79325	2013/09/09	2.29275	Europe/Paris	excellent
IT	40.72586	06/27/2018, 00:00:00	8.55552	Europe/Rome	average
GB	51.39148	18 Sep 2020	-0.29825	Europe/London	good
ET	11.85	04/10/2016, 00:00:00	38.01667	Africa/Addis_Ababa	accep
ID	-1.26424	2016-10-05	104.09701	Asia/Jakarta	accep
CD	-4.5833	2022-05-04	15.16554	Africa/Kinshasa	good
US	33.72255	11/20/2020, 00:00:00	-116.37697	America/Los_Angeles	maintenance
RU	51.78771	05 Apr 2022	56.36091	Asia/Yekaterinburg	average
IN	32.55531	2021-10-25	76.12647	Asia/Kolkata	maintenance
SY	35.95664	03/17/2014, 00:00:00	36.7138	Asia/Damascus	good
CN	37.19723	12/03/2019, 00:00:00	122.05228	Asia/Shanghai	excellent
AU	-33.88096	02/26/2022, 00:00:00	151.07986	Australia/Sydney	excellent
CL	-32.45242	2013/09/27	-71.23106	America/Santiago	good
BR	-10.90889	2021-07-13	-37.03861	America/Maceio	average
DZ	35.06544	2014/11/27	1.04945	Africa/Algiers	good
US	39.33427	2018-07-15	-76.43941	America/New_York	building
GB	53.19146	09/19/2020, 00:00:00	-2.52398	Europe/London	excellent
AT	48.25	08 Mar 2013	16.4	Europe/Vienna	excellent
AR	-31.4488	2013-05-31	-60.93173	America/Argentina/Cordoba	maintenance
ES	38.96667	05/18/2017, 00:00:00	-0.18333	Europe/Madrid	accep
BR	-19.7625	06/18/2019, 00:00:00	-44.31389	America/Sao_Paulo	average
PK	31.96258	08/18/2017, 00:00:00	73.97117	Asia/Karachi	excellent
US	47.76232	2013-09-17	-122.2054	America/Los_Angeles	excellent
DZ	35.21222	24 Oct 2015	2.31889	Africa/Algiers	accep
DZ	36.76775	2022-04-02	2.95924	Africa/Algiers	average
FR	43.71032	2015/08/25	-1.05366	Europe/Paris	good
JP	34.61667	2015-12-04	135.6	Asia/Tokyo	good
MY	1.6	11 Jul 2019	103.81667	Asia/Kuala_Lumpur	average
ID	-7.51611	2022/03/04	109.05389	Asia/Jakarta	building
KZ	44.85278	25 May 2013	65.50917	Asia/Qyzylorda	building
MT	35.89972	2016/10/30	14.51472	Europe/Malta	average
CN	27.34089	2017-10-02	117.4831	Asia/Shanghai	average
BR	-28.81833	2016/05/31	-52.51028	America/Sao_Paulo	accep
MY	1.6	2020-07-18	103.81667	Asia/Kuala_Lumpur	excellent
JP	33.3213	08 Jun 2019	130.94098	Asia/Tokyo	accep
ZA	-26.93366	05 Aug 2019	29.24152	Africa/Johannesburg	accep
US	30.16688	2014-10-28	-96.39774	America/Chicago	excellent
MX	20.21322	2014-03-11	-100.88023	America/Mexico_City	average
US	40.72816	2012-11-21	-74.07764	America/New_York	good
US	47.92526	2020-02-08	-97.03285	America/Chicago	good
US	32.42067	2020-12-15	-104.22884	America/Denver	building
US	47.80527	2018/09/05	-122.24064	America/Los_Angeles	average
US	34.77453	2021-11-28	-96.67834	America/Chicago	building
PT	37.08819	05 Jan 2018	-8.2503	Europe/Lisbon	maintenance
DE	53.94313	2015/10/09	10.30215	Europe/Berlin	maintenance
MX	20.22816	2013/05/02	-103.5687	America/Mexico_City	maintenance
US	41.75338	04 Apr 2014	-86.11084	America/Indiana/Indianapolis	average
PH	14.95472	31 Aug 2016	120.89694	Asia/Manila	good
CN	40.66482	04 Jan 2022	122.22833	Asia/Shanghai	good
CA	45.44868	04/15/2016, 00:00:00	-73.81669	America/Toronto	average
UY	-33.38056	17 May 2014	-56.52361	America/Montevideo	excellent
IN	18.87813	28 Jun 2016	72.93924	Asia/Kolkata	accep
CN	45.35	2015-03-10	126.28333	Asia/Shanghai	good
JP	36.65	2013-09-07	138.31667	Asia/Tokyo	average
US	40.93121	2017-08-08	-73.89875	America/New_York	average
PA	9.15093	16 May 2018	-79.62098	America/Panama	good
IN	31.28092	20 Jul 2017	74.85849	Asia/Kolkata	accep
US	41.6764	05/02/2020, 00:00:00	-91.58045	America/Chicago	excellent
IN	21.59983	2018-12-17	71.21169	Asia/Kolkata	building
FR	48.77644	10 Jul 2015	2.29026	Europe/Paris	excellent
IN	28.98002	28 May 2021	77.70636	Asia/Kolkata	excellent
IN	26.44931	06/16/2015, 00:00:00	91.61356	Asia/Kolkata	average
SA	27.0174	06/28/2020, 00:00:00	49.62251	Asia/Riyadh	good
FR	43.67681	05/26/2021, 00:00:00	4.63031	Europe/Paris	building
CU	23.04419	12/05/2017, 00:00:00	-82.00919	America/Havana	accep
US	40.65538	2014-09-14	-74.38987	America/New_York	excellent
FR	48.98693	2019-08-22	2.44892	Europe/Paris	accep
DE	51.21667	2016/03/14	6.26667	Europe/Berlin	excellent
IT	43.78956	2016-11-17	7.60872	Europe/Rome	good
IN	18.87813	2013-09-05	72.93924	Asia/Kolkata	building
SE	61.72744	2019-06-12	17.10558	Europe/Stockholm	accep
PK	25.95533	2021/03/26	68.88871	Asia/Karachi	maintenance
XK	42.62833	02/20/2021, 00:00:00	20.89389	Europe/Belgrade	excellent
ID	-7.57897	2021/04/16	112.23109	Asia/Jakarta	maintenance
ES	39.96348	2013/05/24	-4.83076	Europe/Madrid	maintenance
BR	-8.28333	2017-03-08	-35.03333	America/Recife	average
CN	45.75279	2013-10-08	130.57211	Asia/Shanghai	excellent
PK	25.80565	2022-04-05	68.49143	Asia/Karachi	accep
CN	23.02677	29 Jun 2017	113.13148	Asia/Shanghai	excellent
FR	43.2907	16 Jan 2020	5.4384	Europe/Paris	excellent
FR	48.98333	2022-09-21	2.61667	Europe/Paris	acceptable
TW	23.5654	2018-04-10	119.58627	Asia/Taipei	building
CO	5.6561	2015-02-06	-75.87877	America/Bogota	excellent
DE	50.80019	13 Nov 2021	7.20769	Europe/Berlin	average
CN	34.85	2014-04-22	117.33333	Asia/Shanghai	good
IN	12.04161	2016/08/12	75.35927	Asia/Kolkata	excellent
RU	44.98901	2015/01/17	38.94324	Europe/Moscow	good
PH	14.95472	04/21/2021, 00:00:00	120.89694	Asia/Manila	good
AO	-11.78333	26 Oct 2013	19.91667	Africa/Luanda	building
EE	59.37722	2015/07/02	28.19028	Europe/Tallinn	building
AU	-37.9	2015-05-04	145.18333	Australia/Melbourne	good
GB	53.38333	07/16/2019, 00:00:00	-0.76667	Europe/London	accep
SO	9.89206	2021-04-11	43.38531	Africa/Mogadishu	good
US	37.95143	23 May 2018	-91.77127	America/Chicago	maintenance
US	41.66394	2018-07-26	-83.55521	America/New_York	maintenance
NL	52.14	2015-05-30	5.58472	Europe/Amsterdam	excellent
CZ	50.23271	11 Oct 2020	12.87117	Europe/Prague	excellent
DE	53.6052	2020/01/08	10.03988	Europe/Berlin	excellent
PK	31.71667	2014-01-11	73.38333	Asia/Karachi	average
PH	16.455	05 May 2019	120.5875	Asia/Manila	good
IN	26.32293	10/29/2015, 00:00:00	91.00632	Asia/Kolkata	accep
BE	50.88506	2018-07-27	4.07601	Europe/Brussels	excellent
DE	50.9803	2021-08-26	11.32903	Europe/Berlin	average
KR	34.8825	03/31/2015, 00:00:00	128.62667	Asia/Seoul	good
US	39.09112	04/27/2015, 00:00:00	-94.41551	America/Chicago	average
IN	26.76628	19 Oct 2018	83.36889	Asia/Kolkata	maintenance
PK	30.29184	14 Aug 2015	71.67164	Asia/Karachi	excellent
US	40.56754	2018/07/02	-89.64066	America/Chicago	excellent
DE	48.35693	2019-02-16	10.98461	Europe/Berlin	good
ID	-7.54972	2019-07-12	110.71639	Asia/Jakarta	good
JP	39.46667	04/15/2019, 00:00:00	141.95	Asia/Tokyo	accep
IT	45.9836	2021/03/20	12.70038	Europe/Rome	average
PK	30.76468	11/02/2012, 00:00:00	74.12286	Asia/Karachi	good
IN	12.25282	2017-09-05	79.41727	Asia/Kolkata	excellent
DE	47.98372	2016/07/25	10.18527	Europe/Berlin	accep
US	39.96097	2015-10-19	-75.60804	America/New_York	average
IN	30.81383	11 Dec 2016	75.16878	Asia/Kolkata	good
IT	44.31771	2016/10/25	9.32241	Europe/Rome	accep
BW	-21.44236	2022-05-26	27.46153	Africa/Gaborone	accep
US	41.14676	22 Jun 2014	-73.49484	America/New_York	good
US	39.43534	04/20/2016, 00:00:00	-84.20299	America/New_York	average
RU	55.63711	01/01/2019, 00:00:00	37.38115	Europe/Moscow	average
NG	7.62789	03/31/2020, 00:00:00	4.74161	Africa/Lagos	good
ID	3.3285	2017/06/21	99.1625	Asia/Jakarta	building
FR	48.90982	2014-10-27	2.45012	Europe/Paris	excellent
MY	5.4709	2020-06-25	100.24529	Asia/Kuala_Lumpur	maintenance
US	40.57788	08/02/2022, 00:00:00	-73.95958	America/New_York	average
DE	51.21667	12 Apr 2015	6.26667	Europe/Berlin	excellent
FR	48.8222	2021-11-18	2.12213	Europe/Paris	good
IT	37.31065	03 Sep 2018	13.57661	Europe/Rome	building
BE	50.56149	12/04/2020, 00:00:00	4.69889	Europe/Brussels	good
US	38.17492	16 Jun 2013	-122.2608	America/Los_Angeles	accep
BG	41.57439	06/10/2016, 00:00:00	24.71204	Europe/Sofia	building
RU	46.7055	2017-05-01	38.2739	Europe/Moscow	building
US	43.1009	16 Feb 2021	-75.23266	America/New_York	average
BE	51.24197	2017-05-21	4.82313	Europe/Brussels	excellent
NG	11.86064	12/24/2013, 00:00:00	9.0027	Africa/Lagos	maintenance
LT	55.25	2013-07-29	24.75	Europe/Vilnius	maintenance
US	41.8542	2017-01-02	-87.66561	America/Chicago	excellent
US	40.56754	24 Oct 2014	-89.64066	America/Chicago	accep
CD	-4.5833	2021/10/15	15.16554	Africa/Kinshasa	accep
NG	4.92675	2020-04-05	6.26764	Africa/Lagos	average
IN	26.44931	27 May 2016	91.61356	Asia/Kolkata	average
US	40.82232	2020-11-06	-74.15987	America/New_York	good
ES	41.91738	2016-03-15	3.1631	Europe/Madrid	average
KZ	47.83333	2022-08-03	59.6	Asia/Aqtobe	excellent
US	44.27804	2022/03/22	-88.27205	America/Chicago	accep
RU	54.48147	07/31/2019, 00:00:00	53.47103	Asia/Yekaterinburg	good
US	41.6764	09 Mar 2013	-91.58045	America/Chicago	accep
AU	-33.88096	06/16/2022, 00:00:00	151.07986	Australia/Sydney	good
BR	-10.91722	07/09/2019, 00:00:00	-37.65	America/Maceio	average
PK	25.95533	2019/12/05	68.88871	Asia/Karachi	accep
DZ	36.76639	2014/10/17	3.47717	Africa/Algiers	good
NZ	-38.65333	2022/05/24	178.00417	Pacific/Auckland	accep
EC	-2.90055	2021/01/21	-79.00453	America/Guayaquil	accep
GB	52.48173	07/29/2015, 00:00:00	-2.12139	Europe/London	building
US	34.25628	2014-06-08	-78.04471	America/New_York	good
CL	-33.59217	2016-01-23	-70.6996	America/Santiago	excellent
YE	14.53767	06/24/2016, 00:00:00	46.83187	Asia/Aden	average
DZ	36.06386	2021/01/31	4.62744	Africa/Algiers	maitennce
US	41.14676	03 Feb 2021	-73.49484	America/New_York	average
RU	55.39485	30 Jul 2021	43.83992	Europe/Moscow	good
MY	4.88441	10 Nov 2020	101.96857	Asia/Kuala_Lumpur	maintenance
FR	45.69558	2018-06-26	4.7934	Europe/Paris	good
PK	32.17629	2018-11-26	75.06583	Asia/Karachi	average
TH	15.58552	2018/02/24	102.42587	Asia/Bangkok	good
CI	5.84752	2022/09/21	-5.682	Africa/Abidjan	good
IN	11.12018	2013-11-28	76.11996	Asia/Kolkata	maintenance
DE	50.72043	2022/01/20	11.34046	Europe/Berlin	good
US	41.47892	12/08/2021, 00:00:00	-87.45476	America/Chicago	accep
US	38.06084	24 Feb 2013	-97.92977	America/Chicago	excellent
RU	50.06	2016-06-08	43.2379	Europe/Volgograd	average
RU	55.39485	2019-12-21	43.83992	Europe/Moscow	accep
RU	54.90083	2020-09-04	38.07083	Europe/Moscow	average
TZ	-7.60361	2017/04/28	37.00438	Africa/Dar_es_Salaam	accep
IT	37.49223	09 Jun 2016	15.07041	Europe/Rome	building
GB	53.19146	2021/07/14	-2.52398	Europe/London	building
IT	45.53069	16 Aug 2018	9.40531	Europe/Rome	excellent
CN	30.24706	2021-12-05	115.04814	Asia/Shanghai	good
KE	3.11988	2014-01-22	35.59642	Africa/Nairobi	excellent
US	32.9156	2020-07-26	-117.14392	America/Los_Angeles	excellent
IT	37.49223	07 Feb 2015	15.07041	Europe/Rome	average
US	41.27621	04/06/2018, 00:00:00	-72.86843	America/New_York	maintenance
NG	10.61285	19 Jul 2022	12.19458	Africa/Lagos	good
IT	40.87329	04/20/2020, 00:00:00	14.43865	Europe/Rome	good
TH	15.79408	03/11/2017, 00:00:00	104.1451	Asia/Bangkok	excellent
PG	-5.85746	2019/03/14	144.23058	Pacific/Port_Moresby	maintenance
ID	-3.5403	2017/05/08	118.9707	Asia/Makassar	accep
US	42.24113	02 Oct 2021	-88.3162	America/Chicago	average
ES	41.63976	2017/01/18	2.35739	Europe/Madrid	excellent
US	40.72816	2014/10/13	-74.07764	America/New_York	good
US	40.72816	12/20/2021, 00:00:00	-74.07764	America/New_York	accep
RU	46.7055	2016/04/16	38.2739	Europe/Moscow	average
IN	24.81757	09/20/2020, 00:00:00	84.63445	Asia/Kolkata	accep
ID	-6.48167	2013-09-12	106.85417	Asia/Jakarta	average
IN	14.62072	26 Dec 2014	74.83554	Asia/Kolkata	average
PH	12.35275	2016/11/06	121.06761	Asia/Manila	building
MG	-17.83333	20 Oct 2015	48.41667	Indian/Antananarivo	excellent
PH	16.455	2013-08-11	120.5875	Asia/Manila	building
IN	20.88197	10 Jan 2019	85.83334	Asia/Kolkata	excellent
DZ	36.06386	2013-09-09	4.62744	Africa/Algiers	good
TN	36.46917	2015-07-07	10.78222	Africa/Tunis	maintenance
VE	9.91861	02/10/2017, 00:00:00	-68.30472	America/Caracas	accep
RS	44.22639	11/18/2015, 00:00:00	22.53083	Europe/Belgrade	acceptable
ES	41.41204	09/04/2015, 00:00:00	2.18247	Europe/Madrid	accep
US	41.8542	26 Jul 2015	-87.66561	America/Chicago	good
BA	44.75874	30 Jul 2015	19.21437	Europe/Sarajevo	building
NG	4.92675	09/17/2021, 00:00:00	6.26764	Africa/Lagos	maintenance
MX	19.32889	2015/09/11	-99.32556	America/Mexico_City	average
MX	19.8173	30 Jun 2019	-97.35992	America/Mexico_City	average
MX	20.28527	21 Sep 2015	-103.42897	America/Mexico_City	good
CN	37.73222	20 Jul 2022	115.70111	Asia/Shanghai	excellent
GE	41.82143	08/29/2013, 00:00:00	41.77921	Asia/Tbilisi	good
SY	35.95664	2015-04-24	36.7138	Asia/Damascus	average
DE	51.20219	23 Dec 2021	7.36027	Europe/Berlin	building
ID	-7.81667	2022-05-14	112.01667	Asia/Jakarta	excellent
NI	13.48082	2014-09-14	-86.58208	America/Managua	average
GB	52.48173	27 Apr 2021	-2.12139	Europe/London	good
RU	55.62047	2022-01-15	37.49338	Europe/Moscow	good
NO	68.79833	2020/01/10	16.54165	Europe/Oslo	accep
MX	19.64745	2021-01-31	-102.04897	America/Mexico_City	maintenance
TH	15.58552	2021/02/04	102.42587	Asia/Bangkok	average
BR	-19.72806	03 Feb 2018	-50.19556	America/Sao_Paulo	accep
MX	21.28306	10 Dec 2013	-89.66123	America/Merida	average
US	34.95303	2021-02-09	-120.43572	America/Los_Angeles	good
SD	11.8659	12/10/2019, 00:00:00	34.3869	Africa/Khartoum	building
CN	32.54278	06 Jun 2018	111.50861	Asia/Shanghai	building
RU	51.78771	28 Nov 2016	56.36091	Asia/Yekaterinburg	good
PK	32.87533	2022-09-09	71.57118	Asia/Karachi	excellent
US	41.0051	2017-04-21	-73.78458	America/New_York	accep
US	33.35283	01/16/2014, 00:00:00	-111.78903	America/Phoenix	average
RU	53.53395	2017/10/06	33.72798	Europe/Moscow	building
US	32.42067	2018/04/15	-104.22884	America/Denver	average
BJ	8.88649	04 Nov 2017	2.59753	Africa/Porto-Novo	maintenance
CO	5.6561	2013-05-17	-75.87877	America/Bogota	good
