NH3	C2H3NO5	TEMP	Pb	PAHs	O3	CFCs	PM2.5	warning	H2CO	longitude	NOx	CO	latitude	SO2	CH4	PRES	PM10
6.80359	6.28035	23.82154	30.53947	8.75161	4.34560	60.47324	7.71319	0.00000	41.29766	1.00288	5.75667	7.61831	49.28669	4.29555	8.76317	1059.31474	8.56958
6.12041	2.27317	13.61930	37.79454		5.79430	73.16689	4.93976	0.00000	56.03274	85.4265	8.15048	9.20974	55.8736	8.13037	7.98733	1169.91418	6.89162
8.27330	1.44810	7.69674	41.67494	8.31452	5.69377	47.41660	5.64290	1.00000	60.58970	34.34691	8.42812	9.67256	61.78491	8.49654	5.12083	1164.31452	5.58567
8.24258	2.88890	25.41201	35.41180	6.92880	3.68144	90.35949	6.22756	1.00000	70.89888	-93.12577	8.13173	4.25993	44.73941	7.66107	5.38078	1173.16089	6.85767
5.89217	4.88080	20.86794	29.31548	7.15409	12.25786	70.88141	5.57858	1.00000	55.78474	-52.2	6.89775	8.39016	-28.44917	10.18401	6.08395	1177.57516	8.25832
7.61245	6.43295	15.14391	61.63248	7.49162	7.36980	65.43046	4.70468	1.00000	54.88258	41.77921	5.17514	6.08913	41.82143	10.71177	10.70223	1117.29184	8.33213
5.96545	2.73552	8.66657	61.44602	7.72900	7.80152	75.78340	7.15204	1.00000	57.64368	-73.47429	8.73553	8.78992	40.68066	7.82294	8.99143	1189.49910	7.64817
7.21689	18.58993		49.39063	7.16024	7.49750	60.85571	4.43830	0.00000	64.27297	-73.95958	8.38008	11.32186	40.57788	7.54716	6.84134	1141.11851	9.78531
7.84333	1.93636	2.60242	45.26034	7.45669	6.28245	48.90582	5.51201	1.00000	56.61298	-48.59278	8.34458	9.87335	-23.7975	6.63929	5.55484	1121.11200	6.68689
8.00770	1.73337	32.85026	50.17767	7.91203	5.88907	49.16520	6.19448	1.00000	44.83043	29.26639	9.37185	4.80111	37.58105	10.65597	3.51356	1191.76457	6.14953
8.53719	3.17640	19.49085	38.33095	7.03075	7.66480	57.85058	8.07468	1.00000	60.37456	20.22625	10.99665	6.59530	30.75545	8.26475	7.61596	1110.45907	7.76465
7.99153	5.52400	1.04017	26.46484	7.72559	4.82834	68.07387	5.71969	0.00000	68.22534	141.95	6.58274	7.49112	39.46667	5.05590	8.77576	1186.13464	8.47523
6.57915	0.62476	13.53808	48.51244	6.75719	7.07775	50.77268	9.02286	1.00000	63.02603	-91.11667	11.32783	8.12265	14.93333	7.46682	5.02176	1176.68288	5.90354
6.78209	3.79499	27.25801	39.01816	7.00210	4.70934	61.14820	3.47415	0.00000	47.54085	-42.98194	8.59415	10.93288	-22.53722	6.48399	9.27104	1133.96569	7.61693
6.62375	2.36926	12.59283	43.88734	8.22650	6.00164	58.11723	7.24558	0.00000	62.45568	43.91385	8.38689	6.64133	54.03876	10.52605	6.01360	1078.91196	7.00605
8.29212	2.08966	24.30840	14.31112	7.86039	4.01388	55.28740	4.76213	1.00000	50.05744	-15.6	6.67706	4.41605	13.56667	7.94671	7.38600	1148.61621	6.54272
6.85532	6.44791	9.93699	69.02871	7.93151	7.34522	54.46524	7.50106	1.00000	57.83179	13.58357	8.53149		-1.63333	9.72574	5.90289	1148.58366	8.50498
8.21376	2.91588	8.70236	29.09851	8.32510	7.35704	47.31410	5.42222	1.00000	52.80436	-9.24671	9.09788	8.46648	38.72706	9.82421	7.89124	1183.11135	7.39647
6.81507	4.12901	8.97203	32.06141	7.40705	5.94732	51.03296	7.45341	0.00000	76.15482	-89.66123	8.22608	6.46414	21.28306	9.53832	6.15219	1096.37124	8.09269
6.61437	7.20246	12.78910	52.46744	8.42023	5.22519	79.74090	5.46464	1.00000	58.69317	21.32778	6.93856	6.67912	42	5.15154	8.93397	1185.94823	8.67983
7.78740	3.06532	17.33255	58.50607	6.38384	6.25073	70.37973	5.43511	0.00000	53.31019	46.83187	7.52075	6.66207	14.53767	5.58293	8.54440	1061.45635	7.79251
7.64364	7.17377	6.20710	25.43429	6.75145	7.02293	52.89254	6.03599	0.00000	62.94785	-47.1725	7.79353	7.78484	-22.57306	9.42162	6.35748	1102.74642	8.66811
6.44862	1.27652	10.25914	68.66366	8.29052	6.92211	47.94577		0.00000	31.44528	75.35927	5.69720	3.58695	12.04161	6.52984	8.43784	1093.92875	6.78460
6.73482	1.39312	6.58507	35.08838	6.83006	8.11177	62.90365	4.31291	1.00000	59.82005	104.1451	7.34678	10.77111	15.79408	8.93420	4.76063	1068.23320	7.23841
7.26543	2.71417	16.59584	54.03612	7.30515	7.60853	82.71614	5.66347	0.00000	30.56797	47.3799	4.16843	2.75764	33.14447	6.93916	9.42301	1084.21070	7.40741
7.69461	2.96913	16.46546	50.04062	6.18082	6.94727	65.54398	6.52651	0.00000	62.78706	-1.05366	8.07941	6.35680	43.71032	6.95622	3.63816	1139.14415	7.07678
6.98496	3.25873	11.64604	29.36615	8.18904	4.89247	73.15871	7.82433	0.00000	43.19394	35.34722	9.69923	9.00628	-23.85972	12.40895	7.86417	1190.01245	7.51513
7.28377	28.19279	13.39544	29.28211	7.31002	5.94107	67.87960	6.39121	0.00000	56.45435	-61.4867	8.64284	8.44772	-31.25033	10.13797	6.92267	1090.69813	10.23573
7.64538	2.40043	25.97572	27.03767	7.09971	4.47834	72.63560	6.07718		79.88072	-91.73625	6.47402	8.47853	35.25064	4.24548	10.07544	1145.41619	5.73137
7.49271	2.96065	4.39925	23.23840		6.14822	76.50966	5.20601	0.00000	55.38978	120.74221	6.34995	4.71069	31.64615	5.77377	8.10996	1170.20060	7.56181
7.66635	2.37789	21.27448	27.68832	6.74437	10.46937	54.59117	7.98114	1.00000	70.66429	85.4265	7.85360	7.05720	55.8736	11.30339	7.37015	1122.02303	7.12949
7.96586	3.59545	15.60525	33.25139	8.05366	8.08834	62.53920	4.18136	1.00000	37.41740	-2.09814	8.70261	5.48887	57.14369	9.32173	5.44317	1097.46778	8.13336
7.20439	5.76815	46.15437	41.00465	8.71352	5.69595	64.60425	6.28576	0.00000	64.01543	-68.30472	8.26002	7.65511	9.91861	9.72410	7.27192	1094.55624	8.60235
6.11633	1.63895	13.84343	21.04876	7.20334	7.34832	52.71137	1.38350	1.00000	63.92457	4.8951	4.86946	4.05490	44.92801	10.24473	8.70273	1192.38554	6.94665
5.89043	3.16281	-0.55774	68.67240	6.66259	5.84590	43.91252	6.04703	0.00000	78.82804	112.9	6.05814	6.73246	27.85	6.65764	9.24897	1062.83309	7.79039
6.67224	3.98818	8.84388	65.38300	7.97540	9.90922	53.62305	7.97054	1.00000	66.40818	13.44275	11.20174	9.31653	38.07789	7.81439	6.37841	1163.44461	8.01377
6.08126	2.01515	15.27394	65.40110	7.27690	8.99764	53.14638	5.43068	1.00000	27.34200	-8.53778	6.39819	6.36534	7.57944	7.85107	9.53630	1191.81256	7.06319
7.11518	2.36939	-3.50837	68.54429	7.85507	4.78669	72.79042	6.29366	0.00000	38.48204	18.69303	5.90908	7.07658	12.18441	5.46994	9.14966	1130.31237	7.23460
5.32827	3.58393	6.06805	69.59434	8.53696	7.91372	85.26735	8.24112	1.00000	57.83479	137.23333	10.81365	6.82588	35.8	8.21649	5.99210	1081.74520	7.96426
8.43951	2.29234	13.32210	25.40733	5.99286	10.76157	67.14943	7.56110	1.00000	49.22126	27.02444	9.91422	6.66533	39.59611	9.74674	7.39501	1188.26639	6.53602
7.81809	2.52016	3.95014	58.31143	7.34451	5.56057	63.01604	5.64659	0.00000	62.90257	76.32756	8.19364	8.26338	9.57046	9.79465	7.89707	1132.42549	7.19257
7.44189	3.99891	21.02548	45.29791	6.68666	7.18986	54.88561	4.99979	1.00000	61.38905	-76.51552	4.63663	4.03960	39.32011	7.63589	9.80423	1066.39833	7.55290
8.00713	1.72977	6.79253	61.32644	7.94435	8.71370	58.11738	4.52849	1.00000	58.96881	150.99292	8.08796	9.58213	-33.75881	6.16798	5.73728	1141.43198	5.45975
6.66300	3.19695	21.58773	50.65228	7.47673	7.51313	57.72887	9.20614	1.00000	48.94322	-35.71667	7.16928	5.62594	-8.66667	10.02246	8.09537	1105.84912	7.68711
7.80764	1.89424	26.27578	48.33655	7.52417	6.28247	60.93284	4.66958	1.00000	51.33616	-52.2	8.19336	6.55069	-28.44917	9.36983	7.60378	1098.23261	6.12352
7.41544	2.95956	30.50837	45.90870	6.16194	5.34081	62.36278	6.37924	1.00000	53.45215	-122.40433	10.17288	7.23822	37.71715	7.84156	5.61455	1071.28231	7.38109
6.59740	2.15354		36.84285	9.11646	6.13409	60.83908	6.09317	0.00000	55.40461	-97.90308	9.02989	10.56175	31.12406	10.67304	8.08587	1113.00777	7.01705
7.61401	7.64136	19.31830	45.43675	6.39182	6.87640	71.90982	7.60829	1.00000	72.64087	-77.96389	10.48000	9.64897	39.45621	4.93026	5.14125	1140.27116	8.74763
7.82709	8.35747	-2.31937	26.23364	6.32441	11.15521	58.49037	6.01606	1.00000	56.18152	77.9129	8.40028	9.73789	25.6439	9.77065	6.58456	1091.00077	8.91141
7.14900	1.29532	13.18673	26.93063	7.17084	9.06337	73.91901	7.72505	1.00000	68.48682	135.21667	11.52283	8.25451	35.06667	5.74619	8.66510	1171.05203	6.40815
9.18919	3.34316	10.93371	60.67014	8.19341	5.19795	58.73170	7.23018	1.00000	40.75031	-35.71667	9.54768	7.07373	-8.66667	7.55494	6.23309	1156.83802	7.32883
8.88179	2.44353	-5.66892	44.12193	5.76046	9.74746	74.80736	4.09315	1.00000	41.52679	105.89333	7.21600	7.20902	34.56861	12.08431	9.14905	1183.57223	7.13451
6.47466	2.46495	24.81349	52.31466	6.65913	6.12243	54.78356	6.44445	0.00000	68.11704	10.03988	9.10382	10.14422	53.6052	10.04144	7.44343	1150.63838	7.46590
6.64149	4.66205	-3.81919	61.23108	7.68076	6.80071	76.89753	6.13918	1.00000	51.75976	-75.11028	8.26274	6.39343	-15.21194	9.09119	7.02269	1172.32424	7.98714
7.73874	1.47820	13.17604	45.81141	7.84258	7.02520	69.34371	4.70765	1.00000	46.56705	4.8951	7.52289	3.83177	44.92801	9.37474	5.32521	1050.36043	6.38985
6.92843	3.13090	35.82868	59.04082	6.48856	5.70983	53.98057	6.34837	1.00000	66.96392	-73.86586	7.20319	5.85574	45.43341	10.13254	7.75487	1128.42258	7.50694
7.73963	1.13149	25.46096	55.86872	8.34264	6.21531	48.39964	3.67691	1.00000	24.66054	82.85749	5.84384	5.66074	17.54907	8.35019	9.70323	1193.42007	5.61006
6.86750	3.71676	8.03247	52.24046	8.39681	5.62696	50.93062	7.86141	0.00000	45.98355	5.51978	9.29530	8.80930	51.44889	11.28719	7.42569	1114.13938	8.12893
7.07963	5.47471	29.82379	35.26623	7.41975	4.82841	49.31498	7.76573	0.00000	54.80591	-87.882	9.63799	6.39113	41.85059	8.65739	4.22403	1153.40892	8.23781
7.01328	1.43051	5.48752	40.27007	7.80725	4.58987	70.50020	6.27917	1.00000	43.28367	48.87498	10.36201	5.03241	38.45598	7.48902	2.97506	1060.64807	5.79875
8.36156	4.87261	11.48323	53.65931	8.03395	6.92571	75.59672	8.33769	0.00000	60.64148	-96.39774	3.71144	3.76665	30.16688	6.17413	7.62141	1093.60351	8.27871
8.23921	7.34595	8.38875	44.66959	7.64028	11.28550	62.13343	5.71594	1.00000	60.54209	-65.71875	7.57938	8.65520	-21.44345	10.84925	7.01006	1194.39619	8.78131
5.56831	2.60774	18.37351	38.54260	8.72239	6.42799	78.32478	3.78441	0.00000	67.53347	-5.22126	8.04847	8.82347	33.43443	4.35518	5.35054	1071.25179	7.03852
6.35224	5.13591	11.49054	47.54769	6.21047	8.43645	57.09184	5.64913	1.00000	42.84092	-1.06667	9.35460	7.86102	53.78333	9.27169	6.79833	1146.01239	8.36205
8.16812	6.75524	24.60185	26.33486	6.86021	6.39004	51.66608	5.86040	0.00000	57.07346	-7.32097	7.05199	5.58863	41.1053	6.51444	8.87187	1152.80303	8.59726
9.34048	2.16217	14.18748	51.98746	7.08114	8.30608	70.27786	5.24062	1.00000	54.08465	34.75699	9.99873	10.57743	31.39547	7.70770	6.55363	1079.28920	6.85414
6.56403	6.18656	12.99620	34.73452	7.17987	3.88943	60.90125	7.84929	1.00000	41.60196	104.1451	11.03939	8.50717	15.79408	5.22296	5.90532	1109.05392	8.54724
7.17947	4.71809	-1.44715	37.87013	7.64457	5.86802	69.50613	7.02016	1.00000	39.61091	-95.44744	9.07034	6.69246	29.53885	9.98614	5.99512	1092.33746	8.34076
9.48535	1.66602	30.92791	49.07268	7.49703	11.78483	71.56327	9.04457	1.00000	68.49059	-76.88442	10.56308	6.75051	40.2737	8.35127	9.64587	1110.90840	7.24934
7.33913	0.91293	4.16049	41.91918	7.24505	5.30539	54.85845	8.45990	0.00000	47.13395	-72.09391	9.65224	6.40522	18.65297	8.93034	3.75523	1096.91308	5.98160
7.98888	2.20710	29.77273	49.07110	7.91877	5.61188	52.26686	7.18204	1.00000	44.36370	-3.53261	11.32984	8.90009	40.42386	3.72335	7.64093	1078.58720	6.33015
7.19484	2.65485	1.99729	30.96316	7.81725	5.89747	66.98889	6.83649	0.00000	22.18529	-97.90308	9.33799	8.25944	31.12406	8.46148	4.75986	1182.69211	7.58739
7.77523	2.61758	34.14615	45.85837	8.36382	5.76229	56.86498	6.61818	0.00000	36.99744	32.86389	9.92873	9.81719	53.95278	8.58432	5.17936	1162.62777	7.43767
6.33451	2.37471	19.98242		8.50811	6.86322	67.09918	4.60267	0.00000	75.78955	-122.2608	6.19901	4.67632	38.17492	7.28687	9.08398	1091.29364	7.12201
7.80255	14.66201	26.06730	31.11421	8.89827	8.39165	59.80562	7.90576	1.00000	60.95231	-81.24441	10.17638	7.13986	23.15678	10.54751	4.82800	1155.86590	9.53358
6.20866	7.84896	5.30703	53.95809	9.16201	7.91395	65.39469	8.53919	1.00000	50.19344	3.39467	10.37029	9.51780	6.45407	7.57315	6.81708	1147.94904	8.78593
7.43684	3.22162	19.05706	44.58417	7.74027	4.54313	54.24037	5.24014	1.00000	59.64632	-1.05366	8.79437	8.34138	43.71032	6.29030	5.99838	1140.38199	7.47092
8.37464	2.26531	3.73409	41.57974	6.79996	7.21449	70.17909	4.92887	1.00000	53.89294	65.27258	7.90453	8.61400	58.04254	6.05697	5.13314	1107.95866	7.05841
9.11673	4.12739	-16.84651	23.64423	7.37586	10.73638	73.66995	6.76192	1.00000	49.53460	88.1453	8.33170	8.78981	22.4711	11.50006	6.50877	1115.76478	7.94608
7.35086	1.69192	18.07507	38.67988	6.86467	9.26370	51.30515	5.33047	1.00000	34.43366	3.39467	8.81334	9.69375	6.45407	7.57346	5.31733	1050.47080	5.52905
9.50659	2.62371	7.17704	35.45971	7.38191	6.77749	63.07218	6.30145	0.00000	66.64939	-93.12577	6.24913	4.35372	44.73941	5.78788	7.43256	1082.95030	6.80862
7.80288	2.15630	24.09828	45.72109	4.93799	6.31234	50.96716	3.82689	0.00000	69.34859	-3.53261	6.22368	5.28769	40.42386	7.10149	9.64975	1142.01639	7.22756
8.11349	4.05857	20.01939	48.85242	6.88820	4.99665	65.13061	8.24203	0.00000	32.17475	-74.28459	9.74816	4.91352	40.5576	9.61760	3.57379	1081.52320	7.86176
7.42573	2.85754	3.36966	29.95370	7.07072	5.68920	65.46685	7.27333	1.00000	55.04661	-102.36764	8.27889	4.09696	31.84568	7.36303	5.19040	1121.85441	7.37912
9.36770	2.70871	9.70398	62.73383	7.06454	7.63772	60.86392	6.03443	1.00000	47.27637	-2.58736	8.70245	7.75359	56.56317	10.42712	6.10214	1164.06095	7.47460
7.61155	3.15625	14.10816	42.77786	5.89184	6.92620	64.73094	5.83671	1.00000	90.31388	-75.69947	6.77344	6.66422	8.79577	6.94656	9.34795	1085.10022	7.87293
6.03562	5.48355	11.78050	40.63707	6.36466	8.12411	70.50228	6.54608	1.00000	75.51642	-6.90656	6.67322	6.17034	33.92866	10.97305	8.44485	1135.04992	8.22212
