QoS	station	latitude	code	revision	longitude
good	Talipparamba	12.04161	IN	06/24/2022, 00:00:00	75.35927
excellent	Freetown	8.48714	SL	14 May 2022	-13.2356
accep	Temse	51.12794	BE	05 Apr 2021	4.21372
accep	Talence	44.80477	FR	2015-07-30	-0.59543
excellent	Sonzacate	13.73417	SV	2016/10/30	-89.71472
good	Timaru	-44.39672	NZ	05/02/2021, 00:00:00	171.25364
good	Catende	-8.66667	BR	2016-08-05	-35.71667
accep	Belper	53.0233	GB	01/04/2022, 00:00:00	-1.48119
building	Reus	41.15612	ES	2016-07-09	1.10687
good	Gembloux	50.56149	BE	02 Dec 2016	4.69889
excellent	Okahandja	-21.98333	NA	08/31/2018, 00:00:00	16.91667
good	Aklera	24.41288	IN	22 May 2018	76.56719
accep	Guli	28.88162	CN	2022/04/20	120.03308
good	Ueno-ebisumachi	34.75856	JP	2018-05-28	136.13108
excellent	Temse	51.12794	BE	2017-06-30	4.21372
excellent	Edremit	39.59611	TR	22 May 2013	27.02444
accep	Rixensart	50.71229	BE	29 Aug 2021	4.52529
excellent	Catende	-8.66667	BR	11 May 2022	-35.71667
good	Mianwali	32.57756	PK	29 Oct 2018	71.52847
excellent	Rosemount	44.73941	US	2017-02-19	-93.12577
average	Charlottetown	46.23899	CA	17 Sep 2020	-63.13414
maintenance	Nikolayevsk-on-Amure	53.14657	RU	2014/06/06	140.72287
building	Shimotoda	35.815	JP	02/01/2021, 00:00:00	139.6853
average	Troutdale	45.53929	US	05/22/2022, 00:00:00	-122.38731
average	Beni Douala	36.61954	DZ	12/01/2017, 00:00:00	4.08282
maintenance	Burgos	15.72892	PH	25 Feb 2015	120.57224
excellent	Kensington	40.64621	US	2017-01-11	-73.97069
average	San Rafael	9.92787	CR	2020/09/29	-84.13722
accep	Patnos	39.22493	TR	11/29/2015, 00:00:00	42.85693
average	Brzeg	50.86079	PL	2022/09/24	17.4674
good	Kati	12.74409	ML	2022/05/09	-8.07257
average	Volla	40.87363	IT	2015-02-02	14.34085
excellent	Rosedale	39.32011	US	02/04/2015, 00:00:00	-76.51552
excellent	Kyzylorda	44.85278	KZ	2013-09-25	65.50917
average	Herblay	48.98994	FR	07 Dec 2012	2.1699
good	Beryozovsky	56.9083	RU	2019/07/08	60.8019
accep	Martinsburg	39.45621	US	12 Nov 2016	-77.96389
maintenance	Vienne	45.51667	FR	19 Oct 2017	4.86667
good	Diamond Harbour	22.19303	IN	11/17/2015, 00:00:00	88.18466
maintenance	Oktyabr’skiy	54.48147	RU	21 May 2018	53.47103
good	Altamira	-3.20333	BR	05/11/2019, 00:00:00	-52.20639
excellent	El Alia	37.16911	TN	2015/08/06	10.03478
maintenance	Mongo	12.18441	TD	11/12/2019, 00:00:00	18.69303
maintenance	Gingee	12.25282	IN	2018/04/13	79.41727
excellent	Shepetivka	50.18545	UA	09/03/2019, 00:00:00	27.06365
average	Pontevedra	-34.74785	AR	2020/12/30	-58.70072
accep	Pujali	22.4711	IN	2020/11/25	88.1453
accep	Chapletown	53.46506	GB	2017/10/20	-1.47217
average	Utica	43.1009	US	2018/11/19	-75.23266
maintenance	Elamanchili	17.54907	IN	29 Jun 2014	82.85749
average	Severodvinsk	64.5635	RU	2020/03/31	39.8302
maintenance	Rueil-Malmaison	48.8765	FR	11/08/2019, 00:00:00	2.18967
excellent	Marseille 11	43.2907	FR	2016/08/04	5.4384
excellent	Serinhisar	37.58105	TR	2022/09/11	29.26639
average	T’aebaek	37.1759	KR	07/06/2021, 00:00:00	128.9889
excellent	Yanliang	34.65918	CN	26 Apr 2020	109.22921
average	Shimotoda	35.815	JP	2019/04/03	139.6853
good	Mianwali	32.57756	PK	04/01/2021, 00:00:00	71.52847
excellent	Strzelce Opolskie	50.5107	PL	17 Sep 2017	18.30056
accep	Privolzhskiy	51.40944	RU	01 Apr 2014	46.04833
excellent	Hoxtolgay	46.51872	CN	13 Nov 2016	86.00214
average	Severodvinsk	64.5635	RU	03/15/2016, 00:00:00	39.8302
average	Boston	42.35843	US	2015/01/17	-71.05977
excellent	Mongo	12.18441	TD	2017/02/19	18.69303
accep	Svatove	49.41029	UA	2022/03/28	38.15035
good	Sillanwali	31.82539	PK	2020-02-20	72.54064
maintenance	Dipolog	8.56697	PH	2014/11/06	123.33471
excellent	Port Richmond	40.63316	US	12/31/2019, 00:00:00	-74.13653
excellent	Surbiton	51.39148	GB	2015-09-30	-0.29825
average	El Copey	10.15031	CO	2013-11-07	-73.9614
average	Bushey	51.64316	GB	10/16/2020, 00:00:00	-0.36053
average	San Fernando de Henares	40.42386	ES	2016-08-26	-3.53261
excellent	Kidodi	-7.60361	TZ	2018/05/12	37.00438
accep	Alexandria	31.20176	EG	2015-09-21	29.91582
excellent	Andijon	40.78206	UZ	2017-10-20	72.34424
average	Barras	-4.24444	BR	2016/06/17	-42.29444
maintenance	Eastwood	-33.79176	AU	03/30/2016, 00:00:00	151.08057
accep	Liberia	10.63504	CR	04/20/2015, 00:00:00	-85.43772
average	Arba Minch	6.03333	ET	2021-04-25	37.55
average	Qadirpur Ran	30.29184	PK	06/20/2013, 00:00:00	71.67164
excellent	Antanifotsy	-19.65	MG	2014-02-18	47.31667
excellent	Nowshahr	36.64852	IR	12/07/2013, 00:00:00	51.49621
excellent	Naro-Fominsk	55.38752	RU	2019/08/14	36.73307
excellent	Minas de Marcona	-15.21194	PE	06/24/2016, 00:00:00	-75.11028
accep	Ferrol	43.48961	ES	2016/09/08	-8.2194
building	Bourbonnais	41.15376	US	01/24/2022, 00:00:00	-87.88754
accep	San Jose	12.35275	PH	2016/06/18	121.06761
excellent	Scarsdale	41.0051	US	2019/06/27	-73.78458
accep	Sojat	25.92493	IN	02/17/2013, 00:00:00	73.66633
excellent	Kismayo	-0.35817	SO	2017/11/03	42.54536
good	Bibiani	6.46346	GH	2019-05-18	-2.31938
good	Sathyamangalam	11.50526	IN	08/16/2017, 00:00:00	77.23826
accep	Losser	52.26083	NL	05/11/2021, 00:00:00	7.00417
accep	Kampung Ayer Molek	2.2139	MY	2019/05/14	102.3278
average	Kediri	-7.81667	ID	2018/06/02	112.01667
good	Catende	-8.66667	BR	06/19/2018, 00:00:00	-35.71667
average	Ponta Delgada	37.74615	PT	2019-03-09	-25.66689
building	Ilesa	7.62789	NG	2019-04-24	4.74161
building	Villabate	38.07789	IT	03/19/2017, 00:00:00	13.44275
good	Aurora	39.72943	US	2019/08/29	-104.83192
average	Gates-North Gates	43.16547	US	11 Jan 2015	-77.70066
average	Brazzaville	-4.26613	CG	2014/02/25	15.28318
excellent	Ada	34.77453	US	04/13/2021, 00:00:00	-96.67834
average	Westchester	41.85059	US	08/02/2018, 00:00:00	-87.882
average	Vahdat	38.55632	TJ	2019/04/29	69.01354
excellent	Schleswig	54.52156	DE	2014/10/02	9.5586
accep	Aguadilla	18.42745	PR	24 Aug 2021	-67.15407
building	Deoli	25.75728	IN	02/10/2017, 00:00:00	75.37991
maintenance	Sicklerville	39.71734	US	24 Oct 2012	-74.96933
maintenance	Boyeros	23.0072	CU	2021-07-18	-82.4017
good	Caravaca	38.10558	ES	17 Jan 2016	-1.86343
average	Aracaju	-10.91111	BR	2021-11-14	-37.07167
average	Resplendor	-19.32556	BR	2014/08/23	-41.25528
average	Tharu Shah	26.9423	PK	08/22/2019, 00:00:00	68.11759
accep	Catende	-8.66667	BR	26 May 2019	-35.71667
good	Aistala	23.18	IN	03/22/2021, 00:00:00	88.58
average	Fontenay-aux-Roses	48.79325	FR	2015/04/23	2.29275
excellent	Shushary	59.80917	RU	2014-07-01	30.38167
excellent	Rio Real	-11.48472	BR	2013/03/25	-37.93278
maintenance	Sremska Mitrovica	44.97639	RS	2013/08/05	19.61222
average	Mwandiga	-4.83	TZ	2018-05-16	29.65806
average	Dax	43.71032	FR	09/02/2015, 00:00:00	-1.05366
good	Aykhal	65.93381	RU	06/27/2017, 00:00:00	111.4834
good	West Des Moines	41.57721	US	2021-03-09	-93.71133
accep	Somoto	13.48082	NI	11/28/2015, 00:00:00	-86.58208
maintenance	Harrisburg	40.2737	US	2017-09-27	-76.88442
good	Watsonville	36.91023	US	10/02/2013, 00:00:00	-121.75689
average	Frankston South	-38.16604	AU	06/22/2018, 00:00:00	145.13643
excellent	Clacton-on-Sea	51.78967	GB	2019/09/03	1.15597
excellent	Marau	-28.44917	BR	2018-08-05	-52.2
average	Teziutlan	19.8173	MX	26 Feb 2020	-97.35992
accep	Yanliang	34.65918	CN	18 May 2020	109.22921
average	Hrazdan	40.49748	AM	06/02/2014, 00:00:00	44.7662
maintenance	Rhosllanerchrugog	53.00974	GB	2018/05/31	-3.05814
accep	Lymington	50.75767	GB	15 Aug 2019	-1.5443
building	Onex	46.18396	CH	2017/08/04	6.10237
good	Bourbonnais	41.15376	US	2022/09/11	-87.88754
accep	Gingee	12.25282	IN	2020/10/17	79.41727
average	Ulanhot	46.08333	CN	05/21/2013, 00:00:00	122.08333
accep	Beni Khiar	36.46917	TN	2017-08-29	10.78222
good	Sharypovo	55.54028	RU	05 Sep 2018	89.20083
accep	Itacoatiara	-3.14306	BR	2020-09-05	-58.44417
good	San Carlos	8.79577	CO	2020-09-28	-75.69947
accep	Chilibre	9.15093	PA	2013-01-03	-79.62098
accep	Chichicastenango	14.93333	GT	23 Mar 2018	-91.11667
good	Carindale	-27.50578	AU	2021/12/05	153.10236
building	Wevelgem	50.8	BE	05 Nov 2019	3.16667
accep	Shaowu	27.34089	CN	12/24/2020, 00:00:00	117.4831
good	Gembloux	50.56149	BE	2017/08/23	4.69889
accep	Teziutlan	19.8173	MX	2016/07/04	-97.35992
excellent	Soroca	48.15659	MD	2020-05-15	28.28489
excellent	Ferrol	43.48961	ES	2013/03/17	-8.2194
average	Otegen Batyra	43.41949	KZ	2015/07/26	77.0202
average	Lexington	33.98154	US	15 Nov 2012	-81.23621
average	Massapequa	40.68066	US	2014-06-12	-73.47429
average	Front Royal	38.91817	US	01 May 2017	-78.19444
good	Lower Earley	51.42708	GB	21 Oct 2018	-0.91979
building	Rutland	43.61062	US	07/07/2020, 00:00:00	-72.97261
excellent	Bryn Mawr-Skyway	47.4943	US	16 Mar 2018	-122.24092
excellent	Pottstown	40.24537	US	03/03/2022, 00:00:00	-75.64963
maintenance	Fayetteville	35.05266	US	2013-09-25	-78.87836
average	Qadirpur Ran	30.29184	PK	2016-12-14	71.67164
accep	Biu	10.61285	NG	2016/07/12	12.19458
accep	Zgorzelec	51.14942	PL	12/09/2016, 00:00:00	15.00835
excellent	Darreh Shahr	33.14447	IR	27 Sep 2020	47.3799
good	Greenfield	39.78504	US	08/03/2021, 00:00:00	-85.76942
good	Bar-le-Duc	48.77275	FR	2017/03/01	5.16108
excellent	Lompoc	34.63915	US	2021-02-06	-120.45794
accep	Argungu	12.74482	NG	2019/09/19	4.52514
