TEMP	PAHs	O3	C2H3NO5	NOx	CO	CFCs	PM10	PM2.5	CH4	PRES	Pb	NH3	SO2	warning	H2CO	latitude	longitude
9.93669	8.20321	8.35828	0.10958	6.55483	8.20034	39.49566	7.36429	7.81458	6.47621	1170.84629	67.19546	8.89872	7.53294	0.00000	47.00786	30.75545	20.22625
17.44838	4.84744	8.40887	0.16461	10.44693	8.26980	53.51301	8.37406	8.09719	8.28273	1063.34744	71.88717	8.63316	6.46141	0.00000	54.69752	34.5624	38.28402
10.62313	5.96113	8.36982	0.13551	10.45997	6.27172	46.98854	8.17429	8.61917	10.92893	1132.53331	48.30191	7.59560	9.04626	1.00000	59.02686	44.73941	-93.12577
8.74256	7.76772	7.95118	0.18073	8.53136	6.59558	39.53677	8.56208	7.70110	9.83599	1154.99583	41.74651	7.79091	7.65492	1.00000	62.49404	50.82709	6.9747
22.24947	4.50250	8.09489	0.08673	7.66944	10.49420	56.95340	6.76556	8.58306	10.52541	1139.94907	46.54726	8.83581	6.19264	0.00000	39.12534	-4.5833	15.16554
23.66567	5.70624	9.49955	0.29620	6.09813	7.51909	64.62307	9.33199	6.74847	9.02549	1103.52492	60.26489	8.18420	9.89799	1.00000	69.17056	20.88098	75.11937
15.91691	6.79808	8.53035	1.66002	4.16279	5.94849	44.01305	11.14944	6.95570	11.61357	1102.68167	62.21988	7.79360	8.00770	1.00000	76.55891	36.92574	14.72443
12.97980	6.59942	9.38892	0.05245	5.83142	8.96423	57.99102	5.24077	9.15611	10.45853	1050.82325	68.16462	9.30767	7.09889	0.00000	52.77575	10.66668	-61.51889
-10.40169	5.84569	7.81182	0.21475	7.55442	6.72431	42.28494	8.85164	7.92997	9.10831	1125.79971	45.24306	9.66311	9.62287	1.00000	74.45134	23.04419	-82.00919
23.83165	6.79223	8.29757	0.18081	7.37303	7.06501	45.24895	8.58697	8.52713	8.41539	1080.76489	74.75295	7.81600	8.74602	1.00000	30.64353	23.04419	-82.00919
19.73047	7.78646	9.71935	0.41198	6.59385	6.76421	73.89011	9.65268	8.77493	9.83781	1119.07919	49.39313	6.98223	9.52611	1.00000	49.38992	45.51667	4.86667
-8.61684	9.84142	6.99028	0.06306	7.89425	6.91703	79.71741	2.91358	6.10933	8.50869	1132.34585	57.78605	7.97010	7.74745	0.00000	45.98065	36.81667	117.81667
0.26643	4.91640	6.20496	0.05904	7.42599	10.96754	67.57683	6.23966	7.65201	9.45019	1144.21788	48.54290	7.38023	5.79695	0.00000	59.51045	27.76056	-15.58602
