location	QoS	longitude	revision	station	latitude
America/Bogota	accep	-74.26419	04 Jun 2018	Madrid	4.73245
America/Port-au-Prince	average	-72.22625	30 Jan 2015	Croix-des-Bouquets	18.57677
Asia/Kolkata	building	77.23826	2018/01/15	Sathyamangalam	11.50526
Asia/Kolkata	average	72.85107	10/12/2015, 00:00:00	Bhayandar	19.30157
Europe/Warsaw	average	15.00835	2013/02/11	Zgorzelec	51.14942
Asia/Kolkata	good	73.7553	21 Dec 2021	Calangute	15.5439
Europe/Istanbul	excellent	37.3825	2015/08/03	Gaziantep	37.05944
Europe/London	maintenance	-0.36053	2020/05/20	Bushey	51.64316
Europe/Rome	average	14.72443	2018/02/17	Ragusa	36.92574
Europe/Vienna	accep	16.4	10/02/2016, 00:00:00	Floridsdorf	48.25
Asia/Kolkata	good	73.7553	24 Sep 2021	Calangute	15.5439
America/New_York	good	-82.45426	2014/12/25	Venice	27.09978
America/Chicago	acceptable	-87.65644	2015/07/16	New City	41.80753
Africa/Kigali	average	30.4347	2013-11-01	Rwamagana	-1.9487
America/New_York	accep	-71.06616	2013/09/30	Malden	42.4251
Australia/Brisbane	average	152.70493	03/05/2014, 00:00:00	Maryborough	-25.54073
America/Mexico_City	building	-103.5687	2017-05-19	Zacoalco de Torres	20.22816
America/New_York	good	-77.96389	2013-08-03	Martinsburg	39.45621
America/New_York	accep	-81.77285	2015-10-19	Clermont	28.54944
America/Costa_Rica	good	-85.43772	2012-11-30	Liberia	10.63504
Asia/Yangon	average	98.19151	2014/10/25	Dawei	14.0823
Africa/Khartoum	excellent	34.3869	2016-08-03	Ar Ruseris	11.8659
Asia/Kolkata	good	72.93924	31 Dec 2015	Uran	18.87813
America/Los_Angeles	building	-117.54866	10/19/2017, 00:00:00	Norco	33.93113
Africa/Douala	accep	11.5	2022-03-13	Mbalmayo	3.51667
Europe/Chisinau	average	28.28489	05/15/2021, 00:00:00	Soroca	48.15659
Europe/Istanbul	excellent	37.3825	2014-01-20	Gaziantep	37.05944
America/Mexico_City	building	-93.11308	2016/05/30	Tuxtla	16.75973
Asia/Baku	building	45.36561	2013/07/29	Qazax	41.09246
Europe/Berlin	good	13.28702	09 Jul 2018	Dahlem	52.4581
Europe/Istanbul	excellent	28.67582	2022-08-12	Yakuplu	40.98894
America/Chicago	excellent	-93.08883	2015/11/07	Lino Lakes	45.16024
America/Phoenix	acceptable	-111.78903	2016-06-21	Gilbert	33.35283
America/Maceio	excellent	-37.07167	08 Jun 2020	Aracaju	-10.91111
Europe/Bratislava	average	17.22635	2015-06-08	Skalica	48.8449
America/Chicago	good	-94.41551	25 Jul 2015	Independence	39.09112
America/Los_Angeles	good	-120.43572	2019/10/19	Santa Maria	34.95303
Asia/Tokyo	excellent	137.5	2014-08-04	Shinshiro	34.9
Australia/Sydney	maintenance	151.07986	2016/06/13	Strathfield	-33.88096
Europe/Berlin	excellent	7.2278	2017-12-02	Bad Honnef	50.64336
America/Chicago	accep	-97.90308	2013-05-12	Copperas Cove	31.12406
America/Havana	excellent	-82.00919	06 Jul 2019	Jaruco	23.04419
Europe/Amsterdam	accep	5.74861	11/04/2012, 00:00:00	Emmeloord	52.71083
Asia/Kolkata	accep	79.5286	01/04/2013, 00:00:00	Haldwani	29.22254
Asia/Kolkata	excellent	74.3092	09/28/2016, 00:00:00	Rajaori	33.37526
Asia/Jakarta	average	113.69785	2013/08/30	Besuki	-7.73379
Europe/Lisbon	excellent	-8.2503	2022/06/17	Albufeira	37.08819
Europe/London	building	0.30367	01/23/2017, 00:00:00	Hartley	51.38673
Europe/Lisbon	building	-8.33147	09/22/2018, 00:00:00	Paredes	41.20485
Asia/Shanghai	accep	120.74792	16 Sep 2022	Nanpiao	41.09822
