O3	PRES	CFCs	warning	TEMP	SO2	C2H3NO5	NOx	longitude	CO	PM10	PAHs	Pb	PM2.5	latitude	CH4	H2CO	NH3
5.35969	1145.49586	74.80086	1.00000	11.15601	8.75944	0.47924	6.75021	-80.08199	8.23472	8.33881	11.87376	32.89208	9.72017	35.88264	8.09478	32.72683	9.95231
6.55954	1123.71025	68.97943	1.00000	5.47297	8.32240	0.18950	5.52512	10.03988	10.66685	6.54970	7.20281	45.83874	10.06455	53.6052	7.67273	43.33338	9.37424
6.14047	1136.03675	65.75223	1.00000	8.34364	9.20406	0.19025	6.33027	9.32241	7.41080	7.08128	5.42154	69.19691	7.18968	44.31771	6.07515	48.58532	7.72918
7.15793	1164.43846	65.62672	0.00000	6.04962	7.70034	0.34160	8.40232	47.1192	8.58363	7.38419	9.30206	52.35629	11.97344	42.819	3.41057	57.71027	7.27027
4.86935	1124.98459	74.86338	0.00000	22.82571	9.31580	0.05419	8.08356	15.16554	6.42224	4.91974	11.97871	85.42019	12.48069	-4.5833	5.07068	35.53299	5.53321
4.42671	1189.37432	66.06548	0.00000	9.27032	7.97329	0.14545	5.59226	75.16878	7.22929	5.44212	7.91316	45.50066	11.21724	30.81383	4.69081	47.81722	7.66182
9.40718	1063.53991	61.98819	0.00000	36.22132	9.34220	0.10988	4.91145	128.62667	8.60433	4.73004	9.87947	62.08425	8.08276	34.8825	7.07793	47.23096	9.54344
7.84988	1091.67416	70.21299	1.00000	14.08233	8.14073	0.19748	8.24690	74.85849	8.27710	6.77571	6.45870	59.34486	9.51439	31.28092	7.96661	28.14198	9.22735
8.74846	1153.73653	72.56398	0.00000	16.69336	7.75280	0.26209	9.49310	7.2278	8.54553	7.19594	10.47918	52.55744	11.56100	50.64336	4.32376	52.89151	9.23542
6.21136	1136.68785	66.62508	1.00000	35.55838	7.93680	0.56682	4.27606	-84.20299	8.11466	8.48844	6.75164	49.86005	10.68586	39.43534	7.23872	46.90985	8.78786
7.14212	1181.44282	68.16466	1.00000	17.21564	8.22587	2.89009	8.82716	-82.32483	9.18206	10.36127	9.90310	32.94879	11.91580	29.65163	11.33047	41.31439	9.61652
7.42721	1178.15523	77.64637	0.00000	8.28454	8.40507	0.25168	6.36886	-80.58556	8.22178	6.18273	6.80236	43.94635	10.20778	22.98212	4.61756	50.70018	7.18223
11.18987	1137.44294	61.07868	0.00000	0.80183	8.75200	0.21713	7.73955	117.63083	8.22168	5.20793	11.26014	56.29308	4.56290	35.50056	8.98992	73.97912	8.67396
10.19117	1132.24684	63.78558	1.00000	13.00160	8.76071	2.80416	7.25406	25.8191	8.36696	10.33246	8.34554	58.62067	8.79095	53.5942	10.00552	32.69995	8.73541
10.62917	1164.42830	75.56921	1.00000	25.34697	8.01059	0.70821	8.48577	120.89694	6.43253	8.78794	8.71886	50.10827	10.55138	14.95472	9.11347	41.17654	9.57685
7.89666	1074.32693	69.87081	1.00000	2.38693	7.81161	2.75108	8.33238	-87.70172	6.99149	10.32903	10.06154	40.83704		41.72059	9.25839	72.76719	7.36703
9.97645	1074.25597	68.10047	0.00000	13.76879	8.85471	0.81983	4.31800	37.56667	7.05987	8.95907	6.35455	46.19236	9.24793	55.85	3.83347	55.60367	8.28977
8.96963	1089.26774	69.92859	1.00000	21.94859	7.33204	0.69484	8.01593	14.39024	8.75913	8.79548	9.99088	51.75328	8.52287	42.22718	11.78827	40.02561	6.60008
7.95793	1155.37016	72.90966	0.00000	11.05817	9.11167	0.22122	7.77904	109.22921	6.90444	6.25963	11.88047	34.64755	10.34072	34.65918	6.68091	57.26104	8.34429
6.09801	1115.67386	67.23084	1.00000	25.20796	7.94585	0.23764	6.09984	-73.95958	9.70438	6.72181	9.27257	28.32655	10.54435	40.57788	7.91007	56.22885	7.19720
8.17287	1062.20189	80.04680	0.00000	29.03815	8.52723	0.35468	8.21968	139.55028	8.85711	8.10252	10.07513	41.45551	9.41274	35.30889	6.95925	51.85405	6.35835
6.50460	1097.18995	69.89564	1.00000	1.44516	10.66480	25.20109	8.45493	16.43915	7.25586	12.58210	9.70578	62.76167	10.22845	43.50891	9.69924	42.02302	7.62304
6.87093	1176.22189	68.85501	1.00000	-0.29362	9.51769	0.15794	5.23938	38.01667	8.29389	4.80305	7.36519	41.45369	9.84327	-5.41667	7.22359	46.71342	9.21781
6.83102	1096.75151	62.96320	1.00000	-1.61259	9.52514	12.63480	10.95319	30.79165	7.78178	11.88512	8.64727	67.00195	9.91701	-27.76952	10.21061	31.75432	7.85141
7.00316	1077.56656	72.02821	0.00000	23.32053	9.05856	0.45382	5.75461	4.7934	7.38524	8.32218	6.04101	56.87841	7.04501	45.69558	9.13003	42.19237	7.00541
8.82723	1186.95267	73.44603	1.00000	17.52334	7.44448	0.43929	8.90653	83.97573	8.84376	8.12781	4.51164	53.35039	10.82724	21.46527	5.71757	58.89991	8.68761
