QoS	location	longitude	revision	latitude	station
average	America/Phoenix	-111.89903	27 Jul 2022	33.50921	Scottsdale
excellent	Asia/Shanghai	125.51176	2017-01-03	42.64031	Dongfeng
maitennce	America/Belem	-48.52333	22 Feb 2015	-0.71667	Soure
accep	Europe/Rome	11.412	07 Jan 2021	45.50369	Montecchio Maggiore-Alte Ceccato
maintenance	Europe/London	-2.12139	2014/07/29	52.48173	Brierley Hill
maintenance	Europe/Berlin	9.20427	2017-05-31	48.49144	Reutlingen
excellent	Europe/Bratislava	17.8031	05/13/2021, 00:00:00	48.43174	Hlohovec
average	America/Los_Angeles	-123.02621	09/26/2022, 00:00:00	44.99012	Keizer
accep	Australia/Melbourne	145.13643	2014-07-22	-38.16604	Frankston South
good	Europe/Paris	5.55575	01/04/2020, 00:00:00	46.67535	Lons-le-Saunier
good	Asia/Yangon	98.50893	2020-03-22	16.68911	Myawadi
accep	Asia/Kolkata	75.35927	25 Apr 2014	12.04161	Talipparamba
excellent	Asia/Bangkok	99.96667	11/11/2016, 00:00:00	8.43333	Nakhon Si Thammarat
good	America/Bogota	-74.73584	2020-05-04	5.20856	Honda
excellent	Europe/Vilnius	24.75	2017/12/29	55.25	Ukmerge
good	Asia/Damascus	38.28402	2014-01-26	34.5624	Tadmur
good	America/New_York	-83.2321	03/30/2018, 00:00:00	33.08014	Milledgeville
average	Asia/Kolkata	77.9129	09/22/2015, 00:00:00	25.6439	Narwar
average	America/New_York	-81.77285	2018/02/18	28.54944	Clermont
average	Africa/Lagos	3.64633	12/16/2016, 00:00:00	6.8485	Shagamu
excellent	America/Chicago	-90.10674	2012-11-02	29.84576	Estelle
accep	Africa/Lagos	4.92235	2016/06/05	7.65649	Efon-Alaaye
excellent	Africa/Kampala	30.98551	07/13/2022, 00:00:00	2.41669	Paidha
average	America/New_York	-73.95958	2014/06/30	40.57788	Brighton Beach
accep	Europe/Berlin	13.32127	2021/10/22	52.59319	Wittenau
good	Africa/Lubumbashi	29.47306	06/04/2013, 00:00:00	0.49113	Beni
accep	Asia/Shanghai	120.03308	28 Jan 2013	28.88162	Guli
maintenance	Africa/Tripoli	20.22625	28 Sep 2014	30.75545	Ajdabiya
average	America/Chicago	-93.71133	2014-05-05	41.57721	West Des Moines
average	Europe/Minsk	30.2049	2020-08-28	55.1904	Vitebsk
average	Africa/Kampala	32.88667	2022/03/16	3.27833	Kitgum
excellent	Africa/Dar_es_Salaam	29.65806	2019/09/06	-4.83	Mwandiga
accep	Asia/Tokyo	135.6	12/21/2020, 00:00:00	34.61667	Yao
maintenance	Europe/Berlin	6.9747	2016-08-31	50.82709	Wesseling
building	Europe/Paris	3.87723	2020/08/20	43.61092	Montpellier
accep	Asia/Seoul	128.9889	21 Jan 2013	37.1759	T’aebaek
excellent	America/Bogota	-74.73584	24 Jan 2017	5.20856	Honda
good	Africa/Lubumbashi	24.43973	03 Jun 2013	0.76755	Yangambi
excellent	America/Chicago	-96.39774	28 Sep 2019	30.16688	Brenham
accep	Africa/Algiers	2.95924	2014-06-06	36.76775	Cheraga
maintenance	Asia/Shanghai	130.57211	2013/06/24	45.75279	Boli
accep	America/Chicago	-87.65644	2020/12/01	41.80753	New City
excellent	Europe/Vilnius	24.75	01 Mar 2018	55.25	Ukmerge
excellent	America/Sao_Paulo	-44.31389	07/25/2022, 00:00:00	-19.7625	Esmeraldas
good	Asia/Shanghai	117.55417	2014-08-28	34.86472	Zaozhuang
maintenance	Asia/Karachi	68.49143	25 Oct 2014	25.80565	Bhit Shah
maintenance	Europe/Rome	9.40531	2016/04/11	45.53069	Gorgonzola
accep	America/Fortaleza	-42.29444	20 Dec 2015	-4.24444	Barras
good	America/New_York	-78.19444	2017-12-22	38.91817	Front Royal
good	Africa/Dar_es_Salaam	39.28333	07/01/2019, 00:00:00	-10.33333	Nyangao
excellent	Africa/Tunis	10.03478	2016/07/12	37.16911	El Alia
good	Africa/Dar_es_Salaam	37.00438	2019-06-27	-7.60361	Kidodi
excellent	Europe/Paris	1.6	05/14/2016, 00:00:00	43.11667	Pamiers
accep	Europe/London	-0.33525	2016/03/11	53.7446	Kingston upon Hull
building	America/Guayaquil	-79.59415	03 Apr 2021	-2.13404	Milagro
excellent	Asia/Kolkata	91.00632	04/07/2020, 00:00:00	26.32293	Barpeta
good	America/Chicago	-91.73625	2020-11-30	35.25064	Searcy
excellent	Asia/Jakarta	114.33333	01/18/2013, 00:00:00	-8.43333	Muncar
building	Asia/Kolkata	72.93924	03 Feb 2013	18.87813	Uran
building	Asia/Kolkata	71.21169	04/16/2020, 00:00:00	21.59983	Amreli
