PRES	warning	PM10	C2H3NO5	TEMP	NH3	SO2	CO	longitude	CFCs	PM2.5	latitude	NOx	CH4	O3	PAHs	Pb	H2CO
1176.50870	1.00000	9.27707	11.66253	27.93904	8.84970	6.07997	3.56157	-93.71133	66.74455	6.90823	41.57721	9.33696	11.44700	6.39297	11.49539	51.06762	41.47558
1161.54335	0.00000	7.89454	3.93085	29.45432	4.80319	7.12589	6.34273	120.82747	67.94764	5.62226	37.30553	5.23025	9.38849	7.89302	8.67020	39.62457	64.88819
1134.12788	1.00000	7.26895	2.77840	7.87619	7.95055	8.58926	4.31321	121.12251	68.02935	7.02252	14.62578	7.16713	8.71736	7.43676	9.92596	58.93094	74.64639
1162.17300	1.00000	7.07179	2.65394	17.70300	6.63253	9.12332	8.57434	-83.48216	58.12823	9.05574	42.30865	5.19207	9.23740	7.82593	8.89635	69.09226	36.77730
1086.06552	1.00000	6.28226	1.84760	6.01366	11.43835	8.42567	5.38361	77.40858	47.20894	5.90469	24.05979	7.52512	8.55021	7.38091	6.49419	36.13390	52.70117
1140.13623	1.00000	7.66828	3.48047	13.62066	8.84849	8.44090	7.97144	-69.96533	61.85005	8.26252	43.91452	5.83767	9.59329	8.50968	11.33855	59.11612	45.22698
1172.52043	1.00000	5.86259	2.26905	28.92845	8.21039	7.29796	5.60824	-40.7475	47.38722	6.57555	-4.16694	4.89694	7.29568	7.64710	8.22351	51.92649	48.45373
1145.09832	0.00000	7.12657	2.45443	7.33947	6.17216	7.66763	7.05290	97.01124	60.32306	7.75043	17.30858	3.68248	8.31177	7.90486	9.90862	40.67964	40.85470
1113.84467	1.00000	6.89262	2.17330	28.69160	7.74800	8.16779	6.88586	-120.45794	72.93153	6.11578	34.63915	6.70469	7.88992	8.36632	9.55268	47.44204	66.03287
1171.41978	1.00000	8.28163	5.07565	10.75866	10.92184	5.80497	4.86400	16.86194	54.32433	6.73160	54.58048	7.65301	8.96283	6.43027	5.77579	27.62204	55.40024
1133.02349	1.00000	7.67852	3.43028	12.08729	6.27593	7.84325	9.02561	9.32241	76.15364	6.87082	44.31771	4.47856	7.64978	9.31415	7.32418	46.80279	27.96028
1065.66659	1.00000	6.18973	1.86817	34.29684	8.47506	7.48505	3.94712	-37.93278	51.91532	6.89974	-11.48472	7.43468	9.67409	5.51365	9.97518	49.53039	56.57171
1101.88942	1.00000	8.37073	5.31186	19.49101	5.42100	6.27101	6.67535	110.71639	63.62656	10.05202	-7.54972	5.78053	7.71138	7.09829	8.70701	24.65399	62.32083
1063.55559	0.00000	7.50003	3.04404	5.69736	7.53359	5.53060	6.77320	68.75915	66.84448	6.54044	27.52948	5.03848	8.21931	6.78446	7.38987	45.94560	56.04909
1153.10575	1.00000	5.42934	2.14305	22.67621	9.59366	7.99990	5.87123	-70.6996	39.02410	5.10920	-33.59217	5.83652	10.52470	7.23762	7.67465	59.23762	85.61533
1113.19756	0.00000	8.51537	5.82499	25.30857	7.05594	6.44388	5.61398	121.12251	59.22121	6.28434	14.62578	6.26263	10.02926	6.23780	5.98997	14.95720	45.33114
