latitude	location	longitude	code	QoS	revision
49.68369	Europe/Berlin	8.61839	DE	good	14 Jan 2015
39.72943	America/Denver	-104.83192	US	average	2018-12-10
30.75545	Africa/Tripoli	20.22625	LY	average	12 Jun 2020
44.92934	Europe/Moscow	37.99117	RU	good	01/14/2019, 00:00:00
53.81667	Europe/London	-3.05	GB	good	2013-01-21
41.1053	Europe/Lisbon	-7.32097	PT	accep	09/12/2022, 00:00:00
16.75973	America/Mexico_City	-93.11308	MX	excellent	11/23/2017, 00:00:00
44.43579	Europe/Bucharest	26.01649	RO	average	08/07/2021, 00:00:00
-23.44361	America/Sao_Paulo	-51.87389	BR	accep	2015/01/11
54.90083	Europe/Moscow	38.07083	RU	maintenance	11/09/2014, 00:00:00
43.48961	Europe/Madrid	-8.2194	ES	accep	2013/04/02
-7.54972	Asia/Jakarta	110.71639	ID	good	2019-12-11
16.06213	Asia/Kolkata	76.0586	IN	good	06/17/2013, 00:00:00
47.76232	America/Los_Angeles	-122.2054	US	good	2015-01-11
41.77583	Asia/Tokyo	140.73667	JP	excellent	2017-12-22
34.06635	America/New_York	-84.67837	US	average	24 Dec 2020
51.03427	Europe/Brussels	5.37429	BE	good	05/18/2022, 00:00:00
-28.44917	America/Sao_Paulo	-52.2	BR	excellent	17 May 2020
-0.71667	America/Belem	-48.52333	BR	average	2019/12/29
-21.15	Indian/Antananarivo	46.58333	MG	excellent	2014-01-04
35.72917	Africa/Tunis	10.58082	TN	average	2017-09-27
38.70734	America/New_York	-77.02303	US	excellent	2015/05/01
5.84752	Africa/Abidjan	-5.682	CI	average	27 Sep 2022
51.78771	Asia/Yekaterinburg	56.36091	RU	good	2015/11/07
-4.42472	America/Fortaleza	-41.45861	BR	excellent	23 Jun 2016
36.53333	Asia/Tokyo	136.61667	JP	accep	02/09/2018, 00:00:00
24.81757	Asia/Kolkata	84.63445	IN	excellent	2020-03-31
10.31672	Asia/Manila	123.89071	PH	average	09/25/2013, 00:00:00
