PAHs	warning	PRES	CO	CH4	C2H3NO5	Pb	latitude	CFCs	H2CO	PM10	longitude	SO2	TEMP	NOx	O3	PM2.5	NH3
8.62339	0.00000	1073.64803	7.79156	10.20185	10.54676	54.60618	44.59445	36.09225	60.65615	8.72706	11.04979	8.55782	24.63861	8.33461	7.77706	6.70113	7.01569
11.38883	1.00000	1083.01515	4.44855	8.19578	7.13317	48.92248	49.03685	57.28655	57.75994	7.74070	8.70745	8.27174	10.63251	5.85625	7.61751	8.57009	8.85329
9.41935	0.00000	1140.69442	2.15033	7.94155	1.63667	44.35681	19.64745	46.83243	62.95949	5.86727	-102.04897	13.40873	13.91012	7.44353	8.78726	6.16710	2.80005
4.31180	0.00000	1193.93180	7.20534	7.74656	9.75566	45.78800	-4.06667	56.52635	21.02799	8.58539	37.73333	7.51198	28.26893	7.84915	6.75341	8.10477	7.91905
8.78951	1.00000	1117.57858	5.09102	6.02838	3.35812	53.77138	29.98869	47.84676	59.02422	6.21088	122.20488	7.47371	10.90353	3.85656	8.14726	6.82823	11.24523
11.58358	0.00000	1058.93904	6.07060	9.72518	3.93969	36.53201	-23.44361	46.91945	36.79263	7.42674	-51.87389	6.68639	2.25825	8.85700	8.37269	7.53819	9.43340
4.22493	1.00000	1070.30715	6.40307	7.14857	6.83438	62.51640	-8.99167	64.28749	35.33126	7.67861	125.21972	8.38433	1.87178	8.05833	7.99410	5.28659	11.43161
7.51014	0.00000	1072.68732	5.05922	8.29569	4.17708	42.21228	60.02427	49.93700	47.77452	6.66150	30.28491	10.18976	20.29264	9.67945	7.57452	7.03865	6.81876
10.67286	0.00000	1101.68564	6.21166	8.25960	16.06622	68.10986	14.8361	57.27771	14.07482	9.19769	120.97844	7.62733	-5.78073	8.88653	8.98981	7.45614	8.68040
8.58409	1.00000	1062.28153	5.49131	9.28294	4.37349	46.63318	42.24113	51.73668	55.50631	7.62011	-88.3162	10.14572	21.80729	8.12070	9.31330	7.78569	7.65526
10.00603	1.00000	1074.41543	5.37496	8.32094	4.00148	51.66959	55.82885	50.27945	60.53814	7.18855	-4.21376	5.62615	7.88716	5.03025	7.32224	6.82771	12.07699
8.30224	0.00000	1087.05450	3.78034	6.66421	20.20115	23.54813	37.08819	61.12596	27.93497	9.40558	-8.2503	8.18760	22.69264	6.89745	7.73944	8.97982	6.82641
8.90187	1.00000	1140.91144	5.75290	6.75840	8.66101	59.71455	10.10649	49.37547	61.34612	8.35827	76.35484	10.18747	20.88039	7.64674	9.23469	6.36995	8.05784
6.64831	1.00000	1109.44022	5.43742	7.52775	2.78480	45.37473	14.67751	53.02449	42.90126	6.59021	-60.94228	9.96925	8.68152	11.25913	9.26551	7.06142	7.08872
8.34084	1.00000	1076.97049	5.94319	6.44336	11.27115	65.05396	41.15376	46.31618	37.32234	8.74293	-87.88754	9.62608	2.17201	7.31327	7.02872	7.14503	8.74715
3.76560	1.00000	1162.86674	7.29629	8.28665	4.51300	52.89895	40.49748	52.46050	63.64121	6.83565	44.7662	6.75703	9.98527	10.87608	8.25931	7.68423	8.99133
7.45506	1.00000	1103.94032	7.07590	7.21463	2.59443	28.48838	12.37169	57.40584	55.70379	6.54589	123.62494	9.22239	14.41068		8.93008	8.59760	8.69900
5.65534	1.00000	1066.11287	5.95286	7.88471	5.17752	56.03729	55.25	47.60688	44.81900	7.80132	24.75	9.32813	11.51223	9.75645	6.57749	8.06523	9.63659
9.49078	1.00000	1183.41928	4.18115	8.33056	6.71072	41.92029	54.03876	30.86641	48.96181	8.09584	43.91385	8.11358	18.34020	6.61109	6.93974	5.12755	10.71489
5.60358	1.00000	1113.87781	5.31706	7.11892	9.04216	51.39035	54.58048	55.55351	55.96807	8.33217	16.86194	9.49862	-0.97299	11.40253	6.84197	6.23133	7.37367
10.71534	0.00000	1169.44117	3.71602	9.26481	5.46335	77.55440	45.44694	48.68938	40.51358	7.81436	8.62118	12.75872	24.52334	7.89489	6.80430	7.43227	7.06088
4.64811	0.00000	1076.25755	7.87337	3.37462	5.68563	35.65112	54.52156	61.83383	60.04943	7.64419	9.5586	10.75206	17.95178	6.24821	5.92042	7.53908	5.25448
6.40574	1.00000	1199.58113	6.10007	8.54299	4.25425	56.95064	26.18924	66.09452	37.60141	7.56976	-98.15529	8.71160	16.43325	7.87076	8.73501	6.94531	8.56035
9.00035	1.00000	1057.37056	7.33823	7.76282	5.34527	39.87783	42.24113	60.78203	37.75500	7.48162	-88.3162	8.98362	12.20503	8.49594	9.51556	7.04790	8.95294
7.15302	1.00000	1125.38722	5.46852	8.15810	3.16290	42.36273	26.11527	41.63925	50.17290	5.94682	86.59509	10.24184	8.85931	8.28142	6.99651	7.65808	8.84507
7.25329	0.00000	1141.97311	7.88823	9.10947	3.03005	38.58220	14.66	42.20883	45.21995	5.33560	120.56528	10.64768	18.46987	8.96348	8.72861	7.59225	5.69598
6.71819	0.00000	1183.13555	7.47619	8.63798	3.39363	57.21994	48.52961	48.51217	43.34044	7.00338	12.16179	5.02679	9.46494	7.08881	7.80961	7.51513	8.51378
3.93770	0.00000	1135.38521	5.14184	9.17358	9.11909	35.05456	40.70995	43.36522	30.57077	8.62418	0.57856	6.97998	21.13553	6.03640	5.90417	6.75198	7.52025
1.50543	0.00000	1119.05549	6.12939	5.45301	6.83217	58.79402	36.81667	61.72738	66.97089	8.08136	117.81667	10.84136	26.28102	5.79118	6.41181	7.66676	5.34942
7.57954	1.00000	1081.13962	8.56025	3.40459	4.60906	45.69507	53.94313	60.21362	58.38372	7.05649	10.30215	10.74122	9.71347	6.77029	8.18998	8.98096	5.11102
