latitude	station	longitude	revision	QoS	code
31.12406	Copperas Cove	-97.90308	09/27/2019, 00:00:00	accep	US
23.0072	Boyeros	-82.4017	2020/03/05	good	CU
12.37169	Masbate	123.62494	2018/05/16	building	PH
47.48444	Polohy	36.25361	2022-03-07	average	UA
-10.90889	Barra dos Coqueiros	-37.03861	2017-08-15	accep	BR
28.88162	Guli	120.03308	2022-05-10	accep	CN
50.76306	Cowes	-1.29772	30 Dec 2017	average	GB
55.62047	Tyoply Stan	37.49338	2020-09-23	accep	RU
33.45122	Hueytown	-86.99666	2014/06/09	building	US
36.02506	Brentwood Estates	-86.77917	2017-05-27	maintenance	US
-54.8	Ushuaia	-68.3	2014-02-09	good	AR
48.90472	La Garenne-Colombes	2.2469	2013/01/29	accep	FR
42.62833	Glogovac	20.89389	2020-08-16	average	XK
0.76755	Yangambi	24.43973	01 Dec 2021	excellent	CD
14.93333	Chichicastenango	-91.11667	11/05/2016, 00:00:00	building	GT
14.66	Pilar	120.56528	2021-02-01	average	PH
26.68451	Belle Glade	-80.66756	2014/11/07	maintenance	US
-3.20333	Altamira	-52.20639	2015-10-28	accep	BR
38.96667	Gandia	-0.18333	2014-02-22	good	ES
40.65995	Kearns	-111.99633	02/08/2019, 00:00:00	accep	US
52.59319	Wittenau	13.32127	03 Apr 2021	average	DE
50.11861	Penzance	-5.53715	01/07/2020, 00:00:00	good	GB
-0.71667	Soure	-48.52333	20 Jan 2015	building	BR
53.83333	Poulton-le-Fylde	-2.98333	11/07/2015, 00:00:00	good	GB
50.26729	Vernon	-119.27337	2014-10-17	maintenance	CA
-5.41667	Chanika	38.01667	2018/04/09	good	TZ
48.28259	Ehingen	9.72749	2013/04/04	average	DE
50.23805	Nidderau	8.86704	10/24/2021, 00:00:00	accep	DE
33.3213	Hita	130.94098	2015-09-23	accep	JP
-19.32556	Resplendor	-41.25528	23 Feb 2020	good	BR
-8.43333	Muncar	114.33333	25 Feb 2020	building	ID
35.06667	Sasayama	135.21667	15 Sep 2022	average	JP
13.8196	Nakhon Pathom	100.04427	2018/09/14	excellent	TH
26.18924	San Juan	-98.15529	2013/02/09	average	US
42.64685	Villaquilambre	-5.55835	2015-07-19	maintenance	ES
43.67681	Arles	4.63031	24 Sep 2017	accep	FR
47.05	Sankt Peter	15.46667	17 Nov 2020	good	AT
52.86147	Walsrode	9.5926	2013-08-11	good	DE
-7.51611	Wangon	109.05389	27 Sep 2014	maintenance	ID
35.48199	Minokamo	137.02166	21 Nov 2014	average	JP
25.80565	Bhit Shah	68.49143	20 Nov 2018	good	PK
43.61062	Rutland	-72.97261	07/06/2021, 00:00:00	average	US
-44.39672	Timaru	171.25364	2016/03/09	excellent	NZ
42.55308	Pleasant Prairie	-87.93341	05/15/2014, 00:00:00	excellent	US
53.00974	Rhosllanerchrugog	-3.05814	12/10/2018, 00:00:00	average	GB
34.81667	Toyokawa	137.4	19 May 2016	good	JP
28.92694	Bachhraon	78.23456	2018-04-01	building	IN
38.91817	Front Royal	-78.19444	2013-03-09	maintenance	US
40.70995	Amposta	0.57856	12/04/2019, 00:00:00	excellent	ES
48.46458	Pfullingen	9.22796	10/28/2014, 00:00:00	good	DE
