C2H3NO5	CO	longitude	TEMP	NH3	PM2.5	CFCs	latitude	warning	SO2	CH4	NOx	PAHs	PM10	Pb	H2CO	O3	PRES
0.29582	7.54481	-90.10674	16.66971	5.58846	6.72058	37.04569	29.84576	1.00000	8.11022	7.62523	10.99474	10.53602	7.89518	68.49501	59.52489	3.70972	1105.29731
2.88757	7.18510	141.95	19.54679	6.55848	7.15791	46.82544	39.46667	0.00000	6.34782	2.90148	8.53666	8.12817	10.69096	44.18543	35.33512	7.32270	1068.57748
0.31991	6.57498	-88.64235	15.71173	7.32733	6.08704	39.98447	46.09273		7.75423	4.52858	8.61190	10.46623	8.03616	56.71837	37.97983	4.38609	1080.23443
0.11020	5.27447	123.50266	7.02313	5.02036	8.17991	27.29392	41.94175	0.00000	5.39768	5.71363	7.25676	7.93501	5.79762	67.88647	39.87848	5.64687	1181.30034
1.79403	5.39932	-89.99038	3.09175	7.89848	6.87909	38.58508	38.58894	0.00000	7.12496	7.97203	7.12008	4.89309	10.19504	32.01598	64.34184	8.27149	1175.11281
0.13733	5.83673	114.10479	9.19322	6.42198	6.48024	42.99886	22.37066	0.00000	5.59368	5.95130	8.05666	5.95837	6.40203	76.20551	51.00258	10.31040	1124.64646
1.19227	7.55298	-89.99038	18.04739	6.75757	7.52963	49.06929	38.58894	1.00000	10.83536	7.87360	9.75524	9.24586	9.71853	44.00363	44.47709	3.22181	1138.55399
1.01804	8.24476	21.32778	12.36734	6.65910	8.75912	41.59687	42	0.00000	6.52972	6.95820	6.15044	3.47418	9.58831	28.97574	41.56158	7.00910	1167.52715
0.22852	9.12143	69.01354	9.44870	8.67962	4.67984	45.58468	38.55632	1.00000	3.05715	9.66166	8.50155	6.09059	7.66520	71.87473	52.33989	9.19082	1074.39296
0.63605	8.48431	70.91106	12.53064	6.93787	7.25805	54.32569	29.38242	1.00000	5.82005	10.05057	10.39583	7.70847	9.13861	47.88181	43.67848	8.20684	1183.54778
0.33173	7.20512	118.53333	29.15719	6.63120	7.89704	35.77197	27.92333	1.00000	8.33723	7.91907	7.33950	5.10486	8.05035	49.68508	56.05483	6.98734	1080.42462
0.08185	4.70130	13.10984	8.22388	6.33391	5.17441	27.05005	51.30001	0.00000	1.45052	8.03811	10.60831	5.90272	3.15183	58.56836	45.03666	6.46916	1102.96512
0.38402	7.01292	30.38167	13.53889	5.91122	6.23993	38.62066	59.80917	1.00000	7.48996	3.25293	7.89297	7.15374	8.53280	31.13312	61.97083	4.53777	1136.12271
0.77135		152.70493	28.79323	8.71013	7.62275	50.91177	-25.54073	1.00000	12.08268	7.23258	5.29850	8.16412	9.25646	36.41525	47.96328	4.81722	1093.32488
0.15338	6.83020	4.18333	18.02816	6.39985	8.08872	57.38227	7.6	1.00000	10.09978	6.83652	9.72254	3.51064	6.80854	54.06254	60.55978	5.10541	1075.31689
0.15905	6.93478	11.37703	4.10370	5.67998	7.56861	66.73345	48.06919	0.00000	6.28361	7.41475	10.10005	7.72209	7.24500	58.20937	55.42055	9.08161	1149.74536
0.16865	6.71855	84.87144	12.06525	6.81870	6.25217	23.36126	47.46657	0.00000	5.74154	5.57120	9.73258	7.53550	6.98408	40.70227	54.98409	6.47503	1128.48262
1.05314	5.48958	-1.05366	7.31223	6.44922	8.66441	62.40721	43.71032	1.00000	8.58014	8.98099	9.84578	9.84572	9.63753	56.84047	48.44525	6.22390	1079.16604
0.40314	5.10900	-73.81669	6.12351	6.49840	7.71816	64.03385	45.44868	1.00000	9.43277	7.70348	8.35802	4.45726	8.36215	67.51069	40.38359	8.43263	1065.61759
0.14281	7.06404	46.58333	31.58907	7.10597	5.45978	52.13420	-21.15	0.00000	5.72416	5.30650	10.55031	5.85315	5.88636	45.90045	52.35394	8.33365	1092.37517
0.31170	6.00948	75.92694	6.29484	4.63187	6.21567	62.54707	14.46693	1.00000	6.23419	6.50090	8.91491	4.95941	8.06690	56.23331	52.61919	5.26743	1050.30080
0.12404	7.88358	137.5	14.48097	6.93881	8.00224	45.27885	34.9	0.00000	7.29020	5.34831	6.83072	8.15776	5.83686	53.79780	48.66606	6.23292	1070.84653
0.56439	8.24190	113.82465	23.11126	6.44645	7.16569	60.02403	23.29549	1.00000	9.04619	7.92829	8.14133	5.22718	8.86489	40.46040	59.83068	6.54987	1106.04614
0.20500	9.29531	8.77155	9.20795	7.22719	5.96869	75.86825	50.23019	1.00000	6.56610	8.20931	6.53120	6.13485	7.32146	36.90571	58.73055	6.91636	1152.66984
0.18487	7.59673	73.06784	-0.14983	5.08281	6.44121	47.55209	25.13915	1.00000	7.54601	8.73597	8.31277	7.52893	6.95090	42.19761	51.76341	4.86790	1169.33751
0.52486	6.60919	-75.60804	14.16343	8.46400	7.87780	46.62228	39.96097	1.00000	7.54911	8.94158	8.76807	8.13663	8.89216	37.20372	52.14887	6.69793	1102.31828
0.58015	6.68140	-76.99081	8.66717	7.04661	6.95858	51.37254	38.96372	1.00000	11.97073	6.77711	8.37917	9.12035	8.97678	57.78119	62.34850	2.06691	1159.50283
