location	station	revision	latitude	longitude	QoS
Africa/Maputo	Maxixe	09/15/2014, 00:00:00	-23.85972	35.34722	building
Asia/Dhaka	Manikchari	2019-05-28	22.83957	91.84128	accep
America/Sao_Paulo	Soledade	2021-11-09	-28.81833	-52.51028	good
Africa/Douala	Tonga	2013-08-12	4.96667	10.7	average
Asia/Shanghai	Hushitai	2018/12/28	41.94175	123.50266	maintenance
Asia/Karachi	Larkana	2014-03-18	27.55898	68.21204	average
America/Los_Angeles	Watsonville	2021/11/21	36.91023	-121.75689	accep
America/New_York	Yonkers	2014-01-19	40.93121	-73.89875	building
Africa/Tunis	El Alia	12/30/2015, 00:00:00	37.16911	10.03478	excellent
America/Sao_Paulo	Caldas Novas	2013-05-11	-17.74431	-48.62789	good
Europe/Moscow	Kovylkino	2017-11-04	54.03876	43.91385	maintenance
America/Sao_Paulo	Guapimirim	02/06/2020, 00:00:00	-22.53722	-42.98194	good
Europe/London	Aberdeen	20 Jun 2017	57.14369	-2.09814	good
Asia/Urumqi	Hoxtolgay	2022-06-27	46.51872	86.00214	excellent
Africa/Lagos	Olupona	2022/06/06	7.6	4.18333	good
Africa/Gaborone	Tonota	2017/12/22	-21.44236	27.46153	maintenance
Pacific/Efate	Port-Vila	2015/12/24	-17.73648	168.31366	maintenance
Europe/Warsaw	Jaworzno	02 Nov 2021	50.20528	19.27498	excellent
Europe/Prague	Karlovy Vary	30 Nov 2016	50.23271	12.87117	excellent
Asia/Yekaterinburg	Oktyabr’skiy	11/16/2014, 00:00:00	54.48147	53.47103	accep
Asia/Kolkata	Chharra	03/15/2013, 00:00:00	27.9247	78.40102	accep
America/Bogota	Villa del Rosario	09/22/2022, 00:00:00	7.83389	-72.47417	average
America/Bahia	Canavieiras	07 Jan 2016	-15.675	-38.94722	excellent
Pacific/Auckland	Gisborne	06/29/2015, 00:00:00	-38.65333	178.00417	excellent
Africa/Porto-Novo	Tchaourou	2022-09-08	8.88649	2.59753	excellent
America/Detroit	Waverly	2014/04/04	42.7392	-84.62081	maintenance
America/Sao_Paulo	Palmeira	22 Jan 2019	-25.42944	-50.00639	good
America/Mexico_City	Zacoalco de Torres	2012/10/12	20.22816	-103.5687	average
America/Santiago	San Bernardo	2015/07/31	-33.59217	-70.6996	average
America/Los_Angeles	San Gabriel	2022-07-30	34.09611	-118.10583	average
Asia/Dhaka	Kushtia	2021-03-08	23.9028	89.11943	average
America/Los_Angeles	Opportunity	06/12/2021, 00:00:00	47.64995	-117.23991	excellent
Africa/Lagos	Efon-Alaaye	2012/11/18	7.65649	4.92235	average
America/La_Paz	Tupiza	25 Jun 2021	-21.44345	-65.71875	accep
America/Los_Angeles	Mira Mesa	02 Oct 2018	32.9156	-117.14392	building
America/Chicago	Evergreen Park	03/24/2019, 00:00:00	41.72059	-87.70172	maitennce
Europe/Moscow	Volokolamsk	02 Jul 2016	56.03361	35.96944	accep
Asia/Kolkata	Periyakulam	02 May 2016	10.12268	77.54372	accep
Europe/Rome	Gorgonzola	23 Sep 2022	45.53069	9.40531	excellent
America/New_York	Bridgeport	2015-11-12	41.16704	-73.20483	average
Europe/Amsterdam	Oldenzaal	05 Aug 2013	52.31333	6.92917	average
Asia/Manila	Manaoag	29 Jan 2022	16.0438	120.4861	maintenance
Asia/Tokyo	Shinshiro	2022/02/17	34.9	137.5	excellent
Asia/Yekaterinburg	Lesnoy	2018/03/09	58.63667	59.80222	good
Africa/Tunis	Msaken	05/08/2014, 00:00:00	35.72917	10.58082	average
Asia/Kolkata	Chamba	28 Sep 2014	32.55531	76.12647	accep
Asia/Shanghai	Hengshui	2014/12/06	37.73222	115.70111	average
Asia/Tokyo	Nonoichi	30 Sep 2012	36.53333	136.61667	good
America/New_York	Woodbridge	2021/07/23	40.5576	-74.28459	average
Asia/Tokyo	Annaka	2022/06/20	36.33011	138.89585	accep
Europe/Zaporozhye	Polohy	11/08/2021, 00:00:00	47.48444	36.25361	good
Africa/Tunis	Beni Khiar	2013/01/26	36.46917	10.78222	good
America/Bahia	Rio Real	08 Apr 2019	-11.48472	-37.93278	excellent
America/New_York	Leland	04/24/2018, 00:00:00	34.25628	-78.04471	excellent
Europe/London	Rutherglen	2013/10/22	55.82885	-4.21376	excellent
Europe/London	Viewpark	2020-04-10	55.82737	-4.0573	average
Africa/Nairobi	Nyahururu	08/15/2019, 00:00:00	0.03813	36.36339	maintenance
America/Vancouver	Vernon	2020/01/28	50.26729	-119.27337	accep
America/New_York	Rosedale	19 Jun 2021	39.32011	-76.51552	excellent
Pacific/Efate	Port-Vila	03 Jun 2015	-17.73648	168.31366	excellent
America/New_York	Punta Gorda Isles	24 Sep 2016	26.91756	-82.07842	excellent
America/Los_Angeles	Bothell West	2016/05/21	47.80527	-122.24064	average
America/Sao_Paulo	Artur Nogueira	01/07/2013, 00:00:00	-22.57306	-47.1725	accep
America/New_York	Fayetteville	2015/07/09	35.05266	-78.87836	building
Europe/Berlin	Eppingen	23 Dec 2018	49.13645	8.91229	average
Asia/Barnaul	Novosilikatnyy	16 Sep 2021	53.30972	83.62389	maintenance
Europe/Istanbul	Edremit	23 May 2021	39.59611	27.02444	good
Asia/Shanghai	Heyuan	2020-08-02	23.73333	114.68333	excellent
America/Sao_Paulo	Resplendor	2013-04-19	-19.32556	-41.25528	building
Asia/Jerusalem	Ganei Tikva	2021-03-08	32.05971	34.8732	maintenance
Asia/Karachi	Qadirpur Ran	07 Nov 2018	30.29184	71.67164	excellent
America/New_York	Thomasville	2013/05/25	35.88264	-80.08199	good
Europe/London	Hartley	11 Jul 2013	51.38673	0.30367	excellent
Africa/Algiers	Frenda	12/03/2012, 00:00:00	35.06544	1.04945	accep
Europe/Berlin	Karben	13 Feb 2013	50.23019	8.77155	maintenance
Europe/Berlin	Weimar	2020-01-31	50.9803	11.32903	accep
America/Chicago	Searcy	2012-10-08	35.25064	-91.73625	average
America/Santiago	La Ligua	2014/05/09	-32.45242	-71.23106	excellent
Europe/Warsaw	Strzelce Opolskie	2013-12-18	50.5107	18.30056	accep
Africa/Lubumbashi	Yangambi	02/27/2015, 00:00:00	0.76755	24.43973	accep
America/Sao_Paulo	Esmeraldas	12/26/2014, 00:00:00	-19.7625	-44.31389	good
Europe/Vienna	Sankt Peter	14 Jul 2015	47.05	15.46667	good
Europe/Rome	Mesagne	08/05/2020, 00:00:00	40.55851	17.80774	excellent
America/Chicago	Brenham	01 May 2018	30.16688	-96.39774	good
Europe/London	Poulton-le-Fylde	20 Oct 2020	53.83333	-2.98333	good
Asia/Shanghai	Heyuan	06/11/2013, 00:00:00	23.73333	114.68333	good
Europe/Berlin	Hermsdorf	13 Aug 2020	52.61131	13.31783	building
Asia/Jakarta	Pameungpeuk	2014/12/08	-7.01833	107.60389	building
America/Los_Angeles	Laguna Niguel	2016/05/26	33.52253	-117.70755	good
Africa/Brazzaville	Brazzaville	2019/05/25	-4.26613	15.28318	average
America/Los_Angeles	Bothell	2013-07-23	47.76232	-122.2054	good
Europe/Istanbul	Aksaray	2018-03-06	38.37255	34.02537	building
Asia/Jakarta	Cibinong	03/27/2021, 00:00:00	-6.48167	106.85417	excellent
Africa/Douala	Mbalmayo	10/19/2015, 00:00:00	3.51667	11.5	average
Asia/Yekaterinburg	Ishim	2021-08-25	56.11281	69.49015	maintenance
Asia/Kolkata	Kangayam	01/31/2014, 00:00:00	11.00599	77.5609	average
Asia/Ulaanbaatar	Ulan Bator	05/27/2013, 00:00:00	47.90771	106.88324	accep
Europe/Berlin	Karben	06/08/2021, 00:00:00	50.23019	8.77155	good
Asia/Jakarta	Simpang	11/16/2018, 00:00:00	-1.26424	104.09701	excellent
Europe/Berlin	Eppingen	2017-05-09	49.13645	8.91229	average
Australia/Melbourne	Carnegie	18 Jan 2022	-37.88333	145.06667	average
America/Los_Angeles	Troutdale	04 Jul 2015	45.53929	-122.38731	accep
Africa/Kigali	Rwamagana	2016/04/13	-1.9487	30.4347	excellent
Africa/Maputo	Maxixe	2019/11/07	-23.85972	35.34722	good
Asia/Seoul	T’aebaek	2018/10/22	37.1759	128.9889	good
Asia/Shanghai	Hengshui	16 Dec 2015	37.73222	115.70111	good
Europe/Rome	Francavilla Fontana	07/28/2015, 00:00:00	40.53123	17.58522	maintenance
America/Mexico_City	Acayucan	2014/06/19	17.94979	-94.91386	average
Europe/Warsaw	Jaworzno	01/17/2022, 00:00:00	50.20528	19.27498	good
America/El_Salvador	Sonzacate	09/28/2018, 00:00:00	13.73417	-89.71472	excellent
America/New_York	Sicklerville	01/10/2015, 00:00:00	39.71734	-74.96933	excellent
Europe/Berlin	Hofheim am Taunus	2018-02-06	50.09019	8.4493	excellent
Europe/Rome	Agrigento	03 Jul 2014	37.31065	13.57661	average
America/Los_Angeles	Bryn Mawr-Skyway	2022/03/08	47.4943	-122.24092	maintenance
Europe/Berlin	Gauting	17 Feb 2020	48.06919	11.37703	building
America/Chicago	Fairview Heights	09 Jun 2016	38.58894	-89.99038	good
Europe/Madrid	Amposta	03 May 2013	40.70995	0.57856	average
Asia/Bangkok	Damnoen Saduak	12/13/2013, 00:00:00	13.51825	99.95469	accep
America/Argentina/Ushuaia	Ushuaia	10/20/2017, 00:00:00	-54.8	-68.3	good
Europe/Moscow	Danilov	18 Nov 2019	58.1908	40.17171	excellent
Asia/Seoul	Goyang-si	10/23/2020, 00:00:00	37.65639	126.835	average
Africa/Algiers	Bordj Zemoura	2018/07/27	36.27462	4.85668	building
Africa/Luanda	Luena	2020-08-09	-11.78333	19.91667	accep
Europe/Rome	Francavilla Fontana	29 Oct 2013	40.53123	17.58522	excellent
