CO	Pb	O3	CH4	CFCs	H2CO	SO2	latitude	PM2.5	TEMP	warning	longitude	C2H3NO5	PM10	PAHs	PRES	NH3	NOx
7.58937	58.17146	5.61918	7.25993	42.24618	43.87302	9.73404	52.21099	6.13053	2.88444	1.00000	7.02238	0.46569	10.03168	8.21115	1139.12092	8.45673	7.54977
7.52521	77.91360	6.11878	7.88194	53.50650	85.29103	4.52293	25.49043	7.39505	11.44335	1.00000	85.94001	0.04236	5.81516	7.07385	1186.67199	4.74094	8.00147
8.96564	53.90879	8.19820	7.33388	29.44282	54.35107	8.31454	-4.16694	6.51455	3.60326	0.00000	-40.7475	1.15487	10.95489	7.97980	1120.01415	7.96066	4.49422
8.05689	36.26391	11.00469	8.33105	66.27302	34.83951	8.46860	-7.73379	4.66932	14.07259	1.00000	113.69785	0.03606	5.70550	7.63906	1106.49674	7.74723	6.87561
7.07030	31.53984	10.09434	8.51188	47.56616	64.84638	5.99112	39.72943	9.79578	4.45245	0.00000	-104.83192	0.17165	8.96460	9.05228	1190.25162	6.99525	7.95040
8.60394	32.61957	9.82319	9.13531	61.73679	53.56221	10.71945	-1.9487	8.12597	1.57062	1.00000	30.4347	0.03647	6.01269	7.31881	1122.28206	5.25756	10.63539
7.49925	57.71738	6.27340	5.87573	45.99741	74.36936	8.72108	33.03699	5.73631	14.45358	1.00000	-117.29198	0.35918	9.72968	7.69213	1156.58451	8.88049	7.10822
6.91665	53.45098	9.54043	6.35421	61.70096	42.99014	9.72932	41.84364	6.16487	16.63103	1.00000	-87.71255	0.05519	7.28101	6.15784	1068.19653	5.80414	9.11738
7.70797	56.05397	5.97697	8.60703	37.60518	81.59383	6.07937	19.32889	8.25531	15.91803	0.00000	-99.32556	0.87794	10.67741	7.79317	1078.44605	4.71612	9.34225
7.39225	64.14170	8.81224	9.52915	53.18839	29.65202	9.09140	0.49113	7.53175	16.85904	0.00000	29.47306	0.13339	8.62692	8.33290	1164.16817	9.99303	6.50257
9.69078	64.95177	5.81875	7.56011	53.22513	38.02226	10.78390	37.56667	7.95971	6.96301	1.00000	140.11667	0.21543	9.22906	8.10593	1189.44518	10.15926	4.54546
6.99871	32.41601	7.70304	8.72080	54.30773	61.42617	7.73028	49.88307	5.23753	5.25377	0.00000	-119.48568	0.05620	7.39358	6.43879	1125.92422	7.90909	3.74731
9.05691	65.24364	8.63886	7.41643	59.86943	55.28280	7.56113	15.5439	4.53516	-0.44356	0.00000	73.7553	0.03922	6.64450	5.95458	1125.87475	10.82198	5.91567
7.45796	63.94102	6.81513	6.48133	49.22460	39.09331	9.22880	40.42386	3.48113	14.18098	1.00000	-3.53261	0.07542	7.76145	5.58750	1198.39573	6.95040	7.02526
8.00940	77.58604	8.98305	6.98236	52.41538	37.29746	9.15572	39.43534	7.01225	-0.31845	0.00000	-84.20299	0.45739	9.95110	7.55860	1097.11071	9.34591	7.39312
7.79173	60.52182	9.27489	7.00224	60.52648	79.74350	3.92642	-13.7804	5.10125	6.94023	1.00000	34.4587	0.32297	9.60523	6.72532	1145.97210	3.66798	5.30465
6.72194	61.80164	9.86308	8.25281	57.69777	51.73545	8.85345	36.24624	5.19070	27.91778	0.00000	139.07204	0.10066	7.89780	6.64512	1194.48434	7.79404	6.01199
8.87896	36.33513	8.23254	8.86076	45.81697	44.30673	8.98668	47.46657	5.44209	18.37129	1.00000	84.87144	0.03846	5.94116	7.20887	1184.96197	6.88021	8.78169
8.04958	57.67888	8.38193	8.71772	38.45176	69.49425	8.58714	51.955	6.49319	28.06296	0.00000	5.22778	2.26096	11.64395	8.80668	1072.69695	6.93487	4.31672
9.23142	78.02194	7.92538	8.06323	47.66581	59.77040	8.24949	40.68066	4.90600	27.06303	1.00000	-73.47429	0.02155	6.54499	7.62701	1101.36014	6.83113	8.17592
9.41789	57.92729	8.97802	9.18199	64.01616	54.43058	8.46350	40.72586	5.95445	16.05737	1.00000	8.55552	0.03970	6.79352	8.37361	1168.73869	7.23970	8.43685
7.27096	40.76455	9.16261	7.98610	52.86115	56.49283	8.57731	48.8449	6.61038	26.06275	0.00000	17.22635	0.25729	9.38343	8.59424	1189.30816	10.30031	6.41986
7.39546	47.11552	9.30222	7.36068	55.34427	48.57441	9.38843	36.06386	6.64325	9.44853	0.00000	4.62744	1.40500	11.16261	7.44138	1158.75844	7.90901	7.94232
8.55015	52.59790	6.56612	9.40690	74.14917	65.90239	9.25684	45.16024	4.87223	27.33508	1.00000	-93.08883	0.08779	8.16676	5.60800	1109.96734	9.18051	7.63557
6.45792	75.16824	9.71508	8.36579	50.31147	70.62387	5.90379	61.78491	9.45798	19.21698	0.00000	34.34691	0.18718	9.06669	7.98638	1108.62362	6.21785	8.37594
6.50083	66.54811	7.52715	5.89303	45.69261	41.53706	6.41199	41.85059	8.96171	15.52092	0.00000	-87.882	0.29179	9.50321	7.83665	1055.60564	6.04584	9.45845
9.69167	59.17744	8.12018	6.56732	51.10438	43.38235	8.60247	38.91817	6.79995	27.09296	0.00000	-78.19444	9.84587	13.12835	7.89024	1151.99465	7.60376	4.84209
6.63708	59.44696	10.18501	8.59222	49.12968	54.83192	10.34483	14.0823	6.71043	13.82853	1.00000	98.19151	0.03226	6.11949	7.78712	1111.42043	6.99923	9.47779
9.11142	43.51970	5.91555	7.59256	40.57243	70.93600		-38.16604	6.25129	19.37018	1.00000	145.13643	0.06626	7.78715	6.92328	1176.83966	9.37774	6.18736
8.36259	57.84058	9.00510	8.88865	38.32111	35.89038	7.57731	37.19723	4.46909	29.69955	1.00000	122.05228	0.09480	7.95538	7.82599	1108.25689	6.57525	7.16199
8.43966	54.35300	7.26952	6.70715	51.13357	33.37473	7.19068	34.85	6.47998	22.98896	1.00000	117.33333	0.33160	9.62862	7.24740	1114.27959	11.06425	5.30406
7.26518	53.59782	8.70120	9.17386	58.40809	45.62676	7.50011	-4.5833	7.66599	0.65803	0.00000	15.16554	0.09013	8.05549	8.56176	1076.85420	6.28923	10.09801
7.69906	53.04210	7.75036	7.91639	61.00119	33.99096	8.62723	6.95194	8.46620	15.31824	1.00000	121.96361	0.12248	8.47009	8.45085	1128.77364	11.31731	1.97016
7.89394	55.10789	8.74398	7.34844	55.25485	73.27410	6.23025	1.6	9.29375	5.76663	0.00000	103.81667	0.08010	8.14312	6.80328	1074.18324	7.44618	11.02067
9.32453	42.77532	7.98667	5.54772	44.71970	64.64698	8.60165	38.13708	6.17724	11.80321	1.00000	41.00817		7.18028	6.41098	1097.52538	10.29765	3.93887
6.83752	55.95412	5.65832	7.02423	57.03420	40.61684	10.55810	43.82634	6.08704	23.81864	1.00000	144.09638	0.64358	10.37861	8.71978	1057.87246	9.73044	6.51630
6.13840	68.90292	10.30465	8.12504	45.89275	39.04667	11.20337	31.12406	7.26428	0.25339	1.00000	-97.90308	0.03327	5.68594	7.69594	1148.99955	6.57914	10.22474
7.60181	67.81140	10.10437	8.58019	38.31869	65.83953	9.89642	3.8801	5.47003	-17.20869	1.00000	-77.03116	0.09139	8.31554	10.94763	1187.80364	6.77864	8.65610
7.49601	38.90139	9.45564	7.83286	49.80095	54.83806	10.67646	-15.675	5.59104	4.34930	1.00000	-38.94722	0.02617	6.37620	9.30604	1097.91186	7.47757	9.37533
9.05675	41.96281	10.75579	6.99149	64.35000	47.76387	5.13263	-25.42944	9.28452	28.61760	0.00000	-50.00639	0.17273	8.82864	7.24175	1136.46427	8.39788	9.94809
7.02944	58.79146	8.14250	7.89897	62.58125	64.51980	8.40614	31.20176	4.72450	22.20979	1.00000	29.91582	0.05699	7.70813	7.02361	1189.56885	6.65948	8.15591
6.51481	54.21621	6.10120	5.99470	44.13986	68.12612	9.64116	50.75	7.27066	3.56259	1.00000	2.25	0.31471	9.57248	6.86549	1149.31398	8.61507	5.45897
8.42880	47.74968	7.75817	9.51453	36.29169	57.49568	7.58624	20.88098	5.08474	7.01306	0.00000	75.11937	0.06800	7.71105	7.38127	1120.29297	8.87078	4.24918
10.10486	68.65575	6.58595	8.24405	33.78864	31.20660	9.33604	-1.6	5.17021	8.59934	1.00000	103.61667	0.13555	8.64880	6.77234	1192.99391	7.83946	6.88836
7.29694	33.04205	10.45179	6.55904	31.08402	78.40206	5.48062	18.20854	9.39612	17.59259	0.00000	-71.10077	0.27854	9.41076	8.16815	1121.05731	8.52047	8.55850
7.15695	51.06147	9.02042	7.03001	45.53304	46.12191	9.70508	45.51667	6.80437	21.26616	0.00000	4.86667	0.93034	10.75263	6.66584	1151.02583	7.65877	7.26808
7.34945	57.90808	5.77458	7.36863	61.86865	60.18909	8.48526	-6.25	6.20219	8.31115	1.00000	38.66667	0.20351	9.12697	8.27569	1115.15489	3.28466	10.01906
6.92782	51.46875	7.79763	7.48216	50.04827	58.17546	8.44579	-17.74431	6.12556	2.42926	0.00000	-48.62789	0.17576	8.96767	8.22730	1072.86476	9.63159	5.59749
