latitude	QoS	longitude	code	revision	station
33.72255	good	-116.37697	US	2022/08/25	Palm Desert
53.38333	average	-0.76667	GB	2014/07/19	Gainsborough
23.29549	building	113.82465	CN	27 May 2020	Licheng
-33.59217	average	-70.6996	CL	04/27/2022, 00:00:00	San Bernardo
34.56861	maintenance	105.89333	CN	15 Jul 2017	Beidao
44.99012	excellent	-123.02621	US	2022-08-13	Keizer
18.42745	good	-67.15407	PR	11/04/2018, 00:00:00	Aguadilla
40.72586	accep	8.55552	IT	2014/06/15	Sassari
33.03699	building	-117.29198	US	2012-12-05	Encinitas
-17.74431	average	-48.62789	BR	06 Oct 2018	Caldas Novas
36.76775	good	2.95924	DZ	2018/12/05	Cheraga
30.17746	average	-81.38758	US	2022-01-10	Palm Valley
18.00747	good	-76.78319	JM	08 Jul 2013	New Kingston
1.6	average	103.81667	MY	02/21/2014, 00:00:00	Ulu Tiram
40.64621	accep	-73.97069	US	2016-01-12	Kensington
19.30157	average	72.85107	IN	23 Mar 2014	Bhayandar
33.92946	average	-116.97725	US	06/17/2020, 00:00:00	Beaumont
51.65333	average	5.2875	NL	2018/06/09	Vught
58.23583	good	92.48278	RU	2022-08-22	Lesosibirsk
46.18396	excellent	6.10237	CH	2014-06-05	Onex
40.93333	good	73	KG	2020-07-28	Jalal-Abad
-34.74785	average	-58.70072	AR	05 Jun 2022	Pontevedra
53.16167	accep	6.76111	NL	11/20/2016, 00:00:00	Hoogezand
-6.91806	good	106.92667	ID	04/21/2016, 00:00:00	Sukabumi
-31.95224	excellent	115.8614	AU	22 Feb 2018	Perth
36.61954	good	4.08282	DZ	26 Sep 2015	Beni Douala
34.61667	building	135.6	JP	06/29/2020, 00:00:00	Yao
41.84364	accep	-87.71255	US	06/04/2016, 00:00:00	South Lawndale
39.59611	excellent	27.02444	TR	2015/07/22	Edremit
26.18924	building	-98.15529	US	2019/01/26	San Juan
22.49396	excellent	-105.36369	MX	2014/01/25	Acaponeta
7.65649	accep	4.92235	NG	22 Apr 2013	Efon-Alaaye
38.10558	excellent	-1.86343	ES	2017/01/28	Caravaca
-38.16604	accep	145.13643	AU	2018-01-14	Frankston South
50.75767	maitennce	-1.5443	GB	08/29/2021, 00:00:00	Lymington
8.48714	maintenance	-13.2356	SL	01 Feb 2022	Freetown
53.38333	average	-0.76667	GB	2015/03/29	Gainsborough
44.59445	good	11.04979	IT	03/26/2014, 00:00:00	Castelfranco Emilia
31.82539	good	72.54064	PK	18 Jul 2017	Sillanwali
33.98154	accep	-81.23621	US	2013-03-05	Lexington
33.43443	excellent	-5.22126	MA	2016/10/01	Azrou
25.67927	average	-80.31727	US	2016-11-22	Kendall
