H2CO	CO	latitude	longitude	O3	NH3	SO2	TEMP	C2H3NO5	PRES	CFCs	Pb	warning	PM2.5	NOx	PM10	CH4	PAHs
29.48180	5.11575	33.78333	114.51667	6.75463	7.95775	6.79213	24.17558	0.31883	1104.46837	68.88299	38.05419	1.00000	6.18226	6.51847	6.31619	5.32881	8.02536
70.89155	6.97111	21.53889	71.57737	4.17676	9.63661	6.62316	28.03267	0.99521	1154.13711	37.36192	63.61249	1.00000	5.58985	6.61173	8.29323	5.88209	5.76567
45.53372	5.18073	18.03496	-66.8499	9.15544	8.79782	8.33178	8.46212	1.30234	1181.99580	60.36546	52.97565	1.00000	6.02581	7.92825	8.77278	5.41614	8.21638
48.09569	4.86607	6.84019	79.87116	8.18936	7.25690	7.96624	21.21753	0.52346	1172.00725	47.37755	31.12712	1.00000	6.39909	7.41344	7.74384	5.78615	7.30234
55.28437	7.49182	33.78333	114.51667	4.99657	6.52101	6.84813	3.53066	0.46867	1130.22911	44.43085	41.83888	1.00000	8.55852	6.01217	6.92364	6.08091	7.32872
36.10289	8.30239	42.64031	125.51176	6.73796	5.14670	7.48614	5.88900	0.29145	1059.52663	79.30703	46.46693	1.00000	9.31169	8.27116	4.50780	4.62895	7.46181
47.76714	5.69664	41.63976	2.35739	5.50187	8.80089	7.51541	18.51836	0.41581	1063.01839	69.55733	62.39052	1.00000	7.34884	6.33197	5.89534	5.76602	6.65110
60.28628	7.33206	11.15583	42.7125	6.55100	7.12684	7.32190	-4.48573	0.28764	1096.41812	47.73477	55.55615	1.00000	7.31576	8.23578	5.39715	5.24606	8.49946
52.34544	5.63935	50.5107	18.30056	7.02977	8.54179	5.14271	35.71285	0.67312	1130.26341	57.05291	73.34028	0.00000	5.46840	6.73721	8.03807	5.05995	4.98704
40.73973	8.81060	22.88783	84.13864	5.90239	7.38034	6.28074	15.60937	0.55161	1172.83759	59.81206	73.58622	0.00000		6.29571	7.26910	7.37172	6.60439
25.52633	4.15381	53.53333	-7.35	8.18158	11.56179	6.10295	30.50436	0.54619	1133.42112	46.60801	67.20457	1.00000	8.12851	7.37183	7.79372	4.32465	7.53407
33.97638	6.06271	10.20898	123.758	7.59680	5.04276	7.58068	29.35919	0.23942	1137.31261	43.31410	56.36924	1.00000	9.06567	5.82031	4.15614	3.88762	6.97661
53.54651	7.53772	44.92801	4.8951	4.50562	7.87693	6.50148	6.82447	0.63868	1136.12209	70.62379	41.47306	1.00000	8.09539	7.90977	7.54372	6.85026	6.71145
