longitude	QoS	station	revision	latitude	location
0.57856	good	Amposta	10/20/2014, 00:00:00	40.70995	Europe/Madrid
77.24779	average	Udumalaippettai	11/11/2012, 00:00:00	10.58806	Asia/Kolkata
74.12286	excellent	Kanganpur	2013-06-23	30.76468	Asia/Karachi
37.55	good	Arba Minch	11/27/2018, 00:00:00	6.03333	Africa/Addis_Ababa
112.19028	accep	Jingzhou	08/24/2016, 00:00:00	30.35028	Asia/Shanghai
-117.29198	excellent	Encinitas	2021/03/08	33.03699	America/Los_Angeles
28.67582	excellent	Yakuplu	2017/09/26	40.98894	Europe/Istanbul
135.21667	excellent	Sasayama	2019/05/22	35.06667	Asia/Tokyo
-73.97069	accep	Kensington	01/25/2018, 00:00:00	40.64621	America/New_York
68.49143	good	Bhit Shah	08 Jan 2022	25.80565	Asia/Karachi
-87.70172	good	Evergreen Park	2017-04-19	41.72059	America/Chicago
105.75635	good	Sa Dec	2014-06-30	10.29085	Asia/Ho_Chi_Minh
-66.8499	good	Yauco	2019-05-16	18.03496	America/Puerto_Rico
-47.1725	building	Artur Nogueira	2018/07/03	-22.57306	America/Sao_Paulo
8.91229	accep	Eppingen	2019-12-19	49.13645	Europe/Berlin
11.34046	average	Rudolstadt	2022/08/19	50.72043	Europe/Berlin
-8.53778	accep	New Yekepa	05/26/2015, 00:00:00	7.57944	Africa/Monrovia
37.99117	average	Krymsk	18 Sep 2015	44.92934	Europe/Moscow
100.24529	good	Batu Feringgi	02 Jan 2019	5.4709	Asia/Kuala_Lumpur
76.03889	excellent	Osmanabad	2017-08-08	18.18158	Asia/Kolkata
123.62494	excellent	Masbate	2015/01/12	12.37169	Asia/Manila
7.11393	good	Burscheid	07 Feb 2019	51.08468	Europe/Berlin
-83.2321	excellent	Milledgeville	2013/07/31	33.08014	America/New_York
-2.98884	average	Leioa	09 Sep 2022	43.32686	Europe/Madrid
114.51667	excellent	Wacheng	2021/03/06	33.78333	Asia/Shanghai
-91.73625	average	Searcy	09/16/2013, 00:00:00	35.25064	America/Chicago
85.94001	building	Teghra	10/27/2014, 00:00:00	25.49043	Asia/Kolkata
151.08057	average	Eastwood	01 Jan 2019	-33.79176	Australia/Sydney
33.72798	average	Zhukovka	10 Jan 2017	53.53395	Europe/Moscow
37.55	average	Arba Minch	23 Oct 2012	6.03333	Africa/Addis_Ababa
18.34717	maintenance	Reda	18 Feb 2019	54.60528	Europe/Warsaw
-93.263	good	Columbia Heights	21 Sep 2016	45.0408	America/Chicago
121.96361	maintenance	Recodo	2017-04-18	6.95194	Asia/Manila
85.4265	average	Yashkino	2021/01/02	55.8736	Asia/Novokuznetsk
-2.98884	average	Leioa	2013-07-16	43.32686	Europe/Madrid
-1.48119	maintenance	Belper	2014-01-26	53.0233	Europe/London
-77.96389	average	Martinsburg	24 Oct 2012	39.45621	America/New_York
35.7	excellent	Iringa	05/10/2020, 00:00:00	-7.76667	Africa/Dar_es_Salaam
33.34864	excellent	Nova Kakhovka	07 Mar 2017	46.75451	Europe/Kiev
120.5875	excellent	La Trinidad	2015-09-08	16.455	Asia/Manila
51.3452	good	Otradnyy	08 Oct 2018	53.37596	Europe/Samara
-74.73584	excellent	Honda	02 Mar 2017	5.20856	America/Bogota
103.61667	maintenance	Jambi City	06/29/2015, 00:00:00	-1.6	Asia/Jakarta
86.00214	average	Hoxtolgay	2014-01-11	46.51872	Asia/Urumqi
0.57856	building	Amposta	06/16/2015, 00:00:00	40.70995	Europe/Madrid
-15.58602	building	Maspalomas	04 Nov 2020	27.76056	Atlantic/Canary
68.21204	average	Larkana	31 Jan 2022	27.55898	Asia/Karachi
24.99798	excellent	Kamina	2018/07/07	-8.73508	Africa/Lubumbashi
122.20488	good	Zhoushan	05/30/2022, 00:00:00	29.98869	Asia/Shanghai
76.35484	building	Alwaye	10/20/2014, 00:00:00	10.10649	Asia/Kolkata
71.21169	average	Amreli	2018/11/07	21.59983	Asia/Kolkata
106.88324	good	Ulan Bator	08 Feb 2022	47.90771	Asia/Ulaanbaatar
75.16878	good	Moga	2016/01/20	30.81383	Asia/Kolkata
-76.88442	building	Harrisburg	11/09/2021, 00:00:00	40.2737	America/New_York
5.22778	excellent	Culemborg	11 Jul 2013	51.955	Europe/Amsterdam
1.15597	accep	Clacton-on-Sea	2017/06/09	51.78967	Europe/London
86.51499	excellent	Kenda	18 Apr 2013	23.1959	Asia/Kolkata
75.35927	average	Talipparamba	2017-10-18	12.04161	Asia/Kolkata
78.40102	accep	Chharra	2017-10-14	27.9247	Asia/Kolkata
-73.20483	good	Bridgeport	21 Jan 2019	41.16704	America/New_York
-156.47432	excellent	Kahului	2017/09/22	20.88953	Pacific/Honolulu
-95.36969	building	Muskogee	19 May 2020	35.74788	America/Chicago
-121.75689	excellent	Watsonville	04/09/2019, 00:00:00	36.91023	America/Los_Angeles
-86.77917	average	Brentwood Estates	2016/09/09	36.02506	America/Chicago
19.61222	good	Sremska Mitrovica	11 Feb 2016	44.97639	Europe/Belgrade
42.7125	average	'Ali Sabieh	18 Nov 2014	11.15583	Africa/Djibouti
-0.32247	average	Lancing	2015-01-02	50.82882	Europe/London
-74.07764	accep	Jersey City	2018-07-18	40.72816	America/New_York
-87.93341	building	Pleasant Prairie	04 Sep 2020	42.55308	America/Chicago
