latitude	PAHs	NH3	NOx	Pb	warning	SO2	C2H3NO5	longitude	CFCs	CO	O3	PM2.5	CH4	H2CO	PRES	TEMP	PM10
50.80019	7.10559	8.33636	9.49929	33.13116	1.00000	9.71407	0.12446	7.20769	33.15519	7.40800	3.79029	7.42191	11.13868	33.15801	1093.31158	14.58372	8.98015
-33.59217	11.31127	13.01320	8.40680	38.99269	1.00000	9.52725	0.11885	-70.6996	62.44935	9.09081	10.07368	8.47214	9.14248	51.31408	1148.51041	12.07873	8.86795
13.65805	9.47347	11.23483	8.36065	46.02521	0.00000	7.53769	0.08223	102.56365	37.79598	8.20471	9.63984	8.48130	10.17931	43.90112	1133.50433	24.57502	8.60022
15.48131	7.12724	8.94622	8.36678	54.43801	0.00000	10.04541	0.15657	-86.57415	67.07406	7.16836	10.15538	7.17372	6.59489	29.06150	1171.60471	17.88707	9.18911
15.48131	10.53530	9.71023	7.84911	38.56596	1.00000	6.75421	0.96635	-86.57415	42.89403	6.97135	8.50687	7.71860	6.94047	32.73270	1111.31654	18.61729	11.17908
-2.13404	9.28052	11.30877	9.54949	28.78569	0.00000	7.82063	0.08128	-79.59415	43.14707	10.37592	11.96729	9.48808	9.56148	58.04325	1176.01047	25.46783	8.55144
26.32293	6.75118	9.00547	9.66428	50.47324	0.00000	10.63737	0.20783	91.00632	48.32123	7.77111	11.17625	9.59801	5.93052	51.20469	1085.44865	25.48621	9.48240
20.74122	8.85421	10.96161	8.50884	42.82260	0.00000	9.62152	0.16640	-100.44843	29.83871	8.07872	10.85488	6.57271	8.87836	34.48259	1192.85936	29.07375	9.29387
48	10.50243	6.94556	9.59998	48.09696	1.00000	9.40899	1.08021	-4.1	49.51447	8.52664	5.96902	9.29496	9.79146	69.67566	1056.35155	9.42769	11.29114
37.31065	12.28971	11.59024	8.08905	13.50531	1.00000	9.37285	0.11303	13.57661	42.34915	8.61124	10.46530	8.19308	9.14747	67.96783	1068.11052	19.50867	8.70106
37.30553	8.25107	7.72024	9.35046	44.33787	0.00000	7.52704	0.08627	120.82747	53.78507	9.18338	10.07602	10.61245	8.87685	41.41189	1091.13095	17.75607	8.62765
50.75932	6.74074	9.18374	8.05806	67.35148	0.00000	11.02115	0.19190	25.34244	44.43892	8.09111	10.85211	9.23816	6.12413	33.54364	1068.93799	-0.52741	9.44082
36.20829	11.35891	8.20893	11.69488	69.10348	0.00000	6.22305	0.06113	-115.98391	55.35990	7.55352	10.35116	6.92122	9.14060	46.96273	1130.03744	21.91930	7.81719
27.71809	10.04979	11.58659	9.72890	44.68155	0.00000	8.01390	0.04980	-82.35176	66.91013	8.42118	12.36810	10.08769	10.00735	65.01936	1131.51994	7.07711	7.71324
