latitude	longitude	QoS	code	location	revision
32.9156	-117.14392	good	US	America/Los_Angeles	01/03/2013, 00:00:00
37.56667	140.11667	excellent	JP	Asia/Tokyo	2014/02/07
53.16167	6.76111	average	NL	Europe/Amsterdam	2021/04/13
10.7375	122.9666	accep	PH	Asia/Manila	02/19/2014, 00:00:00
-1.26424	104.09701	average	ID	Asia/Jakarta	06 Sep 2018
43.41949	77.0202	excellent	KZ	Asia/Almaty	2017/12/26
50.9803	11.32903	accep	DE	Europe/Berlin	11 Nov 2013
52.61131	13.31783	acceptable	DE	Europe/Berlin	2017-11-03
-7.73379	113.69785	good	ID	Asia/Jakarta	2020/10/07
34.63915	-120.45794	average	US	America/Los_Angeles	2021/06/08
32.5007	-94.74049	good	US	America/Chicago	12 Jun 2015
41.09822	120.74792	building	CN	Asia/Shanghai	2022/07/31
29.21399	78.95693	excellent	IN	Asia/Kolkata	2014/05/23
28.98002	77.70636	excellent	IN	Asia/Kolkata	08 Dec 2013
50.86079	17.4674	accep	PL	Europe/Warsaw	2019-02-06
46.65581	32.6178	average	UA	Europe/Kiev	2017/01/21
19.32889	-99.32556	average	MX	America/Mexico_City	2020/06/14
47.38093	-122.23484	average	US	America/Los_Angeles	2020-01-24
14.62578	121.12251	maintenance	PH	Asia/Manila	03/26/2022, 00:00:00
46.09273	-88.64235	excellent	US	America/Menominee	07/11/2019, 00:00:00
39.78504	-85.76942	good	US	America/Indiana/Indianapolis	04/16/2015, 00:00:00
18.03496	-66.8499	excellent	PR	America/Puerto_Rico	02 Aug 2019
32.44874	-99.73314	excellent	US	America/Chicago	2016/01/08
34.63915	-120.45794	excellent	US	America/Los_Angeles	2015-05-06
42.64685	-5.55835	average	ES	Europe/Madrid	15 Mar 2016
36.76639	3.47717	excellent	DZ	Africa/Algiers	03/18/2016, 00:00:00
59.33333	18.28333	average	SE	Europe/Stockholm	2021-07-08
9.6531	124.3697	good	PH	Asia/Manila	01 Sep 2021
35.815	139.6853	accep	JP	Asia/Tokyo	07 Dec 2013
49.65186	26.97253	excellent	UA	Europe/Kiev	09/23/2015, 00:00:00
34.61667	135.6	good	JP	Asia/Tokyo	2021-08-27
25.75728	75.37991	good	IN	Asia/Kolkata	2016-05-17
30.21121	74.4818	building	IN	Asia/Kolkata	02/18/2013, 00:00:00
34.8825	128.62667	maintenance	KR	Asia/Seoul	2015/11/14
39.59611	27.02444	accep	TR	Europe/Istanbul	06/24/2016, 00:00:00
10.29085	105.75635	accep	VN	Asia/Ho_Chi_Minh	2021/09/24
-19.7625	-44.31389	good	BR	America/Sao_Paulo	03 Jul 2018
25.6439	77.9129	average	IN	Asia/Kolkata	22 Feb 2020
45.73333	4.91667	average	FR	Europe/Paris	2015/04/18
19.32932	-98.1664	maintenance	MX	America/Mexico_City	2015-07-10
36.27462	4.85668	building	DZ	Africa/Algiers	07 Feb 2015
-17.74431	-48.62789	accep	BR	America/Sao_Paulo	10/06/2017, 00:00:00
50.64336	7.2278	accep	DE	Europe/Berlin	08/06/2013, 00:00:00
54.39635	24.04142	accep	LT	Europe/Vilnius	2013-12-19
50.80019	7.20769	accep	DE	Europe/Berlin	16 Apr 2022
52.86147	9.5926	good	DE	Europe/Berlin	10/04/2015, 00:00:00
46.65581	32.6178	maintenance	UA	Europe/Kiev	2013-11-06
7.50251	5.06258	accep	NG	Africa/Lagos	10/04/2020, 00:00:00
45.16024	-93.08883	average	US	America/Chicago	2015-10-04
43.71032	-1.05366	average	FR	Europe/Paris	2016/08/06
-4.42472	-41.45861	excellent	BR	America/Fortaleza	2018-12-25
