O3	SO2	warning	H2CO	CO	PM10	NH3	Pb	CFCs	PAHs	PRES	NOx	PM2.5	CH4	C2H3NO5	TEMP	latitude	longitude
6.81287	5.00527	1.00000	68.59505	5.08589	6.55754	8.30267	40.97730	53.70315	6.61925	1118.23867	6.27843	9.15645	7.45623	0.04581	22.77165	13.51825	99.95469
7.17690	6.79316	1.00000	59.60569	5.15897	6.53352	6.73003	54.76778	63.61134	6.37895	1142.01506	8.64745	7.99898	7.54340	0.08446	16.33984	45.79377	8.88104
11.58198	8.20150	0.00000	34.84324	3.79921	10.12650	6.39508	52.15379	34.77500	3.52731	1132.20662	8.02217	8.14711	6.57779	0.69799	6.93370	24.96334	10.18003
9.19913	7.20939	1.00000	30.42752	4.99406	7.17262	7.27171	44.95108	40.02818	8.60457	1096.23490	10.79035	8.84690	8.05829	0.08107	25.59002	51.24197	4.82313
8.74102	8.87233	0.00000	55.85450	8.14150	11.86027	8.38270	22.30038	51.64520	10.10787	1126.85957	7.24599	8.56643	7.56870	3.75328	12.84340	51.84819	1.26738
8.55130	11.19102	0.00000	40.54602	11.14410	5.11023	7.81114	67.15946	61.04352	5.97083	1176.89920	5.16054	7.78481	6.47030	0.04726	7.18604	6.03333	37.55
9.96092	9.58093	0.00000	72.42169	6.15405	8.81199	7.70078	64.52265	32.38236	7.10441	1115.77026	8.51096	7.57725	7.46900	0.21345	9.56973	41.20485	-8.33147
5.73625	8.58268	1.00000	65.29833	5.76110	7.23244	8.83558	51.77051	50.98541	8.67437	1137.50186	10.71241	7.19288	7.52762	0.06494	14.54493	41.29444	69.67639
6.30472	6.94636	1.00000	25.69820	6.48901	5.30109	6.60636	51.01956	46.16088	4.52826	1165.99588	10.40172	5.88571	8.41158	0.05067	21.22725	31.76212	-95.63079
8.31097	7.31426	1.00000	33.48745	7.43461	11.48911	6.37368	58.05498	28.33208	11.72320	1089.27884	5.30466	6.22518	8.40186	2.61920	0.79267	25.6439	77.9129
4.86362	6.95089	1.00000	49.60035	7.11876	6.04496	4.56377	54.17248	40.33617	6.58282	1140.03442	9.38048	7.48939	8.03805	0.05080	18.66607	27.52948	68.75915
5.92682	8.13703	1.00000	42.09559	5.24264	7.17295	6.96240	41.78060	42.63180	9.17184	1085.10822	11.51775	8.78197	7.29339	0.09686	15.65443	-3.74912	-73.25383
7.92207	7.62247	1.00000	40.67176	6.52409	9.25470	9.18858	26.06354	55.12127	10.75769	1073.91350	7.64956	9.07258	6.90829	0.31266	30.08541	53.49389	-1.29243
10.14334	9.40998	0.00000	39.19954	5.94271	8.73032	8.13437	39.90752	31.44162	6.65444	1161.22458	7.54397	8.62919	6.92664	0.20856	27.26371	39.00622	-77.4286
6.04067	5.82133	1.00000	35.64158	6.57840	5.53276		50.72173	28.41359	5.37799	1191.39466	9.51526	6.88034	7.47315	0.05406	15.04914	29.69221	72.54566
6.70907	5.71638	1.00000	57.74699	8.12713	6.15745	8.17857	55.77903	57.13325	7.25971	1053.17495	8.86619	7.89186	6.63475	0.04938	-0.13373	10.10649	76.35484
4.93290	11.15763	1.00000	59.89254	6.34448	8.84149	7.80500	49.24433	39.98843	7.29127	1106.53397	11.45762	7.47697	7.87467	0.24296	5.30136	43.41949	77.0202
7.80468	12.54681	1.00000	45.16967	6.98361	9.08181	8.10345	63.29291	29.61257	7.64591	1137.21559	10.28964	8.03704	8.46745	0.26183	6.79914	51.40944	46.04833
6.30532	8.45966	1.00000	54.32403	4.81234	8.97066	6.93343	52.12370	31.58481	6.38588	1099.71349	8.68931	7.90608	7.05017	0.24830	11.04928	58.23583	92.48278
6.90157	8.30411	1.00000	44.73997	7.44249	8.67507	8.51689	64.69090	18.97370	8.97628	1164.05490	11.47143	7.12871	7.79358	0.19034	9.29697	33.41012	-91.06177
8.50986	5.27879	1.00000	52.03329	7.52971	5.09231	8.25896	53.30363	63.39996	10.34990	1064.13280	10.67566	5.44167	6.99349	0.04345	15.37227	-13.7804	34.4587
6.04442	7.06550	1.00000	54.67070	8.23113	7.60651	9.08266	50.12293	38.51880	7.14841	1133.48006	9.85200	8.74535	7.08967	0.09934	18.00208	40.34912	-111.90466
7.14257	9.65835	1.00000	34.48455	6.06749	8.90742	9.07683	51.74631	54.62267	9.12849	1185.92776	10.32050	8.13144	7.69102	0.23005	13.92404	6.25947	102.05461
6.38256	5.78590	1.00000	48.80894	7.54169	6.16535	6.75570	71.83010	58.52196	7.80284	1132.28880	9.00241	8.68551	7.35452	0.05375	14.94250	47.30997	8.52462
5.73753	10.08772	1.00000	29.94118	6.51202	10.39344	8.23571	48.28792	39.23863	8.39590	1149.03491	9.46908	8.42408	8.13922	0.88091	15.18656	47.90771	106.88324
6.51223	8.93928	1.00000	77.02285	6.77830	9.52530	8.76428	49.93826	45.40256	8.56700	1179.96094	7.22199	8.23123	5.82755	0.40211	17.51928	51.78967	1.15597
9.49550	9.09761	0.00000	42.36362	9.52310	7.52638	8.27217	44.39290	43.81120	7.73000	1159.62342	6.36367		7.48595	0.09829	31.17031	40.68066	-73.47429
9.08201	10.23967	0.00000	61.80396	6.88854	9.20650	10.98538	44.42841	54.70834	6.11141	1112.32221	7.98616	9.49031	8.49033	0.30720	17.93458	51.08468	7.11393
9.60226	9.79022	0.00000	54.02153	8.43028	9.32863	7.50401	55.81616	42.24483	8.82283	1176.41542	6.66052	6.57159	9.53400	0.35532	31.91589	10.58806	77.24779
10.94729	9.42731	0.00000	43.51993	7.29634	6.70750	9.27401	62.64288	34.07204		1091.70312	4.73947	6.97890	6.65740	0.06037	22.27471	37.73604	-120.93549
10.09579	9.66748	0.00000	50.24804	5.27565	10.21946	8.65362	64.19938	51.18141	5.65063	1183.85331	8.69152	8.27476	8.30902	0.74486	22.38429	25.87498	86.59611
4.98350	9.29805	1.00000	78.91846	6.62301	10.32134	8.04441	50.10419	59.68957	8.37426	1178.35588	8.72688	8.49627	7.71021	0.81988	-8.35019	51.64316	-0.36053
4.40197	6.62205	1.00000	36.47433	5.10159	6.02832	6.06111	57.18472	38.63585	4.97291	1166.48702		7.22182	8.58232	0.07446	33.89623	38.45598	48.87498
7.98622	5.96919	1.00000	76.58779	5.23156	5.44012	8.26467	51.63254	41.55998	8.34875	1094.24409	8.22962	8.59251	6.37873	0.05631	15.86307	38.96667	-0.18333
7.79365	7.53974	0.00000	55.89808	7.08198	8.72006	7.46605	42.78798	65.03706	7.49768	1149.53367	9.85854	7.81330	7.48677	0.20305	15.75513	43.48961	-8.2194
5.76656	7.10196	1.00000	55.19290	5.37562	7.61466	5.79779	36.52810	54.43104	9.55115	1150.16929	10.07075	7.12212	5.38642	0.10220	4.54331	23.0072	-82.4017
10.67659	7.69931	0.00000	47.22651	6.52570	9.38882	8.44002	43.57083	34.21214	4.77895	1176.27744	6.07871	8.00230	6.56844	0.34073	31.04909	16.06213	76.0586
8.86334	6.94032	1.00000	51.88719	6.94776	7.25452	7.26422	46.96548	41.15732	9.13299	1103.08667	10.03769	7.33564	9.20155	0.08133	-7.89498	40.78206	72.34424
6.63535	10.03252	0.00000	46.69206	10.69777	8.18690	7.25947	47.71723	48.44840	8.18472	1108.73912	5.19711	6.25786	9.48179	0.14404	20.20242	51.84819	1.26738
6.88533	10.55853	0.00000	58.34020	7.46329	11.24902	9.15778	49.73016		5.75309	1109.88023	11.13539	6.95821	6.57848	2.06353	29.12834	20.21322	-100.88023
9.89540	8.05844	0.00000	40.66730	6.15260	9.03280	8.88078	62.82981	40.12435	10.69768	1134.76499	4.76019	7.66778	5.34953	0.27896	16.81362	13.73417	-89.71472
6.55955	4.13836	1.00000	54.55985	8.12527	2.89699	8.97802	43.43628	31.42980	3.72407	1140.87677	6.45754	8.60577	7.06780	0.04136	17.54868	59.80917	30.38167
7.86761	11.25694	1.00000	42.62974	6.83488	9.66709	7.15214	29.11853	64.64036	10.48639	1181.78998	12.34261	7.83652	8.19236	0.46910	8.09773	55.38752	36.73307
11.48873	9.21704	0.00000	40.67279	3.96331	9.28511	7.99492	67.22225	48.59722	6.75512	1191.40546	9.47099	8.24073	7.76830	0.32396	15.11794	21.34222	71.30633
12.04103	8.56398	1.00000	73.02297	1.42686	8.53989	7.29715	38.32673	50.68346	7.86507	1124.21475	11.50925	8.45644	7.31984	0.17746	36.87418	30.5427	-97.54667
7.44873	10.43727	0.00000	57.43587	8.41372	8.89255	5.64390	41.47873	44.47811	7.94019	1057.32809	9.64187	7.94717	6.23220	0.21161	-5.46008	47.80527	-122.24064
9.17096	9.61963	0.00000	72.95014	10.98582	8.65252	7.74911	38.62642	56.11082	9.35062	1177.41695	8.99368	6.87931	9.06700	0.19299	-3.72136	43.54072	-116.56346
5.41316	6.94188	1.00000	46.54906	7.57612	6.19221	6.03012	43.15822	38.00126	6.30395	1085.63766	10.98056	5.28444	8.52785	0.05141	26.28480	13.56667	-15.6
