latitude	revision	code	QoS	longitude	location
20.28527	12 Aug 2021	MX	average	-103.42897	America/Mexico_City
47.90771	2022/07/20	MN	accep	106.88324	Asia/Ulaanbaatar
50.82882	22 Oct 2016	GB	accep	-0.32247	Europe/London
32.61603	28 Apr 2015	IQ	average	44.02488	Asia/Baghdad
37.31065	04/10/2021, 00:00:00	IT	good	13.57661	Europe/Rome
3.27833	02/22/2020, 00:00:00	UG	excellent	32.88667	Africa/Kampala
-25.54073	14 Sep 2014	AU	average	152.70493	Australia/Brisbane
-31.95224	2019-11-25	AU	accep	115.8614	Australia/Perth
13.51825	2013-03-23	TH	excellent	99.95469	Asia/Bangkok
25.87972	2019-12-20	MX	accep	-97.50417	America/Matamoros
33.95015	07/19/2018, 00:00:00	US	maintenance	-118.03917	America/Los_Angeles
42.06166	10/29/2014, 00:00:00	ES	good	-1.60452	Europe/Madrid
43.62558	2022/01/26	IT	accep	13.39954	Europe/Rome
50.75932	2015/02/22	UA	good	25.34244	Europe/Kiev
40.85158	07/03/2022, 00:00:00	CN	good	122.74754	Asia/Shanghai
16.0438	2022/01/18	PH	good	120.4861	Asia/Manila
12.97389	09/28/2017, 00:00:00	PH	excellent	123.99333	Asia/Manila
40.94065	02/11/2018, 00:00:00	US	accep	-73.99681	America/New_York
30.17746	06 Nov 2013	US	good	-81.38758	America/New_York
34.25807	03/15/2018, 00:00:00	US	accep	-88.70464	America/Chicago
43.62558	18 Feb 2013	IT	accep	13.39954	Europe/Rome
45.75279	2014/10/08	CN	building	130.57211	Asia/Shanghai
43.54072	2020/01/30	US	good	-116.56346	America/Boise
47.30997	09/20/2013, 00:00:00	CH	excellent	8.52462	Europe/Zurich
50.50301	09/29/2019, 00:00:00	CZ	average	13.63617	Europe/Prague
48.15659	09/06/2022, 00:00:00	MD	maintenance	28.28489	Europe/Chisinau
37.16911	06 Aug 2020	TN	excellent	10.03478	Africa/Tunis
24.28859	2017/03/23	CN	good	116.11768	Asia/Shanghai
23.9028	06/13/2015, 00:00:00	BD	good	89.11943	Asia/Dhaka
37.60876	2020/01/02	US	average	-77.37331	America/New_York
-6.91806	2016/10/22	ID	accep	106.92667	Asia/Jakarta
35.82756	06/30/2016, 00:00:00	JP	accep	137.95378	Asia/Tokyo
54.39304	2017/04/02	RU	good	53.26023	Europe/Moscow
-20.87306	10/14/2020, 00:00:00	BR	excellent	-48.29694	America/Sao_Paulo
40.34912	10/06/2021, 00:00:00	US	excellent	-111.90466	America/Denver
42.67164	2022-09-21	IT	building	14.01481	Europe/Rome
20.88953	2021/12/28	US	excellent	-156.47432	Pacific/Honolulu
44.97639	01 Oct 2016	RS	maintenance	19.61222	Europe/Belgrade
40.65995	21 Dec 2016	US	average	-111.99633	America/Denver
32.52515	28 Apr 2022	US	excellent	-93.75018	America/Chicago
-1.6	01/15/2014, 00:00:00	ID	good	103.61667	Asia/Jakarta
54.03876	2020/07/17	RU	excellent	43.91385	Europe/Moscow
-22.57306	01/08/2016, 00:00:00	BR	accep	-47.1725	America/Sao_Paulo
35.64889	02/02/2013, 00:00:00	CN	maintenance	117.27583	Asia/Shanghai
33.92866	16 Jun 2020	MA	maintenance	-6.90656	Africa/Casablanca
31.76212	01/26/2013, 00:00:00	US	average	-95.63079	America/Chicago
20.21322	2018-04-20	MX	good	-100.88023	America/Mexico_City
41.72063	2013-01-05	IT	good	12.6723	Europe/Rome
-21.15	2013/03/20	MG	good	46.58333	Indian/Antananarivo
23.04419	2016-03-27	CU	excellent	-82.00919	America/Havana
37.60876	12/02/2020, 00:00:00	US	good	-77.37331	America/New_York
-20.25333	2021/11/22	BR	accep	-43.80139	America/Sao_Paulo
-37.32167	15 May 2021	AR	accep	-59.13316	America/Argentina/Buenos_Aires
53.49389	06/05/2018, 00:00:00	GB	excellent	-1.29243	Europe/London
49.41029	2012/12/12	UA	excellent	38.15035	Europe/Zaporozhye
13.70727	12/17/2019, 00:00:00	NE	accep	9.15013	Africa/Niamey
50.18545	2021-08-24	UA	average	27.06365	Europe/Kiev
-7.51611	2017-03-29	ID	good	109.05389	Asia/Jakarta
10.7375	22 Oct 2017	PH	good	122.9666	Asia/Manila
19.32932	2020/01/16	MX	average	-98.1664	America/Mexico_City
