longitude	NOx	SO2	CFCs	NH3	O3	TEMP	C2H3NO5	PAHs	PRES	Pb	PM10	CH4	H2CO	warning	PM2.5	latitude	CO
9.5926	5.85646	8.14934	58.75818	7.31857	8.81847	2.57616	0.04893	10.74876	1099.53016	54.64129	6.14312	7.09442	42.86210	1.00000	9.86244	52.86147	8.62759
-70.6996	6.69552	8.35865	46.86427	8.46466	5.49664	18.77199	0.02037	8.11266	1104.82351	34.87411	5.06270	7.90839	61.98002	1.00000	11.12121	-33.59217	7.23153
6.76111	9.03174	9.10098	22.96031	7.54624	8.70834	5.15420	1.87454	9.11695	1176.18290	45.74379	10.44511	7.82580	41.50987	1.00000	5.23566	53.16167	8.40348
14.39024	5.58010	8.83670	68.01546	7.17828	6.84627	34.63306	0.23504	12.26838	1149.20382	68.05178	7.92840	8.56731	62.04740	1.00000	8.86354	42.22718	8.44978
-3.59625	9.70894	7.87340	37.63268	5.36368	7.59172	-5.72046	1.73235	6.51404	1054.40989	45.42573	10.39323	6.60017	88.43412	1.00000	7.23441	5.27247	9.60893
-48.62789	8.85016	7.53681	18.01013	6.45003	7.12530	7.84045	0.16827	9.65436	1077.37962	37.06732	7.60622	9.54792	43.72636	1.00000	8.93680	-17.74431	10.30105
-80.66756	6.42468	6.12567	35.05479	6.80232	7.67381	3.69016	0.12965	11.81541	1076.10117	60.59955	7.57764	8.80266	30.55264	1.00000	8.46634	26.68451	9.01140
2.44892	6.45752	11.17500	58.49612	9.83593	8.19357	2.83212	0.09846	8.74638	1064.67352	64.16467	7.32402	7.43281	54.11125	0.00000	5.40727	48.98693	9.03698
150.99292	12.02846	6.81663	57.67053	4.53002	5.29955	7.24752	0.23559	5.95354	1125.34329	45.00279	8.09467	7.58890	57.66101	1.00000	10.09085	-33.75881	10.63713
14.72443	8.17018	8.56073	49.75713	6.73681	5.53151	28.83337	0.35570	8.82061	1159.24669	61.74596	8.56305	9.19044	52.13154	1.00000	8.48517	36.92574	8.81078
30.96755	7.07169	8.84686	45.71407	7.44699	6.83568	14.97813	0.30007	8.21710	1141.13728	48.83831	8.37519	7.61552	70.63347	1.00000	7.46597	49.07866	8.64551
-95.36969	8.86751	8.64030	33.76089	6.76579	7.80604	6.39786	0.99556	8.24352	1109.98690	51.98165	9.75792	8.28363	57.18304	1.00000	6.49902	35.74788	9.46578
