revision	latitude	station	QoS	longitude	location
12/17/2021, 00:00:00	27.34089	Shaowu	excellent	117.4831	Asia/Shanghai
11/02/2014, 00:00:00	28.71271	Pilkhua	good	77.656	Asia/Kolkata
2014-02-09	41.15612	Reus	excellent	1.10687	Europe/Madrid
2013-09-26	41.75338	Granger	average	-86.11084	America/Indiana/Indianapolis
2015-02-09	24.41288	Aklera	maintenance	76.56719	Asia/Kolkata
2014-07-24	33.72255	Palm Desert	good	-116.37697	America/Los_Angeles
28 Sep 2012	32.5007	Longview	average	-94.74049	America/Chicago
2018/09/11	8.88649	Tchaourou	excellent	2.59753	Africa/Porto-Novo
2020/08/21	5.6561	Andes	excellent	-75.87877	America/Bogota
2018/07/24	50.80904	Marburg an der Lahn	excellent	8.77069	Europe/Berlin
18 Jul 2016	48.28259	Ehingen	maintenance	9.72749	Europe/Berlin
2014-08-18	-54.8	Ushuaia	building	-68.3	America/Argentina/Ushuaia
08 Jan 2019	48.78232	Stuttgart	average	9.17702	Europe/Berlin
2013/04/14	39.08367	Covington	accep	-84.50855	America/New_York
2013-08-25	38.06084	Hutchinson	accep	-97.92977	America/Chicago
06/10/2018, 00:00:00	16.455	La Trinidad	excellent	120.5875	Asia/Manila
2018/08/16	36.72544	Thenia	excellent	3.55665	Africa/Algiers
01 Jun 2021	52.68333	East Dereham	average	0.93333	Europe/London
06/18/2021, 00:00:00	33.43443	Azrou	excellent	-5.22126	Africa/Casablanca
2013-05-21	-21.41222	Miracema	maintenance	-42.19667	America/Sao_Paulo
2021/09/08	57.30185	Gavrilov-Yam	average	39.85331	Europe/Moscow
07/20/2019, 00:00:00	10.7375	Talisay	good	122.9666	Asia/Manila
2015/11/19	44.97639	Sremska Mitrovica	excellent	19.61222	Europe/Belgrade
2018-12-04	51.30001	Oschatz	average	13.10984	Europe/Berlin
2018/12/23	23.9028	Kushtia	accep	89.11943	Asia/Dhaka
03/05/2014, 00:00:00	41.0051	Scarsdale	maintenance	-73.78458	America/New_York
09/15/2015, 00:00:00	33.93113	Norco	good	-117.54866	America/Los_Angeles
04/01/2021, 00:00:00	42.8139	Segundo Ensanche	good	-1.64295	Europe/Madrid
07/21/2019, 00:00:00	-21.41222	Miracema	maintenance	-42.19667	America/Sao_Paulo
08/24/2021, 00:00:00	65.84811	Tornio	average	24.14662	Europe/Helsinki
04 Feb 2019	-7.76667	Iringa	maintenance	35.7	Africa/Dar_es_Salaam
2013-05-03	37.08819	Albufeira	building	-8.2503	Europe/Lisbon
11/07/2021, 00:00:00	34.31	Jerada	excellent	-2.16	Africa/Casablanca
09/27/2019, 00:00:00	30.24706	Huangshi	accep	115.04814	Asia/Shanghai
12/31/2016, 00:00:00	36.20829	Pahrump	excellent	-115.98391	America/Los_Angeles
15 May 2018	40.34912	Saratoga Springs	average	-111.90466	America/Denver
2021-03-29	-22.9	Sakaraha	average	44.53333	Indian/Antananarivo
18 Aug 2015	35.05266	Fayetteville	excellent	-78.87836	America/New_York
12/24/2021, 00:00:00	0.03813	Nyahururu	good	36.36339	Africa/Nairobi
15 Dec 2018	32.57756	Mianwali	accep	71.52847	Asia/Karachi
07 Aug 2020	6.25947	Tak Bai	maintenance	102.05461	Asia/Bangkok
2019/08/03	54.90083	Stupino	excellent	38.07083	Europe/Moscow
01/13/2015, 00:00:00	32.52515	Shreveport	average	-93.75018	America/Chicago
05/04/2018, 00:00:00	24.41288	Aklera	maintenance	76.56719	Asia/Kolkata
2021/12/09	54.03876	Kovylkino	excellent	43.91385	Europe/Moscow
08/20/2017, 00:00:00	-21.15	Ikalamavony	average	46.58333	Indian/Antananarivo
2022-01-18	49.88307	Kelowna	building	-119.48568	America/Vancouver
2017/06/21	20.14298	Media Luna	building	-77.43532	America/Havana
09/14/2021, 00:00:00	55.82885	Rutherglen	accep	-4.21376	Europe/London
08/30/2020, 00:00:00	36.65	Suzaka	maintenance	138.31667	Asia/Tokyo
2016/12/28	34.81667	Toyokawa	average	137.4	Asia/Tokyo
08/06/2022, 00:00:00	20.22816	Zacoalco de Torres	accep	-103.5687	America/Mexico_City
07/22/2014, 00:00:00	54.39635	Alytus	accep	24.04142	Europe/Vilnius
2013-11-05	44.80477	Talence	good	-0.59543	Europe/Paris
08/13/2018, 00:00:00	40.72816	Jersey City	accep	-74.07764	America/New_York
2016-12-05	42.7392	Waverly	good	-84.62081	America/Detroit
2021/07/16	18.20854	Santa Cruz de Barahona	average	-71.10077	America/Santo_Domingo
2017-09-15	40.82232	Nutley	accep	-74.15987	America/New_York
2014-08-11	-7.01833	Pameungpeuk	average	107.60389	Asia/Jakarta
2022/09/22	34.61667	Yao	excellent	135.6	Asia/Tokyo
2013-12-11	48.90472	La Garenne-Colombes	building	2.2469	Europe/Paris
08/01/2017, 00:00:00	-11.78333	Luena	maintenance	19.91667	Africa/Luanda
2020/02/17	60.97944	Izluchinsk	accep	76.92421	Asia/Yekaterinburg
2015-09-24	34.63915	Lompoc	excellent	-120.45794	America/Los_Angeles
07/07/2022, 00:00:00	51.40944	Privolzhskiy	maintenance	46.04833	Europe/Saratov
2014-05-21	32.87533	Daud Khel	average	71.57118	Asia/Karachi
07 Aug 2014	40.57788	Brighton Beach	excellent	-73.95958	America/New_York
2018-07-05	27.85	Xiangtan	good	112.9	Asia/Shanghai
2018/12/24	32.57756	Mianwali	average	71.52847	Asia/Karachi
2013-02-03	29.84576	Estelle	good	-90.10674	America/Chicago
13 Apr 2022	27.55898	Larkana	accep	68.21204	Asia/Karachi
25 Dec 2018	12.35275	San Jose	accep	121.06761	Asia/Manila
07/21/2013, 00:00:00	5.27247	Bonoua	excellent	-3.59625	Africa/Abidjan
2015/07/14	19.32932	Contla	good	-98.1664	America/Mexico_City
06/28/2013, 00:00:00	53.49389	Mexborough	maintenance	-1.29243	Europe/London
2012/12/06	41.80753	New City	excellent	-87.65644	America/Chicago
06/06/2014, 00:00:00	3.27833	Kitgum	excellent	32.88667	Africa/Kampala
2016-11-16	51.95838	Schiebroek	accep	4.47124	Europe/Amsterdam
2015-11-22	-37.32167	Tandil	accep	-59.13316	America/Argentina/Buenos_Aires
2012/09/27	18.18158	Osmanabad	average	76.03889	Asia/Kolkata
2019-01-28	50.20528	Jaworzno	accep	19.27498	Europe/Warsaw
01/26/2021, 00:00:00	14.66	Pilar	excellent	120.56528	Asia/Manila
2014-04-24	8.62261	Barinas	accep	-70.20749	America/Caracas
2013-07-19	51.65333	Vught	accep	5.2875	Europe/Amsterdam
26 Jun 2014	53.19146	Winsford	average	-2.52398	Europe/London
2018-05-25	-2.13404	Milagro	accep	-79.59415	America/Guayaquil
09 May 2019	52.86147	Walsrode	accep	9.5926	Europe/Berlin
2019/02/11	28.98002	Meerut	excellent	77.70636	Asia/Kolkata
04 Mar 2021	14.93333	Chichicastenango	building	-91.11667	America/Guatemala
2021/01/08	31.76212	Palestine	good	-95.63079	America/Chicago
04/26/2019, 00:00:00	43.1122	Perugia	average	12.38878	Europe/Rome
2014-08-10	43.61058	Colomiers	average	1.33467	Europe/Paris
2015-04-09	43.71032	Dax	maintenance	-1.05366	Europe/Paris
2019-03-30	-44.39672	Timaru	excellent	171.25364	Pacific/Auckland
2015/02/18	-6.8048	Kudus	excellent	110.8405	Asia/Jakarta
2016-01-29	34.56861	Beidao	building	105.89333	Asia/Shanghai
2021-03-10	15.46063	Thap Than	maintenance	99.89166	Asia/Bangkok
2013/01/17	35.815	Shimotoda	building	139.6853	Asia/Tokyo
02 Mar 2017	6.25947	Tak Bai	excellent	102.05461	Asia/Bangkok
08/02/2018, 00:00:00	8.88988	Veracruz	average	-79.62603	America/Panama
2014-03-06	42.8334	Norfolk County	average	-80.38297	America/Toronto
21 Aug 2020	38.70734	Fort Washington	good	-77.02303	America/New_York
2018/07/13	51.14942	Zgorzelec	good	15.00835	Europe/Warsaw
09/06/2019, 00:00:00	-3.74912	Iquitos	excellent	-73.25383	America/Lima
2012/10/21	43.62558	Falconara Marittima	excellent	13.39954	Europe/Rome
2020/05/21	-10.33333	Nyangao	good	39.28333	Africa/Dar_es_Salaam
2018-04-27	-33.75881	Baulkham Hills	accep	150.99292	Australia/Sydney
19 Sep 2013	27.71809	Sun City Center	building	-82.35176	America/New_York
2018/06/15	43.32686	Leioa	maintenance	-2.98884	Europe/Madrid
11/22/2012, 00:00:00	58.04254	Tavda	average	65.27258	Asia/Yekaterinburg
11/25/2014, 00:00:00	33.52253	Laguna Niguel	excellent	-117.70755	America/Los_Angeles
08/04/2013, 00:00:00	37.08819	Albufeira	maintenance	-8.2503	Europe/Lisbon
08/29/2016, 00:00:00	21.46527	Sambalpur	average	83.97573	Asia/Kolkata
28 Jun 2019	48.98994	Herblay	good	2.1699	Europe/Paris
2021-10-18	8.35122	Ciudad Guayana	good	-62.64102	America/Caracas
2022-04-06	50.09019	Hofheim am Taunus	good	8.4493	Europe/Berlin
01 Apr 2015	34.14251	Glendale	maintenance	-118.25508	America/Los_Angeles
2016/10/23	36.91023	Watsonville	excellent	-121.75689	America/Los_Angeles
2017-05-14	-7.0981	Randudongkal	good	109.3243	Asia/Jakarta
14 Dec 2017	34.21639	Camarillo	maintenance	-119.0376	America/Los_Angeles
15 Sep 2022	42.55308	Pleasant Prairie	excellent	-87.93341	America/Chicago
04/02/2016, 00:00:00	6.03333	Arba Minch	average	37.55	Africa/Addis_Ababa
09/02/2015, 00:00:00	15.72892	Burgos	accep	120.57224	Asia/Manila
21 Aug 2014	-8.28333	Cabo	average	-35.03333	America/Recife
11/21/2012, 00:00:00	51.64316	Bushey	average	-0.36053	Europe/London
2018-12-21	16.455	La Trinidad	accep	120.5875	Asia/Manila
02/26/2017, 00:00:00	1.6561	Kulai	accep	103.6032	Asia/Kuala_Lumpur
2021-11-14	55.63711	Solntsevo	maintenance	37.38115	Europe/Moscow
17 Jan 2015	40.53123	Francavilla Fontana	accep	17.58522	Europe/Rome
19 Aug 2014	-4.42472	Pedro II	good	-41.45861	America/Fortaleza
01/28/2019, 00:00:00	59.37722	Narva	accep	28.19028	Europe/Tallinn
02 Jun 2016	55.75556	Ozersk	accep	60.70278	Asia/Yekaterinburg
20 Feb 2022	24.41288	Aklera	accep	76.56719	Asia/Kolkata
2022/01/21	8.43333	Nakhon Si Thammarat	good	99.96667	Asia/Bangkok
06/10/2019, 00:00:00	48.8765	Rueil-Malmaison	good	2.18967	Europe/Paris
02 Feb 2016	-31.4488	Esperanza	excellent	-60.93173	America/Argentina/Cordoba
2019/09/17	48.28259	Ehingen	average	9.72749	Europe/Berlin
2022-05-04	39.22493	Patnos	maintenance	42.85693	Europe/Istanbul
2018/12/24	13.65805	Paoy Paet	maintenance	102.56365	Asia/Phnom_Penh
2019-02-09	37.31065	Agrigento	accep	13.57661	Europe/Rome
2022/01/08	1.6	Ulu Tiram	accep	103.81667	Asia/Kuala_Lumpur
2018-04-12	9.58126	Kafanchan	average	8.2926	Africa/Lagos
2015-08-23	53.53333	An Muileann gCearr	excellent	-7.35	Europe/Dublin
2018-09-11	51.03427	Houthalen	average	5.37429	Europe/Brussels
2020-07-29	0.76755	Yangambi	good	24.43973	Africa/Lubumbashi
09 Oct 2018	20.28527	Jocotepec	excellent	-103.42897	America/Mexico_City
08 Apr 2015	40.82232	Nutley	accep	-74.15987	America/New_York
2013/02/19	26.67319	Juhaynah	good	31.4976	Africa/Cairo
2019-09-07	53.53041	Nizhniy Lomov	accep	43.67663	Europe/Moscow
2018-05-06	-22.9	Sakaraha	average	44.53333	Indian/Antananarivo
08/08/2021, 00:00:00	18.18158	Osmanabad	excellent	76.03889	Asia/Kolkata
2017-03-07	-19.65	Antanifotsy	building	47.31667	Indian/Antananarivo
29 Sep 2021	48.35149	Hechingen	excellent	8.96317	Europe/Berlin
05/05/2015, 00:00:00	38.45598	Astara	accep	48.87498	Asia/Baku
2017-03-30	6.03333	Arba Minch	good	37.55	Africa/Addis_Ababa
2022-07-13	51.168	Finnentrop	building	7.973	Europe/Berlin
