PAHs	NOx	latitude	NH3	PM10	O3	Pb	H2CO	CH4	SO2	TEMP	C2H3NO5	PRES	longitude	CFCs	warning	PM2.5	CO
9.00851	9.33406	-31.25033	8.85479	8.56282	8.07781	51.64743	66.94863	8.70998	6.52367	19.90072	4.01795	1135.29664	-61.4867	51.89314	1.00000	8.67427	8.46286
10.00400	8.27884	52.53048	11.20784	7.50734	7.48044	46.31576	53.36120	9.02643	6.65006	18.49795	2.03705	1173.65359	13.29371	55.15247	1.00000	10.80199	7.48793
7.28914	11.06666	41.82143	11.44206	7.77964	7.71330	30.28921	42.33638	8.36258	11.14110	3.90605	1.87848	1197.17724	41.77921	53.24579	1.00000	10.15667	5.90814
11.23298	10.61477	40.64621	8.80537	7.54822	9.02081	46.53393	42.09851	8.36405	8.66806	20.54728	2.08582	1068.59777	-73.97069	42.91116	1.00000	10.32624	8.04836
8.24913	12.36128	41.82143	5.37080	8.94302	6.43141	54.66012	60.88582	6.83400	9.66014	25.34735	5.29075	1139.15664	41.77921	56.37424	0.00000	7.29158	10.96432
5.01045	13.17411	19.64745	8.15283	8.83692	6.60340	32.99584	41.24656	9.99547	6.04351	6.89824	5.20876	1192.12649	-102.04897	50.58557	1.00000	12.00595	4.90084
7.67655	9.94234	-32.05251	9.40243	8.76910	7.83137	61.67769	63.81407	8.34554	3.80413	20.87208	4.51357	1161.48562	115.88782	53.53200	1.00000	10.66402	5.43721
10.05255	9.86791	35.20889	8.56789	6.59919	8.00744	41.79199	41.69880	7.77626	7.76062	6.52313	1.32946	1072.39381	111.73861	62.75670	1.00000	8.19801	9.33635
8.67710	7.76469	27.71809	12.20361	9.95165	9.09870	62.66348	40.44921	9.06895	9.70370	31.68653	13.68678	1113.99625	-82.35176	51.13018	1.00000	8.72339	7.41410
8.03188	7.16567	20.22816	12.40509	8.52456	8.12759	55.67597	55.69862	8.96340	5.86303	9.29499	3.32551	1097.96236	-103.5687	64.37284	1.00000	9.49113	9.75517
10.25682	11.71890	40.67705	8.67087	7.28977	8.84008	53.65054	71.38918	7.51709	9.73663	5.27567	1.46066	1111.92779	-73.89125	43.44516	0.00000	7.99723	7.45651
6.16743	8.29799	55.25	6.65860	7.90751	8.35506	44.54022	65.93891	8.11887	9.84819	13.58340	2.60176	1119.10353	24.75	49.49866	0.00000	7.04714	5.17472
7.76810	10.51819	9.535	7.84124	8.68269	7.93164	58.67494	52.61012	7.85768	9.21984	13.26483	4.47377	1120.83882	-13.68778	44.63442	0.00000	6.67774	6.25004
7.73440	7.53344	30.81383	9.99766	8.19169	5.85520	61.95790	46.33478	8.36087	5.98268	22.16402	3.17042	1198.26634	75.16878	64.97348	1.00000	9.05414	10.56346
8.74295	9.03397	41.20485	8.49038	8.54070	11.70249	48.68190	43.15545	8.59936	5.99766	12.99254	4.01392	1145.92683	-8.33147	53.98198	1.00000	10.51479	8.79063
6.95748	8.80031	37.35813	7.23307	9.41758	8.35509	58.21759	37.28689	6.79922	9.01784	-0.18632	7.68827	1120.81286	-6.03731	56.89486	0.00000	6.83485	7.05751
10.67474	10.14754	32.50611	9.93454	7.40201	8.63815	54.48432	44.04203	9.00529	7.65417	11.72216	1.64174	1105.67387	120.14278	74.24588	1.00000	10.75480	8.68666
7.63235	9.24506	36.06386	10.19653	8.11821	8.84483	52.03490	41.41481	9.25628	6.40835	18.49286	3.00329	1096.19101	4.62744	72.12227	1.00000	10.04695	7.73311
7.67716	11.85805	46.75451	10.86624	7.75525	6.12031	48.36929	37.44935	9.53262	10.62341	14.95733	1.76013	1063.87330	33.34864	74.33234	0.00000	7.00369	6.27578
8.23108	9.91661	52.61131		8.04499	7.94899	45.24390	60.85070	8.92256	9.39172	23.61469	2.70347	1094.22148	13.31783	62.84434	1.00000	11.33953	5.41884
9.10303	10.72338	34.25	9.11711	9.09141	7.80694	56.21258	57.09917	7.89118	6.39917	25.78581	5.86038	1135.23800	135.31667	47.76645	1.00000	9.86092	6.63219
10.65137	9.94089	9.535	10.10476	9.40111	10.65502	37.63725	58.06688	7.76572	8.90819	17.38597	8.22131	1193.87110	-13.68778	42.86203	1.00000	9.14199	5.72905
10.32566	11.30261	37.56667	9.49137	7.87706	10.52237	27.62551	45.33637	7.81490	8.06843	27.10935	2.24181	1184.44523	140.11667	51.68535	1.00000	9.25629	7.90926
10.80947	8.42423	33.3213	4.68357	6.60943	6.83754	27.06762	42.12274	10.41616	5.45096	31.16484	1.25554	1091.39178	130.94098	34.61244	0.00000	9.76898	5.63143
10.07597	11.69794	40.37528	7.25848	7.98639	8.52092	34.41494	63.12156	7.66350	8.46697	7.37747	2.47372	1167.97311	28.88222	44.01161	0.00000	10.35326	10.10422
11.69347	8.38755	44.85278	5.15341	10.02923	8.88966	46.13170	31.86903	9.90487	6.30056	24.22495	15.31983	1100.87872	65.50917	42.03765	0.00000	9.84418	7.87468
