revision	code	QoS	latitude	station	longitude
2013/09/25	US	good	41.85059	Westchester	-87.882
23 Jun 2014	NL	good	52.26083	Losser	7.00417
2022-01-29	PK	accep	25.95533	Jhol	68.88871
2016/07/21	DK	excellent	55.67938	Frederiksberg	12.53463
11/29/2021, 00:00:00	DO	excellent	18.20854	Santa Cruz de Barahona	-71.10077
2017/07/11	CN	excellent	41.94175	Hushitai	123.50266
2017-01-29	PL	average	50.86079	Brzeg	17.4674
09/23/2019, 00:00:00	JP	good	33.3213	Hita	130.94098
2018/06/07	IN	accep	10.10649	Alwaye	76.35484
2016/12/22	IN	accep	12.04161	Talipparamba	75.35927
10/25/2017, 00:00:00	BE	excellent	50.88506	Denderleeuw	4.07601
2013-04-20	CN	accep	23.73333	Heyuan	114.68333
02/16/2015, 00:00:00	MX	good	19.04222	Casa Blanca	-98.11889
03/03/2017, 00:00:00	CN	good	29.98869	Zhoushan	122.20488
15 Apr 2016	AO	excellent	-11.78333	Luena	19.91667
19 Jan 2016	US	building	26.91756	Punta Gorda Isles	-82.07842
2021/07/18	IN	good	25.49043	Teghra	85.94001
05 Jun 2013	KR	maintenance	36.82167	Eisen	128.63083
15 Jan 2015	PH	building	14.95472	Baliuag	120.89694
24 Jul 2014	MX	average	21.01858	Guanajuato	-101.2591
2013-12-13	LT	building	55.25	Ukmerge	24.75
19 Nov 2019	US	accep	33.76446	North Tustin	-117.79394
23 Feb 2014	RU	good	53.37596	Otradnyy	51.3452
2017-03-10	BE	average	50.56149	Gembloux	4.69889
2019/08/06	TN	good	35.72917	Msaken	10.58082
2020/12/01	KE	accep	0.03813	Nyahururu	36.36339
2018-11-28	GN	excellent	9.535	Camayenne	-13.68778
02/01/2019, 00:00:00	PK	accep	31.71667	Sangla Hill	73.38333
2021-12-23	IN	good	12.25282	Gingee	79.41727
2013-10-09	MX	good	16.75973	Tuxtla	-93.11308
08/31/2020, 00:00:00	RU	average	55.63711	Solntsevo	37.38115
09/27/2014, 00:00:00	TH	accep	13.8196	Nakhon Pathom	100.04427
11 Sep 2021	MX	building	20.22816	Zacoalco de Torres	-103.5687
