PM10	PM2.5	NOx	H2CO	C2H3NO5	latitude	SO2	CH4	longitude	warning	Pb	NH3	CO	TEMP	PAHs	PRES	O3	CFCs
6.07813	6.90744	7.44757	51.23122	0.91974	-3.5403	9.25688	6.77244	118.9707	1.00000	48.46927	6.07986	10.45577	14.03811	6.94818	1087.24088	8.02733	52.77749
6.89207	6.86753	6.85062	71.06533	0.75735	29.84576	7.38494	8.66439	-90.10674	1.00000	54.47649	9.86305		-4.37317	7.33664	1083.34731	9.44859	36.58768
6.71169	7.61585	6.23239	47.02258	0.57216	39.22493	7.00606	8.13021	42.85693	1.00000	57.78387	7.74024	6.78884	22.50115	8.17039	1183.22224	9.04095	49.74612
7.94116	7.92634	6.34301	56.11317	1.75908	22.75218	9.05054	9.14375	72.68533	1.00000	60.30825	8.88709	8.90107	14.30922	6.49171	1061.30457	8.75014	58.34216
7.24979	7.93798	9.92143	47.00608	1.40903	-26.93366	9.19513	6.49613	29.24152	0.00000	13.35131	6.85893	10.45672	13.65876	7.25242	1071.05974	9.00307	60.36269
6.31546	7.92120	8.68587	93.10435	1.23159	32.65246	7.89981	8.71632	51.67462	1.00000	25.63842	7.78068	7.83319	2.82588	7.11416	1084.33457	6.14262	36.19182
5.35159	8.04584	10.38949	61.06825	0.57421	43.61092	7.74147	7.36028	3.87723	0.00000	43.36347	8.56427	8.45958	15.80289	10.51928	1078.52564	9.72010	47.76304
8.06389	7.83814	6.97412	43.09657	2.49572	40.64621	9.32221	5.71384	-73.97069	0.00000	51.27422	7.51574	5.34092	6.54310	9.99269	1095.05584	10.29931	80.83883
6.47457	9.13441	5.33835	42.58237	1.18656	8.62261	9.08773	8.01317	-70.20749	1.00000	37.34953	8.10698	6.71990	19.68438	7.16493	1113.05798	8.82602	30.37854
5.17397	8.46354	7.73566	48.37756	0.36892	25.80565	7.33850	7.93844	68.49143	1.00000	36.96695	9.09159	8.50922	18.45376	7.66856	1087.91686	6.67233	44.01865
6.87228	9.57958	6.32124	48.91563	0.75064	38.72706	8.59902	5.21079	-9.24671	1.00000	47.79501	9.24987	10.86946	3.83234	7.11695	1168.20529	7.22400	43.44038
6.43222	7.45021	7.33340	41.38961	0.92387	-11.48472	8.21451	6.86806	-37.93278	1.00000	77.14026	7.13939	9.80524	13.99300	7.75507	1116.45221	7.66222	62.54768
6.25911	6.89649	8.92140	48.78943	0.87219	10.13361	7.37185	6.76290	124.84472	0.00000	49.47697	5.88658	10.79465	26.82192	6.92490	1093.08682	8.94673	53.99094
6.46891	8.80608	9.98101	40.05026	0.96253	51.47805	7.28468	6.33739	6.8625	0.00000	55.75556	7.20953	6.66467	8.30769	10.77170	1162.46030	10.79357	53.12244
4.93642	7.80134	5.81009	53.77742	1.14382	28.92694	7.45842	10.27678	78.23456	1.00000	40.82783	9.99552	7.66437	35.54739	7.94417	1061.29437	10.32374	43.70951
6.41426	7.74989	5.50241	27.56361	0.86980	32.17629	8.77417	10.74124	75.06583	1.00000	29.44198	7.36778	8.46485	29.29687	6.73710	1127.99172	9.20980	48.16100
3.92312	7.09457	6.21725	62.94920	0.73512	55.64776	7.26938	11.54852	38.02486	1.00000	48.71331	8.10367	7.47328	22.89983	7.05430	1140.58434	11.28269	40.85255
6.66328	8.30920	8.92159	39.68239	0.93502	53.14657	9.11852	5.99796	140.72287	0.00000	57.08686	9.14722	9.67549	11.19750	5.36168	1118.57946	8.89159	48.40168
6.77042	7.99051	7.19264	42.23220	1.07076	7.06273	8.54995	7.00647	-1.4001	1.00000	61.19053	8.24905	4.34570	31.00432	8.60317	1156.31207	8.72205	73.88362
