location	longitude	latitude	code	QoS	revision
Europe/Madrid	-3.67029	37.13548	ES	excellent	09/03/2019, 00:00:00
Europe/Moscow	38.02486	55.64776	RU	good	2016/02/19
America/Chicago	-96.67834	34.77453	US	accep	2021-12-01
Europe/Madrid	-1.60452	42.06166	ES	maintenance	2013/10/10
Europe/Rome	14.66737	41.55947	IT	accep	2014-03-19
Asia/Tokyo	129.96972	33.4425	JP	good	2020/08/02
America/New_York	-69.96533	43.91452	US	good	14 Aug 2021
Europe/Paris	2.29275	48.79325	FR	maintenance	2021/05/07
Asia/Kolkata	76.35484	10.10649	IN	building	12/06/2017, 00:00:00
America/Chicago	-87.88754	41.15376	US	excellent	08/24/2017, 00:00:00
America/Sao_Paulo	-52.67056	-26.22861	BR	average	14 Jun 2018
Asia/Taipei	119.58627	23.5654	TW	excellent	06/29/2015, 00:00:00
Asia/Shanghai	120.74221	31.64615	CN	average	11/22/2017, 00:00:00
Europe/Berlin	10.03988	53.6052	DE	average	11/10/2014, 00:00:00
America/Sao_Paulo	-52.67056	-26.22861	BR	excellent	07/04/2013, 00:00:00
Europe/Malta	14.51472	35.89972	MT	building	2021/01/14
Europe/Malta	14.51472	35.89972	MT	average	14 Oct 2017
America/New_York	-78.87836	35.05266	US	accep	06/14/2020, 00:00:00
Asia/Shanghai	120.03308	28.88162	CN	average	2021-02-13
America/New_York	-78.19444	38.91817	US	average	2015/03/30
Asia/Makassar	118.9707	-3.5403	ID	accep	02 Jan 2018
America/Sao_Paulo	-41.25528	-19.32556	BR	maintenance	2017/07/27
Europe/Vilnius	24.75	55.25	LT	accep	02/15/2018, 00:00:00
Pacific/Honolulu	-156.47432	20.88953	US	excellent	2022/03/17
Europe/Berlin	9.15214	49.97704	DE	excellent	2015-07-21
Europe/London	-2.01111	52.66277	GB	average	06/02/2018, 00:00:00
America/Los_Angeles	-119.01677	36.06523	US	accep	2020/04/19
America/Chicago	-93.12577	44.73941	US	average	04 Jun 2016
Africa/Tunis	10.58082	35.72917	TN	excellent	2018-04-22
America/New_York	-74.01042	41.50343	US	excellent	2014/06/14
Europe/Berlin	6.26667	51.21667	DE	excellent	2020/06/18
Asia/Kolkata	74.4818	30.21121	IN	excellent	23 Jun 2021
America/Santiago	-71.23106	-32.45242	CL	excellent	2020/04/12
Africa/Dar_es_Salaam	35.7	-7.76667	TZ	average	17 Jul 2013
America/Bogota	-72.47417	7.83389	CO	building	2020-09-02
Asia/Tokyo	139.55722	36	JP	accep	07/03/2016, 00:00:00
Europe/London	-4.0573	55.82737	GB	excellent	2021/03/27
