latitude	O3	CO	PM10	CH4	PAHs	CFCs	warning	TEMP	PM2.5	longitude	PRES	H2CO	NOx	SO2	C2H3NO5	Pb	NH3
18.03496	5.39719	8.13706	8.23677	5.30518	5.68332	56.58951	0.00000	15.12351	6.63473	-66.8499	1123.73089	53.77575	10.58553	9.32624	6.85321	98.41394	10.04983
30.24706		7.02685	8.34285	7.10340	6.33413	42.38396	1.00000	21.54978	5.99609	115.04814	1093.26694	34.42106	7.44386	9.24628	6.71120	60.85026	6.53207
25.92127	8.94125	6.92314	8.40217	6.78511	9.72012	46.00224	1.00000	8.52787	5.74025	86.79271	1193.54568	59.72648	7.66132	10.00849	6.90308	63.87881	10.92266
42.28639	4.65891	6.58650	8.00340	8.86422	9.61295	48.09666	1.00000	14.71245	7.22868	18.84	1058.29939	44.58693	7.67040	11.89142	6.63155	51.45561	6.18102
42.93369	5.63121	7.39188	8.25518	5.28743	7.82735	50.22963	1.00000	14.62910	7.85712	-72.27814	1120.46113	52.19057	7.11043	7.38777	7.11360	65.86558	6.44605
33.86419	10.61548	9.03753	8.27293	5.26998	8.71435	59.86483	1.00000	23.02219	5.77656	48.26258	1188.39962	41.68720	8.12726	9.28777	6.07032	33.97588	11.43973
5.84752	9.70115	7.57390	6.86569	9.44504	9.29553	55.99333	0.00000	13.09705	7.81186	-5.682	1093.14908	74.61790	10.00668	10.11808	2.84480	54.29134	6.34257
41.57439	6.45205	7.42114	8.41290	7.52614	7.79073	54.97406	1.00000	9.83870	7.72567	24.71204	1055.12010	42.79936	5.81294	7.35609	8.51600	38.05730	6.32293
-10.90889	9.02884	7.85723	7.89728	6.66825	8.87324	64.57178	1.00000	15.54508	5.77147	-37.03861	1095.34456	42.08602	8.54128	9.11483	6.39930	63.70424	9.36242
52.4089	10.89296	9.45487	7.34839	4.57069	9.77568	62.20923	1.00000	16.02972	4.56770	31.3237	1074.22137	43.55889	6.49852	9.41642	4.62963	70.09877	10.85993
34.56861	11.63699	8.69132	8.51102	5.29615	8.75684	61.70189	1.00000	16.90906	6.41664	105.89333	1119.35389	50.81857	8.19009	6.97442	6.34942	49.48113	9.64243
42.50729	8.45095	7.30778	8.95942	7.82296	4.21910	48.00344	0.00000	6.80015	7.20036	1.53414	1103.05079	59.04417	8.84029	6.93669	11.26735	27.68670	3.19420
53.53333	7.11007	8.03581	8.01350	3.55830	7.00557	52.30217	1.00000	15.44938	7.67086	-7.35	1162.51428	67.09010	7.03065	10.82601	5.54274	60.05124	8.12866
44.73941	9.40399	8.98050	7.47754	6.08591	7.88082	46.57875	1.00000	13.08366	7.81210	-93.12577	1173.36890	23.24714	7.91614	8.93777	4.55568	27.39156	9.09411
43.48961	4.81728	7.02237	7.99756	4.06373	8.23035	42.92583	1.00000	2.81603	9.60413	-8.2194	1145.48550	45.49862	5.54343	12.67564	6.06496	67.67242	9.68464
5.4709	8.46898	7.94919	6.44644	9.20715	6.76277	37.70890	0.00000	32.42862	8.96346	100.24529	1085.70603	39.64815	7.93680	8.09364	4.34734	64.81616	5.87210
41.14676	4.55204	7.99965	6.93524	3.18654	6.43350	22.90648	0.00000	11.68082	7.69714	-73.49484	1076.60188	57.39619	6.41397	9.82201	2.83486	49.41650	13.25900
31.76212	8.47173	8.37867	7.04062	5.62862	9.76059	65.64833	1.00000	8.22578	7.30023	-95.63079	1084.35720	38.28741	6.69789	11.60836	3.41116	42.01329	9.97672
37.31065	5.06397	8.26158	8.76545	5.55706	6.25803	28.19438	0.00000	31.66801	6.91647	13.57661	1164.90262	29.20441	9.24570	9.76449	9.16093	76.00115	8.21628
-37.88333	7.29355	7.39433	8.51317	7.30855	6.26460	30.28944	0.00000	22.64493	10.28905	145.06667	1067.38074	8.37910	7.46136	8.32414	7.94590	49.91070	10.79600
46.08333	9.26777	6.68051	6.07031	6.63508	2.17950	19.85980	0.00000	7.76869	5.76930	122.08333	1061.77743	34.80755	6.60290	5.91899	2.65375	68.80322	5.27069
18.87813	6.27754	8.07459	10.30277	9.37865	5.57764	40.59435	1.00000	18.74072	4.93624	72.93924	1092.73101	55.82403	8.48815	6.42109	36.27402	57.62684	4.00872
40.56754	7.18088	8.22759	7.29426	8.92316	11.13746	47.24362	1.00000	27.27600	5.67848	-89.64066	1172.19722	60.67684	7.53342	8.03119	3.80785	56.93717	5.39689
41.57721	6.15547	8.54235	7.15481	5.54506	7.14127	29.48178	1.00000	17.11069	7.61389	-93.71133	1179.39183	48.80591	6.88818	11.17744	3.51477	66.62051	8.15746
48.21644	9.14039	8.31868	9.38882	8.39648	9.74567	42.00549	1.00000	18.73593	6.18520	9.02596	1091.95339	35.32207	9.32754	6.26957	16.66130	43.65280	7.29714
12.1277	7.80663	7.99040	9.99794	7.44418	10.86811	44.61404	1.00000	10.47024	4.62156	78.15794	1091.25540	34.10058	8.53755	9.92349	28.59314	56.20634	8.28420
53.59337	4.29197	9.01455	9.09814	4.24621	7.71618	53.02450	1.00000	7.82156	7.88099	9.47629	1147.83500	52.95696	6.54344	8.87196	11.63231	47.95977	6.88994
32.54044	9.16273	6.80475	8.86664	7.99146	5.53946	57.89029	0.00000	18.98893	7.92257	-82.90375	1147.04153		8.00806	6.69914	10.35912	65.18506	4.64114
50.23271	8.28751	7.01382	7.58392	7.01332	8.11037	58.27667	1.00000	31.56959	8.09680	12.87117	1177.42227	48.46936	8.89333	9.57613	3.97324	55.87809	
6.46346	6.28058	8.54186	9.84346	4.43265	7.92871	38.10268	1.00000	1.63286	8.74742	-2.31938	1159.69381	35.82944	8.20105	11.49851	25.19486	56.13436	9.24197
32.44874	10.82689	7.39486	5.75980	5.37320	11.11709	43.77684	0.00000	19.27744	4.30450	-99.73314	1085.88589	61.50007	8.38451	8.64027	2.45728	72.93247	10.17149
13.70167	8.22217	8.87529	8.67406	7.86650	7.45908	48.63235	0.00000	20.12451	12.46199	-89.10944	1078.52364	41.45563	9.00496	8.46710	9.72980	41.85951	9.29460
-24.19436	10.37641	9.05880	9.48015	9.92015	8.86553	52.86045	0.00000	24.18636	8.28047	29.00974	1189.46756	39.77349	7.72444	7.84991	17.61821	65.91271	8.06197
68.79833	5.60175	9.78391	6.30418	7.35416	3.53235	45.46573	0.00000	17.13839	8.03417	16.54165	1150.27796	49.01245	9.00557	7.47310	3.18854	50.35271	9.87280
5.30383	7.01860	7.64129	6.93485	8.32690	7.06896	61.78784	1.00000	10.69952	7.46720	-1.98956	1179.58699	21.80817	7.21851	8.95403	3.22139	37.65366	7.12844
44.22639	9.13148	8.72849	7.32545	6.36599	10.04403	47.07478	1.00000	3.97788	4.10238	22.53083	1181.63974	44.60555	8.71957	9.50538	3.30525	67.30254	9.38810
38.06084	5.87369	8.60069	8.32821	7.05510	5.22222	43.31024	1.00000	24.08275	5.29010	-97.92977	1179.08902	55.90227	7.54783	7.91706	7.46486	50.76389	4.98331
51.78967	6.50239	8.00160	7.72907	5.12637	4.96862	42.38516	1.00000	29.06990	5.52891	1.15597	1160.70770	53.02237	8.08671	6.61539	5.19490	51.32524	4.65122
54.8421	9.57287	7.92779	7.51194	6.44852	10.70155	46.72974	1.00000	23.55025	4.94458	46.5813	1144.98790	39.26076	6.55005	8.72111	4.85185	65.74111	9.00927
