revision	QoS	longitude	code	latitude	location
2022/05/05	average	122.08333	CN	46.08333	Asia/Shanghai
2014/07/26	good	-86.11084	US	41.75338	America/Indiana/Indianapolis
2017/09/16	average	-98.15529	US	26.18924	America/Chicago
24 Mar 2021	maintenance	10.03988	DE	53.6052	Europe/Berlin
11/09/2015, 00:00:00	good	9.72749	DE	48.28259	Europe/Berlin
2019-02-24	good	-87.882	US	41.85059	America/Chicago
2018/03/24	accep	-71.08977	US	41.9001	America/New_York
01/25/2014, 00:00:00	excellent	-68.3	AR	-54.8	America/Argentina/Ushuaia
2013/07/24	average	71.57737	IN	21.53889	Asia/Kolkata
2017-10-28	average	-15.58602	ES	27.76056	Atlantic/Canary
13 Jun 2020	average	3.39467	NG	6.45407	Africa/Lagos
01/15/2015, 00:00:00	excellent	42.54536	SO	-0.35817	Africa/Mogadishu
2019-04-29	maintenance	-86.11084	US	41.75338	America/Indiana/Indianapolis
12/22/2018, 00:00:00	building	-1.05366	FR	43.71032	Europe/Paris
14 Mar 2022	average	-78.04471	US	34.25628	America/New_York
2020/04/06	maintenance	-86.99666	US	33.45122	America/Chicago
2015-01-08	good	-89.66123	MX	21.28306	America/Merida
08/09/2016, 00:00:00	good	78.55757	IN	17.34769	Asia/Kolkata
17 Jul 2013	accep	34.02537	TR	38.37255	Europe/Istanbul
16 Jun 2022	maintenance	-118.10583	US	34.09611	America/Los_Angeles
11/02/2019, 00:00:00	good	17.80774	IT	40.55851	Europe/Rome
2017-07-03	good	-2.31938	GH	6.46346	Africa/Accra
2015/06/02	good	123.99333	PH	12.97389	Asia/Manila
2022-03-21	average	-42.19667	BR	-21.41222	America/Sao_Paulo
2022/08/15	maintenance	120.14278	CN	32.50611	Asia/Shanghai
23 Nov 2019	excellent	102.05461	TH	6.25947	Asia/Bangkok
2017/11/15	building	47.31667	MG	-19.65	Indian/Antananarivo
11/22/2016, 00:00:00	accep	3.1631	ES	41.91738	Europe/Madrid
2013/11/28	excellent	48.26258	IR	33.86419	Asia/Tehran
2020-11-20	good	37.3825	TR	37.05944	Europe/Istanbul
2015/02/22	good	-3.53261	ES	40.42386	Europe/Madrid
2015-07-19	accep	-123.02621	US	44.99012	America/Los_Angeles
16 Feb 2016	building	6.26667	DE	51.21667	Europe/Berlin
07/20/2018, 00:00:00	good	103.81667	MY	1.6	Asia/Kuala_Lumpur
2022-02-20	accep	16.54165	NO	68.79833	Europe/Oslo
2014/05/05	accep	3.39467	NG	6.45407	Africa/Lagos
2018-09-04	building	43.83992	RU	55.39485	Europe/Moscow
2015-07-18	excellent	120.56528	PH	14.66	Asia/Manila
19 Jul 2017	building	16.91667	NA	-21.98333	Africa/Windhoek
2015/03/17	excellent	115.88782	AU	-32.05251	Australia/Perth
29 Mar 2022	average	-4.0573	GB	55.82737	Europe/London
08 Dec 2020	excellent	4.85668	DZ	36.27462	Africa/Algiers
03/14/2022, 00:00:00	good	78.14797	IN	15.45144	Asia/Kolkata
2018/06/07	building	4.52529	BE	50.71229	Europe/Brussels
2019-08-08	average	34.02537	TR	38.37255	Europe/Istanbul
2013/06/09	accep	72.54064	PK	31.82539	Asia/Karachi
2022-08-21	acceptable	85.37752	IN	22.10194	Asia/Kolkata
2012-12-28	average	-95.44744	US	29.53885	America/Chicago
08/07/2014, 00:00:00	good	14.34085	IT	40.87363	Europe/Rome
2021-07-14	average	-5.22126	MA	33.43443	Africa/Casablanca
03/21/2014, 00:00:00	average	-117.14392	US	32.9156	America/Los_Angeles
