TEMP	Pb	C2H3NO5	SO2	CFCs	warning	PM10	latitude	O3	PRES	CH4	NOx	PAHs	longitude	H2CO	CO	PM2.5	NH3
11.63681	59.04929	0.04992	8.15174	33.76361	1.00000	4.17615	8.35122	8.01685	1051.93040	12.09764	5.42988	8.36734	-62.64102	75.73743	6.63032	7.88810	7.24165
29.61423	57.37654	0.08302	6.85331	46.94613	1.00000	6.97589	38.06084	8.48665	1193.67200	7.78226	8.77385	9.18997	-97.92977	45.75960	6.72084	7.84346	8.38619
22.38966	61.27853	0.07044	7.77907	52.72148	1.00000	7.15149	-8.05389	8.86664	1103.81702	5.94096	7.58559	8.18342	-34.88111	52.68559	5.32123	8.32372	9.59674
23.93475	51.19713	0.19101	5.61192	30.15729	1.00000	8.77098	35.74788	7.13248	1160.81796	5.94754	9.78942	11.52139	-95.36969	46.45811	7.00019	7.87748	8.57713
16.15213	38.59449	0.15357	9.07064	49.49594	0.00000	8.58246	22.37066	7.90311	1165.57940	4.82733	3.38940	7.66910	114.10479	18.19979	10.53578	8.20174	9.11723
12.53107	58.85453	0.03560	6.32751	64.67578	1.00000	4.90937	23.73333	7.94877	1120.60231	11.60489	9.11119	8.75665	114.68333	56.00213	6.78171	9.44864	8.30820
22.50113	27.70517	0.03376	5.86095	66.85896	0.00000	4.35505	53.93361	7.01677	1129.13752	8.48566	6.88713	7.48647	37.92792	42.53582	7.98750	8.39151	8.18862
10.39590	62.48837	0.15296	8.21780	50.96099	0.00000	8.47108	38.17492	7.90355	1094.11834	9.84883	6.16630	4.75551	-122.2608	48.69017	6.05085	7.24300	8.10128
2.94491	47.29004	0.33598	8.75753	52.60019	0.00000	9.36729	3.51667	7.69999	1162.72138	9.79787	6.72927	4.72351	11.5	1.66184	4.93403	8.52152	7.65339
15.09689	58.83448	0.05636	6.22669	65.34816	1.00000	6.97303	-34.88422	8.10779	1190.05681	9.59896	11.03979	8.43928	150.60036	61.67647	7.84624	7.75631	7.19738
22.93316	68.20665	0.05743	7.04987	59.48863	0.00000	5.78399	51.03427	6.68958	1101.36887	11.92063	8.69075	6.33776	5.37429	53.29395	6.56799	8.10535	7.16710
-6.99708	64.04487	0.01920	5.38866	67.77512	1.00000	4.52372	56.9083	9.14527	1073.50739	8.41159	8.71611	6.07901	60.8019	67.35308	6.58186	8.08817	8.01985
3.43555	77.60966	1.52594	8.64569	37.57962	0.00000	11.01333	26.18924	8.23604	1167.84308	7.22495	8.15610	7.66975	-98.15529	34.31764	11.68489	9.25025	8.66700
19.20992	63.25703	0.01791	8.82796	35.48566	1.00000	4.54830	32.65246	7.22000	1109.89687	9.98581	7.40423	10.35947	51.67462	54.39794	4.83694	7.60916	8.60619
27.82951	64.99685	0.09699	10.65401	50.73517	0.00000	8.03579	22.75218	7.44494	1108.32581	5.61988	6.61608	9.66145	72.68533	37.96091	8.13892	7.95056	7.48102
20.93391	57.91804	0.06453	5.24570	68.70472	0.00000	6.58654	50.23271	9.23487	1177.30768	8.46495	5.23884	8.19188	12.87117	53.22706	6.10318	7.99529	6.50639
19.74305	62.03375	0.05866	6.77398	60.48811	1.00000	6.70020	14.95472	6.90001	1136.19392	9.79762	5.42099	9.27437	120.89694	42.10094	6.37416	7.81255	8.08551
17.58740	62.24157	0.38699	9.40665	43.10117	0.00000	9.56261	33.03699	7.50151	1085.62584	6.53353	6.56932	9.34107	-117.29198	42.63932	9.22678	7.92898	7.71823
13.21122	74.30701	0.05670	6.99741	60.38625	0.00000	6.90775	43.2907	5.82153	1167.65047	8.69206	6.28923	6.14280	5.4384	50.82560	6.72166	7.85875	7.56944
