location	latitude	station	QoS	revision	longitude
Asia/Phnom_Penh	13.65805	Paoy Paet	average	10/19/2018, 00:00:00	102.56365
Europe/Berlin	49.97704	Aschaffenburg	good	2021-03-19	9.15214
Asia/Kuala_Lumpur	2.2139	Kampung Ayer Molek	acceptable	06/21/2019, 00:00:00	102.3278
America/Sao_Paulo	-28.24	Imbituba	maintenance	2019/05/31	-48.67028
Africa/Gaborone	-21.44236	Tonota	accep	2018/09/26	27.46153
America/Los_Angeles	47.4943	Bryn Mawr-Skyway	average	05/09/2014, 00:00:00	-122.24092
Asia/Shanghai	23.73333	Heyuan	average	2013/11/08	114.68333
America/Chicago	32.52515	Shreveport	good	02 May 2013	-93.75018
America/Mexico_City	17.06542	Oaxaca	average	2021/09/28	-96.72365
Europe/Amsterdam	52.71083	Emmeloord	maitennce	2014-04-05	5.74861
America/New_York	40.5576	Woodbridge	excellent	2020/08/07	-74.28459
Asia/Almaty	43.41949	Otegen Batyra	good	06/17/2022, 00:00:00	77.0202
Europe/London	53.83333	Poulton-le-Fylde	good	2018/09/15	-2.98333
Asia/Jerusalem	31.39547	Rahat	good	2013/04/08	34.75699
Europe/Amsterdam	51.95838	Schiebroek	good	2018-12-12	4.47124
Europe/Warsaw	54.58048	Ustka	building	2020/05/06	16.86194
America/Panama	8.88988	Veracruz	good	12 Apr 2014	-79.62603
Asia/Shanghai	30.24706	Huangshi	good	2017-10-01	115.04814
Asia/Tokyo	41.77583	Hakodate	accep	25 Jul 2019	140.73667
Europe/London	51.39323	Strood	good	2021-10-21	0.47713
Europe/London	53.46506	Chapletown	accep	10/24/2019, 00:00:00	-1.47217
Asia/Kuala_Lumpur	2.2139	Kampung Ayer Molek	excellent	2016-04-28	102.3278
Europe/Madrid	40.42386	San Fernando de Henares	average	07/28/2021, 00:00:00	-3.53261
America/New_York	40.68066	Massapequa	accep	2019-11-06	-73.47429
Africa/Johannesburg	-27.76952	Vryheid	good	2018/02/03	30.79165
America/New_York	28.90054	Deltona	average	2021-07-29	-81.26367
Asia/Dushanbe	38.55632	Vahdat	excellent	2015/03/27	69.01354
America/New_York	41.48199	Lakewood	average	01/24/2021, 00:00:00	-81.79819
Europe/Prague	50.50301	Most	excellent	2020/11/13	13.63617
America/Chicago	41.47892	Schererville	maintenance	2015-01-08	-87.45476
Europe/Madrid	37.49073	Baza	good	01/24/2016, 00:00:00	-2.77259
America/Los_Angeles	38.54491	Davis	excellent	2012/12/16	-121.74052
Asia/Tehran	33.86419	Aleshtar	good	05 Apr 2013	48.26258
Europe/Berlin	52.2	Kirchlengern	accep	15 Mar 2015	8.63333
Asia/Shanghai	23.73333	Heyuan	average	21 Feb 2022	114.68333
Asia/Karachi	32.57756	Mianwali	accep	2016/06/22	71.52847
America/Port_of_Spain	10.66668	Port of Spain	average	2022-02-11	-61.51889
America/Matamoros	25.87972	Heroica Matamoros	accep	21 Oct 2015	-97.50417
Europe/London	53.19146	Winsford	average	08 Jun 2014	-2.52398
Asia/Kolkata	25.87498	Saharsa	average	2013/12/21	86.59611
America/Los_Angeles	32.9156	Mira Mesa	excellent	2015/11/12	-117.14392
America/New_York	40.72816	Jersey City	excellent	2017/08/24	-74.07764
Europe/Madrid	42.64685	Villaquilambre	good	2013-12-04	-5.55835
Asia/Tokyo	36.24624	Fujioka	maintenance	05/23/2016, 00:00:00	139.07204
Europe/London	53.46506	Chapletown	building	2014-09-14	-1.47217
Asia/Shanghai	27.85	Xiangtan	excellent	2015/01/07	112.9
America/New_York	41.9001	Taunton	average	03/19/2021, 00:00:00	-71.08977
America/New_York	26.91756	Punta Gorda Isles	average	02/07/2015, 00:00:00	-82.07842
America/Chicago	29.53885	Fresno	excellent	12 Dec 2015	-95.44744
America/New_York	39.43534	Lebanon	average	07/23/2014, 00:00:00	-84.20299
Europe/Moscow	53.77166	Bogoroditsk	accep	28 May 2014	38.12408
America/New_York	38.91817	Front Royal	average	02 Apr 2015	-78.19444
Asia/Yangon	14.0823	Dawei	excellent	07/04/2017, 00:00:00	98.19151
Europe/London	51.39148	Surbiton	excellent	2019/05/14	-0.29825
America/Chicago	30.16688	Brenham	average	2020-08-31	-96.39774
America/Sao_Paulo	-19.72806	Iturama	average	2012-11-01	-50.19556
Australia/Sydney	-34.28853	Griffith	accep	2015/12/30	146.05093
Asia/Shanghai	37.19723	Tianfu	good	10/07/2016, 00:00:00	122.05228
Europe/Paris	45.51667	Vienne	accep	2019/08/24	4.86667
America/Chicago	40.56754	Pekin	average	17 Nov 2021	-89.64066
Asia/Kolkata	21.59983	Amreli	average	01/29/2021, 00:00:00	71.21169
Europe/London	57.47908	Inverness	maintenance	2020-11-22	-4.22398
America/New_York	43.1009	Utica	excellent	2013-11-16	-75.23266
Europe/Brussels	50.56149	Gembloux	average	2020/05/04	4.69889
America/Puerto_Rico	18.42745	Aguadilla	excellent	2021-05-12	-67.15407
America/New_York	41.55838	Collinwood	good	2015/02/05	-81.56929
Europe/Berlin	51.88333	Verl	accep	04/02/2016, 00:00:00	8.51667
Asia/Makassar	-3.5403	Majene	average	29 Apr 2016	118.9707
America/Chicago	35.74788	Muskogee	average	25 Sep 2016	-95.36969
Europe/Saratov	51.40944	Privolzhskiy	excellent	12/26/2018, 00:00:00	46.04833
America/Phoenix	33.35283	Gilbert	good	18 May 2013	-111.78903
America/Chicago	39.09112	Independence	excellent	2022-05-10	-94.41551
Asia/Shanghai	34.65918	Yanliang	excellent	10 Sep 2015	109.22921
Asia/Tokyo	35.06667	Sasayama	accep	2018-08-11	135.21667
Africa/Tunis	36.08497	Siliana	average	2019/05/06	9.37082
America/Chicago	41.80753	New City	average	05 Aug 2018	-87.65644
America/El_Salvador	13.70167	Ilopango	average	2015/10/15	-89.10944
Africa/Casablanca	33.42585	Oulmes	average	2015-09-22	-6.00137
Asia/Kolkata	21.59983	Amreli	maintenance	12/22/2012, 00:00:00	71.21169
America/New_York	39.71734	Sicklerville	average	2019-06-10	-74.96933
Europe/London	53.78333	Selby	accep	13 May 2021	-1.06667
Europe/Madrid	41.63976	Cardedeu	good	2017/05/13	2.35739
America/Havana	23.04419	Jaruco	accep	2019-06-18	-82.00919
America/Caracas	9.91861	Tinaquillo	accep	2021/04/30	-68.30472
Asia/Jerusalem	31.92923	Ramla	average	2012/11/10	34.86563
Asia/Manila	12.37169	Masbate	average	2015/05/23	123.62494
Europe/Berlin	51.21667	Schwalmtal	excellent	10 Nov 2018	6.26667
America/Havana	20.14298	Media Luna	maintenance	2018-10-22	-77.43532
Asia/Manila	8.56697	Dipolog	excellent	12/31/2017, 00:00:00	123.33471
Europe/Paris	48.77644	Sceaux	average	2015/06/05	2.29026
Asia/Manila	6.95194	Recodo	accep	2016/05/11	121.96361
Europe/London	50.82882	Lancing	building	22 Apr 2019	-0.32247
Europe/Berlin	54.52156	Schleswig	average	08 Feb 2018	9.5586
Europe/London	52.66277	Great Wyrley	good	2017/05/27	-2.01111
Europe/Berlin	51.08468	Burscheid	maintenance	13 Dec 2019	7.11393
Asia/Tokyo	34.9	Shinshiro	good	07/26/2015, 00:00:00	137.5
Asia/Karachi	32.17629	Fazilpur	average	2017-06-15	75.06583
Asia/Kolkata	15.73628	Gajendragarh	accep	10/16/2016, 00:00:00	75.96976
Asia/Manila	12.37169	Masbate	accep	06/30/2020, 00:00:00	123.62494
Australia/Sydney	-34.88422	Nowra	building	2014/03/17	150.60036
Asia/Yekaterinburg	58.7002	Kachkanar	average	2013/09/05	59.4839
Africa/Lagos	7.6	Olupona	average	2013/12/01	4.18333
Europe/London	51.65	Barnet	average	02 Jul 2015	-0.2
