H2CO	TEMP	CH4	PM2.5	warning	PRES	C2H3NO5	SO2	NH3	longitude	O3	PM10	latitude	Pb	CO	CFCs	PAHs	NOx
43.70189	25.86835	10.67088	10.20011	0.00000	1139.48832	0.22098	8.36724	9.02244	-122.38731	11.05838	10.70906	45.53929	52.19643	13.73361	63.28953	8.04757	10.01686
57.46742	8.19586	12.18048	5.75066	0.00000	1168.15520	6.19220	9.44051	8.32612	16.86194	6.38833	14.06280	54.58048	42.57973	9.41381	40.33513	10.13141	8.76523
55.05796	25.96772	10.56096	12.45023	1.00000	1194.36956	0.02217	7.79873	11.17136	120.5875	9.08733	8.11213	16.455	48.16050	10.27092	13.04905	8.94167	9.90091
51.71754	14.08405	10.29866	7.16178	0.00000	1163.00453	0.06695	8.15496	11.59113	67.84222	10.83668	9.48144	40.11583	55.07990	7.95184	21.82698	11.72018	8.67866
51.21638	0.52217	11.98507	12.06903	0.00000	1088.89225	0.09692	8.87321	10.57443	71.30633	11.01374	9.80725	21.34222	61.22833	8.66970	51.57219	8.66215	10.18147
59.78127	11.23977	11.73631	10.40876	1.00000	1083.98097	0.04513	9.98758	8.07189	112.01667	9.56502	9.00612	-7.81667	86.23960	10.62017	54.76421	8.27812	9.33425
68.91766	19.60919	8.34448	10.38011	1.00000	1106.02120	0.19987	9.33528	9.01503	34.86563	8.51165	10.59238	31.92923	55.20519	9.13235	42.74284	11.22468	9.47034
69.77786	11.72428	9.45514	8.82470	0.00000	1064.61108	0.11723	7.42268	8.95503	79.82979	6.91333	10.04867	11.93381	28.93266	8.62896	39.01710	7.48710	8.42713
61.07156	23.40406	10.26844	11.77925	1.00000	1085.14802	0.01111	10.51486	9.36183	-76.70944	8.35817	7.03029	-11.94306	39.57061	9.09070	57.45134	10.24245	8.70383
54.23506	-4.85549	11.51673	11.44853	0.00000	1106.30618	0.55400	8.08814	7.45862	14.01481	10.44789	11.63862	42.67164	36.97531	12.70817	45.77551	9.48326	8.56816
16.91796	14.04370	11.24728	9.16189	1.00000	1143.89526	0.06496	10.65869	12.64849	-39.25	5.73945	9.38501	-12.91667	57.78179	7.39612	38.50660	9.84786	7.99066
69.23897	27.85489	10.22304	7.24318	0.00000	1182.42378	0.20152	9.28610	10.62788	60.70278	7.97271	10.59345	55.75556	24.89209	9.18131	48.12477	7.24780	10.24334
37.81144	11.07391	13.31509	12.95904	1.00000	1071.83325	0.01411	8.87929	7.36401	-4.0573	9.71086	7.24423	55.82737	48.27474	9.34965	59.95696	9.48185	9.07677
40.04756	38.77508	10.97528	8.64311	1.00000	1142.20364	0.00229	8.83357	8.30145	-81.24441	5.13570	6.29556	23.15678	60.84669	5.57869	67.86780	12.72408	9.20494
74.03085	16.69923	10.31627	8.70863	0.00000	1090.83589	0.04227	10.77875	8.83815	-84.50855	10.76401	8.91407	39.08367	56.53708	9.23017	81.62422	11.58283	8.91097
40.26092	14.87414	13.14081	10.33022	1.00000	1191.02264	0.01260	8.41378	8.49155	-37.65	7.21816	5.66749	-10.91722	62.19667	5.23391	57.39538	10.53996	8.77504
67.25214	9.03442	12.50240	10.95364	1.00000	1116.57663	0.01653		9.99450	-70.6996	8.18495	7.92103	-33.59217	53.75518	7.77603	55.73967	10.95148	9.03672
45.41809	7.83507	11.56007	10.64206	1.00000	1185.88006	0.21567	8.95599	9.50238	75.35927	12.17276	10.69574	12.04161	49.32059	11.39232	60.32635	9.24946	8.65587
48.42020	3.69765	10.83096	9.51637	1.00000	1194.41188	0.03209	10.45468	9.92212	-76.70944	9.37018	8.61438	-11.94306	28.10243	10.66680	52.24578	9.72419	7.92477
44.98897	-11.09177	11.09229	11.40229	1.00000	1055.32218	1.16393	8.76329	9.07369	-105.36369	13.55790	12.38693	22.49396	63.97139	11.40362	36.96885	9.60034	11.40632
59.51232	10.07017	9.53964	10.83031	0.00000	1173.88328	0.00916	9.29982	7.32165	12.70038	9.92871	5.46133	45.9836	47.96966	8.28237	55.18457	10.76024	8.93893
60.27333	26.79259	13.70142	9.76402	1.00000	1055.57486	0.06835	9.35291	8.04016	9.0027	9.85312	9.44008	11.86064	48.72572	5.97738	49.20342	10.83138	7.84897
52.12566	21.81382	8.90335	7.84186	1.00000	1154.80310	0.10647	10.86118	8.21113	71.21169	10.36950	9.93611	21.59983	46.39171	9.48400	48.77317	9.69254	11.12805
52.17602	20.69050	12.15995	11.31966	1.00000	1075.13278	0.07932	8.29389	9.88757	77.24779	10.48251	9.61048	10.58806	46.35292	11.52704	52.04561	10.11622	10.08417
57.73655	10.40086	9.76776	13.12500	1.00000	1114.60492	1.48744	8.67196	7.80462	-0.29825	10.22255		51.39148	41.65643	10.13510	40.59139	12.38491	8.60249
52.56060	11.92516	9.64630	10.20156	1.00000	1160.49373	0.01491	10.16098	9.89754	43.2379	7.83029	7.79924	50.06	57.75213	7.52760	67.13299	10.46111	9.56594
41.09144	12.91066	7.91406	9.40355	1.00000	1064.47508	0.02086	10.79711	8.57661	-81.23621	9.45359	8.06839	33.98154	62.64625	6.87144	53.50964	12.18964	8.47459
40.30167	14.73429	11.08338	8.17385	0.00000	1082.25535	0.06665	9.47129	10.15623	-91.73625	12.73456	9.48307	35.25064	50.50268	7.29637	48.35508	12.22370	10.54868
61.74955	32.97836	9.88328	9.57242	1.00000	1138.83179	0.10063	7.68410	8.36985	28.67582	7.94636	9.89640	40.98894	45.54244	7.98049	55.60700	10.13909	8.84284
49.25481	15.94376	10.95601	10.53734	1.00000	1060.48074	0.03225	9.49623	7.16254	47.1192	9.82607	8.62934	42.819	61.63497	7.43037	77.85965	11.40244	10.49323
66.51569	14.48260	11.32641	11.93219	0.00000	1194.23889	0.08013	8.60131	10.95735	113.69785	11.37015	9.66127	-7.73379	57.08155	10.24893	66.73220	8.24605	7.46915
78.72107	20.64747	11.16277	8.81970	1.00000	1175.56961	0.04023	9.40934	11.09450	-73.25383	9.77030	8.70166	-3.74912	45.78240	10.71276	37.57436	10.06571	8.46534
50.25499	3.86617	10.24082	10.00347	1.00000	1168.89689	0.02741	10.20714	8.93974	2.29026	7.94777	8.33601	48.77644	27.00341	11.20074	43.06370	9.99799	7.27981
