code	QoS	latitude	location	longitude	revision
ID	good	-1.6	Asia/Jakarta	103.61667	2021/05/23
US	excellent	42.93369	America/New_York	-72.27814	2021/05/22
RU	accep	55.63711	Europe/Moscow	37.38115	21 Sep 2015
PT	excellent	38.72706	Europe/Lisbon	-9.24671	02/04/2014, 00:00:00
RU	accep	46.7055	Europe/Moscow	38.2739	06 Jun 2022
BR	good	-14.66463	America/Cuiaba	-52.35558	2020/04/22
IN	building	17.54907	Asia/Kolkata	82.85749	12/22/2012, 00:00:00
PH	good	10.20898	Asia/Manila	123.758	08/08/2021, 00:00:00
MY	average	5.90702	Asia/Kuching	116.10146	03 Aug 2019
CO	average	5.6561	America/Bogota	-75.87877	11/17/2021, 00:00:00
BR	excellent	-10.91111	America/Maceio	-37.07167	06/27/2018, 00:00:00
ID	average	-6.48167	Asia/Jakarta	106.85417	06/02/2020, 00:00:00
GB	excellent	53.19146	Europe/London	-2.52398	17 Jan 2017
IN	good	25.87498	Asia/Kolkata	86.59611	20 Oct 2017
US	average	38.54491	America/Los_Angeles	-121.74052	2018-11-19
IN	excellent	23.07492	Asia/Kolkata	88.28637	01/06/2014, 00:00:00
PA	good	8.88988	America/Panama	-79.62603	2016/11/27
IQ	average	32.61603	Asia/Baghdad	44.02488	07/29/2014, 00:00:00
IQ	accep	32.61603	Asia/Baghdad	44.02488	03/24/2014, 00:00:00
RU	maintenance	60.02427	Europe/Moscow	30.28491	04/04/2020, 00:00:00
US	maitennce	34.77453	America/Chicago	-96.67834	27 Feb 2019
JP	accep	34.4833	Asia/Tokyo	136.84186	2013/03/19
GB	excellent	53.38333	Europe/London	-0.76667	06/28/2017, 00:00:00
DE	maintenance	48.78232	Europe/Berlin	9.17702	07/20/2015, 00:00:00
SY	average	35.95664	Asia/Damascus	36.7138	24 Jul 2021
PK	average	25.80565	Asia/Karachi	68.49143	06/16/2018, 00:00:00
DE	accep	48.35149	Europe/Berlin	8.96317	01/26/2022, 00:00:00
US	accep	41.47892	America/Chicago	-87.45476	2016-07-19
SV	good	13.70167	America/El_Salvador	-89.10944	23 Sep 2016
US	average	27.71809	America/New_York	-82.35176	02/06/2020, 00:00:00
GB	excellent	51.65	Europe/London	-0.2	2013/01/09
IE	maintenance	53.43333	Europe/Dublin	-7.95	01/19/2015, 00:00:00
MY	good	1.6561	Asia/Kuala_Lumpur	103.6032	2014-09-08
DE	excellent	48.35693	Europe/Berlin	10.98461	2013-05-26
TR	good	38.13708	Europe/Istanbul	41.00817	27 Sep 2021
RU	average	58.23583	Asia/Krasnoyarsk	92.48278	30 Mar 2022
RU	accep	60.97944	Asia/Yekaterinburg	76.92421	01/22/2016, 00:00:00
TW	average	23.5654	Asia/Taipei	119.58627	2022/03/03
US	accep	47.80527	America/Los_Angeles	-122.24064	18 Mar 2018
PT	maintenance	37.08819	Europe/Lisbon	-8.2503	07/03/2017, 00:00:00
GB	acceptable	57.47908	Europe/London	-4.22398	15 Oct 2017
MX	excellent	16.75973	America/Mexico_City	-93.11308	2016/09/30
FR	accep	43.71032	Europe/Paris	-1.05366	10 Jul 2018
AR	good	-27.4338	America/Argentina/Tucuman	-65.61427	04 Apr 2018
GB	good	51.39148	Europe/London	-0.29825	2021/08/13
IN	good	10.10649	Asia/Kolkata	76.35484	12/17/2015, 00:00:00
RU	maintenance	58.63667	Asia/Yekaterinburg	59.80222	03/10/2021, 00:00:00
US	average	33.72255	America/Los_Angeles	-116.37697	17 Mar 2017
US	building	33.92946	America/Los_Angeles	-116.97725	2019-07-14
RU	accep	60.02427	Europe/Moscow	30.28491	2015/05/25
US	good	36.06523	America/Los_Angeles	-119.01677	2018/04/14
ES	maintenance	41.63976	Europe/Madrid	2.35739	01/07/2017, 00:00:00
IN	average	28.98002	Asia/Kolkata	77.70636	2019-12-09
JP	excellent	35.8	Asia/Tokyo	137.23333	04/21/2015, 00:00:00
IT	building	44.59445	Europe/Rome	11.04979	2016-05-14
US	maintenance	43.16547	America/New_York	-77.70066	2019/02/13
AR	average	-54.8	America/Argentina/Ushuaia	-68.3	29 Jun 2015
TR	building	39.12074	Europe/Istanbul	27.18052	2013-11-09
FR	good	46.32313	Europe/Paris	-0.45877	2014/10/18
MN	accep	47.90771	Asia/Ulaanbaatar	106.88324	2017/07/26
ID	good	3.7278	Asia/Jakarta	98.6738	31 Jan 2013
ZA	average	-27.76952	Africa/Johannesburg	30.79165	2022-09-20
TR	average	40.37528	Europe/Istanbul	28.88222	25 Jun 2021
PH	accep	16.455	Asia/Manila	120.5875	06/28/2015, 00:00:00
AU	excellent	-34.88422	Australia/Sydney	150.60036	2016-05-16
MX	maintenance	19.32932	America/Mexico_City	-98.1664	12/02/2018, 00:00:00
NE	average	13.70727	Africa/Niamey	9.15013	2019-12-24
MM	good	17.30858	Asia/Yangon	97.01124	2020/01/13
CA	excellent	46.23899	America/Halifax	-63.13414	11/22/2019, 00:00:00
RU	excellent	54.90083	Europe/Moscow	38.07083	2021/04/02
IT	maintenance	45.44694	Europe/Rome	8.62118	2018-05-17
CL	excellent	-30.60106	America/Santiago	-71.19901	2014/01/15
UA	good	46.75451	Europe/Kiev	33.34864	28 Apr 2020
US	building	45.53929	America/Los_Angeles	-122.38731	03/23/2013, 00:00:00
US	accep	33.98154	America/New_York	-81.23621	2018-06-20
ES	average	43.48961	Europe/Madrid	-8.2194	29 May 2014
GB	accep	50.82882	Europe/London	-0.32247	2020-11-07
GH	good	6.46346	Africa/Accra	-2.31938	07/31/2022, 00:00:00
US	average	28.54944	America/New_York	-81.77285	10/22/2018, 00:00:00
XK	average	42.62833	Europe/Belgrade	20.89389	2018/01/19
IT	average	42.67164	Europe/Rome	14.01481	2018/06/18
CN	maintenance	37.30553	Asia/Shanghai	120.82747	20 Mar 2015
TN	good	35.72917	Africa/Tunis	10.58082	12/07/2020, 00:00:00
PH	accep	15.72892	Asia/Manila	120.57224	2016/04/28
AO	excellent	-11.78333	Africa/Luanda	19.91667	12 Mar 2013
FR	excellent	45.51667	Europe/Paris	4.86667	05/31/2019, 00:00:00
BR	good	-15.675	America/Bahia	-38.94722	2013/06/23
US	good	29.65163	America/New_York	-82.32483	2021-11-24
NL	accep	53.16167	Europe/Amsterdam	6.76111	2013-12-01
BR	maintenance	-15.675	America/Bahia	-38.94722	2019/03/15
BR	good	-0.71667	America/Belem	-48.52333	24 Aug 2018
IT	good	43.78956	Europe/Rome	7.60872	2016/02/25
PH	accep	16.0438	Asia/Manila	120.4861	16 May 2018
US	average	33.76446	America/Los_Angeles	-117.79394	2020-12-03
IN	accep	14.46693	Asia/Kolkata	75.92694	12 Dec 2020
US	excellent	40.2737	America/New_York	-76.88442	02 Dec 2016
UG	average	3.02013	Africa/Kampala	30.91105	2018-09-08
HK	accep	22.37066	Asia/Hong_Kong	114.10479	10/30/2017, 00:00:00
ID	average	-7.73379	Asia/Jakarta	113.69785	01/19/2020, 00:00:00
IN	average	23.1959	Asia/Kolkata	86.51499	2013-11-17
GB	accep	55.82737	Europe/London	-4.0573	2019-09-20
US	accep	35.74788	America/Chicago	-95.36969	16 Nov 2013
US	excellent	34.95303	America/Los_Angeles	-120.43572	05/28/2013, 00:00:00
