TEMP	CO	C2H3NO5	NOx	PM2.5	CFCs	warning	PM10	Pb	CH4	SO2	H2CO	longitude	PAHs	NH3	PRES	O3	latitude
7.50474	7.24705	3.08718	4.80186	7.20287	47.82352	1.00000	9.93943	57.28906	6.91790	10.42531	39.42619	-1.48119	3.53620	7.84057	1165.98936	7.50663	53.0233
29.74796	6.45240	0.78238	6.21747	6.77361	40.02468	1.00000	8.40107	46.10070	8.51964	7.97125	46.26006	36.36339	4.61098	9.15797	1136.29401	5.32050	0.03813
6.61892	6.94740	1.00070	9.66577	5.69748	43.56382	0.00000	8.81843	52.08503	9.17484	7.99885	58.37090	-104.22884	10.19143	5.43562	1110.50215	6.22834	32.42067
35.39853	7.03626	0.52343	6.65676	8.29098	47.05515	1.00000	7.61881	38.14523	6.90290	8.05842	48.03305	32.88667	6.81790	6.92621	1093.93959	4.70926	3.27833
8.09233	5.86788	0.13580	9.48265	9.57921	65.35262	0.00000	5.08379	78.40957	5.53528	7.19477	18.89350	-76.88442	3.90294	7.28514	1051.35111	7.32337	40.2737
19.74281	6.00940	0.39089	5.42155	6.82263	34.53575	1.00000	6.93342	70.22329	7.02162	6.19353	60.64048	121.96361	7.16266	7.45741	1189.55578	7.52655	6.95194
41.18297	6.69461	0.33641	8.17531	8.99662	43.24855	0.00000	6.53060	44.51977	5.97663	8.21662	55.78429	-74.15987	4.75333	5.60488	1055.59794	6.01161	40.82232
15.31041	6.68416	0.44756	4.21577	6.19816	60.72867	1.00000	7.20850	49.18315	6.70481	6.77721	24.43341	18.30056	5.30097	6.98127	1168.27562	7.68740	50.5107
22.04097	6.75031	1.01975	6.90590	7.30152	39.20635	1.00000	8.73773	54.29892	7.17027	7.62951	54.36151	-37.07167	5.12872	5.90827	1050.24011	6.34495	-10.91111
21.85813	8.07345	0.57105	7.21984	4.95580	50.19149	0.00000	7.99912	43.66581	6.50663	3.77876	43.08754	8.2926	6.84602	8.29586	1181.36211	7.66524	9.58126
-4.63016	7.20351	0.48471	8.34717	6.03560	47.66528	0.00000	8.04103	51.62867	9.64535	5.61713	63.84033	118.9707	8.07902	7.02558	1196.95342	7.92384	-3.5403
29.85530	5.65197	0.29735	4.22128	8.08608	52.93186	1.00000	6.11223	58.46248	8.05534	7.19896	42.74915	-73.49484	7.20843	8.32726	1082.55914	7.37357	41.14676
