QoS	code	longitude	location	revision	latitude
accep	TN	9.37082	Africa/Tunis	2019-06-07	36.08497
accep	FR	5.4584	Europe/Paris	2013/07/06	43.32393
average	IR	51.67462	Asia/Tehran	2022/07/01	32.65246
average	NI	-86.19903	America/Managua	06/20/2016, 00:00:00	11.84962
building	US	-111.99633	America/Denver	11/20/2019, 00:00:00	40.65995
good	CN	111.50861	Asia/Shanghai	18 Aug 2015	32.54278
building	US	-91.06177	America/Chicago	20 May 2017	33.41012
accep	RU	34.33825	Europe/Moscow	02/11/2013, 00:00:00	53.59782
accep	BR	-52.51028	America/Sao_Paulo	2017/03/18	-28.81833
excellent	PH	121.06761	Asia/Manila	24 Jan 2019	12.35275
good	US	-102.36764	America/Chicago	2013/08/08	31.84568
excellent	IT	8.62118	Europe/Rome	2015/04/28	45.44694
maintenance	RU	43.67663	Europe/Moscow	09/29/2014, 00:00:00	53.53041
good	AZ	45.36561	Asia/Baku	2020-07-11	41.09246
good	ES	-3.53261	Europe/Madrid	05/30/2015, 00:00:00	40.42386
average	JP	135.6	Asia/Tokyo	11/09/2015, 00:00:00	34.61667
accep	IN	78.27539	Asia/Kolkata	2018/11/30	12.95629
accep	GB	-0.29825	Europe/London	2018/07/25	51.39148
accep	AU	146.05093	Australia/Sydney	11/24/2018, 00:00:00	-34.28853
accep	KR	128.63083	Asia/Seoul	2016/10/13	36.82167
good	CA	-113.3187	America/Edmonton	2020/12/04	53.51684
accep	US	-87.45476	America/Chicago	2016/09/24	41.47892
maintenance	GB	-0.91979	Europe/London	2018-12-13	51.42708
maintenance	RU	35.90057	Europe/Moscow	2017-09-06	56.85836
maintenance	BY	31.3237	Europe/Minsk	2014-03-25	52.4089
excellent	US	-120.43572	America/Los_Angeles	2016-02-13	34.95303
accep	BR	-35.03333	America/Recife	11/11/2019, 00:00:00	-8.28333
accep	ES	-4.10734	Europe/Madrid	07 Jul 2021	38.68712
excellent	US	-88.31476	America/Chicago	2021/09/23	36.61033
good	HK	114.10479	Asia/Hong_Kong	04/21/2014, 00:00:00	22.37066
excellent	BD	89.11943	Asia/Dhaka	07/12/2016, 00:00:00	23.9028
accep	DE	11.18709	Europe/Berlin	10/21/2020, 00:00:00	48.73218
maitennce	US	-117.54866	America/Los_Angeles	2014-08-14	33.93113
average	LR	-8.53778	Africa/Monrovia	2017/06/07	7.57944
excellent	RE	55.4504	Indian/Reunion	10/04/2013, 00:00:00	-20.88231
average	BW	27.46153	Africa/Gaborone	2013/11/16	-21.44236
accep	TR	41.00817	Europe/Istanbul	2020/01/29	38.13708
building	US	-75.64963	America/New_York	24 Nov 2014	40.24537
accep	BR	-50.00639	America/Sao_Paulo	04/21/2015, 00:00:00	-25.42944
maitennce	TZ	39.25	Africa/Dar_es_Salaam	09/21/2014, 00:00:00	-6.8
accep	TR	29.26639	Europe/Istanbul	2016/09/20	37.58105
average	NG	3.64633	Africa/Lagos	07 Dec 2016	6.8485
accep	IT	12.70038	Europe/Rome	2013-09-08	45.9836
accep	IN	76.32756	Asia/Kolkata	2018-04-02	9.57046
accep	IN	88.18466	Asia/Kolkata	2015-06-08	22.19303
excellent	US	-76.88442	America/New_York	2019-01-28	40.2737
average	KR	128.63083	Asia/Seoul	08/02/2017, 00:00:00	36.82167
good	US	-97.92977	America/Chicago	23 Apr 2021	38.06084
accep	GB	1.26738	Europe/London	2022/02/28	51.84819
accep	US	-88.70464	America/Chicago	16 Sep 2017	34.25807
excellent	GB	-1.99421	Europe/London	2018/12/17	51.35084
building	CN	117.55417	Asia/Shanghai	2021-04-06	34.86472
average	US	-97.90308	America/Chicago	26 Oct 2018	31.12406
average	US	-94.41551	America/Chicago	09 Nov 2015	39.09112
excellent	PH	121.96361	Asia/Manila	2013-09-23	6.95194
accep	MX	-98.1664	America/Mexico_City	2014-01-23	19.32932
