PM2.5	longitude	warning	H2CO	CH4	CFCs	SO2	PM10	Pb	NH3	latitude	PRES	NOx	CO	PAHs	O3	C2H3NO5	TEMP
2.70714	103.65309	0.00000	44.35301	3.71689	53.50433	3.09678	6.64942	60.14509	5.16557	16.0567	1155.68441	8.79264	8.49187	7.79619	3.59032	2.53136	38.23658
8.31095	4.8951	1.00000	73.80526	7.89394	39.52761	6.01515	8.17568	59.82188	8.18561	44.92801	1191.12287	8.07488	7.43516	9.01754	5.11349	4.80231	11.26119
6.94868	-2.16	1.00000	46.95679	9.66572	50.30829	6.51373	9.73289	46.08526	7.23574	34.31	1170.16057	6.38029	7.46021	8.39852	6.55761	18.93620	14.97270
9.55850	73	0.00000	37.25886	9.69204	56.68242	8.45709	8.26132	43.76929	7.75183	40.93333	1067.59421	7.78671	8.34889	5.43384	9.01976	4.68457	5.03579
11.07985	-116.56346	1.00000	55.45521	11.18059	61.81617	6.36820	8.38005	31.28029	4.09829	43.54072	1119.39287	7.58723	8.40498	4.04103	4.59341	5.09275	12.40735
11.12925	38.28402	1.00000	53.40764	11.41843	38.12719	7.40784	8.65843	55.32753	5.49180	34.5624	1055.72762	8.16593	6.93322	5.12443	3.63745	7.11401	6.78387
4.42209	17.8031	1.00000	55.92441	9.38357	53.20584	7.08096	7.59805	42.60915	10.69548	48.43174	1058.79828	8.47650	6.95021	6.94745	7.47488	4.41581	14.18827
6.93489	85.37752	1.00000	59.46408	7.34143	29.46750	5.59771	9.07058	43.35493	10.28981	22.10194	1158.45378	6.16600	8.66652	8.18808	6.35327	11.15204	1.20934
9.78213	88.28637	0.00000	83.53260	12.37176	52.87843	6.78114	9.46695	57.50078	5.32139	23.07492	1181.27531	5.56278	9.27047	6.49841	4.68799	14.97531	16.31851
6.54464	-7.32097	1.00000	63.04151	10.99880	60.48946	4.85905	8.97787	25.08423	9.35201	41.1053	1083.73490	8.60514	8.50190	5.34600	5.39031	9.43544	22.35645
5.09937	-82.46148	0.00000	58.63209	6.37832	43.02063	7.60444	7.19751	33.99333	5.74257	28.15112	1196.13986	8.68533	8.37670	7.91607	6.72313	2.15358	20.83540
9.51992	111.4834	1.00000	43.87721	6.56977	48.15216	7.36605	6.88951	55.69842	6.98015	65.93381	1053.04348	9.24045	7.87378	11.96088	6.16284	2.66292	22.35091
7.51463	-98.11889	0.00000	49.09003	7.74802	53.67838	7.36052	7.11053	33.17160	7.11487	19.04222	1188.42831	8.81418	6.14846	6.04118	7.55823	1.60565	8.78753
6.36206	10.03478	1.00000	35.99686	6.95654	53.63022	5.52366	8.40077	71.42789	11.29115	37.16911	1085.47444	8.16914	7.84135	7.83475	6.12236	6.07049	9.61008
11.81730	-76.43941	0.00000	57.10626	10.54446	50.43039	6.83741	9.01699	40.99620	11.35607	39.33427	1156.57949	9.72697	8.40560	11.36294	10.49165	9.87920	31.79052
11.74462	77.70636	1.00000	52.41355	9.35957	51.62046	6.65513	9.49624	45.75410	6.81956	28.98002	1051.71249	9.34277	8.63234	5.57071	3.49983	15.02831	15.41366
9.10518	103.81667	0.00000	0.00000	9.65674	48.01999	4.05644	8.11156	42.67769	7.77093	1.6	1108.24225		8.69361	8.56258	9.49446	5.42337	22.24739
4.91050	29.91582	1.00000	58.35273	8.70942	46.53637	7.30338	8.10889	43.27547	12.30242	31.20176	1146.78490	8.17972	9.99187	8.92971	8.20418	4.61777	7.36469
6.85627	-2.01111	1.00000	68.29666	7.30563	60.62465	6.86292	8.63961	65.99609	9.61425	52.66277	1124.96717	7.87779	7.44602	9.28627	9.02975	7.90936	25.80735
8.36614	1.15597	0.00000	69.48259	10.83208	39.62885	7.05804	7.79578	68.18709	8.99367	51.78967	1147.51685	5.88368	7.43344	8.27533	10.34464	3.40870	22.99977
9.34151	120.82747	1.00000	69.32455	8.81992	53.86223	6.77460	7.27858	61.03781	6.39423	37.30553	1094.67495	6.73657	7.64921	4.53450	4.23988	1.86528	23.24881
7.36707	-1.05366	1.00000	44.39808	8.22246	64.45454	6.97728	7.21658	32.39623	10.42246	43.71032	1055.05793	8.12056	8.43522	9.55946	4.85511	3.16549	26.05220
10.49647	-50.00639	1.00000	48.09892	9.01354	46.05977	6.63878	7.68805	49.81131	6.68573	-25.42944	1075.44758	6.48730	9.69433	6.20492	4.82255	3.78079	3.62288
8.01469	-122.2054	0.00000	57.23225	6.58590	43.86741	5.52181	10.24565	53.65810	6.77708	47.76232	1057.53654	7.06370	8.27397	5.95246	6.42207	30.77921	9.78871
5.96592	-111.78903	1.00000	42.12821	9.33677	49.16351	7.28895	7.41468	68.16342	8.25155	33.35283	1147.69081	9.01881	8.72854	8.37261	6.85586	2.72417	15.30653
7.32310	122.20488	1.00000	54.65143	9.89866	40.66271	6.94235	8.70967	47.49734	7.67012	29.98869	1143.54177	8.21804	7.39144	7.03772	9.62917	7.48109	26.23078
6.25553	117.55417	1.00000	41.88728	6.92362	58.70759	9.47649	6.95430	50.42228	8.20504	34.86472	1186.99810	9.31079	10.01258		7.65794	2.23660	9.84061
8.92364	1.04945	1.00000	39.01585	7.01160	48.93457	7.28560	8.17695	21.15901	8.15515	35.06544	1196.35268	8.46776	6.52258	5.74681	5.49465	5.83579	7.56594
6.08966	8.77155	1.00000	76.67552	7.98965	50.89865	9.10700	6.13649	39.64197	9.19160	50.23019	1095.13880	8.23939	6.91176	8.77441	7.13850	2.23735	-4.62917
8.92732	-76.88442	1.00000	40.13450	11.34474	50.84203	6.41064	6.74938	43.99505	5.21419	40.2737	1135.03631	7.68806	6.88035	6.61393	6.04474	2.79869	20.32156
11.31219	6.26764	1.00000		9.03679	57.07712	5.98499	9.23964	33.11241	5.12574	4.92675	1060.91351	6.04492	8.10966	5.61891	6.72071	12.75980	12.68230
3.90454	-81.79819	1.00000	44.43028	9.16281	45.64350	8.25347	7.89548	62.36512	11.10784	41.48199	1095.16337	5.72426	7.37602	11.07686	7.48498	4.19733	-8.39697
10.22366	19.27498	1.00000	69.55710	8.52497	68.82555	6.88400	6.83922	61.54953	6.78351	50.20528	1176.13618	6.10690	8.21222	6.01046	5.83197	2.36096	7.62078
7.66833	124.95278	1.00000	56.89471	11.72685	54.37289	7.61783	10.08135	63.91620	7.30636	6.33444	1081.37710	7.50666	7.81418	7.85260	4.66979	26.79925	6.60427
5.71845	27.06365	0.00000	45.30356	6.64715	50.90890	5.97731	8.59161	40.62420	5.81291	50.18545	1055.85328	7.22353	6.67151	7.05277	6.71588	6.73182	11.63600
7.88155	122.22833	1.00000	58.97593	10.58681	38.89713	6.13240	9.36195	20.63352	8.12062	40.66482	1182.28241	7.95541	7.95678	10.37793	5.35035	13.83485	12.28622
10.68151	39.28333	0.00000	46.25418	12.70265	44.58530	7.23832		54.99810	11.58511	-10.33333	1077.16685	5.93367	9.02934	10.59735	12.03431	6.07184	-0.43742
10.21383	-99.32556	1.00000	41.56792	9.25435	62.32236	6.57137	7.87047	47.02544	6.49268	19.32889	1056.66641	8.62542	8.54375	6.76332	7.33407	3.78347	11.27183
10.87940	-58.38341	1.00000	52.59106	8.31166	47.54798	6.92611	7.20820	29.26010	7.78973	-34.64966	1067.20163	7.24896	8.00089	7.89486	6.09249	2.68173	9.73113
8.70861	117.33333	1.00000	35.41240	10.98416	58.05438	8.84046	7.45021	71.46379	9.32941	34.85	1069.27040	10.20330	7.86685	9.36100	5.70059	3.18723	21.80551
9.52844	7.973	0.00000	29.16648	9.17589	57.94791	7.52544	8.01488	47.11021	9.73667	51.168	1128.98887	8.59187	8.87258	9.80048	9.04537	4.62410	31.79345
9.10218	73	0.00000	51.13309	5.98869	48.07750	6.74733	6.96201	61.64547	9.82418	40.93333	1120.27101	7.66769	10.41568	10.00360	7.07937	2.29201	27.03990
10.54179	1.33467	1.00000	66.55327	9.05631	64.64249	5.74407	9.06427	48.88371	5.33039	43.61058	1089.51801	8.04046	7.60891	5.48045	4.50930	11.28009	19.63655
7.88811	13.10984	0.00000	58.34551	8.19267	77.94783	8.05713	7.84087	65.90692	8.23480	51.30001	1102.38932	7.51324	7.56296	7.20761	7.27408	4.94680	11.63592
8.21624	6.61944	1.00000	48.94534	7.77379	53.55273	6.11558	8.08080	63.08878	6.78436	52.57583	1088.10486	7.73867	7.97383	4.87388	6.32894	4.88800	13.82997
5.71704	136.51667	1.00000	36.41171	12.45448	41.14638	6.84234	5.08907	54.28962	7.06209	35	1095.17827	9.20394	9.31995	7.87443	6.94983	1.58624	30.25049
5.51358	-2.16	1.00000	59.99966	10.54406	52.16295	9.59116	7.88064	55.41251	8.71319	34.31	1141.97991	7.77642	7.54978	10.26703	7.34211	4.56343	12.28563
8.12057	-82.42491	0.00000	60.02356	8.98654	41.18854	7.76151	6.85369	56.44500	9.05744	42.97086	1166.98043	7.45056	6.46318	8.54437	8.95762	2.11659	14.99204
4.65967	-74.01042	0.00000	70.73331	4.73643	47.40443	6.56149	7.68002	73.60914	7.97138	41.50343	1165.62205	6.56660	6.97261	7.15428	5.49342	3.55001	5.33562
9.24928	-117.54866	0.00000	44.05073	7.84854	68.46719	6.56994	9.46678	29.10793	8.14546	33.93113	1198.45767	7.42125	7.52674	4.51032	7.53328	14.60361	17.96586
5.65061	77.9129	1.00000	61.13035	6.20313	71.96219	6.67905	5.98940	28.93972	9.75587	25.6439	1113.45716	8.38869	9.33680	11.34756	10.22232	1.42974	11.87542
10.72017	12.6723	1.00000	61.50975	10.38378	66.89777	6.71198	7.30510	42.80658	6.42990	41.72063	1145.26798	7.24020	6.39596	6.90540	5.35432	2.79035	7.29361
8.05337	10.18003	0.00000	23.94449	6.50945	42.78945	6.02374	7.75301	42.73899	6.38018	24.96334	1123.93508	6.91853	6.92920	5.91703	6.53164	4.51301	23.35680
12.01337	-80.22588	1.00000	35.44911	10.53484	42.77286	5.70473	5.93869	46.39693	4.93080	26.2173	1189.32080	8.25886	9.47102	6.21337	4.14190	1.82331	42.49709
7.12370	123.99333	1.00000	61.35558	10.34096	55.61755	6.43640	8.99876	44.55057	7.81326	12.97389	1095.39579	7.29736	6.90165	12.07368	7.32498	9.32319	5.25284
11.44173	-118.25508	1.00000	38.54721	9.92846	50.73226	5.67838	7.52937	38.87429	5.90635	34.14251	1171.97402	8.56379	7.94173	6.75600	5.73099	3.39980	13.56793
9.28678	-98.11889	0.00000	43.75062	7.15432	49.26031	5.22534	6.58917	57.78673	10.70147	19.04222	1088.74084	6.24188	7.62069	10.77391	8.09778	2.55498	31.20435
10.95882	137.95378	1.00000	63.51741	11.06028	63.76413	7.15874	5.90583	40.80433	6.12333	35.82756	1139.80690	8.49377	8.57977	7.71160	6.22912	2.46072	21.31516
9.26186	4.86667	1.00000	58.31582	7.36645	57.34876	8.35889	8.20715	45.24645	9.22383	45.51667	1153.10886	7.71143	7.54093	7.39384	6.80206	5.13088	0.81650
5.69989	59.80222	1.00000	43.52052	9.51021	44.62273	8.44705	8.56401	32.52621	6.85923	58.63667	1082.89409	9.27901	6.71898	12.72218	9.40775	7.24086	25.20115
11.11566	84.63445	1.00000	78.17231	10.37399	53.24864	6.54881	7.00304	56.47609	7.64009	24.81757	1085.72019	7.83994	8.11438	8.55213	4.50347	2.30517	15.62939
9.47417	1.53414		68.93923	7.38552	69.06242	6.95632	9.04017	47.56954	9.26946	42.50729	1069.95456	7.82377	7.50286	9.00824	8.20760	9.96256	23.08847
4.79536	123.33471	0.00000	73.00968	6.08992	67.98981	6.82164	8.91166	50.93184	5.29303	8.56697	1136.60119	8.51048	6.78850	8.35395	6.10430	8.47695	28.22489
9.38352	-88.31476	1.00000	45.72201	6.61072	73.16958	5.73230	6.98929	48.47802	5.42341	36.61033	1057.89428	7.99278	8.03664	4.44031	9.04003	2.04405	20.42019
6.83024	5.58472	1.00000	75.54728	10.78938	68.72169	7.01917	8.15126	62.07517	9.21628	52.14	1195.09284	7.59211	8.40026	8.74520	4.90543	4.62800	22.62681
7.88192	10.03478	0.00000	44.66110	7.77735	45.56732	5.98582	7.08280	54.37965	7.87530	37.16911	1150.89806	8.30343	7.48620	7.55498	8.38182	2.92105	24.68205
10.63431	29.91582	1.00000	27.33361	9.45666	33.87002	7.06187	8.02163	26.83154	8.61694	31.20176	1161.91427	7.20803	8.52000	8.56256	4.47970		13.20471
7.55301	107.60627	1.00000	46.19936	7.23069	44.46116	7.75562	6.73528	78.66804	9.58890	51.82721	1081.74146	8.91557	8.34636	8.85990	8.78261	2.31940	21.28203
7.71028	114.10479	0.00000	41.77118	5.96319	35.60281	6.60500	7.46144	65.83610	6.26903	22.37066	1088.70300	7.50932	8.36094	5.63928	7.32290	3.86353	5.54369
7.63894	120.97844	0.00000	50.99458	10.90377	76.22544	7.47014	7.55863	55.85038	9.16587	14.8361	1128.71226	7.90079	5.82571	9.11048	9.93519	3.65703	16.72339
7.84727	-63.13414	0.00000	50.14019	6.14223	39.01998	6.97886	9.07134	49.30378	7.10781	46.23899	1171.09588	5.98661	8.62511	4.83847	7.73105	10.38591	-2.26100
9.97328	124.95278	0.00000	70.11518	9.29883	41.22505	6.87699	9.33526	50.05432	9.42121	6.33444	1121.86989	8.62647	6.62705	9.11691	9.49980	12.76904	14.86989
7.72903	-89.71472	0.00000	91.87516	8.11249	53.10458	6.89836	8.55694	21.81593	8.09617	13.73417	1160.27123	8.15267	5.92590	7.71261	8.45517	6.01518	31.28988
5.53028	17.80774	1.00000	35.65767	8.42275	50.38533	5.81555	7.10773	61.88397	8.83111	40.55851	1178.16871	7.51761	9.20473	8.64313	7.85574	2.35311	16.18579
9.93137	-40.7475	1.00000	68.43110	8.29834	73.87968	4.99812	7.34627	34.62236	4.45313	-4.16694	1065.74940	7.57988	8.41958	4.72835	6.51318	3.58511	25.12196
4.93332	128.62667	1.00000	58.69436	13.50786	46.65095	7.33362	7.35281	55.76404	9.76383	34.8825	1050.22720	8.69198	7.30369	6.31598	5.45597	2.69701	18.43469
7.76498	-0.59543	1.00000	57.76626	9.88994	56.91831	6.92431	7.36334	37.72642	9.09090	44.80477	1087.09175	6.85218	7.51124	6.36806	4.21317	2.45897	20.50817
9.49073	4.7934	1.00000	64.10421	8.45094	53.57477	5.97853	6.83947	31.24370	7.77209	45.69558	1089.01186	7.14105	7.81034	7.41363	5.56019	1.85276	5.49124
