location	latitude	longitude	QoS	revision	code
Europe/Andorra	42.50729	1.53414	good	2017-02-04	AD
Europe/London	51.38673	0.30367	accep	12/13/2018, 00:00:00	GB
Asia/Manila	14.95472	120.89694	average	2021-12-18	PH
Asia/Kolkata	14.62072	74.83554	good	2019-11-18	IN
America/Detroit	42.97086	-82.42491	average	2019/08/12	US
Asia/Kolkata	14.62072	74.83554	building	17 Mar 2014	IN
America/New_York	43.16547	-77.70066	average	01/15/2018, 00:00:00	US
Asia/Tokyo	35.48199	137.02166	accep	2013-10-08	JP
America/Los_Angeles	34.09668	-117.71978	good	2020/06/15	US
America/Vancouver	50.26729	-119.27337	excellent	01/09/2020, 00:00:00	CA
America/Chicago	34.25807	-88.70464	average	01 Nov 2014	US
America/Sao_Paulo	-17.74431	-48.62789	good	28 Aug 2013	BR
America/Chicago	41.57721	-93.71133	good	10/08/2020, 00:00:00	US
Asia/Shanghai	35.85	117.7	accep	2016/09/04	CN
America/New_York	41.50343	-74.01042	maintenance	2015-06-14	US
America/Los_Angeles	34.14251	-118.25508	building	12/10/2013, 00:00:00	US
Asia/Kolkata	25.75728	75.37991	maintenance	2019-01-27	IN
Africa/Tunis	36.08497	9.37082	excellent	2021/10/27	TN
Asia/Tokyo	37.56667	140.11667	good	15 Mar 2014	JP
Africa/Tunis	36.08497	9.37082	building	2019-07-24	TN
Asia/Kolkata	24.41288	76.56719	good	2015/10/02	IN
Europe/Warsaw	50.5107	18.30056	average	2016/01/18	PL
Asia/Yekaterinburg	58.63667	59.80222	accep	2018/03/28	RU
Asia/Bangkok	14.37395	100.48528	maintenance	08/24/2022, 00:00:00	TH
Europe/Podgorica	42.28639	18.84	average	2013-08-17	ME
America/Los_Angeles	34.63915	-120.45794	average	10/08/2014, 00:00:00	US
America/Los_Angeles	36.20829	-115.98391	average	2018-04-05	US
Europe/Podgorica	42.28639	18.84	excellent	13 Jan 2016	ME
Africa/Lagos	9.58126	8.2926	maintenance	10 Apr 2013	NG
Asia/Kolkata	26.44931	91.61356	good	2014-08-04	IN
Europe/Moscow	53.53041	43.67663	excellent	2019/01/09	RU
Europe/London	51.40148	-1.32471	good	2021-07-01	GB
Europe/Zaporozhye	47.48444	36.25361	good	16 Apr 2022	UA
Europe/Paris	43.32393	5.4584	good	2018-06-19	FR
Africa/Cairo	26.67319	31.4976	average	09/12/2018, 00:00:00	EG
Asia/Tokyo	36.24624	139.07204	accep	2020-07-05	JP
Asia/Manila	10.13361	124.84472	good	2021-01-30	PH
Europe/Paris	48.90472	2.2469	accep	2017/07/21	FR
Africa/Lagos	6.45407	3.39467	accep	31 Jul 2015	NG
Europe/Moscow	55.62047	37.49338	average	2020-12-07	RU
Asia/Shanghai	30.35028	112.19028	maintenance	03/06/2016, 00:00:00	CN
Africa/Bamako	12.74409	-8.07257	maintenance	2019/03/31	ML
Europe/Amsterdam	52.71083	5.74861	average	08/21/2019, 00:00:00	NL
America/Mazatlan	22.49396	-105.36369	accep	2015-06-24	MX
America/New_York	42.52787	-70.92866	building	2021-03-27	US
Asia/Bangkok	13.44581	101.18445	building	25 Jun 2021	TH
Europe/Minsk	53.5942	25.8191	good	20 Aug 2013	BY
America/New_York	35.05266	-78.87836	good	09/27/2013, 00:00:00	US
America/Mexico_City	20.22816	-103.5687	good	29 Jun 2020	MX
Asia/Kolkata	23.49668	86.68363	excellent	2013-01-05	IN
Europe/Moscow	56.85836	35.90057	accep	19 Sep 2019	RU
Asia/Kuala_Lumpur	1.6	103.81667	average	2015/08/10	MY
America/Los_Angeles	36.91023	-121.75689	maintenance	05/07/2013, 00:00:00	US
America/New_York	35.88264	-80.08199	building	06/20/2021, 00:00:00	US
America/New_York	28.15112	-82.46148	accep	14 Aug 2018	US
Asia/Tbilisi	41.82143	41.77921	average	06 May 2022	GE
Europe/Paris	48.90982	2.45012	accep	2019-03-15	FR
Europe/Bratislava	48.43174	17.8031	average	11/16/2014, 00:00:00	SK
Asia/Kolkata	20.88098	75.11937	good	2012/11/28	IN
Asia/Kolkata	32.55531	76.12647	accep	2015-03-26	IN
Africa/Luanda	-11.78333	19.91667	excellent	2021/08/15	AO
Europe/Rome	44.89784	8.86374	excellent	2016-07-26	IT
America/New_York	39.33427	-76.43941	good	01/09/2014, 00:00:00	US
Europe/London	51.42708	-0.91979	building	2022-07-30	GB
Europe/Rome	40.55851	17.80774	accep	2019/11/17	IT
America/New_York	42.58342	-71.8023	average	2018/06/09	US
Europe/Rome	45.9836	12.70038	maintenance	2014/08/22	IT
Europe/Moscow	44.98901	38.94324	building	03 Feb 2022	RU
Europe/Paris	46.32313	-0.45877	accep	2020/01/01	FR
Africa/Dar_es_Salaam	-10.33333	39.28333	average	2014-06-07	TZ
Europe/Berlin	48.78232	9.17702	maintenance	2021-11-02	DE
America/Los_Angeles	45.49428	-122.86705	good	2017/08/20	US
America/Los_Angeles	34.95303	-120.43572	accep	13 Jun 2014	US
Asia/Shanghai	30.35028	112.19028	good	2015/03/16	CN
America/Maceio	-10.91722	-37.65	accep	08/25/2014, 00:00:00	BR
Europe/Minsk	52.4089	31.3237	average	2022-08-08	BY
America/Bahia	-11.48472	-37.93278	accep	21 Jun 2018	BR
Africa/Lagos	11.86064	9.0027	average	04 Apr 2016	NG
Asia/Shanghai	32.50611	120.14278	excellent	12/23/2020, 00:00:00	CN
Asia/Kolkata	31.28092	74.85849	good	2017-08-07	IN
Africa/Algiers	34.15429	3.50309	good	05/29/2021, 00:00:00	DZ
America/Santiago	-33.59217	-70.6996	average	12/14/2015, 00:00:00	CL
Europe/Moscow	46.7055	38.2739	building	2013-09-17	RU
Europe/Kiev	46.65581	32.6178	average	09/05/2017, 00:00:00	UA
