CFCs	H2CO	warning	TEMP	PM2.5	C2H3NO5	CH4	PRES	SO2	O3	latitude	PM10	PAHs	Pb	NOx	CO	longitude	NH3
75.66132	55.96897	0.00000	15.31918	7.06002	0.02464	8.87660	1098.60726	10.15717	8.98967	38.68712	6.34423	8.83299	59.14024	9.65800	8.04772	-4.10734	5.89745
79.19455	37.99265	0.00000	-5.31700	8.73400	0.03951	8.50810	1051.32596	9.95019	8.43311	54.03876	6.74329	8.91956	42.07424	12.55841	6.94291	43.91385	8.27299
70.03936	59.12495	0.00000	35.64671	11.09914	0.01178	8.45055	1145.84780	8.79895	10.04701	38.06084	5.80898	9.57151	37.57292	9.72047	6.47083	-97.92977	8.09150
72.68385	44.54859	1.00000	-4.60782	4.98979	0.86479	8.87813	1089.06604	9.10006	7.53929	-0.71667	11.09297	7.57257	47.41612	7.54103	6.27548	-48.52333	
72.96203	29.72375	1.00000	32.86170	5.20623	0.03995	8.74028	1181.75765	8.94400	7.66205	33.54428	7.14547	9.83465	66.37811	5.19403	3.88392	-84.23381	3.33692
67.54689	46.28607	0.00000	12.29370	7.29097	0.18521	9.64109	1074.61729	9.82720	6.87328	51.67822	9.46552	9.22267	32.79728	11.98254	7.13506	33.9162	9.10357
69.66905	59.67531	1.00000	17.41279	8.34564	5.57305	7.06863	1159.56256	8.60087	8.24302	53.5942	12.96489	8.05916	41.29906	7.28744	9.44519	25.8191	12.68403
75.36294	76.07518	1.00000	17.80597	6.70843	0.23130	7.87226	1084.69940	8.33561	7.39239	-10.95817	9.69466	7.76544	64.59796	6.76101	6.22064	-38.79084	7.99170
62.37751	54.52453	1.00000	18.97357	5.37406	0.32989	8.54854	1088.59207	8.99078	8.11561	6.15038	10.08055	8.13054	58.24405	10.56606	9.21752	6.83042	8.39622
72.34807	1.75354	0.00000	11.82880	5.37212	0.02452	7.77255	1059.20995	10.71053	6.66623	51.08468	6.32977	7.51624	55.51490	9.70696	6.16074	7.11393	10.44727
64.90566	55.37085	1.00000	20.76954	7.86809	0.87639	7.98417	1117.08075	8.67067	9.95742	43.35071	11.11153	8.80824	51.10991	6.63509	10.71899	46.10925	7.96679
62.97311	61.53942	1.00000	-3.98808	7.50989	0.03875	8.79359	1171.97847	8.88219	8.14225	55.8736	7.25547	8.66973	60.27648	9.64000	10.32461	85.4265	11.88719
72.79494	48.69544	1.00000	5.06040	9.98571	0.01980	7.40956	1186.93706	7.57453	6.72952	40.53123	5.35060	7.49249	68.26617	8.06116	2.73068	17.58522	6.74713
87.35518	56.58747	0.00000	9.24393	5.58353	0.15841	8.92998	1196.08316	10.02604	7.03501	51.84819	9.21008	9.91271	45.84467	12.24215	7.89501	1.26738	12.73931
77.56614	51.47147	1.00000	11.21975	10.93661	0.09503	8.88721	1135.63078	10.86191	6.81185	29.84576	8.63634	8.83879	76.03246	9.93077	9.52895	-90.10674	12.22159
66.29001	30.87604	1.00000	-2.04360	4.42250	0.76714	7.54412	1068.71037	6.69073	10.95206	50.09019	10.97174	8.98009	58.18744	6.17375	8.86229	8.4493	9.15666
70.11909	56.27761	1.00000	8.34202	4.66853	0.07107	8.83238	1069.13201	8.89527	9.69968	-22.57306	8.27090	7.26536	38.42497	11.16205	7.25445	-47.1725	10.86611
75.60447	65.42485	0.00000	21.99562	5.92178	0.04748	9.14545	1191.63327	9.98728	8.60336	61.78491	6.37864	8.92987	60.41503	9.23379	5.43264	34.34691	9.53078
80.38851	54.07472	0.00000	7.47768	9.26949	0.01440	8.79346	1073.06279	9.78109	7.74380	31.39547	5.55469	6.50035	28.12305	10.88333	9.23223	34.75699	6.74064
72.57733	50.80103	1.00000	1.54059	5.68277	0.03768	9.12083	1147.06833	8.74095	7.03011	51.20219	7.17191	8.42831	24.37830	9.17618	7.43919	7.36027	9.30788
77.22719	48.96837	0.00000	12.02596	6.42800	0.05214	9.68146	1127.82481	10.66534	7.89060	51.39323	7.88874	7.28401	39.15558	11.93215	6.90876	0.47713	9.68464
76.96431	79.93573	1.00000	14.71468	5.89547	0.05527	8.84733	1070.31312	8.82820	8.51748	-3.74912	7.98154	8.99631	58.82862	9.86008	9.63403	-73.25383	13.04326
66.86563	31.08472	0.00000	5.64273	10.29399	0.02760	8.65653	1191.72034	8.23169	9.06507	50.82882	6.22761	8.43479	56.69597	9.61956	7.17902	-0.32247	9.85999
62.89426	34.27878	1.00000	25.40731	9.31640	0.10538	8.66821	1087.02388	5.77173	8.97339	47.4943	8.75046	8.53573	33.57707	8.48792	7.83102	-122.24092	11.83957
66.92949	28.25641	1.00000	10.51301	5.00739	0.13792	7.90067	1191.53586	5.10160	7.22479	50.5107	9.01395	7.96550	38.79695	4.85398	8.21053	18.30056	9.95675
67.07672	45.23060	1.00000	8.38813	7.37858	0.25973	9.83585	1149.62320	6.77806	7.65780	55.8736	9.81254	6.88460	55.20832	6.93255	7.66662	85.4265	10.50333
74.30650	22.60041	1.00000	23.61650	3.04935	0.03138	9.38077	1055.31892	8.11313	6.71855	33.86419	6.71412	7.82871	63.58384	9.35176	7.14170	48.26258	10.74252
71.94703	67.62366	1.00000	25.29477	8.66099	0.05493	9.16039	1085.66774	6.00564	9.11580	55.85	8.19573	6.79043	47.32823	8.70636	6.21568	37.56667	10.28900
82.39950		1.00000	25.12584	7.64219	0.02774	8.52955	1122.45581	7.58170	8.01596	37.08819		8.56419	55.87020	6.80639	3.53600	-8.2503	5.95321
79.90195	76.13009	0.00000	26.08429	5.65138	0.03017	9.06475	1105.45519	10.01368	7.05348	34.09668	6.14117	7.71542	43.18493	8.32256	5.55452	-117.71978	9.59072
69.45138	64.09051	1.00000	19.11119	7.06473	1.40410	8.14024	1084.81647	10.02264	7.49542	8.62261	11.56908	7.05774	28.75203	8.40615	6.11006	-70.20749	7.84832
70.11745	54.19942	1.00000	19.45685	3.37224	0.98892	8.93681	1157.23435	6.90923	8.87912	14.62578	11.21945	7.54878	64.96024	4.41437	8.44699	121.12251	8.80551
83.49068	25.81337	1.00000	28.81376	2.72398	0.02632	7.03300	1058.60458	8.07047	9.21319	21.53889	4.47683	9.44795	45.71569	10.97906	6.45688	71.57737	13.68206
65.29018	66.58145	0.00000	21.36812	6.94786	0.02021	8.32511	1125.17477	10.98274	8.24916	49.28669	5.57255	9.12822	49.95414	8.14341	7.37746	1.00288	9.48777
68.27981	51.82685	0.00000	-0.46169	8.22476	0.03983	8.19291	1176.21562	8.48614	8.89076	19.64745	7.53571	9.84617	35.30373	8.97561	8.03447	-102.04897	9.90464
69.50796	40.23630	1.00000	19.18728	5.48687	1.86108	9.01512	1114.46526	9.14497	8.58462	31.96258	11.85480	8.27540	56.12047	5.88869	8.96237	73.97117	8.27013
77.81210	55.98669	1.00000	17.82728	7.76823	0.52662	10.36773	1143.00675	10.11459	10.05711	22.83957	10.56567	8.11378	62.39176	8.46677	5.21691	91.84128	7.32532
76.58566	64.21898	0.00000	27.55250	9.79171	0.02960	9.13943	1134.48477	8.68392	7.77845	34.61667	6.76051	6.95947	26.99668	9.67661	8.55500	135.6	7.96606
70.19317	65.31194	0.00000	22.12355	10.14913	0.01962	9.47520	1138.78559	10.37309	8.74977	-34.64966	5.51576	7.32998	28.06766	7.83424	8.57037	-58.38341	6.68877
