latitude	revision	location	QoS	longitude	station
-11.48472	07/27/2018, 00:00:00	America/Bahia	building	-37.93278	Rio Real
51.67822	2021-12-18	Europe/Kiev	maintenance	33.9162	Hlukhiv
34.06635	03/31/2016, 00:00:00	America/New_York	excellent	-84.67837	Acworth
41.91886	05/22/2015, 00:00:00	Europe/Paris	good	8.73812	Ajaccio
-22.45667	09/01/2015, 00:00:00	America/Sao_Paulo	good	-47.53028	Santa Gertrudes
59.37722	20 Jun 2022	Europe/Tallinn	excellent	28.19028	Narva
11.85	2016/11/19	Africa/Addis_Ababa	excellent	38.01667	Debre Tabor
40.93121	01/29/2021, 00:00:00	America/New_York	good	-73.89875	Yonkers
6.46838	2022-08-08	America/Bogota	maintenance	-73.26022	Socorro
36.06523	2013/02/25	America/Los_Angeles	accep	-119.01677	Porterville
14.8361	10 Mar 2015	Asia/Manila	average	120.97844	Guyong
24.05979	2017/08/24	Asia/Kolkata	excellent	77.40858	Leteri
45.49428	06/07/2016, 00:00:00	America/Los_Angeles	maintenance	-122.86705	Aloha
52.71083	2017/01/19	Europe/Amsterdam	building	5.74861	Emmeloord
42.35843	06/08/2022, 00:00:00	America/New_York	average	-71.05977	Boston
40.68066	2019-09-19	America/New_York	average	-73.47429	Massapequa
40.24537	09 Nov 2016	America/New_York	average	-75.64963	Pottstown
45.4473	12/13/2016, 00:00:00	America/Toronto	maintenance	-73.75335	Dorval
4.2475	20 May 2013	Africa/Douala	average	9.00472	Idenao
-5.41667	03/02/2020, 00:00:00	Africa/Dar_es_Salaam	accep	38.01667	Chanika
39.43534	2021-05-10	America/New_York	good	-84.20299	Lebanon
48.86667	2013/08/24	Europe/Paris	accep	2.08333	Marly-le-Roi
38.07789	23 Aug 2021	Europe/Rome	accep	13.44275	Villabate
-33.75881	11/22/2018, 00:00:00	Australia/Sydney	good	150.99292	Baulkham Hills
-2.13404	2017/06/10	America/Guayaquil	accep	-79.59415	Milagro
48.73218	2016-02-20	Europe/Berlin	excellent	11.18709	Neuburg an der Donau
54.03876	29 Jun 2019	Europe/Moscow	excellent	43.91385	Kovylkino
10.63504	2014/09/19	America/Costa_Rica	good	-85.43772	Liberia
-6.25	2018/05/16	Africa/Dar_es_Salaam	building	38.66667	Mvomero
40.55851	08/18/2019, 00:00:00	Europe/Rome	accep	17.80774	Mesagne
-11.94306	2016/03/26	America/Lima	accep	-76.70944	Chosica
34.77453	19 Feb 2022	America/Chicago	accep	-96.67834	Ada
11.12018	2019-08-01	Asia/Kolkata	good	76.11996	Manjeri
42.67164	20 Aug 2013	Europe/Rome	excellent	14.01481	Roseto degli Abruzzi
23.5654	05 Apr 2018	Asia/Taipei	excellent	119.58627	Magong
41.0051	12/12/2020, 00:00:00	America/New_York	building	-73.78458	Scarsdale
34.77453	08/14/2018, 00:00:00	America/Chicago	accep	-96.67834	Ada
3.11988	2014/03/22	Africa/Nairobi	excellent	35.59642	Lodwar
-31.95224	2014-01-21	Australia/Perth	accep	115.8614	Perth
40.81	02 Jan 2015	America/New_York	accep	-73.9625	Morningside Heights
33.08014	2019/12/12	America/New_York	good	-83.2321	Milledgeville
35.74788	2020-10-15	America/Chicago	excellent	-95.36969	Muskogee
36.19278	01/17/2021, 00:00:00	Asia/Shanghai	good	117.65694	Laiwu
9.15093	30 Jan 2015	America/Panama	average	-79.62098	Chilibre
50.71229	01 Dec 2016	Europe/Brussels	building	4.52529	Rixensart
47.4943	12/16/2018, 00:00:00	America/Los_Angeles	good	-122.24092	Bryn Mawr-Skyway
47.05	07/15/2019, 00:00:00	Europe/Vienna	accep	15.46667	Sankt Peter
50.72043	13 Aug 2022	Europe/Berlin	average	11.34046	Rudolstadt
-4.5833	2020-11-09	Africa/Kinshasa	accep	15.16554	Kasangulu
24.96334	2015-09-08	Africa/Tripoli	excellent	10.18003	Ghat
0.49113	03/17/2017, 00:00:00	Africa/Lubumbashi	excellent	29.47306	Beni
37.49223	2013/12/22	Europe/Rome	excellent	15.07041	Catania
42.28639	19 Jan 2017	Europe/Podgorica	good	18.84	Budva
31.39547	02 Apr 2015	Asia/Jerusalem	maintenance	34.75699	Rahat
41.57721	2015-12-27	America/Chicago	average	-93.71133	West Des Moines
65.93381	2022/03/27	Asia/Yakutsk	accep	111.4834	Aykhal
23.73333	2020/08/25	Asia/Shanghai	average	114.68333	Heyuan
34.8825	12/24/2020, 00:00:00	Asia/Seoul	good	128.62667	Sinhyeon
