PAHs	PM10	O3	warning	NOx	latitude	PRES	longitude	TEMP	C2H3NO5	CFCs	H2CO	PM2.5	Pb	SO2	CH4	NH3	CO
7.28567	8.39642	8.37159	1.00000	9.92910	50.80019	1056.93408	7.20769	-2.00834	5.13933	64.19676	29.11725	7.70809	56.01216	5.88868	6.48925	5.37531	10.24633
7.12357	7.86087	6.22095	0.00000	9.80919	19.32932	1152.88575	-98.1664	34.89059	3.35149	59.41503	81.10335	5.83543	69.55090	6.81829	6.69675	8.61854	6.49242
5.18143	6.22428	5.52745	1.00000	8.86398	25.80565	1196.97190	68.49143	23.82271	2.12850	66.27369	49.21239	8.50717	49.34665	4.99969	8.53656	5.53155	9.84276
7.91997	7.89673	8.34528	1.00000	6.99590	30.81383	1081.00960	75.16878	21.41258	3.47661	39.73141	36.12347	9.37384	60.36681	6.30479	7.73539	6.07274	6.85349
7.07403	8.10034	6.98295	1.00000	9.56387	35.85	1086.01075	117.7	-1.72080	4.71780	64.65040	34.76849	9.62678	55.22051	5.27052	9.50409	5.94294	6.13769
6.75803	9.49795	7.17572	1.00000	6.08425	15.73628	1057.61638	75.96976	22.35181	12.50134	56.85819	31.86874	8.95758	55.33219	5.02893	10.50446	5.36067	8.68603
6.26068	7.62283	8.25254	1.00000	8.51381	50.23805	1123.75235	8.86704	15.03098	2.87605	50.35944	39.28122	8.63506	66.75248	6.96447	10.03845	6.39724	7.87642
4.72618	7.76109	5.70113	1.00000	6.84514	23.18	1198.03388	88.58	8.54186	3.27708	51.13010	39.51723	6.15944	52.51168	7.02536	9.78351	2.98549	8.43021
5.44535	7.59295	5.96030	0.00000	9.52444	50.20528	1144.19909	19.27498	18.78401	3.34284	43.69753	63.83984	7.68246	70.14848	9.43565	8.94744	7.16109	5.45197
7.82169	6.59151	8.26637	0.00000	7.05012	37.71715	1092.83568	-122.40433	26.75540	2.08598	62.26845	62.85108	5.40451	64.16432	7.84074	5.69512	4.93689	6.34374
7.08876	7.94560	8.38589	1.00000	8.40438	54.60528	1085.98723	18.34717	7.09034	3.81125	72.91236	48.03122	7.35103	49.56339	5.12103	9.90599	7.24378	8.09992
6.81942	8.50882	7.63581	0.00000	7.37622	29.21399	1145.34504	78.95693	13.34065	5.35803	76.34103	41.38386	8.55873	56.65661	10.49068	4.70862	6.87632	6.57050
7.57226	9.51595	5.96350	0.00000	7.72388	39.57582	1153.11744	-105.11221	14.41659	12.94330	44.69202	36.21746	7.22963	44.07242	7.28782	5.41771	7.13749	8.07968
8.87980	8.69518	7.56430	1.00000	8.56287	52.66277	1133.74699	-2.01111	5.22478	6.69213	71.07329	51.60162	8.54263	53.23865	4.92035	6.59562	8.58338	6.18170
14.09558	7.69546	7.42618	1.00000	7.09083	50.7236	1052.25618	-3.52751	8.69863	2.55634	48.25973	55.25895	8.05890	49.62466	2.66133	10.01806	8.70626	6.07098
6.69787	7.97982	9.34500	0.00000	4.66784	15.58552	1169.47160	102.42587	7.42175	3.29926	61.07401	37.16254	6.22662	52.79698	6.86570	6.60352	6.35802	4.79456
7.22652	8.61212	7.71653	0.00000	6.06128	3.51667	1154.97554	11.5	20.33833	5.93978	67.35632	38.68815	8.11710	21.77182	8.14715	5.78936	6.54148	5.31089
9.33275	7.22812	6.97235	1.00000	4.08483	40.68066	1137.09216	-73.47429	20.53344	3.21896	73.71930	55.42251	6.51420	44.22709	6.81242	5.57659	6.20220	6.15763
8.02607	8.32132	6.05697	1.00000	8.90637	25.92127	1159.77354	86.79271	10.11858	5.37722	57.40780	44.67469		39.49362	6.96738	6.77214	8.31096	8.45148
7.48432	8.74859	7.53336	1.00000	7.39160	40.24537	1051.01449	-75.64963	13.59654	6.66833	57.66141	6.92466	8.43671	36.71979	5.71488	7.76268	5.86130	6.76081
3.42558	7.67914	6.67817	0.00000	9.74910	18.20854	1132.65214	-71.10077	16.18245	2.55277	41.69869	36.87479	7.41315	28.97301	11.69917	4.45871	7.68993	9.44152
6.84359	8.55787	6.43514	0.00000	8.20295	26.9423	1073.28704	68.11759	35.02993	5.82178	53.17914	57.91123	6.15592	83.05473	11.48171	5.65027	5.83430	8.57000
