latitude	revision	code	longitude	location	QoS
23.5654	2016-05-01	TW	119.58627	Asia/Taipei	good
49.07866	2021/08/01	UA	30.96755	Europe/Kiev	accep
20.22816	07 Nov 2019	MX	-103.5687	America/Mexico_City	good
10.12268	12 Nov 2017	IN	77.54372	Asia/Kolkata	good
12.25282	2013/05/13	IN	79.41727	Asia/Kolkata	building
8.48714	2020/03/27	SL	-13.2356	Africa/Freetown	building
55.82885	2015-08-17	GB	-4.21376	Europe/London	average
37.08819	2013/04/17	PT	-8.2503	Europe/Lisbon	accep
38.55632	2021-08-15	TJ	69.01354	Asia/Dushanbe	average
43.86682	10/03/2021, 00:00:00	CA	-79.2663	America/Toronto	good
53.51684	2014/07/04	CA	-113.3187	America/Edmonton	excellent
27.92333	2021/09/10	CN	118.53333	Asia/Shanghai	average
5.30383	03 Nov 2014	GH	-1.98956	Africa/Accra	acceptable
51.88333	2014-01-18	DE	8.51667	Europe/Berlin	maintenance
15.73628	2013/10/06	IN	75.96976	Asia/Kolkata	excellent
34.31	2013/01/05	MA	-2.16	Africa/Casablanca	good
11.85	22 Mar 2015	ET	38.01667	Africa/Addis_Ababa	excellent
4.94273	2016/12/11	CF	15.87735	Africa/Bangui	accep
34.86472	2021-08-04	CN	117.55417	Asia/Shanghai	average
32.50611	2019/10/28	CN	120.14278	Asia/Shanghai	good
38.17492	03/02/2017, 00:00:00	US	-122.2608	America/Los_Angeles	accep
-21.98333	2019-12-29	NA	16.91667	Africa/Windhoek	excellent
52.14	2015-12-16	NL	5.58472	Europe/Amsterdam	maintenance
-33.79176	04 Nov 2018	AU	151.08057	Australia/Sydney	accep
31.12406	04/10/2018, 00:00:00	US	-97.90308	America/Chicago	good
65.84811	2015-11-04	FI	24.14662	Europe/Helsinki	average
41.24255	2016/09/13	US	-82.61573	America/New_York	excellent
11.84962	2013/04/03	NI	-86.19903	America/Managua	good
-3.20333	2015-07-05	BR	-52.20639	America/Santarem	excellent
43.4125	2022/02/02	BG	23.225	Europe/Sofia	maintenance
22.10194	08 Apr 2015	IN	85.37752	Asia/Kolkata	maintenance
59.33333	23 Mar 2013	SE	18.28333	Europe/Stockholm	accep
39.78504	2015/11/13	US	-85.76942	America/Indiana/Indianapolis	average
51.21187	22 Jan 2018	BE	4.25633	Europe/Brussels	excellent
48.90982	12/15/2017, 00:00:00	FR	2.45012	Europe/Paris	excellent
2.41669	2014/06/26	UG	30.98551	Africa/Kampala	good
41.55815	17 Jun 2014	US	-73.0515	America/New_York	building
37.60876	04/20/2019, 00:00:00	US	-77.37331	America/New_York	good
-38.16604	2022-05-12	AU	145.13643	Australia/Melbourne	average
-28.24	24 Jan 2017	BR	-48.67028	America/Sao_Paulo	maintenance
