TEMP	latitude	warning	CH4	longitude	CO	PRES	PM10	PM2.5	H2CO	Pb	PAHs	SO2	CFCs	O3	C2H3NO5	NOx	NH3
17.35195	4.96667	1.00000	8.41233	10.7	8.31726	1072.39927	6.64202	10.88299	65.61526	33.81493	7.86581	6.71293	61.10509	8.22505	0.13139	9.74226	9.89603
16.84327	51.78771	1.00000	8.55971	56.36091	5.19551	1126.33149	6.00407	7.68218	60.10028	35.00553	8.18610	7.17427	71.75153	7.26204	0.09019	8.86388	7.05016
25.34716	12.74482	1.00000	7.74286	4.52514	9.56782	1086.20027	6.37695	9.63817	57.73863	40.81426	8.54657	6.56025	59.40509	8.06374	0.11412	8.06517	6.66637
22.50189	6.95194	1.00000	7.84722	121.96361	10.40089	1169.62785	6.54250	9.63812	63.60970	52.70617	8.89906	7.89929	46.43568	6.67643	0.10466	7.28186	5.57251
10.16194	30.81383	1.00000	8.39774	75.16878	9.76036	1136.53065	8.10465	10.78044	49.96178	35.60729	9.84550	6.42767	38.73804	8.15588	0.22220	7.20900	7.11368
5.35201	-29.2975	1.00000	6.38521	-51.50361	9.24063	1123.28993	6.63682	8.43635	45.90401	38.61680	8.35150	6.79907	42.38917	7.22496	0.12441	8.12106	6.75992
15.31266	43.16547	1.00000	5.22266	-77.70066	7.75072	1071.60341	4.26921	10.95539	34.41265	36.05107	5.36350	6.56036	41.61019	9.93547	0.11585	8.09301	4.48521
8.12473	41.50343	1.00000	7.58561	-74.01042	7.01475	1083.67409	6.57526	8.38138	38.83637	54.82770	6.98243	6.32224	53.64888	10.13407	0.15312	8.79830	6.74144
-3.17482	52.61131	1.00000	7.22344	13.31783	10.81120	1184.70067	7.70953	9.71151	69.20972	40.13821	8.99483	6.88194		6.86545	0.11547	6.04403	6.59444
26.73843	37.30553	1.00000	7.70894	120.82747	8.43322	1085.40369	6.39519	9.92132	53.53525	52.97759	8.87125	8.71615	35.39707	7.53976	0.09391	9.89959	6.08105
2.09335	-22.53722	0.00000	7.33290	-42.98194	8.01272	1096.23945	7.86391	9.44339	55.62967	31.05536	6.08004	7.87713	39.55605	8.28160	0.20158	10.67574	7.74403
42.05455	40.67705	0.00000	8.22399	-73.89125	11.03379	1071.29359	6.15318	6.54210	47.83395	70.27366	5.56713	8.37169	48.21749	8.60993	0.09093	11.18765	9.22142
	40.34912	0.00000	6.99767	-111.90466	6.91042	1132.80049	8.02954	10.18465	27.70624	46.51311	4.43777	8.74730	50.82768	7.51737	0.24070	8.71211	8.61990
17.64453	49.5099	0.00000	5.13281	6.74549	8.25115	1108.98353	6.29200	7.37033	40.03705	60.78887	8.54671	6.83005	51.19030	7.08299	0.10077	5.06132	8.25209
31.08371	32.52515	1.00000	6.99269	-93.75018	7.01573	1121.74239	5.55914	6.09966	50.07777	33.42913	9.21196	8.45792	56.74080	8.30918	0.07898	10.22961	4.31098
21.14126	33.86419	1.00000	6.79267	48.26258	8.07250	1055.75496	5.83738	6.69300	63.85163	27.22225	9.20390	7.04762	40.70006	7.63564	0.13049	8.76581	5.13798
23.33529	-34.64167	1.00000	6.56485	-60.47389	8.07330	1086.87375	5.48462	8.16620	48.84378	43.60420	7.08926	8.13325	37.41078	6.98573	0.07818	11.12896	8.18042
5.79958	48.35149	1.00000	9.27515	8.96317	8.70441	1188.21700	5.34804	8.83644	48.54687	68.26720	5.90007	7.74276	52.56348	7.93287	0.08192	10.25773	7.18535
0.81565	-8.43333	1.00000	7.97632	114.33333	3.52498	1083.82603	6.97767	9.29322	28.62334	49.05450	7.48218	6.88145	61.62084	5.50278	0.14422	6.83122	7.90374
33.15824	41.57721	1.00000	6.27961	-93.71133	3.98073	1128.11215	5.82775	7.76357	46.79772	34.98309	6.16439	8.89621	41.41848	6.79081	0.11240	8.14641	6.42059
17.31215	34.09668	1.00000	5.71847	-117.71978	9.91434	1173.76082	7.24547	10.87309	55.58268	54.92464	10.14454	7.88478	45.98415	8.24314	0.13472	7.04467	5.32979
-4.99910	51.08468	0.00000	8.48153	7.11393	10.52548	1196.68854	10.61026	7.75935	40.30776	66.49223	8.02670	8.02104	52.09290	6.78790	1.91893	7.57684	8.95110
15.98437	18.20854	0.00000	8.49761	-71.10077	10.38610	1134.49354	7.39908	7.05260	31.23444	47.14493	6.07025	7.48538	39.28133	6.83344	0.12083	8.30570	7.72988
21.48327	54.84444	1.00000	7.91061	38.16694	5.59761	1189.71411	7.25574	9.66296	43.40273	59.16984	6.66563	7.55568	47.93111	8.24014	0.14875	7.75966	6.73050
5.08632	43.67681	0.00000	6.85317	4.63031	5.57999	1083.77985	7.68217	11.18022	54.45536	47.06186	5.88554	7.66129	75.33221	8.12271	0.20161	10.54688	7.32145
22.22052	41.15376	0.00000	5.91607	-87.88754	4.09649	1185.84620	10.59961	4.01516	45.21732	48.32557	4.30814	7.78173	42.47183	7.89237	1.95012	6.19671	9.19298
10.91863	45.53069	0.00000	6.15412	9.40531	7.08814	1077.61676	8.07337	7.03614	56.24165	42.31278	7.69845	8.88995	72.11129	7.17311	0.20024	6.78870	8.36950
23.82443	44.89784	0.00000	6.69383	8.86374	4.17950	1135.76061	10.95476	4.51614	37.65210	46.24691	5.77720	7.70900	67.35589	6.83708	2.69021	7.61015	7.86287
14.46376	-10.90889	1.00000	6.52718	-37.03861	10.73510	1129.89565	7.76482	11.02686	52.81071		9.36160	5.90183	61.89098		0.21167	6.43969	7.31926
6.10700	29.98869	1.00000	8.62122	122.20488	4.05813	1083.23392	6.80016	8.38429	55.48107	39.17406	7.31741	7.31176	65.68166	6.91449	0.11875	8.22573	8.08504
19.15176	44.80477	1.00000	6.74046	-0.59543	9.84814	1099.04508	7.49042	9.48514	31.32573	42.99717	9.63725	7.63724	33.95885	8.02125	0.17367	7.40417	5.22173
30.39470	39.32011	1.00000	8.23963	-76.51552	5.84101	1076.27643	8.11770	9.65499	55.05093	41.60528	5.73526	6.66745	50.86690	7.13300	0.23517	7.01141	4.88404
4.19565	13.65805	0.00000	7.42007	102.56365	8.15919	1157.41501	6.15375	7.72770	47.57488	63.53253	7.19472	9.68075	44.97449	7.58643	0.08786	4.62698	9.37558
5.67475	-34.74785	0.00000	6.27530	-58.70072	10.43311	1111.81035	10.93420	8.14604	51.02338	53.19590	6.28423	7.38758	48.22482	7.61559	2.67269	7.07948	10.34264
9.97913	18.42745	0.00000	6.42347	-67.15407	4.87990	1149.01561	6.50673	5.46309	55.19375	39.20220	7.04682	7.95101	60.39116	5.22347	0.14421	5.53054	9.24864
1.99577	25.92493	1.00000	6.31588	73.66633	8.47025	1094.43460	5.78044	9.46534	29.84845	63.05771	8.08486	7.84845	52.99670	7.33805	0.08166	8.88447	9.03044
20.95718	52.09	1.00000	7.05021	5.23333	5.52210	1082.70443	7.72592	8.70841	46.39953	41.46342	6.13751	7.22163	29.99584	7.21404	0.17277	8.45982	6.47983
0.00132	25.75728	1.00000	7.18218	75.37991	6.46416	1122.35600	6.17325	8.23150	16.76106	42.31628	7.65714	7.82903	70.79744	7.41451	0.11209	9.98742	8.38874
19.49553	-27.50578	1.00000	7.91158	153.10236	2.39865	1056.71888	9.52492	7.15985	41.23949	57.68253	6.53849	8.06713	33.65355	8.83971	0.70613	7.35875	5.56082
27.71812	48.46458	0.00000	9.07402	9.22796	7.12405	1059.96118	9.95295	6.70682	31.90018	32.75491	7.16010	7.42327	48.96090	6.55688	1.04471	7.28736	7.57255
33.12079	23.1959	1.00000	7.32291	86.51499	9.16161	1167.04601	7.23798	9.20254	60.46597	50.14070	9.01702	6.80565	34.71565	6.42150	0.16972	7.86706	7.24249
9.46677	37.1759	1.00000	8.76137	128.9889	9.67355	1115.87105	4.87095	8.19777	59.48196	44.57014	7.15018	7.45281	55.86557	7.25722	0.03978	8.46095	6.04229
28.93929	40.81	1.00000	8.57451	-73.9625	5.74352	1075.20431	6.15492	7.57446	66.16945	33.63855	7.73433	8.68938	44.88828	8.07029	0.10554	8.86543	6.44296
3.60499	40.87363	0.00000	6.41230	14.34085	8.24302	1093.68759	8.75130	9.57010	31.55549	28.96430	6.08213	7.48062	49.94940	7.17680	0.36271	8.64320	9.16647
3.97514	44.27804	0.00000	7.29361	-88.27205	6.57827	1153.59849	8.47572	6.64762	47.42366	42.86551	6.60127	6.25193	65.51457	7.73535	0.30973	6.20564	8.51406
6.17260	58.7002	0.00000	8.83187	59.4839	4.62248	1178.50680	6.22060	5.21831	42.10485	39.58168	7.05633	8.73069	20.77715	7.76858	0.12103	5.42120	9.43773
3.91331	23.07492	1.00000	7.36240	88.28637	4.46292	1084.74788	8.62518	8.87513	47.74157	52.52004	7.82541	9.02662	65.14774	9.14105	0.35793	7.08543	7.86100
-6.84528	25.80565	1.00000	6.63350	68.49143	6.49179	1139.56868	4.80962	6.46389	29.74059	36.48172	8.22197	8.93589	53.06857	4.99565	0.08128	11.37768	6.44906
24.91531	51.24197	0.00000	6.73537	4.82313	7.11511	1072.05725	7.73641	9.77349	30.17961	39.24392	6.65150	6.72544	46.26828	9.30379	0.19919	9.81330	7.19417
13.18157	-7.76667	1.00000	7.67507	35.7	6.74604	1159.33516	6.09657	8.65575	61.20714	41.70621	5.89933	7.94325	19.75776	7.73773	0.07727	9.02718	5.16420
22.53805	40.78206	0.00000	7.61657	72.34424	7.43212	1084.52989	11.57532	5.79353	49.46908	54.17940	4.50965	8.17800	59.95798	7.34038	4.94983	5.77400	8.65853
32.76835	1.6561	1.00000	5.50526	103.6032	6.93017	1139.59750	9.53196	7.40523	64.01017	67.39259	5.89943	6.56962	52.02062	6.30768	0.69095	6.94528	8.59325
	51.78771	0.00000	8.32646	56.36091	8.22272	1108.13232	10.30584	9.05976	51.56630	24.67084	5.28731	6.88707	28.18586	8.14249	1.44060	8.52942	9.37735
4.17230	39.32011	1.00000	6.87366	-76.51552	7.86939	1122.41833	4.83871	9.43139	70.45310	43.69489	4.21836	7.66651	69.45839	8.22078	0.10672	10.38413	4.00917
9.62948	60.2052	1.00000	5.41918	24.6522	2.84440	1073.66941	8.44018	9.45660	52.59017	38.23600	9.46774	7.16515	55.63240	8.11460	0.28123	6.37311	9.51114
30.64706	42.7	0.00000	7.52779	27.25	7.40392	1103.23150	10.56800	6.54378	46.40020	56.65143	3.78088	8.28169	42.56999	7.52359	1.87339	4.86445	9.06544
14.02878	40.55851	1.00000	6.30389	17.80774	10.48829	1162.99004	5.58335	8.48036	32.04448	80.23635	9.01826	6.35749	54.43950	8.49432	0.09504	6.56818	4.30811
11.39024	53.14657	0.00000	7.01547	140.72287	6.56858	1067.71041	7.58227	10.00130	43.52108	48.95165	7.54773	7.42610	60.08198	10.70901	0.18887	9.60094	6.39704
10.68158	9.15093	0.00000	6.86280	-79.62098	10.59039	1128.93159	9.34142	7.33495	62.47820	48.06899	4.71945	5.80659	30.04095	6.16526	0.63309	7.96841	9.94091
-0.16200	52.53048	1.00000	7.95842	13.29371	6.22352	1131.88518	5.81098	8.16301	40.14063	53.70288	3.59399	7.67247	43.64890	6.23276	0.13351	8.57156	2.76352
16.34642	14.53767	1.00000	5.77481	46.83187	8.56613	1113.80613	6.12954	8.54019	42.48470	41.35934	9.75123	7.49404	42.73906	8.37656	0.09575	8.18218	4.69803
6.68727	58.1908	1.00000	7.62398	40.17171	9.93215	1062.76225	3.74449	9.34292	40.70151	36.75005	5.62980	7.57810	40.91764	7.86601	0.09456	10.58590	5.98451
14.51008	-22.92306	0.00000	8.15134	-53.13722	6.12659	1099.52985	7.05806	5.36886	50.14571	39.49158	8.02322	8.43809	51.61232	9.05120	0.10582	5.76178	8.80586
18.17874	58.7002	1.00000	6.53979	59.4839	7.62908	1064.27084	4.65595	6.97785	23.31045	44.04266	8.52322	6.94665	49.55558	8.24422	0.06189	9.84635	5.01253
-18.11796	-34.88422	0.00000	4.87711	150.60036	6.72448	1067.90818	9.04855	5.35955	36.97235	70.16604	7.51916	8.51535	76.34875	7.35872	0.49332	6.14365	7.92106
-6.61987	34.25	1.00000	7.79997	135.31667	8.21988	1098.07319	4.59758	6.71115	61.10635	41.66400	8.76919	6.29612	32.97377	7.70435	0.07623	9.24340	4.17157
14.99732	39.08367	0.00000	7.32793	-84.50855	10.57828	1056.59168	8.56615	6.78543	52.26231	30.62590	5.50691	9.28822	53.18989	7.15399	0.31321	9.79909	9.58486
29.17783	42.4251	1.00000	9.03109	-71.06616	5.72107	1139.27349	6.83557	7.18313	25.18847	47.00848	6.96960	9.35001	73.39844	6.78225	0.13953	9.84974	7.36981
8.97269	-17.83333	0.00000	6.96223	48.41667	8.03650	1170.00279	8.89828	7.83140	70.23307	35.55301	6.48669	8.97831	58.10553	7.52395	0.39685	6.18341	8.33210
26.73304	24.05979	1.00000	8.16993	77.40858	8.54715	1117.23361	6.54045	8.56511	50.44147	40.97137	10.17286	7.48839	69.68742	7.53327	0.12174	8.40741	4.52531
21.37398	51.24197	0.00000	6.03808	4.82313	8.68711	1054.03231	6.33028	7.89179	47.33267	46.97889	4.60228	7.17965	62.47727	8.96817	0.10890	11.13309	9.52133
9.93981	10.66668	0.00000	6.16657	-61.51889	6.99376	1053.70534	8.67234	6.35553	57.26394	35.39615	7.84405	9.21786	44.35901	8.39054	0.31776	6.79355	7.97338
19.32834	45.53069	0.00000	6.36000	9.40531	5.89585	1153.78369	7.72294	6.35592	42.51257	64.23030	7.31768	7.74753	57.88391	10.23083	0.19501	6.70887	8.76797
