revision	station	QoS	latitude	location	longitude
2013/06/14	Diwek	average	-7.57897	Asia/Jakarta	112.23109
2017-08-03	Kolomyagi	maintenance	60.02427	Europe/Moscow	30.28491
2013/04/12	Rosedale	good	39.32011	America/New_York	-76.51552
2017-09-13	Ada	excellent	34.77453	America/Chicago	-96.67834
26 Apr 2020	Longgang	maintenance	37.65181	Asia/Shanghai	120.33063
22 Oct 2017	Biu	excellent	10.61285	Africa/Lagos	12.19458
09/30/2017, 00:00:00	Karbala	accep	32.61603	Asia/Baghdad	44.02488
07/10/2015, 00:00:00	Pilar	building	14.66	Asia/Manila	120.56528
2013/06/20	Alexandria	accep	31.20176	Africa/Cairo	29.91582
04/23/2014, 00:00:00	Aguadilla	accep	18.42745	America/Puerto_Rico	-67.15407
2020-12-28	Kingston upon Hull	good	53.7446	Europe/London	-0.33525
2021-05-26	Karben	average	50.23019	Europe/Berlin	8.77155
25 Sep 2016	Onex	maintenance	46.18396	Europe/Zurich	6.10237
06/15/2021, 00:00:00	Nkpor	good	6.15038	Africa/Lagos	6.83042
20 May 2020	Pameungpeuk	average	-7.01833	Asia/Jakarta	107.60389
2017/05/12	Malden	accep	42.4251	America/New_York	-71.06616
08/13/2018, 00:00:00	Jaruco	accep	23.04419	America/Havana	-82.00919
01 Nov 2016	Ataq	maintenance	14.53767	Asia/Aden	46.83187
05 Aug 2016	Sicklerville	accep	39.71734	America/New_York	-74.96933
2014/09/06	Clacton-on-Sea	good	51.78967	Europe/London	1.15597
2019-11-18	Suzaka	average	36.65	Asia/Tokyo	138.31667
2019/07/26	El Achir	accep	36.06386	Africa/Algiers	4.62744
04/12/2017, 00:00:00	Ustka	excellent	54.58048	Europe/Warsaw	16.86194
2019-10-26	Hudiksvall	excellent	61.72744	Europe/Stockholm	17.10558
2012-11-18	Radevormwald	good	51.20219	Europe/Berlin	7.36027
17 Jan 2015	Rahat	maintenance	31.39547	Asia/Jerusalem	34.75699
12/23/2013, 00:00:00	Danilov	excellent	58.1908	Europe/Moscow	40.17171
2016/09/09	Frederiksberg	good	55.67938	Europe/Copenhagen	12.53463
