CH4	CFCs	Pb	PRES	C2H3NO5	PM2.5	warning	PAHs	NH3	longitude	CO	H2CO	PM10	TEMP	SO2	NOx	latitude	O3
7.44130	54.87439	42.36785	1118.19032	3.48524	8.37187	0.00000	7.02228	8.07471	-81.24441	9.08188	60.40440	7.36412	9.39019	8.88459	5.38755	23.15678	10.20220
7.64220	64.13209	37.07811	1134.16855	3.45157	10.00709	1.00000	5.68240	7.49355	9.85	6.37520	61.26790	6.57565	11.56947	5.95930	7.54852	53.63333	10.89267
	41.31320	29.31346	1094.55929	8.66360	9.45829	0.00000	7.44533	8.51808	42.54536	9.06753	53.78254	8.51395	31.09956	6.91440	4.16748	-0.35817	9.95070
8.29538	65.49918	54.74701	1148.97764	9.32584	9.69527	1.00000	7.68830	7.19691	44.02488	10.86198	47.85287	8.63369	20.37974	4.06890	9.59472	32.61603	8.67224
7.29253	50.19473	53.92036	1131.47669	3.83662	9.14643	1.00000	5.54906	7.93468	145.13643	5.44037	70.16713	7.05781	20.28159	6.80449	7.53785	-38.16604	9.37699
7.44166	47.26895	40.24005	1143.30048	3.72695	8.41010	1.00000	5.52409	5.97746	14.30935	5.47039	38.74769	7.02369	27.97609	7.29549	4.50767	40.92298	8.93935
7.65350	34.42368	52.35760	1155.41293	6.99189	7.86763	0.00000	5.77519	8.18601	-88.64235	9.22163	41.40377	8.14633	20.11986	7.96604	5.66899	46.09273	4.78564
5.26878	40.05312	27.04342	1175.75722	4.99633	8.98098	1.00000	5.30570	8.69562	8.96317	9.63836	55.17075	7.47734	16.85578	7.85325	10.46672	48.35149	7.19010
7.71687	58.35316	72.53581	1172.72853	14.14270	10.45058	1.00000	8.24316	8.68232	34.11169	11.58578	52.38552	9.05816	7.94767	3.14436	10.18958	0.46005	7.05494
6.90101	74.13136	42.68858	1161.76297	6.29705	9.97793	1.00000	8.34030	7.10237	2.44892	10.01326	46.16577	7.83016	7.64069	5.64195	7.79359	48.98693	10.83340
5.78534	33.49039	62.57666	1075.96571	19.62926	10.47628	0.00000	7.91358	8.23451	-53.13722	8.99133	62.94986	9.43891	13.45641	4.64490	5.79070	-22.92306	9.43663
8.21200	73.01510	52.86260	1084.22317	5.37289	9.40681	1.00000	6.78546	7.69388	-1.98956	6.31579	73.91351	7.67183	-6.75652	5.28599	6.70614	5.30383	9.38175
6.90659	71.72238	83.27370	1132.30029	16.29688	9.41339	1.00000	6.38520	9.04805	4.52514	9.52032		9.19137	34.73052	5.88317	10.13192	12.74482	8.59926
6.27139	53.11532	35.77382	1198.79452	6.10647	6.54553	1.00000	5.14027	6.51207	-89.10944	8.11535	34.39318	7.90055	15.97008	8.16402	4.41958	13.70167	4.61917
9.12960	47.70849	42.94534	1141.19305	3.30286	7.25638	1.00000	6.73801	5.64828	-51.50361	6.46554	54.16530	7.08024	7.08548	7.13770	8.10229	-29.2975	7.95837
7.83588	54.60139	50.51294	1192.35522	6.39471	7.58391	0.00000	5.73622	6.18309	151.08057	10.00521	38.48768	8.26152	25.85286	7.16383	6.02144	-33.79176	8.52554
7.57717	54.92379	42.38405	1182.92879	1.52015	9.11793	1.00000	4.94517	6.50590	-0.32247	4.96044	33.79025	6.31619	21.75717	8.07084	4.27089	50.82882	10.07386
8.68803	34.17254	19.50376	1159.85948	2.91947	9.55757	1.00000	7.97343	7.20232	-56.52361	6.78876	41.28950	6.60729	26.60026	4.42347	9.28573	-33.38056	9.67513
8.97909	60.23070	64.35106	1135.02012	3.26700	9.18377	1.00000	8.23079	8.61232	74.4818	10.09706	45.67667	6.78195	15.41737	7.04563	6.70896	30.21121	10.10777
8.23604	47.59241	42.28530	1076.94374	8.47324	9.84391	0.00000	6.07228	6.62670	-82.00919	7.05019	39.13158	8.45228	-2.01324	8.93585	7.29209	23.04419	3.64823
7.50970	26.91899	31.20320	1061.04813	5.22329	8.30688	0.00000	6.32438	6.73641	117.4831	7.78494	43.84667	7.10063	3.92081	9.28702	5.69064	27.34089	11.09301
8.21146	51.44618	32.25223	1176.92349	3.37446	8.64815	1.00000	6.95885	8.85831	126.28333	8.22109	47.00890	6.98425	9.32397	7.39868	6.39448	45.35	9.60901
8.60498	66.19362	24.93294	1121.47963	2.42013	9.18890	0.00000	7.01123	7.35488	73.85535	7.27701	53.56512	6.70100	-5.04859	8.08857	9.30900	18.51957	7.21744
6.33072	36.14348	52.11340	1088.84073	4.39228	8.90662	0.00000	7.92670	7.85007	37.3825	8.33040	40.78403	7.46687	2.59790	6.49363	4.43527	37.05944	11.32775
7.31676	59.83510	41.45764	1092.22608	2.83508	7.20030	1.00000	6.67009	7.45000	-3.67029	4.83882	32.18873	6.34747	7.13957	8.20104	5.27909	37.13548	8.29051
5.77782	29.82183	49.48696	1116.06510	3.07287	6.62071	0.00000	4.43260	7.67797	-1.5443	6.08265	43.96001	6.86500	17.53191	11.64194	6.31183	50.75767	11.51871
9.08396	61.88823	52.67752	1120.85245	3.22437	10.46689	1.00000	6.05422	6.78357	4.18333	8.56064	41.70227	6.99382	8.64713	3.25495	4.40452	7.6	7.54975
8.31078	61.50325	51.47039	1162.89926	3.91771	8.89861	0.00000	7.71643	7.46788	77.70636	9.74636	52.60855	6.93768	39.41210	7.75234	4.85258	28.98002	10.64690
6.12343	29.29052	43.88292	1122.97598	2.40449	7.40275	1.00000	5.36552	6.95521	0.75	10.44828	56.56066	6.81197	3.81276	6.26610	9.31265	52.41667	7.29420
6.07735	66.59368	57.04020	1197.65559	3.40300	8.51410	0.00000	8.12202	9.83852	-2.01111	10.36105	53.89658	6.91143	24.81636	8.63871	5.93514	52.66277	9.70981
